|6.6.6
Archiving\03_Data\eqfrac/QFM_m0.75/TAY13/TAY13_3.tab                      
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          14
T(K)           P(bar)         melt(TH)       Opx(TH)        O(HP)          Sp(TH)         Sp(TH)         Cpx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)        ilm            q             
  1592.95        2500.00        99.8658       0.126045       0.819931E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1591.46        2500.00        99.3357       0.576091       0.871613E-001  0.104997E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1589.98        2500.00        99.3401       0.580582       0.793552E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1588.49        2500.00        99.3453       0.574554       0.801897E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1587.01        2500.00        99.3509       0.569390       0.796629E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1585.52        2500.00        99.3560       0.565957       0.779941E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1584.03        2500.00        99.3640       0.559207       0.767960E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1582.55        2500.00        99.1770       0.722747       0.100253                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1581.06        2500.00        99.5414       0.403742       0.548339E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1579.58        2500.00        99.4053       0.524019       0.707244E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1578.09        2500.00        99.3845       0.543000       0.725134E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1576.60        2500.00        99.3873       0.542508       0.702272E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1575.12        2500.00        99.3808       0.545389       0.738205E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1573.63        2500.00        99.4193       0.512142       0.685856E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1572.14        2500.00        99.4087       0.522292       0.690574E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1570.66        2500.00        99.4103       0.520652       0.690601E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1569.17        2500.00        99.4191       0.514386       0.664912E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1567.69        2500.00        99.4219       0.511768       0.663256E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1566.20        2500.00        99.4268       0.508058       0.651543E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1564.71        2500.00        99.4311       0.504345       0.645175E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1563.23        2500.00        99.4364       0.499386       0.641841E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1561.74        2500.00        99.4424       0.494948       0.626677E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1560.26        2500.00        99.4453       0.493192       0.615009E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1558.77        2500.00        99.4504       0.487867       0.617026E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1557.28        2500.00        99.4551       0.485130       0.597213E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1555.80        2500.00        99.4589       0.482266       0.588792E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1554.31        2500.00        99.4634       0.478005       0.586343E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1552.83        2500.00        99.4645       0.477171       0.583408E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1551.34        2500.00        99.3190       0.587575       0.933787E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1549.85        2500.00        99.6342       0.345041       0.207759E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1548.37        2500.00        99.4780       0.469097       0.528799E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1546.88        2500.00        99.4836       0.463106       0.532885E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1545.40        2500.00        99.4186       0.521763       0.596482E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1543.91        2500.00        99.5586       0.396416       0.449756E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1542.42        2500.00        99.9922                 NaN  0.779722E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1540.94        2500.00        99.0023       0.905595       0.920615E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1539.45        2500.00        99.5039       0.446093       0.499791E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1537.96        2500.00        99.5057       0.445660       0.486804E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1536.48        2500.00        99.5099       0.441480       0.485887E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1534.99        2500.00        99.5146       0.438612       0.468246E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1533.51        2500.00        99.5163       0.437201       0.464720E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1532.02        2500.00        99.5194       0.435971       0.446774E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1530.53        2500.00        99.5243       0.431132       0.445235E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1529.05        2500.00        99.5268       0.429040       0.441145E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1527.56        2500.00        99.4053       0.540138       0.545651E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1526.08        2500.00        99.9316       0.618877E-001  0.651386E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1524.59        2500.00        99.2645       0.669260       0.662623E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1523.10        2500.00        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1521.62        2500.00        99.9803                 NaN  0.196552E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1520.13        2500.00        98.6491        1.25317       0.977457E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1518.65        2500.00        99.5471       0.410762       0.420952E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1517.16        2500.00        99.5554       0.407857       0.367452E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1515.67        2500.00        99.5559       0.405158       0.389057E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1514.19        2500.00        99.5578       0.405420       0.367922E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1512.70        2500.00        99.6876       0.284707       0.276505E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1511.22        2500.00        99.4349       0.523388       0.416945E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1509.73        2500.00        99.5657       0.400217       0.340791E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1508.24        2500.00        98.9422       0.974302       0.835381E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1506.76        2500.00        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1505.27        2500.00        99.7833       0.202576       0.141447E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
