|6.6.6
Archiving\03_Data\eqfracLP/QFM_m0.25/TAY13/TAY13_3.tab                    
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          13
T(K)           P(bar)         Sp(TH)         Sp(TH)         melt(TH)       Opx(TH)        O(HP)          Cpx(TH)        Cpx(TH)        an             San(TH)        ilm            q             
  1554.49        500.000       0.328290E-002            NaN   99.5006       0.453468       0.426804E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1553.10        500.000                 NaN            NaN   99.4157       0.584327                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1551.71        500.000                 NaN            NaN   99.4195       0.577899       0.263119E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1550.32        500.000                 NaN            NaN   99.4256       0.567165       0.726659E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1548.93        500.000                 NaN            NaN   99.4334       0.535098       0.315308E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1547.54        500.000                 NaN            NaN   99.4955       0.476868       0.276263E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1546.15        500.000                 NaN            NaN   99.3814       0.585955       0.326216E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1544.76        500.000                 NaN            NaN   99.4460       0.524760       0.292514E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1543.37        500.000                 NaN            NaN   99.4517       0.519771       0.285422E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1541.98        500.000                 NaN            NaN   99.4554       0.517046       0.276032E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1540.59        500.000                 NaN            NaN   99.4598       0.512969       0.271868E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1539.20        500.000                 NaN            NaN   99.4649       0.508183       0.268790E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1537.81        500.000                 NaN            NaN   99.4662       0.508286       0.254741E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1536.42        500.000                 NaN            NaN   99.4727       0.502237       0.250678E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1535.03        500.000                 NaN            NaN   99.4777       0.497407       0.248676E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1533.64        500.000                 NaN            NaN   99.4197       0.556497       0.238514E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1532.25        500.000                 NaN            NaN   99.0045       0.995192       0.355400E-003            NaN            NaN            NaN            NaN            NaN            NaN
  1530.87        500.000                 NaN            NaN   99.9442                 NaN  0.557501E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1529.48        500.000                 NaN            NaN   99.5542       0.445839       0.926673E-006            NaN            NaN            NaN            NaN            NaN            NaN
  1528.09        500.000                 NaN            NaN   99.4921       0.507909                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1526.70        500.000                 NaN            NaN   99.5013       0.478377       0.203524E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1525.31        500.000                 NaN            NaN   99.5127       0.468172       0.191585E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1523.92        500.000                 NaN            NaN   99.5005       0.452316       0.471824E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1522.53        500.000                 NaN            NaN   99.5072       0.492788       0.871955E-006            NaN            NaN            NaN            NaN            NaN            NaN
  1521.14        500.000                 NaN            NaN   99.5157       0.476533       0.773439E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1519.75        500.000                 NaN            NaN   99.5189       0.463213       0.178572E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1518.36        500.000                 NaN            NaN   99.5224       0.461893       0.156845E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1516.97        500.000                 NaN            NaN   99.5250       0.459416       0.155944E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1515.58        500.000                 NaN            NaN   99.5277       0.458197       0.141108E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1514.19        500.000                 NaN            NaN   99.5316       0.454842       0.136083E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1512.80        500.000                 NaN            NaN   99.5348       0.451735       0.134838E-001            NaN            NaN            NaN            NaN            NaN            NaN
