|6.6.6
Archiving\03_Data\eqfracLP/QFM_m0.25/TAY13/TAY13_1.tab                    
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          13
T(K)           P(bar)         Sp(TH)         Sp(TH)         melt(TH)       Opx(TH)        O(HP)          Cpx(TH)        Cpx(TH)        an             San(TH)        ilm            q             
  1554.49        500.000       0.518969E-002            NaN   99.4205       0.523584       0.506949E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1553.10        500.000                 NaN            NaN   99.3252       0.674797                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1551.71        500.000                 NaN            NaN   99.3294       0.667512       0.312770E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1550.32        500.000                 NaN            NaN   99.3359       0.655430       0.864326E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1548.93        500.000                 NaN            NaN   99.3439       0.618560       0.375196E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1547.54        500.000                 NaN            NaN   99.4157       0.551453       0.328909E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1546.15        500.000                 NaN            NaN   99.2834       0.677715       0.388533E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1544.76        500.000                 NaN            NaN   99.3580       0.607105       0.348537E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1543.37        500.000                 NaN            NaN   99.3645       0.601506       0.340192E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1541.98        500.000                 NaN            NaN   99.3685       0.598581       0.329160E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1540.59        500.000                 NaN            NaN   99.3735       0.594074       0.324378E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1539.20        500.000                 NaN            NaN   99.3792       0.588709       0.320838E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1537.81        500.000                 NaN            NaN   99.3805       0.589115       0.304286E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1536.42        500.000                 NaN            NaN   99.3879       0.582187       0.299543E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1535.03        500.000                 NaN            NaN   99.3934       0.576824       0.297300E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1533.64        500.000                 NaN            NaN   99.3262       0.645285       0.285128E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1532.25        500.000                 NaN            NaN   98.8467        1.15286       0.426789E-003            NaN            NaN            NaN            NaN            NaN            NaN
  1530.87        500.000                 NaN            NaN   99.9332                 NaN  0.667847E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1529.48        500.000                 NaN            NaN   99.4822       0.517756       0.111051E-005            NaN            NaN            NaN            NaN            NaN            NaN
  1528.09        500.000                 NaN            NaN   99.4101       0.589878                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1526.70        500.000                 NaN            NaN   99.4198       0.555770       0.243943E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1525.31        500.000                 NaN            NaN   99.4330       0.543995       0.229696E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1523.92        500.000                 NaN            NaN   99.4176       0.525825       0.565983E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1522.53        500.000                 NaN            NaN   99.4271       0.572936       0.104743E-005            NaN            NaN            NaN            NaN            NaN            NaN
  1521.14        500.000                 NaN            NaN   99.4363       0.554366       0.929419E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1519.75        500.000                 NaN            NaN   99.4395       0.539018       0.214580E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1518.36        500.000                 NaN            NaN   99.4436       0.537596       0.188534E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1516.97        500.000                 NaN            NaN   99.4463       0.534922       0.187566E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1515.58        500.000                 NaN            NaN   99.4494       0.533579       0.169754E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1514.19        500.000                 NaN            NaN   99.4538       0.529841       0.163796E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1512.80        500.000                 NaN            NaN   99.4573       0.526431       0.162409E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1511.41        500.000                 NaN            NaN   99.4608       0.523657       0.155799E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1510.02        500.000                 NaN            NaN   99.4653       0.519459       0.152622E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1508.63        500.000                 NaN            NaN   99.4672       0.519286       0.135158E-001            NaN            NaN            NaN            NaN            NaN            NaN
