|6.6.6
Archiving\03_Data\frac/QFM_m2.25/TAY13/TAY13_3.tab                        
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          17
T(K)           P(bar)         melt(TH)       melt(TH)       melt(TH)       mang           Ni             O(HP)          Sp(TH)         Opx(TH)        Cpx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)        ilm            q             
  1912.28        2500.00        99.3701                 NaN            NaN            NaN            NaN  0.629853                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1909.77        2500.00        99.3735                 NaN            NaN            NaN            NaN  0.626474                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1907.27        2500.00        99.3771                 NaN            NaN            NaN            NaN  0.622906                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1904.76        2500.00        99.3828                 NaN            NaN            NaN            NaN  0.617217                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1902.26        2500.00        99.3845                 NaN            NaN            NaN            NaN  0.615491                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1899.75        2500.00        99.3877                 NaN            NaN            NaN            NaN  0.612329                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1897.24        2500.00        99.3893                 NaN            NaN            NaN            NaN  0.610675                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1894.74        2500.00        99.3976                 NaN            NaN            NaN            NaN  0.602433                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1892.23        2500.00        99.3982                 NaN            NaN            NaN            NaN  0.601819                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1889.72        2500.00        99.1770                 NaN            NaN            NaN            NaN  0.822995                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1887.22        2500.00        99.6289                 NaN            NaN            NaN            NaN  0.371137                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1884.71        2500.00        99.4057                 NaN            NaN            NaN            NaN  0.594256                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1882.21        2500.00        99.4127                 NaN            NaN            NaN            NaN  0.587340                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1879.70        2500.00        99.4122                 NaN            NaN            NaN            NaN  0.587791                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1877.19        2500.00        96.8244       0.641423E-001  0.142056                 NaN            NaN   2.93173       0.376595E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1874.69        2500.00        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1872.18        2500.00        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1869.67        2500.00        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1867.17        2500.00        99.9050                 NaN            NaN            NaN            NaN  0.950348E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1864.66        2500.00        99.5411                 NaN            NaN            NaN            NaN  0.458200       0.654563E-003            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1862.16        2500.00        99.4216                 NaN            NaN            NaN            NaN  0.571541       0.684661E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1859.65        2500.00        99.3303                 NaN            NaN            NaN            NaN  0.658061       0.116600E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1857.14        2500.00        99.6263                 NaN            NaN            NaN            NaN  0.367219       0.650033E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1854.64        2500.00        99.3084                 NaN            NaN            NaN            NaN  0.679545       0.120147E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1852.13        2500.00        98.7994                 NaN            NaN            NaN            NaN   1.17958       0.209708E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1849.62        2500.00        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1847.12        2500.00        99.4814                 NaN            NaN            NaN            NaN  0.509656       0.891625E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1844.61        2500.00        99.4279                 NaN            NaN            NaN            NaN  0.562180       0.993918E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1842.11        2500.00        99.4321                 NaN            NaN            NaN            NaN  0.558052       0.984132E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1839.60        2500.00        99.4280                 NaN            NaN            NaN            NaN  0.562099       0.990821E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1837.09        2500.00        99.4339                 NaN            NaN            NaN            NaN  0.556288       0.976401E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1834.59        2500.00        99.4308                 NaN            NaN            NaN            NaN  0.559414       0.981922E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1832.08        2500.00        99.4348                 NaN            NaN            NaN            NaN  0.555437       0.972968E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1829.57        2500.00        99.4340                 NaN            NaN            NaN            NaN  0.556270       0.972562E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1827.07        2500.00        99.6287                 NaN            NaN            NaN            NaN  0.364818       0.644481E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1824.56        2500.00        99.8456                 NaN            NaN            NaN            NaN  0.151866       0.256859E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1822.06        2500.00        98.8267                 NaN            NaN            NaN            NaN   1.15335       0.199800E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1819.55        2500.00        99.4347                 NaN            NaN            NaN            NaN  0.555621       0.964274E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1817.04        2500.00        99.4354                 NaN            NaN            NaN            NaN  0.554946       0.961008E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1814.54        2500.00        99.4359                 NaN            NaN            NaN            NaN  0.554585       0.954908E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1812.03        2500.00        99.4356                 NaN            NaN            NaN            NaN  0.554833       0.955142E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1809.52        2500.00        99.4355                 NaN            NaN            NaN            NaN  0.554959       0.952219E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1807.02        2500.00        99.4347                 NaN            NaN            NaN            NaN  0.555803       0.949875E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1804.51        2500.00        99.4340                 NaN            NaN            NaN            NaN  0.556482       0.949403E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1802.01        2500.00        99.4333                 NaN            NaN            NaN            NaN  0.557264       0.947911E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1799.50        2500.00        99.4347                 NaN            NaN            NaN            NaN  0.555928       0.940901E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1796.99        2500.00        99.4337                 NaN            NaN            NaN            NaN  0.556954       0.939062E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1794.49        2500.00        99.4285                 NaN            NaN            NaN            NaN  0.562033       0.946202E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1791.98        2500.00        99.4336                 NaN            NaN            NaN            NaN  0.557059       0.930650E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1789.47        2500.00        99.4289                 NaN            NaN            NaN            NaN  0.561727       0.938149E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1786.97        2500.00        99.4318                 NaN            NaN            NaN            NaN  0.558927       0.926871E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1784.46        2500.00        99.4283                 NaN            NaN            NaN            NaN  0.562374       0.930295E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1781.95        2500.00        99.4260                 NaN            NaN            NaN            NaN  0.564732       0.929152E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1779.45        2500.00        99.4265                 NaN            NaN            NaN            NaN  0.564226       0.924058E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1776.94        2500.00        99.4242                 NaN            NaN            NaN            NaN  0.566577       0.924517E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1774.44        2500.00        99.4242                 NaN            NaN            NaN            NaN  0.566658       0.918938E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1771.93        2500.00        99.4222                 NaN            NaN            NaN            NaN  0.568584       0.919087E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1769.42        2500.00        99.4185                 NaN            NaN            NaN            NaN  0.572256       0.919454E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1766.92        2500.00        99.4200                 NaN            NaN            NaN            NaN  0.570884       0.913103E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1764.41        2500.00        99.4152                 NaN            NaN            NaN            NaN  0.575627       0.914918E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1761.90        2500.00        99.4168                 NaN            NaN            NaN            NaN  0.574100       0.908448E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1759.40        2500.00        99.4146                 NaN            NaN            NaN            NaN  0.576281       0.908892E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1756.89        2500.00        99.4116                 NaN            NaN            NaN            NaN  0.579335       0.907351E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1754.39        2500.00        99.4076                 NaN            NaN            NaN            NaN  0.583288       0.910845E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1751.88        2500.00        99.4111                 NaN            NaN            NaN            NaN  0.579944       0.898583E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1749.37        2500.00        99.4073                 NaN            NaN            NaN            NaN  0.583700       0.900464E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1746.87        2500.00        99.4048                 NaN            NaN            NaN            NaN  0.586226       0.900520E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1744.36        2500.00        99.4029                 NaN            NaN            NaN            NaN  0.588131       0.898563E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1741.85        2500.00        98.6261                 NaN            NaN            NaN            NaN   1.35334       0.205289E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1739.35        2500.00        99.9982                 NaN            NaN            NaN            NaN  0.178689E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1736.84        2500.00        99.6125                 NaN            NaN            NaN            NaN  0.381752       0.570308E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1734.34        2500.00        99.3565                 NaN            NaN            NaN            NaN  0.634045       0.946955E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1731.83        2500.00        99.3936                 NaN            NaN            NaN            NaN  0.597491       0.891194E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1729.32        2500.00        99.3906                 NaN            NaN            NaN            NaN  0.600536       0.889101E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1726.82        2500.00        99.3893                 NaN            NaN            NaN            NaN  0.601875       0.885095E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1724.31        2500.00        99.3859                 NaN            NaN            NaN            NaN  0.605222       0.885915E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1721.80        2500.00        99.3852                 NaN            NaN            NaN            NaN  0.605928       0.883438E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1719.30        2500.00        99.3813                 NaN            NaN            NaN            NaN  0.609872       0.883751E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1716.79        2500.00        99.3831                 NaN            NaN            NaN            NaN  0.608144       0.876302E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1714.29        2500.00        99.3764                 NaN            NaN            NaN            NaN  0.614737       0.883599E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1711.78        2500.00        98.6452                 NaN            NaN            NaN            NaN   1.33580       0.190218E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1709.27        2500.00        99.9955                 NaN            NaN            NaN            NaN  0.180121E-005  0.449517E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1706.77        2500.00        99.4947                 NaN            NaN            NaN            NaN  0.502683       0.257674E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1704.26        2500.00        99.3732                 NaN            NaN            NaN            NaN  0.618046       0.870475E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1701.75        2500.00        99.3705                 NaN            NaN            NaN            NaN  0.620839       0.870537E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1699.25        2500.00        99.3701                 NaN            NaN            NaN            NaN  0.621205       0.867219E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1696.74        2500.00        99.3673                 NaN            NaN            NaN            NaN  0.624039       0.869396E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1694.24        2500.00        99.3656                 NaN            NaN            NaN            NaN  0.625710       0.868348E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1691.73        2500.00        99.3702                 NaN            NaN            NaN            NaN  0.621245       0.857259E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1689.22        2500.00        99.3649                 NaN            NaN            NaN            NaN  0.626464       0.860693E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1686.72        2500.00        99.3651                 NaN            NaN            NaN            NaN  0.626320       0.859226E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1684.21        2500.00        99.3636                 NaN            NaN            NaN            NaN  0.627824       0.857316E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1681.70        2500.00        99.3635                 NaN            NaN            NaN            NaN  0.627992       0.855607E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1679.20        2500.00        99.3629                 NaN            NaN            NaN            NaN  0.628565       0.853264E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1676.69        2500.00        99.3661                 NaN            NaN            NaN            NaN  0.625418       0.847238E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1674.19        2500.00        99.3604                 NaN            NaN            NaN            NaN  0.631070       0.852822E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1671.68        2500.00        99.3617                 NaN            NaN            NaN            NaN  0.629790       0.848677E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1669.17        2500.00        99.3629                 NaN            NaN            NaN            NaN  0.628673       0.844101E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1666.67        2500.00        99.3588                 NaN            NaN            NaN            NaN  0.632674       0.849638E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1664.16        2500.00        99.3681                 NaN            NaN            NaN            NaN  0.623550       0.834619E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1661.65        2500.00        99.3616                 NaN            NaN            NaN            NaN  0.629932       0.843687E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1659.15        2500.00        99.3679                 NaN            NaN            NaN            NaN  0.623810       0.831627E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1656.64        2500.00        99.3637                 NaN            NaN            NaN            NaN  0.627909       0.837313E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1654.14        2500.00        99.3704                 NaN            NaN            NaN            NaN  0.621302       0.827930E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1651.63        2500.00        99.3649                 NaN            NaN            NaN            NaN  0.626781       0.835742E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1649.12        2500.00        99.3735                 NaN            NaN            NaN            NaN  0.618248       0.821779E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1646.62        2500.00        99.3674                 NaN            NaN            NaN            NaN  0.624337       0.827889E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1644.11        2500.00        99.3789                 NaN            NaN            NaN            NaN  0.612975       0.813407E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1641.60        2500.00        99.3756                 NaN            NaN            NaN            NaN  0.616210       0.817108E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1639.10        2500.00        99.3771                 NaN            NaN            NaN            NaN  0.614743       0.817000E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1636.59        2500.00        99.3606                 NaN            NaN            NaN            NaN  0.631046       0.836832E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1634.09        2500.00        99.4007                 NaN            NaN            NaN            NaN  0.591457       0.783864E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1631.58        2500.00        99.3840                 NaN            NaN            NaN            NaN  0.607902       0.808071E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1629.07        2500.00        99.3889                 NaN            NaN            NaN            NaN  0.603074       0.801189E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1626.57        2500.00        99.3907                 NaN            NaN            NaN            NaN  0.601267       0.798471E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1624.06        2500.00        99.3934                 NaN            NaN            NaN            NaN  0.598684       0.795817E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1621.55        2500.00        99.3967                 NaN            NaN            NaN            NaN  0.595395       0.792802E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1619.05        2500.00        99.2090                 NaN            NaN            NaN            NaN  0.483943       0.418707E-002  0.302915                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1616.54        2500.00        98.7116                 NaN            NaN            NaN            NaN  0.193825                 NaN   1.09455                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1614.04        2500.00        98.7322                 NaN            NaN            NaN            NaN  0.189555                 NaN   1.07826                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1611.53        2500.00        98.7546                 NaN            NaN            NaN            NaN  0.183526                 NaN   1.06187                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1609.02        2500.00        98.7751                 NaN            NaN            NaN            NaN  0.182200                 NaN   1.04274                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1606.52        2500.00        98.6695                 NaN            NaN            NaN            NaN  0.191407                 NaN   1.13907                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1604.01        2500.00        98.9434                 NaN            NaN            NaN            NaN  0.156642                 NaN  0.899971                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1601.50        2500.00        98.8354                 NaN            NaN            NaN            NaN  0.170924                 NaN  0.993719                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1599.00        2500.00        98.8551                 NaN            NaN            NaN            NaN  0.168033                 NaN  0.976864                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1596.49        2500.00        98.8768                 NaN            NaN            NaN            NaN  0.164989                 NaN  0.958257                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1593.98        2500.00        98.8929                 NaN            NaN            NaN            NaN  0.162279                 NaN  0.944795                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1591.48        2500.00        98.9088                 NaN            NaN            NaN            NaN  0.158629                 NaN  0.932542                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1588.97        2500.00        98.9281                 NaN            NaN            NaN            NaN  0.154517                 NaN  0.917348                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1586.47        2500.00        98.9441                 NaN            NaN            NaN            NaN  0.152375                 NaN  0.903570                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1583.96        2500.00        98.9577                 NaN            NaN            NaN            NaN  0.151675                 NaN  0.890583                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1581.45        2500.00        98.9750                 NaN            NaN            NaN            NaN  0.145416                 NaN  0.879579                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1578.95        2500.00        98.9887                 NaN            NaN            NaN            NaN  0.144275                 NaN  0.866978                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1576.44        2500.00        99.0096                 NaN            NaN            NaN            NaN  0.138688                 NaN  0.851745                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1573.93        2500.00        99.0206                 NaN            NaN            NaN            NaN  0.137050                 NaN  0.842328                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1571.43        2500.00        99.0344                 NaN            NaN            NaN            NaN  0.137432                 NaN  0.828124                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1568.92        2500.00        98.7003                 NaN            NaN            NaN            NaN  0.189813                 NaN   1.10984                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1566.42        2500.00        99.4229                 NaN            NaN            NaN            NaN  0.817620E-001            NaN  0.495352                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1563.91        2500.00        99.0753                 NaN            NaN            NaN            NaN  0.127118                 NaN  0.797606                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1561.40        2500.00        99.0877                 NaN            NaN            NaN            NaN  0.124421                 NaN  0.787884                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
