|6.6.6
Archiving\03_Data\eqfracLP/QFM/TAY13/TAY13_1.tab                          
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          13
T(K)           P(bar)         melt(TH)       Opx(TH)        O(HP)          Cpx(TH)        Cpx(TH)        an             San(TH)        Sp(TH)         Sp(TH)         ilm            q             
  1551.28        500.000        99.6660       0.251530       0.824896E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1549.90        500.000        99.3360       0.624975       0.389837E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1548.52        500.000        99.3392       0.624343       0.365052E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1547.14        500.000        98.7855        1.15006       0.644200E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1545.75        500.000        99.8867       0.106644       0.667119E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1544.37        500.000        99.6943       0.289411       0.162895E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1542.99        500.000        99.0485       0.898085       0.533738E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1541.61        500.000        99.3663       0.600105       0.336111E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1540.23        500.000        99.3567       0.609726       0.336229E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1538.85        500.000        99.8041       0.184910       0.110295E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1537.46        500.000        98.9665       0.982092       0.514355E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1536.08        500.000        99.3848       0.585635       0.295856E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1534.70        500.000        99.3416       0.630550       0.278290E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1533.32        500.000        99.4380       0.534786       0.272212E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1531.94        500.000        99.3989       0.572974       0.280836E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1530.56        500.000        99.0539       0.899319       0.467518E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1529.17        500.000        99.7599       0.229490       0.105717E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1527.79        500.000        99.4120       0.561515       0.265216E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1526.41        500.000        99.4104       0.567284       0.222885E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1525.03        500.000        99.4227       0.553869       0.234751E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1523.65        500.000        99.4081       0.567217       0.246998E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1522.27        500.000        99.4440       0.535338       0.206404E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1520.88        500.000        99.4306       0.549429       0.199626E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1519.50        500.000        98.7973        1.16269       0.400166E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1518.12        500.000        99.9959       0.232070E-002  0.180607E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
