|6.6.6
Archiving\03_Data\eqfracLP/QFM/TAY13/TAY13_3.tab                          
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          13
T(K)           P(bar)         melt(TH)       Opx(TH)        O(HP)          Cpx(TH)        Cpx(TH)        an             San(TH)        Sp(TH)         Sp(TH)         ilm            q             
  1551.28        500.000        99.7125       0.217941       0.695115E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1549.90        500.000        99.4255       0.541678       0.328484E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1548.52        500.000        99.4283       0.540943       0.307436E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1547.14        500.000        98.9486       0.997176       0.542351E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1545.75        500.000        99.9021       0.922734E-001  0.560505E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1544.37        500.000        99.7358       0.250461       0.136955E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1542.99        500.000        99.1777       0.777373       0.448800E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1541.61        500.000        99.4527       0.519109       0.282397E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1540.23        500.000        99.4445       0.527279       0.282397E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1538.85        500.000        99.8310       0.159777       0.925637E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1537.46        500.000        99.1075       0.849275       0.431831E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1536.08        500.000        99.4692       0.505993       0.248141E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1534.70        500.000        99.4320       0.544684       0.233373E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1533.32        500.000        99.5155       0.461714       0.228086E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1531.94        500.000        99.4818       0.494651       0.235209E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1530.56        500.000        99.1849       0.775956       0.391356E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1529.17        500.000        99.7933       0.197857       0.884157E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1527.79        500.000        99.4936       0.484190       0.221846E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1526.41        500.000        99.4923       0.489099       0.186332E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1525.03        500.000        99.5031       0.477308       0.196146E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1523.65        500.000        99.4906       0.488737       0.206355E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1522.27        500.000        99.5217       0.461109       0.172330E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1520.88        500.000        99.5103       0.473089       0.166552E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1519.50        500.000        98.9657        1.00090       0.333580E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1518.12        500.000        99.9965       0.199521E-002  0.150435E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1516.74        500.000        99.5898       0.400283       0.992162E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1515.36        500.000        99.5241       0.460977       0.149385E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1513.98        500.000        99.5292       0.456024       0.147313E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1512.59        500.000        99.4960       0.490623       0.133528E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1511.21        500.000        99.5678       0.421022       0.111755E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1509.83        500.000        99.7302       0.264021       0.580582E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1508.45        500.000        99.3478       0.633657       0.185169E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1507.07        500.000        99.5445       0.443908       0.115590E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1505.69        500.000        99.5451       0.445712       0.919621E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1504.30        500.000        99.5489       0.439717       0.114124E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1502.92        500.000        99.5556       0.435034       0.938758E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1501.54        500.000        99.5514       0.439743       0.887592E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1500.16        500.000        99.5625       0.429958       0.754978E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1498.78        500.000        99.5603       0.433401       0.632268E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1497.40        500.000        99.5628       0.431494       0.568046E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1496.01        500.000        99.5655       0.429506       0.499152E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1494.63        500.000        99.5667       0.430027       0.323657E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1493.25        500.000        99.5699       0.427266       0.280875E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1491.87        500.000        99.5744       0.422247       0.331351E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1490.49        500.000        99.5741       0.424176       0.171114E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1489.11        500.000        99.5789       0.419318       0.180666E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1487.72        500.000        99.5851       0.383579       0.313565E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1486.34        500.000        99.5839       0.408753       0.736067E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1484.96        500.000        99.5857       0.414270                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1483.58        500.000        99.5863       0.413670       0.164232E-005            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1482.20        500.000        99.5903       0.406784       0.294381E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1480.82        500.000        99.5920       0.407995                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1479.43        500.000        99.5084       0.491561       0.108005E-005            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1478.05        500.000        99.8239       0.163196       0.129057E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1476.67        500.000        99.8106       0.177346       0.120855E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1475.29        500.000        99.2543       0.745718                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1473.91        500.000        99.6071       0.372079       0.207778E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1472.53        500.000        99.6053       0.392488       0.223862E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1471.14        500.000        99.6084       0.391625                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1469.76        500.000        99.6106       0.389374                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1468.38        500.000        99.6027       0.397271                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1467.00        500.000        99.6207       0.379271                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1465.62        500.000        99.6148       0.385167                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1464.24        500.000        99.6176       0.382397                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1462.85        500.000        99.6209       0.379073                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1461.47        500.000        99.6218       0.378164       0.309599E-004            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1460.09        500.000        99.5838       0.375873       0.403285E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1458.71        500.000        99.6697       0.330349                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1457.33        500.000        99.5110       0.489048                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1455.95        500.000        99.8747       0.125284                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1454.56        500.000        99.5031       0.496891                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1453.18        500.000        99.6307       0.369334                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1451.80        500.000        99.6334       0.366593                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1450.42        500.000        99.6359       0.364114                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1449.04        500.000        99.6353       0.364707                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1447.66        500.000        99.6366       0.363419                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1446.27        500.000        99.6398       0.360215                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1444.89        500.000        99.6412       0.358824                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1443.51        500.000        99.6424       0.357610                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1442.13        500.000        99.6442       0.355751                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1440.75        500.000        99.6375       0.362520       0.287569E-005            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1439.37        500.000        99.6896       0.310437                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1437.98        500.000        99.3862       0.321291                 NaN  0.292524                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1436.60        500.000        99.3092       0.244063                 NaN  0.446700                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1435.22        500.000        99.3127       0.242743                 NaN  0.444560                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1433.84        500.000        99.3189       0.240078                 NaN  0.441051                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1432.46        500.000        99.3242       0.237854                 NaN  0.437990                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1431.08        500.000        99.3301       0.235728                 NaN  0.434173                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1429.69        500.000        99.3352       0.233644                 NaN  0.431176                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1428.31        500.000        99.3405       0.231323                 NaN  0.428185                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1426.93        500.000        99.3458       0.229295                 NaN  0.424931                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1425.55        500.000        99.3496       0.227845                 NaN  0.422561                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1424.17        500.000        99.3554       0.225623                 NaN  0.419004                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1422.79        500.000        99.3707       0.219398                 NaN  0.409916                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1421.40        500.000        99.3555       0.225037                 NaN  0.419462                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1420.02        500.000        99.3703       0.219536                 NaN  0.410150                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1418.64        500.000        99.3734       0.218837                 NaN  0.407769                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1417.26        500.000        99.4349       0.195415                 NaN  0.369707                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1415.88        500.000        99.3281       0.234398                 NaN  0.437476                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1414.50        500.000        99.3876       0.213447                 NaN  0.398932                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1413.11        500.000        99.3917       0.211717                 NaN  0.396607                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1411.73        500.000        99.4809       0.181348                 NaN  0.337718                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1410.35        500.000        99.3120       0.239182                 NaN  0.448811                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1408.97        500.000        99.4039       0.207579                 NaN  0.388520                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1407.59        500.000        99.4085       0.205395       0.165019E-005  0.386130                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1406.21        500.000        99.4120       0.204112                 NaN  0.383839                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1404.82        500.000        99.4161       0.202449                 NaN  0.381438                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1403.44        500.000        99.4199       0.201602                 NaN  0.378519                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1402.06        500.000        99.4232       0.199904                 NaN  0.376917                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1400.68        500.000        98.6422       0.145042                 NaN  0.383760       0.419313       0.409714                 NaN            NaN            NaN            NaN            NaN
  1399.30        500.000        98.5584                 NaN            NaN  0.393650       0.601169       0.446756                 NaN            NaN            NaN            NaN            NaN
  1397.92        500.000        98.5812                 NaN            NaN  0.591633       0.387669       0.439529                 NaN            NaN            NaN            NaN            NaN
  1396.53        500.000        98.6026                 NaN            NaN  0.583244       0.380937       0.433185                 NaN            NaN            NaN            NaN            NaN
  1395.15        500.000        98.6451                 NaN            NaN  0.369698       0.565548       0.419680                 NaN            NaN            NaN            NaN            NaN
  1393.77        500.000        98.6286                 NaN            NaN  0.573145       0.373485       0.424810                 NaN            NaN            NaN            NaN            NaN
  1392.39        500.000        98.6673                 NaN            NaN  0.557007       0.362809       0.412910                 NaN            NaN            NaN            NaN            NaN
  1391.01        500.000        98.6878                 NaN            NaN  0.357161       0.548692       0.406392                 NaN            NaN            NaN            NaN            NaN
  1389.63        500.000        98.7072                 NaN            NaN  0.352102       0.540490       0.400226                 NaN            NaN            NaN            NaN            NaN
  1388.24        500.000        98.7264                 NaN            NaN  0.346035       0.533137       0.394396                 NaN            NaN            NaN            NaN            NaN
  1386.86        500.000        98.7444                 NaN            NaN  0.525536       0.341421       0.388628                 NaN            NaN            NaN            NaN            NaN
  1385.48        500.000        98.7626                 NaN            NaN  0.335886       0.518603       0.382937                 NaN            NaN            NaN            NaN            NaN
  1384.10        500.000        98.7840                 NaN  0.652801E-001  0.417875       0.344820       0.388028                 NaN            NaN            NaN            NaN            NaN
  1382.72        500.000        98.8040                 NaN  0.106737       0.350930       0.348968       0.389376                 NaN            NaN            NaN            NaN            NaN
  1381.34        500.000        98.8214                 NaN  0.107293       0.344541       0.342861       0.383906                 NaN            NaN            NaN            NaN            NaN
  1379.95        500.000        98.8384                 NaN  0.107952       0.334732       0.340158       0.378738                 NaN            NaN            NaN            NaN            NaN
  1378.57        500.000        98.8549                 NaN  0.108463       0.327096       0.335868       0.373678                 NaN            NaN            NaN            NaN            NaN
  1377.19        500.000        98.8712                 NaN  0.109173       0.319232       0.331614       0.368771                 NaN            NaN            NaN            NaN            NaN
  1375.81        500.000        98.8858                 NaN  0.109915       0.311878       0.328186       0.364182                 NaN            NaN            NaN            NaN            NaN
  1374.43        500.000        98.9023                 NaN  0.110309       0.304729       0.323319       0.359307                 NaN            NaN            NaN            NaN            NaN
  1373.05        500.000        98.9187                 NaN  0.110535       0.319634       0.297231       0.353904                 NaN            NaN            NaN            NaN            NaN
  1371.66        500.000        98.9276                 NaN  0.113330       0.289623       0.317937       0.351510                 NaN            NaN            NaN            NaN            NaN
  1370.28        500.000        98.9505                 NaN  0.110639       0.310981       0.284177       0.343750                 NaN            NaN            NaN            NaN            NaN
  1368.90        500.000        98.9615                 NaN  0.112613       0.276425       0.308585       0.340870                 NaN            NaN            NaN            NaN            NaN
  1367.52        500.000        99.0734                 NaN  0.231046       0.366457                 NaN  0.329106                 NaN            NaN            NaN            NaN            NaN
  1366.14        500.000        98.8904                 NaN            NaN  0.527161       0.241480       0.340978                 NaN            NaN            NaN            NaN            NaN
  1364.76        500.000        99.0028                 NaN  0.108764       0.296508       0.264790       0.327177                 NaN            NaN            NaN            NaN            NaN
  1363.38        500.000        99.0065                 NaN  0.117362       0.295891       0.251193       0.329075                 NaN            NaN            NaN            NaN            NaN
  1361.99        500.000        99.0405                 NaN  0.112069       0.288486       0.243792       0.315122                 NaN            NaN            NaN            NaN            NaN
  1360.61        500.000        99.1228                 NaN  0.221907       0.343903                 NaN  0.311388                 NaN            NaN            NaN            NaN            NaN
  1359.23        500.000        99.1332                 NaN  0.219271       0.340134                 NaN  0.307436                 NaN            NaN            NaN            NaN            NaN
  1357.85        500.000        98.8908                 NaN  0.282890E-001  0.531625       0.203597       0.345704                 NaN            NaN            NaN            NaN            NaN
  1356.47        500.000        99.2209                 NaN  0.169319       0.338552                 NaN  0.271213                 NaN            NaN            NaN            NaN            NaN
  1355.09        500.000        99.1479                 NaN  0.217011       0.332589                 NaN  0.302506                 NaN            NaN            NaN            NaN            NaN
  1353.70        500.000        98.9200                 NaN            NaN  0.166293       0.584414       0.329253                 NaN            NaN            NaN            NaN            NaN
  1352.32        500.000        99.1011                 NaN            NaN  0.383166       0.239269       0.276490                 NaN            NaN            NaN            NaN            NaN
  1350.94        500.000        99.1166                 NaN  0.723827E-001  0.255941       0.270746       0.284357                 NaN            NaN            NaN            NaN            NaN
  1349.56        500.000        99.1338                 NaN  0.118192       0.264586       0.196345       0.287084                 NaN            NaN            NaN            NaN            NaN
  1348.18        500.000        99.1428                 NaN  0.119558       0.190571       0.262516       0.284547                 NaN            NaN            NaN            NaN            NaN
  1346.80        500.000        99.1537                 NaN  0.119867       0.185502       0.259774       0.281159                 NaN            NaN            NaN            NaN            NaN
