|6.6.6
Archiving\03_Data\eqfracLP/QFM_m3.75/WD94/WD94_3.tab                      
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          14
T(K)           P(bar)         Sp(TH)         melt(TH)       Opx(TH)        O(HP)          Cpx(TH)        Cpx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)        ilm            q             
  1570.51        500.000       0.817555E-002   99.5667       0.425140       0.128404E-004            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1569.08        500.000                 NaN   99.3853       0.592675       0.220630E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1567.65        500.000                 NaN   99.3878       0.583356       0.288333E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1566.22        500.000                 NaN   99.3847       0.406444       0.208869                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1564.79        500.000                 NaN   99.4249       0.575100                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1563.36        500.000                 NaN   99.4007       0.599322       0.257570E-004            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1561.93        500.000                 NaN   99.4089       0.591060                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1560.50        500.000                 NaN   99.4140       0.584341       0.170122E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1559.07        500.000                 NaN   99.4197       0.580313                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1557.64        500.000                 NaN   99.4250       0.557323       0.177108E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1556.21        500.000                 NaN   99.4312       0.568761                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1554.78        500.000                 NaN   99.4362       0.548258       0.155421E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1553.35        500.000                 NaN   99.4417       0.549236       0.910647E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1551.92        500.000                 NaN   99.4469       0.530604       0.225440E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1550.49        500.000                 NaN   99.9567       0.403222E-001  0.294778E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1549.06        500.000                 NaN   98.9530        1.00781       0.391892E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1547.63        500.000                 NaN   99.4620       0.505800       0.322266E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1546.20        500.000                 NaN   99.4645       0.526343       0.911223E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1544.77        500.000                 NaN   99.4694       0.512488       0.181501E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1543.34        500.000                 NaN   99.4754       0.506586       0.180459E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1541.91        500.000                 NaN   99.4788       0.502753       0.184335E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1540.48        500.000                 NaN   99.4832       0.499619       0.171786E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
