|6.6.6
Archiving\03_Data\DeqfracLP/QFM_m0.25/WD94/WD94_1.tab                     
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          13
T(K)           P(bar)         melt(TH)       O(HP)          Opx(TH)        Cpx(TH)        Cpx(TH)        an             Sp(TH)         Sp(TH)         San(TH)        ilm            q             
  1592.95        500.000        99.9496       0.504059E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1591.46        500.000        99.1172       0.121022       0.761790                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1589.98        500.000        99.0169       0.629653E-001  0.920179                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1588.49        500.000        99.0287       0.625881E-001  0.908721                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1587.01        500.000        99.0324       0.608887E-001  0.906675                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1585.52        500.000        99.0533       0.605207E-001  0.886225                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1584.03        500.000        99.0563       0.588814E-001  0.884783                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1582.55        500.000        99.0667       0.582398E-001  0.875054                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1581.06        500.000        99.0749       0.564976E-001  0.868612                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1579.58        500.000        99.0843       0.540611E-001  0.861688                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1578.09        500.000        99.0921       0.528826E-001  0.855031                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1576.60        500.000        99.1020       0.530789E-001  0.844952                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1575.12        500.000        99.1094       0.505848E-001  0.840001                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1573.63        500.000        99.1176       0.492568E-001  0.833148                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1572.14        500.000        99.1261       0.479708E-001  0.825953                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1570.66        500.000        98.9548       0.526395E-001  0.992554                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1569.17        500.000        99.3283       0.473586E-001  0.624360                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1567.69        500.000        99.1504       0.452403E-001  0.804405                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1566.20        500.000        99.1549       0.439055E-001  0.801209                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1564.71        500.000        99.1670       0.417226E-001  0.791324                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1563.23        500.000        99.1568       0.431887E-001  0.800043                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1561.74        500.000        99.1971       0.391254E-001  0.763758                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1560.26        500.000        99.1841       0.373061E-001  0.778617                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1558.77        500.000        99.1898       0.374211E-001  0.772758                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1557.28        500.000        99.1465       0.222491E-001  0.831229                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1555.80        500.000        99.2589       0.439000E-001  0.697191                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1554.31        500.000        99.2133       0.346017E-001  0.752094                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1552.83        500.000        99.2206       0.327458E-001  0.746614                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1551.34        500.000        99.2269       0.313090E-001  0.741751                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1549.85        500.000        99.2333       0.315763E-001  0.735121                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1548.37        500.000        99.2384       0.295684E-001  0.732074                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1546.88        500.000        99.2437       0.294502E-001  0.726818                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1545.40        500.000        99.2529       0.297872E-001  0.717362                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1543.91        500.000        99.2610       0.266297E-001  0.712402                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1542.42        500.000        99.2598       0.272105E-001  0.712992                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1540.94        500.000        99.2685       0.209381E-001  0.710530                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1539.45        500.000        99.2770       0.258407E-001  0.697154                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1537.96        500.000        99.2792       0.208661E-001  0.699971                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1536.48        500.000        99.2841       0.205357E-001  0.695379                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1534.99        500.000        99.2897       0.141020E-005  0.710348                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1533.51        500.000        99.0807       0.286013E-001  0.890727                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1532.02        500.000        99.5014       0.771281E-003  0.497833                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1530.53        500.000        99.3064       0.282402E-001  0.665354                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1529.05        500.000        99.3122       0.176025E-001  0.670185                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1527.56        500.000        99.3161       0.153506E-001  0.668520                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1526.08        500.000        99.3310       0.136612E-001  0.655317                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1524.59        500.000        99.3088       0.106936E-001  0.680540                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1523.10        500.000        99.3316       0.704253E-002  0.661327                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1521.62        500.000        99.2429       0.158500E-001  0.741210                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1520.13        500.000        99.4298       0.271579E-002  0.567488                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1518.65        500.000        99.3437       0.140361E-001  0.642256                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1517.16        500.000        99.3471       0.750288E-002  0.645388                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1515.67        500.000        99.3294       0.463795E-001  0.624178                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1514.19        500.000        99.3814                 NaN  0.618551                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1512.70        500.000        99.3591                 NaN  0.640879                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1511.22        500.000        99.3649       0.991745E-002  0.625231                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1509.73        500.000        99.3695       0.136093E-001  0.616878                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1508.24        500.000        99.3748       0.312372E-001  0.593914                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1506.76        500.000        99.3815       0.540966E-001  0.564401                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1505.27        500.000        99.3783                 NaN  0.621737                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1503.78        500.000        99.3817                 NaN  0.618251                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1502.30        500.000        99.4868       0.239222E-001  0.489270                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1500.81        500.000        99.2888                 NaN  0.711232                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1499.33        500.000        99.3932                 NaN  0.606827                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1497.84        500.000        99.3972                 NaN  0.602766                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1496.35        500.000        99.4001       0.376317E-004  0.599833                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1494.87        500.000        99.4009                 NaN  0.599082                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1493.38        500.000        99.4097       0.130426E-005  0.590328                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1491.90        500.000        99.4120                 NaN  0.587959                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1490.41        500.000        99.4097                 NaN  0.590342                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1488.92        500.000        99.4172                 NaN  0.582821                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1487.44        500.000        99.4221                 NaN  0.577938                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1485.95        500.000        99.3913                 NaN  0.608703                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1484.47        500.000        99.5362                 NaN  0.463784                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1482.98        500.000        99.3504       0.258281E-001  0.623795                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1481.49        500.000        99.4290                 NaN  0.571004                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1480.01        500.000        99.4351                 NaN  0.564904                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1478.52        500.000        99.4343                 NaN  0.565708                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1477.03        500.000        99.4410                 NaN  0.559020                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1475.55        500.000        99.4412                 NaN  0.558823                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1474.06        500.000        99.4438                 NaN  0.556160                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1472.58        500.000        99.4463                 NaN  0.553661                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1471.09        500.000        99.4473                 NaN  0.552737                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1469.60        500.000        99.4522                 NaN  0.547844                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1468.12        500.000        99.4524                 NaN  0.547565                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1466.63        500.000        99.4555                 NaN  0.544547                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1465.15        500.000        99.4577                 NaN  0.542328                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1463.66        500.000        99.4610                 NaN  0.538979                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1462.17        500.000        99.4615                 NaN  0.538461                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1460.69        500.000        99.4631                 NaN  0.536860                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1459.20        500.000        99.9394                 NaN  0.492718E-001  0.113585E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1457.72        500.000        98.4522                 NaN  0.853512       0.694319                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1456.23        500.000        98.8868                 NaN  0.347302       0.765942                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1454.74        500.000        98.8952                 NaN  0.343536       0.761247                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1453.26        500.000        98.9066                 NaN  0.338629       0.754816                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1451.77        500.000        98.9175                 NaN  0.334496       0.748047                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1450.29        500.000        98.9264                 NaN  0.330849       0.742763                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1448.80        500.000        98.9348                 NaN  0.327243       0.737915                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
