|6.6.6
Archiving\03_Data\DeqfracLP/QFM_m0.25/WD94/WD94_3.tab                     
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          13
T(K)           P(bar)         melt(TH)       O(HP)          Opx(TH)        Cpx(TH)        Cpx(TH)        an             Sp(TH)         Sp(TH)         San(TH)        ilm            q             
  1592.95        500.000        99.9566       0.433749E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1591.46        500.000        99.2208       0.104181       0.674980                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1589.98        500.000        99.1305       0.541869E-001  0.815301                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1588.49        500.000        99.1412       0.538477E-001  0.804921                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1587.01        500.000        99.1448       0.523566E-001  0.802864                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1585.52        500.000        99.1634       0.520277E-001  0.784619                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1584.03        500.000        99.1663       0.506004E-001  0.783105                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1582.55        500.000        99.1756       0.500257E-001  0.774351                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1581.06        500.000        99.1831       0.485114E-001  0.768393                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1579.58        500.000        99.1915       0.463979E-001  0.762146                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1578.09        500.000        99.1986       0.453651E-001  0.756047                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1576.60        500.000        99.2076       0.455180E-001  0.746914                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1575.12        500.000        99.2143       0.433629E-001  0.742374                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1573.63        500.000        99.2216       0.422144E-001  0.736209                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1572.14        500.000        99.2293       0.410867E-001  0.729627                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1570.66        500.000        99.0783       0.450899E-001  0.876631                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1569.17        500.000        99.4083       0.405213E-001  0.551142                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1567.69        500.000        99.2512       0.387067E-001  0.710109                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1566.20        500.000        99.2553       0.375457E-001  0.707119                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1564.71        500.000        99.2661       0.356659E-001  0.698212                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1563.23        500.000        99.2574       0.368995E-001  0.705722                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1561.74        500.000        99.2931       0.334127E-001  0.673526                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1560.26        500.000        99.2817       0.318442E-001  0.686456                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1558.77        500.000        99.2870       0.319259E-001  0.681035                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1557.28        500.000        99.2488       0.189631E-001  0.732200                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1555.80        500.000        99.3484       0.374293E-001  0.614169                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1554.31        500.000        99.3080       0.294954E-001  0.662485                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1552.83        500.000        99.3147       0.278933E-001  0.657404                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
