|6.6.6
Archiving\03_Data\eqfrac/QFM/YM20/YM20_1.tab                            
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          15
T(K)           P(bar)         Sp(TH)         Sp(TH)         Sp(TH)         melt(TH)       Opx(TH)        O(HP)          Cpx(TH)        Cpx(TH)        an             San(TH)        ne             lc             ilm           
  1570.51        2500.00       0.114618E-001            NaN            NaN   99.6657       0.322873                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1569.08        2500.00                 NaN            NaN            NaN   99.3486       0.634955       0.164442E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1567.65        2500.00                 NaN            NaN            NaN   99.3485       0.581996       0.695250E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1566.22        2500.00                 NaN            NaN            NaN   99.3521       0.579205       0.687225E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1564.79        2500.00       0.101938E-002            NaN            NaN   99.3485       0.575579       0.749491E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1563.36        2500.00                 NaN            NaN            NaN   99.3830       0.552839       0.641777E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1561.93        2500.00                 NaN            NaN            NaN   99.3692       0.564341       0.664218E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1560.50        2500.00                 NaN            NaN            NaN   99.3710       0.564104       0.649354E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1559.07        2500.00                 NaN            NaN            NaN   99.3774       0.558524       0.641100E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1557.64        2500.00                 NaN            NaN            NaN   99.3842       0.552217       0.635646E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1556.21        2500.00                 NaN            NaN            NaN   99.3854       0.550553       0.640852E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1554.78        2500.00                 NaN            NaN            NaN   99.3956       0.542702       0.617131E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1553.35        2500.00                 NaN            NaN            NaN   99.3960       0.542964       0.610627E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1551.92        2500.00                 NaN            NaN            NaN   99.3997       0.540864       0.594008E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1550.49        2500.00                 NaN            NaN            NaN   99.4000       0.539542       0.604479E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1549.06        2500.00                 NaN            NaN            NaN   99.4147       0.527590       0.576858E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1547.63        2500.00                 NaN            NaN            NaN   99.4144       0.528271       0.573327E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1546.20        2500.00                 NaN            NaN            NaN   99.4480       0.498631       0.533341E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1544.77        2500.00                 NaN            NaN            NaN   99.3914       0.549973       0.585865E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1543.34        2500.00                 NaN            NaN            NaN   99.4247       0.520868       0.544279E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1541.91        2500.00                 NaN            NaN            NaN   99.4291       0.517642       0.532522E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1540.48        2500.00                 NaN            NaN            NaN   99.4334       0.512948       0.536156E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1539.05        2500.00                 NaN            NaN            NaN   99.4375       0.510730       0.517871E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1537.62        2500.00                 NaN            NaN            NaN   99.4401       0.508565       0.513441E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1536.19        2500.00                 NaN            NaN            NaN   99.4464       0.503412       0.501719E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1534.76        2500.00                 NaN            NaN            NaN   99.4475       0.504077       0.484721E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1533.33        2500.00                 NaN            NaN            NaN   99.4465       0.504409       0.490606E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1531.90        2500.00                 NaN            NaN            NaN   99.4606       0.490037       0.493241E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1530.47        2500.00                 NaN            NaN            NaN   99.4625       0.489774       0.477445E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1529.04        2500.00                 NaN            NaN            NaN   99.7267       0.250149       0.231625E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1527.61        2500.00                 NaN            NaN            NaN   99.2004       0.733873       0.657485E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1526.18        2500.00                 NaN            NaN            NaN   99.4687       0.487377       0.439064E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1524.75        2500.00                 NaN            NaN            NaN   99.4697       0.488350       0.419742E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1523.32        2500.00                 NaN            NaN            NaN   99.4778       0.479529       0.426234E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1521.90        2500.00                 NaN            NaN            NaN   99.4790       0.479035       0.419868E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1520.47        2500.00                 NaN            NaN            NaN   99.4821       0.476110       0.417689E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1519.04        2500.00                 NaN            NaN            NaN   99.3532       0.601083       0.457629E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1517.61        2500.00                 NaN            NaN            NaN   99.6132       0.360987       0.258486E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1516.18        2500.00                 NaN            NaN            NaN   99.4914       0.469871       0.387108E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1514.75        2500.00                 NaN            NaN            NaN   99.4946       0.466731       0.386814E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1513.32        2500.00                 NaN            NaN            NaN   99.4978       0.464955       0.372780E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1511.89        2500.00                 NaN            NaN            NaN   99.4985       0.465752       0.357177E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1510.46        2500.00                 NaN            NaN            NaN   99.4991       0.464739       0.361980E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1509.03        2500.00                 NaN            NaN            NaN   99.1325       0.815628       0.519194E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1507.60        2500.00                 NaN            NaN            NaN   99.8778       0.114441       0.779518E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
