|6.6.6
Archiving\03_Data\eqfrac/QFM/YM20/YM20_3.tab                            
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          15
T(K)           P(bar)         Sp(TH)         Sp(TH)         Sp(TH)         melt(TH)       Opx(TH)        O(HP)          Cpx(TH)        Cpx(TH)        an             San(TH)        ne             lc             ilm           
  1570.51        2500.00       0.740343E-002            NaN            NaN   99.7098       0.282772                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1569.08        2500.00                 NaN            NaN            NaN   99.4297       0.556158       0.141060E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1567.65        2500.00                 NaN            NaN            NaN   99.4306       0.509735       0.596312E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1566.22        2500.00                 NaN            NaN            NaN   99.4340       0.507115       0.589135E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1564.79        2500.00       0.660186E-003            NaN            NaN   99.4310       0.504047       0.642800E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1563.36        2500.00                 NaN            NaN            NaN   99.4612       0.483798       0.549749E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1561.93        2500.00                 NaN            NaN            NaN   99.4495       0.493669       0.568739E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1560.50        2500.00                 NaN            NaN            NaN   99.4511       0.493328       0.555693E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1559.07        2500.00                 NaN            NaN            NaN   99.4568       0.488339       0.548516E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1557.64        2500.00                 NaN            NaN            NaN   99.4629       0.482711       0.543749E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1556.21        2500.00                 NaN            NaN            NaN   99.4641       0.481112       0.547863E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1554.78        2500.00                 NaN            NaN            NaN   99.4732       0.474086       0.527353E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1553.35        2500.00                 NaN            NaN            NaN   99.4737       0.474182       0.521573E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1551.92        2500.00                 NaN            NaN            NaN   99.4770       0.472259       0.507113E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1550.49        2500.00                 NaN            NaN            NaN   99.4776       0.470867       0.515480E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1549.06        2500.00                 NaN            NaN            NaN   99.4904       0.460381       0.492121E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1547.63        2500.00                 NaN            NaN            NaN   99.4902       0.460877       0.488985E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1546.20        2500.00                 NaN            NaN            NaN   99.5196       0.434918       0.454806E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
