|6.6.6
Archiving\03_Data\eqfrac/QFM_m3.75/ALH/ALH_3.tab                          
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          13
T(K)           P(bar)         Sp(TH)         melt(TH)       O(HP)          Opx(TH)        Cpx(TH)        Cpx(TH)        an             ilm            San(TH)        ne             lc            
  1564.10        2500.00       0.404642E-002   99.9957       0.224766E-003            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1562.69        2500.00                 NaN   99.4946       0.300360E-001  0.475374                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1561.27        2500.00                 NaN   99.4544       0.515536E-001  0.494072                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1559.86        2500.00                 NaN   99.4586       0.510327E-001  0.490375                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1558.44        2500.00                 NaN   99.4629       0.506769E-001  0.486387                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1557.03        2500.00                 NaN   99.4642       0.493384E-001  0.486478                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1555.62        2500.00                 NaN   99.4718       0.486547E-001  0.479508                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1554.20        2500.00                 NaN   99.4745       0.484532E-001  0.477028                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1552.79        2500.00                 NaN   99.4783       0.478194E-001  0.473867                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1551.38        2500.00                 NaN   99.4827       0.475599E-001  0.469695                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1549.96        2500.00                 NaN   99.4864       0.470494E-001  0.466559                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1548.55        2500.00                 NaN   99.4891       0.471524E-001  0.463760                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1547.13        2500.00                 NaN   99.4899       0.437079E-001  0.466405                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1545.72        2500.00                 NaN   99.4975       0.440361E-001  0.458414                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1544.31        2500.00                 NaN   99.5035       0.446197E-001  0.451838                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1542.89        2500.00                 NaN   99.5031       0.434450E-001  0.453425                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1541.48        2500.00                 NaN   99.4826       0.459202E-001  0.471524                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1540.07        2500.00                 NaN   99.5363       0.408320E-001  0.422857                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1538.65        2500.00                 NaN   100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1537.24        2500.00                 NaN   99.0317       0.835591E-001  0.884729                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1535.82        2500.00                 NaN   99.5206       0.411684E-001  0.438247                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1534.41        2500.00                 NaN   99.6272       0.140303E-001  0.171560       0.187245                 NaN            NaN            NaN            NaN            NaN            NaN
  1533.00        2500.00                 NaN   99.2735       0.178859E-001  0.228748       0.479830                 NaN            NaN            NaN            NaN            NaN            NaN
  1531.58        2500.00                 NaN   99.3957                 NaN  0.165213E-001  0.587755                 NaN            NaN            NaN            NaN            NaN            NaN
  1530.17        2500.00                 NaN   99.3025       0.176048E-004  0.183907E-001  0.679053                 NaN            NaN            NaN            NaN            NaN            NaN
  1528.76        2500.00                 NaN   99.4959                 NaN  0.893215E-002  0.495138                 NaN            NaN            NaN            NaN            NaN            NaN
  1527.34        2500.00                 NaN   99.3290                 NaN  0.451766E-001  0.625813                 NaN            NaN            NaN            NaN            NaN            NaN
  1525.93        2500.00                 NaN   99.4707                 NaN            NaN  0.529259                 NaN            NaN            NaN            NaN            NaN            NaN
  1524.51        2500.00                 NaN   99.4036                 NaN  0.269162E-002  0.593665                 NaN            NaN            NaN            NaN            NaN            NaN
  1523.10        2500.00                 NaN   99.4067                 NaN  0.106377       0.486887                 NaN            NaN            NaN            NaN            NaN            NaN
  1521.69        2500.00                 NaN   99.4016                 NaN            NaN  0.598397                 NaN            NaN            NaN            NaN            NaN            NaN
  1520.27        2500.00                 NaN   99.4019                 NaN            NaN  0.598098                 NaN            NaN            NaN            NaN            NaN            NaN
  1518.86        2500.00                 NaN   99.2985       0.139827E-001            NaN  0.687549                 NaN            NaN            NaN            NaN            NaN            NaN
  1517.45        2500.00                 NaN   99.5167                 NaN            NaN  0.483339                 NaN            NaN            NaN            NaN            NaN            NaN
  1516.03        2500.00                 NaN   99.4844       0.797675E-004            NaN  0.515554                 NaN            NaN            NaN            NaN            NaN            NaN
  1514.62        2500.00                 NaN   99.3157                 NaN            NaN  0.684270                 NaN            NaN            NaN            NaN            NaN            NaN
  1513.20        2500.00                 NaN   99.3441                 NaN            NaN  0.655909                 NaN            NaN            NaN            NaN            NaN            NaN
  1511.79        2500.00       0.934234E-003   99.5419       0.812134E-004            NaN  0.457108                 NaN            NaN            NaN            NaN            NaN            NaN
  1510.38        2500.00       0.244810E-002   99.3037                 NaN            NaN  0.693844                 NaN            NaN            NaN            NaN            NaN            NaN
  1508.96        2500.00       0.443217E-002   99.3859                 NaN            NaN  0.609645                 NaN            NaN            NaN            NaN            NaN            NaN
  1507.55        2500.00       0.471085E-002   99.3388                 NaN            NaN  0.656456                 NaN            NaN            NaN            NaN            NaN            NaN
  1506.13        2500.00       0.148534E-002   99.7972                 NaN            NaN  0.201316                 NaN            NaN            NaN            NaN            NaN            NaN
  1504.72        2500.00       0.682782E-002   99.0011                 NaN            NaN  0.992045                 NaN            NaN            NaN            NaN            NaN            NaN
  1503.31        2500.00       0.425158E-002   99.3721                 NaN            NaN  0.623671                 NaN            NaN            NaN            NaN            NaN            NaN
  1501.89        2500.00       0.421219E-002   99.3672                 NaN            NaN  0.628611                 NaN            NaN            NaN            NaN            NaN            NaN
  1500.48        2500.00       0.300792E-002   99.5350                 NaN            NaN  0.462011                 NaN            NaN            NaN            NaN            NaN            NaN
  1499.07        2500.00       0.523804E-002   99.1747                 NaN            NaN  0.820100                 NaN            NaN            NaN            NaN            NaN            NaN
  1497.65        2500.00       0.366457E-002   99.2703                 NaN            NaN  0.146216       0.579841                 NaN            NaN            NaN            NaN            NaN
  1496.24        2500.00       0.231535E-002   99.0542                 NaN            NaN  0.613706       0.329816                 NaN            NaN            NaN            NaN            NaN
  1494.82        2500.00       0.225523E-002   99.0590                 NaN            NaN  0.328004       0.610700                 NaN            NaN            NaN            NaN            NaN
  1493.41        2500.00       0.218910E-002   99.0678                 NaN            NaN  0.605312       0.324727                 NaN            NaN            NaN            NaN            NaN
  1492.00        2500.00       0.211310E-002   99.0761                 NaN            NaN  0.323063       0.598748                 NaN            NaN            NaN            NaN            NaN
  1490.58        2500.00       0.205852E-002   99.0844                 NaN            NaN  0.320836       0.592721                 NaN            NaN            NaN            NaN            NaN
  1489.17        2500.00       0.199162E-002   99.0925                 NaN            NaN  0.317716       0.587824                 NaN            NaN            NaN            NaN            NaN
  1487.76        2500.00       0.193257E-002   99.1004                 NaN            NaN  0.315710       0.581923                 NaN            NaN            NaN            NaN            NaN
  1486.34        2500.00       0.187066E-002   99.1084                 NaN            NaN  0.312882       0.576855                 NaN            NaN            NaN            NaN            NaN
  1484.93        2500.00       0.181669E-002   99.1151                 NaN            NaN  0.311526       0.571547                 NaN            NaN            NaN            NaN            NaN
  1483.51        2500.00       0.115474E-002   99.4137                 NaN            NaN  0.205559       0.379552                 NaN            NaN            NaN            NaN            NaN
  1482.10        2500.00       0.228300E-002   98.8392                 NaN            NaN  0.409881       0.748683                 NaN            NaN            NaN            NaN            NaN
  1480.69        2500.00       0.162951E-002   99.1387                 NaN            NaN  0.304331       0.555381                 NaN            NaN            NaN            NaN            NaN
  1479.27        2500.00       0.158326E-002   99.1454                 NaN            NaN  0.302001       0.551060                 NaN            NaN            NaN            NaN            NaN
  1477.86        2500.00       0.152929E-002   99.1518                 NaN            NaN  0.300563       0.546096                 NaN            NaN            NaN            NaN            NaN
  1476.45        2500.00                 NaN   100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1475.03        2500.00       0.292849E-002   98.3255                 NaN            NaN  0.593878        1.07771                 NaN            NaN            NaN            NaN            NaN
  1473.62        2500.00       0.137658E-002   99.1719                 NaN            NaN  0.293719       0.532981                 NaN            NaN            NaN            NaN            NaN
  1472.20        2500.00       0.133616E-002   99.1783                 NaN            NaN  0.528751       0.291649                 NaN            NaN            NaN            NaN            NaN
  1470.79        2500.00       0.128142E-002   99.1848                 NaN            NaN  0.289260       0.524651                 NaN            NaN            NaN            NaN            NaN
  1469.38        2500.00       0.124056E-002   99.1903                 NaN            NaN  0.287482       0.521009                 NaN            NaN            NaN            NaN            NaN
  1467.96        2500.00       0.119083E-002   99.1974                 NaN            NaN  0.515840       0.285536                 NaN            NaN            NaN            NaN            NaN
  1466.55        2500.00       0.114509E-002   99.2026                 NaN            NaN  0.512145       0.284066                 NaN            NaN            NaN            NaN            NaN
  1465.14        2500.00       0.113162E-002   99.2076                 NaN            NaN  0.281799       0.509497                 NaN            NaN            NaN            NaN            NaN
  1463.72        2500.00       0.105961E-002   99.2151                 NaN            NaN  0.504415       0.279406                 NaN            NaN            NaN            NaN            NaN
  1462.31        2500.00       0.101293E-002   99.2205                 NaN            NaN  0.500529       0.277939                 NaN            NaN            NaN            NaN            NaN
  1460.89        2500.00       0.973898E-003   99.2257                 NaN            NaN  0.275681       0.497677                 NaN            NaN            NaN            NaN            NaN
  1459.48        2500.00       0.942129E-003   99.2302                 NaN            NaN  0.274367       0.494473                 NaN            NaN            NaN            NaN            NaN
  1458.07        2500.00       0.864812E-003   99.2361                 NaN            NaN  0.271917       0.491071                 NaN            NaN            NaN            NaN            NaN
  1456.65        2500.00       0.859829E-003   99.2422                 NaN            NaN  0.486708       0.270230                 NaN            NaN            NaN            NaN            NaN
  1455.24        2500.00       0.588507E-003   99.4549                 NaN            NaN  0.194285       0.350272                 NaN            NaN            NaN            NaN            NaN
  1453.82        2500.00       0.994040E-003   99.0421                 NaN            NaN  0.615507       0.341439                 NaN            NaN            NaN            NaN            NaN
  1452.41        2500.00       0.744740E-003   99.2564                 NaN            NaN  0.265140       0.477763                 NaN            NaN            NaN            NaN            NaN
  1451.00        2500.00       0.702642E-003   99.2614                 NaN            NaN  0.474704       0.263186                 NaN            NaN            NaN            NaN            NaN
  1449.58        2500.00       0.681477E-003   99.2656                 NaN            NaN  0.261632       0.472037                 NaN            NaN            NaN            NaN            NaN
  1448.17        2500.00       0.643543E-003   99.2707                 NaN            NaN  0.259901       0.468784                 NaN            NaN            NaN            NaN            NaN
  1446.76        2500.00       0.617105E-003   99.2750                 NaN            NaN  0.466009       0.258369                 NaN            NaN            NaN            NaN            NaN
  1445.34        2500.00       0.575131E-003   99.2792                 NaN            NaN  0.463535       0.256724                 NaN            NaN            NaN            NaN            NaN
  1443.93        2500.00       0.546732E-003   99.2835                 NaN            NaN  0.255309       0.460633                 NaN            NaN            NaN            NaN            NaN
  1442.51        2500.00       0.506951E-003   99.2873                 NaN            NaN  0.253548       0.458636                 NaN            NaN            NaN            NaN            NaN
  1441.10        2500.00       0.485964E-003   99.2928                 NaN            NaN  0.251616       0.455095                 NaN            NaN            NaN            NaN            NaN
  1439.69        2500.00       0.454481E-003   99.2960                 NaN            NaN  0.453336       0.250208                 NaN            NaN            NaN            NaN            NaN
  1438.27        2500.00       0.447453E-003   99.2995                 NaN            NaN  0.248880       0.451212                 NaN            NaN            NaN            NaN            NaN
  1436.86        2500.00       0.403000E-003   99.3042                 NaN            NaN  0.247015       0.448353                 NaN            NaN            NaN            NaN            NaN
  1435.45        2500.00       0.386189E-003   99.3077                 NaN            NaN  0.245458       0.446464                 NaN            NaN            NaN            NaN            NaN
  1434.03        2500.00       0.352330E-003   99.3112                 NaN            NaN  0.244005       0.444453                 NaN            NaN            NaN            NaN            NaN
  1432.62        2500.00       0.341414E-003   99.3151                 NaN            NaN  0.442258       0.242329                 NaN            NaN            NaN            NaN            NaN
  1431.20        2500.00       0.318092E-003   99.3182                 NaN            NaN  0.240905       0.440578                 NaN            NaN            NaN            NaN            NaN
