|6.6.6
Archiving\03_Data\eqfrac/QFM_m4.25/WD94/WD94_1.tab                        
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          16
T(K)           P(bar)         Sp(TH)         Sp(TH)         melt(TH)       melt(TH)       Opx(TH)        O(HP)          Cpx(TH)        Cpx(TH)        an             San(TH)        ilm            ne             lc             hed           
  1605.77        2500.00       0.256988E-001            NaN   99.5124                 NaN  0.266504       0.195444                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1604.25        2500.00                 NaN            NaN   99.1932                 NaN  0.708808       0.980246E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1602.73        2500.00                 NaN            NaN   99.2019                 NaN  0.700932       0.971650E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1601.22        2500.00       0.895138E-004            NaN   99.1951                 NaN  0.710798       0.940130E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1599.70        2500.00                 NaN            NaN   99.2329                 NaN  0.668582       0.984973E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1598.18        2500.00                 NaN            NaN   99.2208                 NaN  0.684021       0.951510E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1596.66        2500.00                 NaN            NaN   99.2369                 NaN  0.671247       0.918513E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1595.14        2500.00                 NaN            NaN   99.2384                 NaN  0.670973       0.906267E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1593.62        2500.00                 NaN            NaN   99.2409                 NaN  0.668520       0.905648E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1592.11        2500.00                 NaN            NaN   99.2580                 NaN  0.652862       0.890925E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1590.59        2500.00                 NaN            NaN   99.2629                 NaN  0.649261       0.878072E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1589.07        2500.00                 NaN            NaN   99.2655                 NaN  0.647400       0.870623E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1587.55        2500.00                 NaN            NaN   99.2765                 NaN  0.638202       0.853313E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1586.03        2500.00                 NaN            NaN   99.2792                 NaN  0.636186       0.846236E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1584.51        2500.00                 NaN            NaN   99.2882                 NaN  0.628275       0.835075E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1583.00        2500.00                 NaN            NaN   99.2934                 NaN  0.625690       0.808719E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1581.48        2500.00                 NaN            NaN   99.2939                 NaN  0.627764       0.783709E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1579.96        2500.00                 NaN            NaN   99.3098                 NaN  0.610226       0.799376E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1578.44        2500.00                 NaN            NaN   99.3087                 NaN  0.610370       0.809079E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1576.92        2500.00                 NaN            NaN   99.3209                 NaN  0.601740       0.773598E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1575.41        2500.00                 NaN            NaN   99.2249                 NaN  0.696247       0.788086E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1573.89        2500.00                 NaN            NaN   99.8837                 NaN  0.102914       0.133886E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1572.37        2500.00                 NaN            NaN   98.8779                 NaN  0.995635       0.126486                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1570.85        2500.00                 NaN            NaN   99.3410                 NaN  0.584828       0.741656E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1569.33        2500.00                 NaN            NaN   99.3382                 NaN  0.587780       0.740617E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1567.81        2500.00                 NaN            NaN   99.3620                 NaN  0.566983       0.709912E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1566.30        2500.00                 NaN            NaN   99.3572                 NaN  0.572095       0.706984E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1564.78        2500.00                 NaN            NaN   99.3637                 NaN  0.565578       0.707653E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1563.26        2500.00                 NaN            NaN   99.3680                 NaN  0.563143       0.689001E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1561.74        2500.00                 NaN            NaN   99.3742                 NaN  0.558261       0.675335E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1560.22        2500.00                 NaN            NaN   99.3779                 NaN  0.555636       0.664430E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1558.71        2500.00                 NaN            NaN   99.3831                 NaN  0.551299       0.655618E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1557.19        2500.00                 NaN            NaN   99.3880                 NaN  0.546966       0.650274E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1555.67        2500.00                 NaN            NaN   99.3929                 NaN  0.540250       0.668885E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1554.15        2500.00                 NaN            NaN   99.3992                 NaN  0.537523       0.633147E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1552.63        2500.00                 NaN            NaN   99.1849                 NaN  0.734511       0.805412E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1551.11        2500.00                 NaN            NaN   99.6231                 NaN  0.337557       0.393752E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1549.60        2500.00                 NaN            NaN   99.4115                 NaN  0.528169       0.603035E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
