|6.6.6
Archiving\03_Data\eqfrac/QFM_m4.25/WD94/WD94_3.tab                        
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          16
T(K)           P(bar)         Sp(TH)         Sp(TH)         melt(TH)       melt(TH)       Opx(TH)        O(HP)          Cpx(TH)        Cpx(TH)        an             San(TH)        ilm            ne             lc             hed           
  1605.77        2500.00       0.165315E-001            NaN   99.5832                 NaN  0.233926       0.166388                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1604.25        2500.00                 NaN            NaN   99.2945                 NaN  0.622076       0.834302E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1602.73        2500.00                 NaN            NaN   99.3025                 NaN  0.614894       0.826526E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1601.22        2500.00       0.575061E-004            NaN   99.2970                 NaN  0.622996       0.799146E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1599.70        2500.00                 NaN            NaN   99.3302                 NaN  0.586102       0.837058E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1598.18        2500.00                 NaN            NaN   99.3199                 NaN  0.599300       0.808245E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1596.66        2500.00                 NaN            NaN   99.3340                 NaN  0.588030       0.779819E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1595.14        2500.00                 NaN            NaN   99.3355                 NaN  0.587554       0.768970E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1593.62        2500.00                 NaN            NaN   99.3380                 NaN  0.585201       0.768244E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1592.11        2500.00                 NaN            NaN   99.3531                 NaN  0.571320       0.755323E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1590.59        2500.00                 NaN            NaN   99.3577                 NaN  0.567936       0.743952E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1589.07        2500.00                 NaN            NaN   99.3602                 NaN  0.566124       0.737035E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1587.55        2500.00                 NaN            NaN   99.3699                 NaN  0.557893       0.722282E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1586.03        2500.00                 NaN            NaN   99.3725                 NaN  0.555938       0.715857E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1584.51        2500.00                 NaN            NaN   99.3805                 NaN  0.548876       0.706126E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1583.00        2500.00                 NaN            NaN   99.3853                 NaN  0.546375       0.683408E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1581.48        2500.00                 NaN            NaN   99.3858                 NaN  0.548028       0.661975E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1579.96        2500.00                 NaN            NaN   99.4000                 NaN  0.532474       0.674890E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1578.44        2500.00                 NaN            NaN   99.3994                 NaN  0.532297       0.682556E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1576.92        2500.00                 NaN            NaN   99.4100                 NaN  0.524717       0.652487E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1575.41        2500.00                 NaN            NaN   99.3264                 NaN  0.607101       0.664954E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1573.89        2500.00                 NaN            NaN   99.8991                 NaN  0.896734E-001  0.112744E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1572.37        2500.00                 NaN            NaN   99.0258                 NaN  0.867684       0.106545                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1570.85        2500.00                 NaN            NaN   99.4283                 NaN  0.509277       0.624215E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1569.33        2500.00                 NaN            NaN   99.4261                 NaN  0.511635       0.622958E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1567.81        2500.00                 NaN            NaN   99.4470                 NaN  0.493310       0.596805E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1566.30        2500.00                 NaN            NaN   99.4430                 NaN  0.497634       0.594064E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1564.78        2500.00                 NaN            NaN   99.4488                 NaN  0.491757       0.594377E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1563.26        2500.00                 NaN            NaN   99.4526                 NaN  0.489574       0.578430E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1561.74        2500.00                 NaN            NaN   99.4583                 NaN  0.485065       0.566623E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1560.22        2500.00                 NaN            NaN   99.4616                 NaN  0.482636       0.557178E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1558.71        2500.00                 NaN            NaN   99.4664                 NaN  0.478696       0.549485E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1557.19        2500.00                 NaN            NaN   99.4708                 NaN  0.474759       0.544735E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1555.67        2500.00                 NaN            NaN   99.4753                 NaN  0.468649       0.560066E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1554.15        2500.00                 NaN            NaN   99.4808                 NaN  0.466209       0.529810E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1552.63        2500.00                 NaN            NaN   99.2955                 NaN  0.637095       0.673627E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1551.11        2500.00                 NaN            NaN   99.6746                 NaN  0.292486       0.329028E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1549.60        2500.00                 NaN            NaN   99.4920                 NaN  0.457633       0.503774E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1548.08        2500.00                 NaN            NaN   99.4958                 NaN  0.454647       0.495286E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1546.56        2500.00                 NaN            NaN   99.5003                 NaN  0.449620       0.501071E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1545.04        2500.00                 NaN            NaN   99.5049                 NaN  0.446578       0.484926E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1543.52        2500.00                 NaN            NaN   99.5081                 NaN  0.444208       0.477016E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1542.00        2500.00                 NaN            NaN   99.5105                 NaN  0.443732       0.457834E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1540.49        2500.00                 NaN            NaN   99.5153                 NaN  0.439274       0.453866E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1538.97        2500.00                 NaN            NaN   99.5044                 NaN  0.448763       0.468320E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1537.45        2500.00                 NaN            NaN   99.6424                 NaN  0.322083       0.354778E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1535.93        2500.00                 NaN            NaN   99.4222                 NaN  0.524827       0.529794E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
