|6.6.6
Archiving\03_Data\eqfracLP/QFM_m0.25/EETA/EETA_3.tab                      
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          12
T(K)           P(bar)         melt(TH)       Cpx(TH)        Cpx(TH)        Sp(TH)         Sp(TH)         an             O(HP)          San(TH)        ilm            q             
  1419.87        500.000        99.9869       0.474533E-002  0.831860E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1418.82        500.000        99.5114       0.361993       0.126584                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1417.77        500.000        99.4499       0.325755       0.224343                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1416.71        500.000        99.0994       0.532745       0.367904                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1415.66        500.000        99.7975       0.113809       0.860613E-001  0.261705E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1414.61        500.000        99.4730       0.214589       0.312425                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1413.56        500.000        99.4631       0.317834       0.219064                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1412.50        500.000        99.4642       0.317330       0.218462                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1411.45        500.000        99.4641       0.317501       0.218388                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1410.40        500.000        99.4721       0.214624       0.313298                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1409.35        500.000        99.4732       0.214490       0.312338                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1408.29        500.000        98.9813       0.606255       0.412454                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1407.24        500.000        99.9599       0.232609E-001  0.168696E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1406.19        500.000        99.8442       0.631698E-001  0.926351E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1405.14        500.000        99.1373       0.511458       0.351197                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1404.09        500.000        99.4848       0.209475       0.305676                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1403.03        500.000        99.4869       0.209001       0.303798       0.294650E-003            NaN            NaN            NaN            NaN            NaN            NaN
  1401.98        500.000        99.4913       0.301882       0.206813                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1400.93        500.000        99.4930       0.206126       0.300916                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1399.88        500.000        99.4957       0.204986       0.299348                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1398.82        500.000        99.4385       0.332817       0.228445       0.231682E-003            NaN            NaN            NaN            NaN            NaN            NaN
  1397.77        500.000        99.2647       0.297674       0.283286                 NaN            NaN  0.154318                 NaN            NaN            NaN            NaN
  1396.72        500.000        98.8455       0.343443       0.466739       0.737588E-004            NaN  0.344227                 NaN            NaN            NaN            NaN
  1395.67        500.000        98.8580       0.339699       0.461994                 NaN            NaN  0.340342                 NaN            NaN            NaN            NaN
  1394.61        500.000        98.8738       0.455762       0.334581       0.236912E-003            NaN  0.335651                 NaN            NaN            NaN            NaN
  1393.56        500.000        98.8818       0.452170       0.332992                 NaN            NaN  0.333044                 NaN            NaN            NaN            NaN
  1392.51        500.000        98.9000       0.325389       0.446329       0.924517E-003            NaN  0.327350                 NaN            NaN            NaN            NaN
  1391.46        500.000        98.9090       0.324921       0.441372                 NaN            NaN  0.324720                 NaN            NaN            NaN            NaN
  1390.41        500.000        98.9201       0.321641       0.436947                 NaN            NaN  0.321327                 NaN            NaN            NaN            NaN
  1389.35        500.000        98.9303       0.433106       0.318350                 NaN            NaN  0.318263                 NaN            NaN            NaN            NaN
  1388.30        500.000        98.9429       0.427801       0.314864                 NaN            NaN  0.314457                 NaN            NaN            NaN            NaN
  1387.25        500.000        98.9554       0.423083       0.311120                 NaN            NaN  0.310426                 NaN            NaN            NaN            NaN
  1386.20        500.000        98.9646       0.419628       0.308329                 NaN            NaN  0.307400                 NaN            NaN            NaN            NaN
  1385.14        500.000        98.9756       0.300985       0.417758       0.187807E-002            NaN  0.303799                 NaN            NaN            NaN            NaN
  1384.09        500.000        98.9883       0.301474       0.410109                 NaN            NaN  0.300106                 NaN            NaN            NaN            NaN
  1383.04        500.000        98.9952       0.299359       0.407501                 NaN            NaN  0.297974                 NaN            NaN            NaN            NaN
  1381.99        500.000        99.0051       0.298663       0.388736                 NaN            NaN  0.297094       0.103975E-001            NaN            NaN            NaN
  1380.93        500.000        99.0148       0.306389       0.314838                 NaN            NaN  0.304749       0.591754E-001            NaN            NaN            NaN
  1379.88        500.000        99.0248       0.315015       0.236280                 NaN            NaN  0.312920       0.110967                 NaN            NaN            NaN
  1378.83        500.000        99.0339       0.312570       0.231269                 NaN            NaN  0.310534       0.111720                 NaN            NaN            NaN
  1377.78        500.000        99.0457       0.309199       0.226352                 NaN            NaN  0.306939       0.111777                 NaN            NaN            NaN
  1376.73        500.000        99.0542       0.307488       0.221872                 NaN            NaN  0.304100       0.112355                 NaN            NaN            NaN
  1375.67        500.000        99.0623       0.305610       0.216923                 NaN            NaN  0.302060       0.113086                 NaN            NaN            NaN
  1374.62        500.000        99.0734       0.212051       0.302331                 NaN            NaN  0.298586       0.113638                 NaN            NaN            NaN
  1373.57        500.000        98.9648       0.338268       0.234108                 NaN            NaN  0.334625       0.128235                 NaN            NaN            NaN
  1372.52        500.000        99.2099       0.258908       0.175886                 NaN            NaN  0.255030       0.100247                 NaN            NaN            NaN
  1371.46        500.000        99.0987       0.295566       0.198989                 NaN            NaN  0.291336       0.115403                 NaN            NaN            NaN
  1370.41        500.000        99.1081       0.194998       0.293164                 NaN            NaN  0.288283       0.115452                 NaN            NaN            NaN
  1369.36        500.000        98.8561       0.247311       0.376310                 NaN            NaN  0.369889       0.150343                 NaN            NaN            NaN
  1368.31        500.000        99.3839       0.130488       0.204013                 NaN            NaN  0.199221       0.823543E-001            NaN            NaN            NaN
  1367.25        500.000        99.1326       0.286783       0.182461                 NaN            NaN  0.281082       0.117093                 NaN            NaN            NaN
  1366.20        500.000        99.1400       0.285258       0.178113                 NaN            NaN  0.278873       0.117762                 NaN            NaN            NaN
  1365.15        500.000        99.1492       0.174551       0.282442                 NaN            NaN  0.276053       0.117758                 NaN            NaN            NaN
  1364.10        500.000        99.1568       0.280727       0.169203                 NaN            NaN  0.274183       0.119053                 NaN            NaN            NaN
  1363.05        500.000        99.1647       0.167340       0.278397                 NaN            NaN  0.271347       0.118258                 NaN            NaN            NaN
  1361.99        500.000        99.1718       0.162875       0.276706                 NaN            NaN  0.269366       0.119212                 NaN            NaN            NaN
  1360.94        500.000        99.1788       0.275053       0.158975                 NaN            NaN  0.267345       0.119813                 NaN            NaN            NaN
  1359.89        500.000        99.1863       0.273002       0.155942                 NaN            NaN  0.264908       0.119877                 NaN            NaN            NaN
  1358.84        500.000        99.1930       0.152316       0.271328                 NaN            NaN  0.263018       0.120368                 NaN            NaN            NaN
  1357.78        500.000        99.2013       0.268965       0.148299                 NaN            NaN  0.260559       0.120884                 NaN            NaN            NaN
  1356.73        500.000        99.2069       0.267883       0.145043                 NaN            NaN  0.258828       0.121298                 NaN            NaN            NaN
  1355.68        500.000        99.2158       0.265164       0.142077                 NaN            NaN  0.255939       0.121043                 NaN            NaN            NaN
  1354.63        500.000        99.2160       0.139322       0.265573                 NaN            NaN  0.256324       0.122732                 NaN            NaN            NaN
  1353.57        500.000        99.2326       0.260191       0.135034                 NaN            NaN  0.250929       0.121198                 NaN            NaN            NaN
  1352.52        500.000        99.2354       0.260294       0.132154                 NaN            NaN  0.250037       0.122132                 NaN            NaN            NaN
  1351.47        500.000        99.3426       0.111704       0.223627                 NaN            NaN  0.215506       0.106583                 NaN            NaN            NaN
  1350.42        500.000        99.1461       0.291896       0.143902                 NaN            NaN  0.279336       0.138736                 NaN            NaN            NaN
  1349.37        500.000        99.2534       0.255815       0.122878                 NaN            NaN  0.244689       0.123255                 NaN            NaN            NaN
  1348.31        500.000        99.2605       0.253599       0.120614                 NaN            NaN  0.242345       0.122918                 NaN            NaN            NaN
  1347.26        500.000        99.2662       0.117371       0.252244                 NaN            NaN  0.240716       0.123485                 NaN            NaN            NaN
  1346.21        500.000        99.2728       0.250567       0.114445                 NaN            NaN  0.238641       0.123531                 NaN            NaN            NaN
  1345.16        500.000        99.2745       0.112240       0.249940                 NaN            NaN  0.238649       0.124673                 NaN            NaN            NaN
  1344.10        500.000        99.2872       0.247145       0.109229                 NaN            NaN  0.233672       0.122780                 NaN            NaN            NaN
  1343.05        500.000        99.2902       0.246034       0.106522                 NaN            NaN  0.233214       0.123983                 NaN            NaN            NaN
  1342.00        500.000        99.2956       0.104158       0.244749                 NaN            NaN  0.231529       0.124007                 NaN            NaN            NaN
  1340.95        500.000        99.3012       0.101788       0.243233                 NaN            NaN  0.229785       0.124015                 NaN            NaN            NaN
  1339.89        500.000        99.3028       0.997635E-001  0.243226                 NaN            NaN  0.229334       0.124921                 NaN            NaN            NaN
  1338.84        500.000        99.3151       0.239446       0.974013E-001            NaN            NaN  0.225027       0.122992                 NaN            NaN            NaN
  1337.79        500.000        99.3177       0.946840E-001  0.239000                 NaN            NaN  0.224522       0.124087                 NaN            NaN            NaN
  1336.74        500.000        99.3228       0.237571       0.927687E-001            NaN            NaN  0.222877       0.123999                 NaN            NaN            NaN
  1335.69        500.000        99.3285       0.236139       0.901107E-001            NaN            NaN  0.221147       0.124095                 NaN            NaN            NaN
  1334.63        500.000        99.3336       0.234716       0.881937E-001            NaN            NaN  0.219481       0.124025                 NaN            NaN            NaN
  1333.58        500.000        99.3388       0.233452       0.863201E-001            NaN            NaN  0.217734       0.123705                 NaN            NaN            NaN
  1332.53        500.000        99.3417       0.232949       0.835110E-001            NaN            NaN  0.217186       0.124632                 NaN            NaN            NaN
  1331.48        500.000        99.3504       0.830672E-001  0.230104                 NaN            NaN  0.213744       0.122691                 NaN            NaN            NaN
  1330.42        500.000        99.3531       0.229405       0.810519E-001            NaN            NaN  0.213157       0.123323                 NaN            NaN            NaN
  1329.37        500.000        99.3446       0.227804       0.947845E-001  0.892794E-002            NaN  0.213648       0.110223                 NaN            NaN            NaN
