|6.6.6
Archiving\03_Data\eqfracLP/QFM_m0.25/Y98/Y98_3.tab                        
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          13
T(K)           P(bar)         melt(TH)       Cpx(TH)        Cpx(TH)        Opx(TH)        O(HP)          an             Sp(TH)         Sp(TH)         San(TH)        ilm            q             
  1451.92        500.000        99.8921       0.103582                 NaN  0.428481E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1450.79        500.000        99.3378       0.497501                 NaN  0.164665       0.211296E-005            NaN            NaN            NaN            NaN            NaN            NaN
  1449.65        500.000        99.3135       0.480584                 NaN  0.205919                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1448.52        500.000        99.3174       0.478981                 NaN  0.203631                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1447.39        500.000        99.3086       0.486094                 NaN  0.205304                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1446.26        500.000        99.3394       0.465915                 NaN  0.194712                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1445.12        500.000        99.2447       0.278915       0.447939       0.284147E-001  0.146193E-005            NaN            NaN            NaN            NaN            NaN            NaN
  1443.99        500.000        99.2466       0.309506       0.443911                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1442.86        500.000        99.2168       0.321328       0.461877                 NaN  0.286382E-005            NaN            NaN            NaN            NaN            NaN            NaN
  1441.73        500.000        99.2898       0.291563       0.418649                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1440.59        500.000        99.2591       0.303651       0.437242                 NaN  0.883855E-006            NaN            NaN            NaN            NaN            NaN            NaN
  1439.46        500.000        99.2646       0.300990       0.434409                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1438.33        500.000        99.2695       0.299146       0.431316                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1437.20        500.000        99.2732       0.297873       0.428974                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1436.06        500.000        99.2777       0.427162       0.295107                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1434.93        500.000        99.2828       0.292834       0.424412                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1433.80        500.000        99.2172       0.318660       0.464120                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1432.67        500.000        99.9201       0.474144E-001  0.324519E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1431.53        500.000        98.7345       0.516188       0.749309                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1430.40        500.000        99.2996       0.285401       0.414958                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1429.27        500.000        99.3027       0.283509       0.413775                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1428.13        500.000        99.3062       0.411726       0.282118                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1427.00        500.000        99.3115       0.279640       0.408906                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1425.87        500.000        99.3149       0.406871       0.278200                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1424.74        500.000        99.3187       0.276221       0.405052                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1423.60        500.000        99.3211       0.274924       0.403928                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1422.47        500.000        99.3247       0.273222       0.402099                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1421.34        500.000        99.0745       0.372031       0.430151                 NaN            NaN  0.123272                 NaN            NaN            NaN            NaN            NaN
  1420.21        500.000        98.2637       0.692277       0.528005                 NaN            NaN  0.515980                 NaN            NaN            NaN            NaN            NaN
  1419.07        500.000        98.2875       0.682817       0.520829                 NaN            NaN  0.508861                 NaN            NaN            NaN            NaN            NaN
  1417.94        500.000        98.3108       0.514384       0.672856                 NaN  0.579370E-005  0.501990                 NaN            NaN            NaN            NaN            NaN
  1416.81        500.000        98.3377       0.506734       0.662103                 NaN            NaN  0.493471                 NaN            NaN            NaN            NaN            NaN
  1415.68        500.000        98.3599       0.500484       0.652837                 NaN            NaN  0.486767                 NaN            NaN            NaN            NaN            NaN
  1414.54        500.000        98.3837       0.643036       0.493997                 NaN            NaN  0.479290                 NaN            NaN            NaN            NaN            NaN
  1413.41        500.000        98.4056       0.487567       0.634126                 NaN            NaN  0.472715                 NaN            NaN            NaN            NaN            NaN
  1412.28        500.000        98.4285       0.480979       0.624755                 NaN            NaN  0.465741                 NaN            NaN            NaN            NaN            NaN
  1411.15        500.000        98.4492       0.475305       0.616258                 NaN            NaN  0.459256                 NaN            NaN            NaN            NaN            NaN
  1410.01        500.000        99.2161       0.311811       0.239930                 NaN            NaN  0.232128                 NaN            NaN            NaN            NaN            NaN
  1408.88        500.000        97.6982       0.654812       0.733745                 NaN  0.188540       0.724744                 NaN            NaN            NaN            NaN            NaN
  1407.75        500.000        98.5405       0.448031       0.580475                 NaN  0.238057E-005  0.430998                 NaN            NaN            NaN            NaN            NaN
  1406.61        500.000        98.5255       0.466063       0.476190                 NaN  0.787128E-001  0.453549                 NaN            NaN            NaN            NaN            NaN
  1405.48        500.000        98.5392       0.470225       0.406870                 NaN  0.124012       0.459644                 NaN            NaN            NaN            NaN            NaN
  1404.35        500.000        98.5624       0.463598       0.397595                 NaN  0.124030       0.452371                 NaN            NaN            NaN            NaN            NaN
  1403.22        500.000        98.5796       0.458926       0.388513                 NaN  0.125410       0.447538                 NaN            NaN            NaN            NaN            NaN
  1402.08        500.000        98.5969       0.379892       0.454223                 NaN  0.126346       0.442678                 NaN            NaN            NaN            NaN            NaN
  1400.95        500.000        98.6152       0.371250       0.448956                 NaN  0.127290       0.437314                 NaN            NaN            NaN            NaN            NaN
  1399.82        500.000        98.6317       0.445096       0.362348                 NaN  0.128425       0.432393                 NaN            NaN            NaN            NaN            NaN
  1398.69        500.000        98.6482       0.354397       0.440617                 NaN  0.129187       0.427642                 NaN            NaN            NaN            NaN            NaN
  1397.55        500.000        98.6642       0.346233       0.436236                 NaN  0.130344       0.423011                 NaN            NaN            NaN            NaN            NaN
  1396.42        500.000        98.6766       0.338061       0.433210                 NaN  0.132385       0.419710                 NaN            NaN            NaN            NaN            NaN
  1395.29        500.000        98.6958       0.427733       0.330517                 NaN  0.132054       0.413913                 NaN            NaN            NaN            NaN            NaN
  1394.16        500.000        98.7156       0.422160       0.322491                 NaN  0.132147       0.407621                 NaN            NaN            NaN            NaN            NaN
  1393.02        500.000        98.7227       0.421305       0.314927                 NaN  0.134811       0.406241                 NaN            NaN            NaN            NaN            NaN
  1391.89        500.000        98.7442       0.307051       0.414761                 NaN  0.134530       0.399506                 NaN            NaN            NaN            NaN            NaN
  1390.76        500.000        98.7541       0.299956       0.412650                 NaN  0.136550       0.396775                 NaN            NaN            NaN            NaN            NaN
  1389.63        500.000        98.7696       0.292472       0.408289                 NaN  0.137101       0.392513                 NaN            NaN            NaN            NaN            NaN
  1388.49        500.000        98.7854       0.403959       0.285764                 NaN  0.137424       0.387500                 NaN            NaN            NaN            NaN            NaN
  1387.36        500.000        98.7966       0.278286       0.401432                 NaN  0.139101       0.384581                 NaN            NaN            NaN            NaN            NaN
  1386.23        500.000        98.8091       0.397883       0.271327                 NaN  0.140435       0.381252                 NaN            NaN            NaN            NaN            NaN
  1385.09        500.000        98.8246       0.393863       0.265428                 NaN  0.140099       0.376018                 NaN            NaN            NaN            NaN            NaN
  1383.96        500.000        98.8336       0.391652       0.258140                 NaN  0.142583       0.374073                 NaN            NaN            NaN            NaN            NaN
  1382.83        500.000        98.8505       0.386963       0.252062                 NaN  0.141980       0.368482                 NaN            NaN            NaN            NaN            NaN
  1381.70        500.000        98.8611       0.245330       0.384364                 NaN  0.143483       0.365711                 NaN            NaN            NaN            NaN            NaN
  1380.56        500.000        98.8713       0.381669       0.239155                 NaN  0.144853       0.363001                 NaN            NaN            NaN            NaN            NaN
  1379.43        500.000        98.8858       0.377969       0.232661                 NaN  0.145174       0.358438                 NaN            NaN            NaN            NaN            NaN
  1378.30        500.000        98.8966       0.375188       0.226562                 NaN  0.146295       0.355379                 NaN            NaN            NaN            NaN            NaN
  1377.17        500.000        98.8998       0.222099       0.374767                 NaN  0.148486       0.354866                 NaN            NaN            NaN            NaN            NaN
  1376.03        500.000        98.9242       0.214294       0.367775                 NaN  0.146874       0.346830                 NaN            NaN            NaN            NaN            NaN
  1374.90        500.000        98.9293       0.208961       0.366666                 NaN  0.149177       0.345899                 NaN            NaN            NaN            NaN            NaN
  1373.77        500.000        98.9407       0.203439       0.363729                 NaN  0.149660       0.342423                 NaN            NaN            NaN            NaN            NaN
  1372.64        500.000        98.9511       0.361351       0.197632                 NaN  0.150510       0.339436                 NaN            NaN            NaN            NaN            NaN
