|6.6.6
Archiving\03_Data\eqfracLP/QFM_m0.25/Y98/Y98_1.tab                        
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          13
T(K)           P(bar)         melt(TH)       Cpx(TH)        Cpx(TH)        Opx(TH)        O(HP)          an             Sp(TH)         Sp(TH)         San(TH)        ilm            q             
  1451.92        500.000        99.8772       0.117887                 NaN  0.495075E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1450.79        500.000        99.2440       0.565835                 NaN  0.190138       0.254678E-005            NaN            NaN            NaN            NaN            NaN            NaN
  1449.65        500.000        99.2154       0.546728                 NaN  0.237850                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1448.52        500.000        99.2197       0.545045                 NaN  0.235292                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1447.39        500.000        99.2095       0.553258                 NaN  0.237269                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1446.26        500.000        99.2444       0.530466                 NaN  0.225129                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1445.12        500.000        99.1363       0.320781       0.510086       0.328630E-001  0.176671E-005            NaN            NaN            NaN            NaN            NaN            NaN
  1443.99        500.000        99.1383       0.356070       0.505613                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1442.86        500.000        99.1040       0.369795       0.526184                 NaN  0.346645E-005            NaN            NaN            NaN            NaN            NaN            NaN
  1441.73        500.000        99.1870       0.335776       0.477179                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1440.59        500.000        99.1517       0.349829       0.498476                 NaN  0.107123E-005            NaN            NaN            NaN            NaN            NaN            NaN
  1439.46        500.000        99.1576       0.346922       0.495455                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1438.33        500.000        99.1630       0.344920       0.492075                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1437.20        500.000        99.1668       0.343606       0.489557                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1436.06        500.000        99.1717       0.487687       0.340604                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1434.93        500.000        99.1772       0.338102       0.484693                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1433.80        500.000        99.1018       0.368050       0.530118                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1432.67        500.000        99.9082       0.542300E-001  0.375407E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1431.53        500.000        98.5479       0.596309       0.855804                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1430.40        500.000        99.1953       0.330125       0.474525                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1429.27        500.000        99.1986       0.328087       0.473337                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1428.13        500.000        99.2022       0.471129       0.326637                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
