|6.6.6
Archiving\03_Data\eqfracLP/QFM_m3.75/Y98/Y98_1.tab                        
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          12
T(K)           P(bar)         melt(TH)       Cpx(TH)        Cpx(TH)        Cpx(TH)        Sp(TH)         an             O(HP)          ilm            San(TH)        q             
  1455.13        500.000        99.8588       0.134023E-001  0.127804                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1453.99        500.000        99.1916       0.334022       0.474385                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1452.85        500.000        99.1610       0.529422       0.309594                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1451.71        500.000        99.1682       0.306639       0.525146                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1450.57        500.000        99.1628       0.308866       0.528345                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1449.43        500.000        99.1893       0.298217       0.512489                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1448.29        500.000        99.1849       0.514843       0.300241                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1447.15        500.000        99.1897       0.298046       0.512232                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1446.00        500.000        99.1900       0.511957       0.298030                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1444.86        500.000        99.2070       0.501782       0.291262                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1443.72        500.000        99.2070       0.501619       0.291384                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1442.58        500.000        99.2109       0.499635       0.289514                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1441.44        500.000        99.2172       0.495753       0.287031                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1440.30        500.000        99.2215       0.493197       0.285294                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1439.16        500.000        99.2269       0.489766       0.283344                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1438.02        500.000        99.2314       0.281894       0.486189                 NaN  0.551520E-003            NaN            NaN            NaN            NaN            NaN
  1436.88        500.000        98.6487       0.582013       0.531552                 NaN            NaN  0.237763                 NaN            NaN            NaN            NaN
  1435.74        500.000        97.6491       0.961108       0.741764                 NaN            NaN  0.648043                 NaN            NaN            NaN            NaN
  1434.60        500.000        97.6913       0.729063       0.943270                 NaN            NaN  0.636343                 NaN            NaN            NaN            NaN
  1433.46        500.000        97.7341       0.924943       0.716448                 NaN            NaN  0.624553                 NaN            NaN            NaN            NaN
  1432.32        500.000        97.4648       0.802483        1.03405                 NaN            NaN  0.698690                 NaN            NaN            NaN            NaN
  1431.18        500.000        98.1240       0.594275       0.764985                 NaN            NaN  0.516717                 NaN            NaN            NaN            NaN
  1430.04        500.000        97.8478       0.876669       0.682571                 NaN            NaN  0.592936                 NaN            NaN            NaN            NaN
  1428.89        500.000        97.8858       0.671477       0.860454                 NaN            NaN  0.582285                 NaN            NaN            NaN            NaN
  1427.75        500.000        97.9194       0.846596       0.661070                 NaN            NaN  0.572902                 NaN            NaN            NaN            NaN
  1426.61        500.000        97.9530       0.832159       0.651327                 NaN            NaN  0.563474                 NaN            NaN            NaN            NaN
  1425.47        500.000        97.9860       0.640604       0.818841                 NaN            NaN  0.554566                 NaN            NaN            NaN            NaN
  1424.33        500.000        98.0203       0.804184       0.630975                 NaN            NaN  0.544533                 NaN            NaN            NaN            NaN
  1423.19        500.000        98.0501       0.621992       0.791578                 NaN            NaN  0.536377                 NaN            NaN            NaN            NaN
  1422.05        500.000        98.0794       0.613086       0.779317                 NaN            NaN  0.528178                 NaN            NaN            NaN            NaN
  1420.91        500.000        98.1081       0.767290       0.604368                 NaN            NaN  0.520265                 NaN            NaN            NaN            NaN
  1419.77        500.000        98.1245       0.618250       0.675820                 NaN            NaN  0.524325       0.570708E-001            NaN            NaN            NaN
  1418.63        500.000        98.1770       0.739251       0.583154                 NaN            NaN  0.500558                 NaN            NaN            NaN            NaN
  1417.49        500.000        98.1902       0.583534       0.711890                 NaN            NaN  0.499601       0.147397E-001            NaN            NaN            NaN
  1416.35        500.000        98.2166       0.541794       0.612173                 NaN            NaN  0.508275       0.121126                 NaN            NaN            NaN
  1415.21        500.000        98.2429       0.499824       0.611877                 NaN            NaN  0.504180       0.141202                 NaN            NaN            NaN
  1414.07        500.000        98.2706       0.485624       0.604721                 NaN            NaN  0.496660       0.142394                 NaN            NaN            NaN
  1412.92        500.000        98.2921       0.599487       0.473452                 NaN            NaN  0.490814       0.144105                 NaN            NaN            NaN
  1411.78        500.000        98.3179       0.592269       0.461016                 NaN            NaN  0.483727       0.145122                 NaN            NaN            NaN
  1410.64        500.000        98.3401       0.586864       0.448475                 NaN            NaN  0.477778       0.146799                 NaN            NaN            NaN
  1409.50        500.000        98.3639       0.436984       0.580412                 NaN            NaN  0.471111       0.147560                 NaN            NaN            NaN
  1408.36        500.000        98.3858       0.575095       0.424775                 NaN            NaN  0.465222       0.149084                 NaN            NaN            NaN
  1407.22        500.000        98.4078       0.413883       0.569033                 NaN            NaN  0.459238       0.150073                 NaN            NaN            NaN
  1406.08        500.000        98.4218       0.404516       0.566119                 NaN            NaN  0.455981       0.151564                 NaN            NaN            NaN
  1404.94        500.000        98.4542       0.387912       0.559318                 NaN            NaN  0.445964       0.152632                 NaN            NaN            NaN
  1403.80        500.000        98.4718       0.553561       0.378105                 NaN            NaN  0.441988       0.154585                 NaN            NaN            NaN
  1402.66        500.000        98.4901       0.548883       0.370313                 NaN            NaN  0.436411       0.154309                 NaN            NaN            NaN
  1401.52        500.000        98.5072       0.359421       0.545013                 NaN            NaN  0.431939       0.156466                 NaN            NaN            NaN
  1400.38        500.000        98.5222       0.530494       0.394881                 NaN            NaN  0.423225       0.129191                 NaN            NaN            NaN
  1399.24        500.000        98.5477       0.546601       0.294449                 NaN            NaN  0.424819       0.186389                 NaN            NaN            NaN
  1398.10        500.000        98.5614       0.328458       0.532960                 NaN            NaN  0.417074       0.160135                 NaN            NaN            NaN
  1396.96        500.000        98.5829       0.526776       0.319823                 NaN            NaN  0.410665       0.159836                 NaN            NaN            NaN
  1395.81        500.000        98.5946       0.524917       0.311209                 NaN            NaN  0.407725       0.161521                 NaN            NaN            NaN
