|6.6.6
Archiving\03_Data\eqfracLP/QFM_m3.75/Y98/Y98_3.tab                        
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          12
T(K)           P(bar)         melt(TH)       Cpx(TH)        Cpx(TH)        Cpx(TH)        Sp(TH)         an             O(HP)          ilm            San(TH)        q             
  1455.13        500.000        99.8786       0.116321E-001  0.109754                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1453.99        500.000        99.3010       0.287008       0.411975                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1452.85        500.000        99.2746       0.459594       0.265844                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1451.71        500.000        99.2811       0.263199       0.455707                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1450.57        500.000        99.2766       0.265008       0.458376                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1449.43        500.000        99.3000       0.255672       0.444350                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1448.29        500.000        99.2964       0.446286       0.257322                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1447.15        500.000        99.3009       0.255289       0.443822                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1446.00        500.000        99.3013       0.443473       0.255178                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1444.86        500.000        99.3164       0.434430       0.249219                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1443.72        500.000        99.3167       0.434132       0.249209                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1442.58        500.000        99.3203       0.432247       0.247470                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1441.44        500.000        99.3260       0.428729       0.245234                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1440.30        500.000        99.3300       0.426357       0.243637                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1439.16        500.000        99.3350       0.423208       0.241826                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1438.02        500.000        99.3393       0.240439       0.419914                 NaN  0.359076E-003            NaN            NaN            NaN            NaN            NaN
  1436.88        500.000        98.7954       0.502667       0.453310                 NaN            NaN  0.248575                 NaN            NaN            NaN            NaN
  1435.74        500.000        97.8618       0.819534       0.640707                 NaN            NaN  0.677932                 NaN            NaN            NaN            NaN
  1434.60        500.000        97.9013       0.629372       0.803698                 NaN            NaN  0.665622                 NaN            NaN            NaN            NaN
  1433.46        500.000        97.9411       0.787497       0.618140                 NaN            NaN  0.653215                 NaN            NaN            NaN            NaN
  1432.32        500.000        97.6971       0.692192       0.879873                 NaN            NaN  0.730866                 NaN            NaN            NaN            NaN
  1431.18        500.000        98.2979       0.511948       0.650061                 NaN            NaN  0.540140                 NaN            NaN            NaN            NaN
  1430.04        500.000        98.0477       0.744568       0.587797                 NaN            NaN  0.619914                 NaN            NaN            NaN            NaN
  1428.89        500.000        98.0832       0.577918       0.730208                 NaN            NaN  0.608693                 NaN            NaN            NaN            NaN
  1427.75        500.000        98.1148       0.717859       0.568591                 NaN            NaN  0.598797                 NaN            NaN            NaN            NaN
  1426.61        500.000        98.1463       0.705035       0.559849                 NaN            NaN  0.588854                 NaN            NaN            NaN            NaN
  1425.47        500.000        98.1770       0.550294       0.693213                 NaN            NaN  0.579453                 NaN            NaN            NaN            NaN
  1424.33        500.000        98.2092       0.680227       0.541651                 NaN            NaN  0.568874                 NaN            NaN            NaN            NaN
  1423.19        500.000        98.2371       0.533612       0.669042                 NaN            NaN  0.560258                 NaN            NaN            NaN            NaN
  1422.05        500.000        98.2647       0.525623       0.658127                 NaN            NaN  0.551596                 NaN            NaN            NaN            NaN
  1420.91        500.000        98.2916       0.647413       0.517789                 NaN            NaN  0.543233                 NaN            NaN            NaN            NaN
  1419.77        500.000        98.3086       0.529318       0.569730                 NaN            NaN  0.547350       0.449705E-001            NaN            NaN            NaN
  1418.63        500.000        98.3560       0.622677       0.498907                 NaN            NaN  0.522419                 NaN            NaN            NaN            NaN
  1417.49        500.000        98.3690       0.498907       0.599166                 NaN            NaN  0.521315       0.115776E-001            NaN            NaN            NaN
  1416.35        500.000        98.3964       0.455532       0.522930                 NaN            NaN  0.530205       0.949694E-001            NaN            NaN            NaN
  1415.21        500.000        98.4216       0.419856       0.522262                 NaN            NaN  0.525749       0.110496                 NaN            NaN            NaN
  1414.07        500.000        98.4478       0.407523       0.515752                 NaN            NaN  0.517718       0.111253                 NaN            NaN            NaN
  1412.92        500.000        98.4684       0.510847       0.396913                 NaN            NaN  0.511435       0.112406                 NaN            NaN            NaN
  1411.78        500.000        98.4928       0.504272       0.386117                 NaN            NaN  0.503856       0.112988                 NaN            NaN            NaN
  1410.64        500.000        98.5139       0.499270       0.375234                 NaN            NaN  0.497465       0.114089                 NaN            NaN            NaN
  1409.50        500.000        98.5366       0.365253       0.493334                 NaN            NaN  0.490327       0.114475                 NaN            NaN            NaN
  1408.36        500.000        98.5575       0.488391       0.354695                 NaN            NaN  0.484000       0.115464                 NaN            NaN            NaN
