|6.6.6
Archiving\03_Data\eqfrac/QFM_m0.75/LAR/LAR_3.tab                          
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          12
T(K)           P(bar)         Sp(TH)         Sp(TH)         melt(TH)       Cpx(TH)        Cpx(TH)        O(HP)          an             San(TH)        ilm            q             
  1413.46        2500.00       0.113109E-001            NaN   90.0642        6.51810        2.96582       0.440592                 NaN            NaN            NaN            NaN
  1412.42        2500.00       0.107716E-004            NaN   99.9681       0.209215E-001  0.986999E-002  0.114423E-002            NaN            NaN            NaN            NaN
  1411.39        2500.00       0.277574E-003            NaN   99.1616       0.260994       0.547737       0.294362E-001            NaN            NaN            NaN            NaN
  1410.35        2500.00       0.215465E-003            NaN   99.1930       0.526718       0.252606       0.274768E-001            NaN            NaN            NaN            NaN
  1409.32        2500.00       0.193395E-004            NaN   99.9327       0.212966E-001  0.438325E-001  0.218371E-002            NaN            NaN            NaN            NaN
  1408.28        2500.00       0.111978E-003            NaN   99.5817       0.132085       0.272449       0.136356E-001            NaN            NaN            NaN            NaN
  1407.24        2500.00       0.104998E-003            NaN   99.5713       0.279166       0.135713       0.136822E-001            NaN            NaN            NaN            NaN
  1406.21        2500.00       0.100274E-003            NaN   99.5726       0.278097       0.135906       0.132982E-001            NaN            NaN            NaN            NaN
  1405.17        2500.00       0.834131E-004            NaN   99.5725       0.278751       0.135365       0.133461E-001            NaN            NaN            NaN            NaN
  1404.13        2500.00       0.916370E-004            NaN   99.5769       0.136572       0.274301       0.120888E-001            NaN            NaN            NaN            NaN
  1403.10        2500.00       0.833795E-004            NaN   99.5759       0.136155       0.275583       0.122550E-001            NaN            NaN            NaN            NaN
  1402.06        2500.00       0.757279E-004            NaN   99.5772       0.136435       0.274467       0.118623E-001            NaN            NaN            NaN            NaN
  1401.03        2500.00       0.504371E-004            NaN   99.3327       0.298053       0.158305       0.704284E-001  0.140473                 NaN            NaN            NaN
  1399.99        2500.00                 NaN            NaN   99.0837       0.164106       0.289936       0.144157       0.318056                 NaN            NaN            NaN
  1398.95        2500.00                 NaN            NaN   99.0576       0.298904       0.167759       0.148847       0.326858                 NaN            NaN            NaN
  1397.92        2500.00                 NaN            NaN   99.0642       0.163938       0.297232       0.149495       0.325120                 NaN            NaN            NaN
  1396.88        2500.00                 NaN            NaN   99.0742       0.294736       0.160723       0.148785       0.321514                 NaN            NaN            NaN
  1395.84        2500.00                 NaN            NaN   99.0815       0.293463       0.156874       0.148964       0.319173                 NaN            NaN            NaN
