|6.6.6
Archiving\03_Data\eqfrac/QFM_m0.75/LAR/LAR_1.tab                          
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          12
T(K)           P(bar)         Sp(TH)         Sp(TH)         melt(TH)       Cpx(TH)        Cpx(TH)        O(HP)          an             San(TH)        ilm            q             
  1413.46        2500.00       0.171233E-001            NaN   88.4565        7.50888        3.46514       0.552395                 NaN            NaN            NaN            NaN
  1412.42        2500.00       0.165812E-004            NaN   99.9622       0.245440E-001  0.117437E-001  0.146079E-002            NaN            NaN            NaN            NaN
  1411.39        2500.00       0.427112E-003            NaN   99.0094       0.310407       0.642187       0.375980E-001            NaN            NaN            NaN            NaN
  1410.35        2500.00       0.331530E-003            NaN   99.0458       0.618017       0.300695       0.351483E-001            NaN            NaN            NaN            NaN
  1409.32        2500.00       0.297924E-004            NaN   99.9202       0.254044E-001  0.515309E-001  0.279965E-002            NaN            NaN            NaN            NaN
  1408.28        2500.00       0.172196E-003            NaN   99.5048       0.157455       0.320073       0.174691E-001            NaN            NaN            NaN            NaN
  1407.24        2500.00       0.161414E-003            NaN   99.4923       0.328104       0.161861       0.175410E-001            NaN            NaN            NaN            NaN
  1406.21        2500.00       0.154051E-003            NaN   99.4936       0.326973       0.162169       0.170606E-001            NaN            NaN            NaN            NaN
  1405.17        2500.00       0.128138E-003            NaN   99.4933       0.327864       0.161592       0.171275E-001            NaN            NaN            NaN            NaN
  1404.13        2500.00       0.140682E-003            NaN   99.4984       0.163142       0.322803       0.155337E-001            NaN            NaN            NaN            NaN
  1403.10        2500.00       0.127932E-003            NaN   99.4969       0.162733       0.324468       0.157597E-001            NaN            NaN            NaN            NaN
  1402.06        2500.00       0.116157E-003            NaN   99.4981       0.163171       0.323296       0.152676E-001            NaN            NaN            NaN            NaN
  1401.03        2500.00       0.773487E-004            NaN   99.2337       0.351203       0.189399       0.907347E-001  0.134867                 NaN            NaN            NaN
  1399.99        2500.00                 NaN            NaN   98.9703       0.196477       0.341841       0.185938       0.305437                 NaN            NaN            NaN
  1398.95        2500.00                 NaN            NaN   98.9402       0.352622       0.200997       0.192202       0.314005                 NaN            NaN            NaN
  1397.92        2500.00                 NaN            NaN   98.9468       0.196569       0.350884       0.193291       0.312465                 NaN            NaN            NaN
  1396.88        2500.00                 NaN            NaN   98.9571       0.348213       0.192894       0.192681       0.309130                 NaN            NaN            NaN
  1395.84        2500.00                 NaN            NaN   98.9644       0.346970       0.188436       0.193193       0.307009                 NaN            NaN            NaN
  1394.81        2500.00                 NaN            NaN   98.9740       0.344058       0.184807       0.193074       0.304111                 NaN            NaN            NaN
  1393.77        2500.00                 NaN            NaN   98.9827       0.181313       0.341723       0.192772       0.301507                 NaN            NaN            NaN
  1392.74        2500.00                 NaN            NaN   98.9921       0.339555       0.176790       0.192747       0.298775                 NaN            NaN            NaN
  1391.70        2500.00                 NaN            NaN   99.0001       0.173487       0.337432       0.192645       0.296290                 NaN            NaN            NaN
  1390.66        2500.00                 NaN            NaN   99.0083       0.335230       0.169849       0.192745       0.293847                 NaN            NaN            NaN
  1389.63        2500.00                 NaN            NaN   99.0169       0.332830       0.166157       0.192772       0.291305                 NaN            NaN            NaN
  1388.59        2500.00                 NaN            NaN   98.9029       0.371564       0.183895       0.216849       0.324820                 NaN            NaN            NaN
  1387.55        2500.00                 NaN            NaN   99.1545       0.139212       0.287684       0.168220       0.250421                 NaN            NaN            NaN
  1386.52        2500.00                 NaN            NaN   99.0378       0.325885       0.155155       0.195077       0.286056                 NaN            NaN            NaN
  1385.48        2500.00                 NaN            NaN   99.0521       0.324490       0.153438       0.189986       0.279947                 NaN            NaN            NaN
  1384.45        2500.00                 NaN            NaN   99.0583       0.322171       0.148828       0.191796       0.278873                 NaN            NaN            NaN
  1383.41        2500.00                 NaN            NaN   99.0642       0.145642       0.321147       0.191961       0.277057                 NaN            NaN            NaN
  1382.37        2500.00                 NaN            NaN   99.0709       0.319702       0.142390       0.192064       0.274950                 NaN            NaN            NaN
  1381.34        2500.00                 NaN            NaN   99.0780       0.139161       0.317815       0.192145       0.272845                 NaN            NaN            NaN
  1380.30        2500.00                 NaN            NaN   99.1202       0.362699                 NaN  0.247131       0.270005                 NaN            NaN            NaN
  1379.26        2500.00       0.169562E-002            NaN   99.5733       0.169275                 NaN  0.124078       0.131629                 NaN            NaN            NaN
  1378.23        2500.00                 NaN            NaN   98.5838       0.415179       0.398033       0.200288       0.402709                 NaN            NaN            NaN
  1377.19        2500.00                 NaN            NaN   99.1059       0.126397       0.311062       0.192056       0.264632                 NaN            NaN            NaN
  1376.16        2500.00                 NaN            NaN   99.1155       0.125959       0.307762       0.189656       0.261122                 NaN            NaN            NaN
  1375.12        2500.00                 NaN            NaN   99.1211       0.122140       0.306478       0.190586       0.259698                 NaN            NaN            NaN
  1374.08        2500.00                 NaN            NaN   99.1281       0.303633       0.125317       0.186063       0.256841                 NaN            NaN            NaN
  1373.05        2500.00                 NaN            NaN   99.1306       0.306665       0.108985       0.196196       0.257583                 NaN            NaN            NaN
  1372.01        2500.00                 NaN            NaN   99.1404       0.302221       0.114882       0.189208       0.253317                 NaN            NaN            NaN
  1370.97        2500.00                 NaN            NaN   99.1476       0.299998       0.112133       0.188892       0.251347                 NaN            NaN            NaN
  1369.94        2500.00                 NaN            NaN   99.1517       0.108340       0.299550       0.189973       0.250416                 NaN            NaN            NaN
  1368.90        2500.00                 NaN            NaN   99.1602       0.107889       0.296407       0.188180       0.247292                 NaN            NaN            NaN
  1367.87        2500.00                 NaN            NaN   99.1647       0.295010       0.105255       0.188884       0.246137                 NaN            NaN            NaN
  1366.83        2500.00                 NaN            NaN   99.1707       0.294045       0.102216       0.188713       0.244374                 NaN            NaN            NaN
  1365.79        2500.00                 NaN            NaN   99.1780       0.100371       0.292205       0.187609       0.241848                 NaN            NaN            NaN
  1364.76        2500.00                 NaN            NaN   99.1826       0.979840E-001  0.291229       0.187753       0.240458                 NaN            NaN            NaN
  1363.72        2500.00                 NaN            NaN   99.1915       0.280954       0.129369       0.163853       0.234313                 NaN            NaN            NaN
  1362.68        2500.00                 NaN            NaN   99.1902       0.296908       0.601129E-001  0.211281       0.241542                 NaN            NaN            NaN
  1361.65        2500.00                 NaN            NaN   99.2015       0.285946       0.923214E-001  0.185836       0.234381                 NaN            NaN            NaN
  1360.61        2500.00                 NaN            NaN   99.2060       0.285245       0.894777E-001  0.186117       0.233162                 NaN            NaN            NaN
  1359.58        2500.00                 NaN            NaN   99.2097       0.283934       0.889027E-001  0.185690       0.231777                 NaN            NaN            NaN
  1358.54        2500.00                 NaN            NaN   99.2165       0.282268       0.861541E-001  0.185333       0.229792                 NaN            NaN            NaN
  1357.50        2500.00                 NaN            NaN   99.2221       0.280710       0.850318E-001  0.184344       0.227862                 NaN            NaN            NaN
  1356.47        2500.00                 NaN            NaN   99.2261       0.279935       0.832932E-001  0.184117       0.226538                 NaN            NaN            NaN
  1355.43        2500.00                 NaN            NaN   99.2326       0.278110       0.812951E-001  0.183495       0.224507                 NaN            NaN            NaN
  1354.39        2500.00                 NaN            NaN   99.2369       0.788685E-001  0.276185       0.184314       0.223717                 NaN            NaN            NaN
  1353.36        2500.00                 NaN            NaN   99.2423       0.794629E-001  0.275826       0.181349       0.221025                 NaN            NaN            NaN
  1352.32        2500.00                 NaN            NaN   99.2470       0.274161       0.774183E-001  0.181642       0.219784                 NaN            NaN            NaN
  1351.29        2500.00                 NaN            NaN   99.2511       0.273075       0.756445E-001  0.181600       0.218575                 NaN            NaN            NaN
  1350.25        2500.00                 NaN            NaN   99.2577       0.748899E-001  0.271034       0.180089       0.216311                 NaN            NaN            NaN
  1349.21        2500.00                 NaN            NaN   99.9753       0.245550E-001            NaN  0.110429E-003            NaN            NaN            NaN            NaN
  1348.18        2500.00                 NaN            NaN   98.5532       0.512338       0.148609       0.357724       0.428100                 NaN            NaN            NaN
  1347.14        2500.00                 NaN            NaN   99.2712       0.267538       0.716282E-001  0.177911       0.211756                 NaN            NaN            NaN
  1346.10        2500.00                 NaN            NaN   99.2760       0.266309       0.692812E-001  0.177972       0.210471                 NaN            NaN            NaN
  1345.07        2500.00                 NaN            NaN   99.2800       0.697306E-001  0.265034       0.176438       0.208783                 NaN            NaN            NaN
  1344.03        2500.00                 NaN            NaN   99.2838       0.263976       0.688070E-001  0.175873       0.207592                 NaN            NaN            NaN
  1343.00        2500.00                 NaN            NaN   99.2893       0.675036E-001  0.262174       0.175179       0.205876                 NaN            NaN            NaN
  1341.96        2500.00                 NaN            NaN   99.2924       0.261569       0.672942E-001  0.174206       0.204573                 NaN            NaN            NaN
  1340.92        2500.00                 NaN            NaN   99.2961       0.604673E-001  0.263006       0.176230       0.204164                 NaN            NaN            NaN
  1339.89        2500.00                 NaN            NaN   99.3007       0.668010E-001  0.258558       0.172272       0.201694                 NaN            NaN            NaN
  1338.85        2500.00                 NaN            NaN   99.3089       0.255308       0.682383E-001  0.168903       0.198678                 NaN            NaN            NaN
  1337.81        2500.00                 NaN            NaN   99.3098       0.256602       0.643180E-001  0.170572       0.198705                 NaN            NaN            NaN
  1336.78        2500.00                 NaN            NaN   99.3144       0.254837       0.642336E-001  0.169317       0.197181                 NaN            NaN            NaN
  1335.74        2500.00                 NaN            NaN   99.3187       0.634427E-001  0.253079       0.168899       0.195924                 NaN            NaN            NaN
  1334.71        2500.00                 NaN            NaN   99.3222       0.638765E-001  0.252003       0.167341       0.194557                 NaN            NaN            NaN
  1333.67        2500.00                 NaN            NaN   99.3262       0.251128       0.633691E-001  0.166238       0.193106                 NaN            NaN            NaN
  1332.63        2500.00                 NaN            NaN   99.3296       0.630388E-001  0.250039       0.165368       0.191932                 NaN            NaN            NaN
  1331.60        2500.00                 NaN            NaN   99.3311       0.638334E-001  0.249013       0.164682       0.191336                 NaN            NaN            NaN
  1330.56        2500.00                 NaN            NaN   99.3384       0.248298       0.622560E-001  0.162366       0.188646                 NaN            NaN            NaN
  1329.52        2500.00                 NaN            NaN   99.3414       0.628818E-001  0.246213       0.161700       0.187774                 NaN            NaN            NaN
  1328.49        2500.00                 NaN            NaN   99.3446       0.616606E-001  0.244088       0.162355       0.187288                 NaN            NaN            NaN
  1327.45        2500.00                 NaN            NaN   99.3496       0.242814       0.652498E-001  0.157788       0.184578                 NaN            NaN            NaN
  1326.42        2500.00                 NaN            NaN   99.3514       0.242172       0.636530E-001  0.158452       0.184356                 NaN            NaN            NaN
  1325.38        2500.00                 NaN            NaN   99.3561       0.241195       0.636715E-001  0.156551       0.182503                 NaN            NaN            NaN
  1324.34        2500.00                 NaN            NaN   99.3592       0.836039E-001  0.234109       0.143250       0.179815                 NaN            NaN            NaN
  1323.31        2500.00                 NaN            NaN   99.3624       0.244444       0.444361E-001  0.166730       0.181953                 NaN            NaN            NaN
  1322.27        2500.00                 NaN            NaN   99.3657       0.237316       0.651463E-001  0.152782       0.179083                 NaN            NaN            NaN
  1321.23        2500.00                 NaN            NaN   99.3690       0.653090E-001  0.236253       0.151529       0.177880                 NaN            NaN            NaN
  1320.20        2500.00                 NaN            NaN   99.3725       0.657320E-001  0.234771       0.150293       0.176657                 NaN            NaN            NaN
  1319.16        2500.00                 NaN            NaN   99.3750       0.233571       0.663056E-001  0.149262       0.175835                 NaN            NaN            NaN
  1318.13        2500.00                 NaN            NaN   99.3792       0.660935E-001  0.231739       0.148209       0.174765                 NaN            NaN            NaN
