|6.6.6
Archiving\03_Data\eqfracLP/QFM_m1/YM20/YM20_3.tab                       
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          14
T(K)           P(bar)         Sp(TH)         melt(TH)       O(HP)          Opx(TH)        Cpx(TH)        Cpx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)        ilm            q             
  1541.67        500.000       0.550774E-003   99.9716       0.278243E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1540.31        500.000                 NaN   99.4905                 NaN  0.509534                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1538.95        500.000                 NaN   99.4933       0.129757E-001  0.493767                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1537.60        500.000                 NaN   99.4963                 NaN  0.503694                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1536.24        500.000                 NaN   99.4916       0.114340E-001  0.496940                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1534.88        500.000                 NaN   99.5150       0.218694E-001  0.463168                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1533.52        500.000                 NaN   99.5090       0.228216E-001  0.468181                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1532.17        500.000                 NaN   99.5172       0.224665E-001  0.460314                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1530.81        500.000                 NaN   99.5187       0.215275E-001  0.459734                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1529.45        500.000                 NaN   99.5158       0.176718E-001  0.466495                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1528.09        500.000                 NaN   99.5269       0.196931E-001  0.453427                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1526.74        500.000                 NaN   99.5271       0.182240E-001  0.454682                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1525.38        500.000                 NaN   99.4972       0.144961E-001  0.488276                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1524.02        500.000                 NaN   99.5631       0.156870E-001  0.421169                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1522.66        500.000                 NaN   99.5376       0.169273E-001  0.445460                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1521.31        500.000                 NaN   99.5417       0.170423E-001  0.441258                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1519.95        500.000                 NaN   99.5438       0.155418E-001  0.440621                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1518.59        500.000                 NaN   99.5482       0.153195E-001  0.436527                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1517.23        500.000                 NaN   99.5522       0.159370E-001  0.431903                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1515.88        500.000                 NaN   99.5541       0.148207E-001  0.431068                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1514.52        500.000                 NaN   99.5577       0.138651E-001  0.428434                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
