|6.6.6
Archiving\03_Data\eqLP/QFM/EETA/EETA_3.tab                                
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          13
T(K)           P(bar)         melt(TH)       pxmn           Ni             O(HP)          Sp(TH)         Opx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)        ab            
  2000.00        500.000        99.2195       0.769442       0.110436E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1996.79        500.000        99.2194       0.769511       0.110435E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1993.59        500.000        99.2194       0.769580       0.110435E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1990.38        500.000        99.2193       0.769649       0.110435E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1987.18        500.000        99.2192       0.769719       0.110434E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1983.97        500.000        99.2192       0.769788       0.110434E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1980.77        500.000        99.2191       0.769857       0.110434E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1977.56        500.000        99.2190       0.769926       0.110434E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1974.36        500.000        99.2190       0.769996       0.110433E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1971.15        500.000        99.2189       0.770065       0.110433E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1967.95        500.000        99.2188       0.770134       0.110433E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1964.74        500.000        99.2188       0.770203       0.110433E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1961.54        500.000        99.2187       0.770272       0.110433E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1958.33        500.000        99.2186       0.770341       0.110433E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1955.13        500.000        99.2185       0.770411       0.110433E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1951.92        500.000        99.2185       0.770480       0.110432E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1948.72        500.000        99.2184       0.770549       0.110432E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1945.51        500.000        99.2183       0.770618       0.110432E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1942.31        500.000        99.2183       0.770688       0.110432E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1939.10        500.000        99.2182       0.770757       0.110432E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1935.90        500.000        99.2181       0.770826       0.110432E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1932.69        500.000        99.2181       0.770895       0.110432E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1929.49        500.000        99.2180       0.770964       0.110432E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1926.28        500.000        99.2179       0.771034       0.110432E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1923.08        500.000        99.2179       0.771103       0.110432E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1919.87        500.000        99.2178       0.771172       0.110433E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1916.67        500.000        99.2177       0.771241       0.110433E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1913.46        500.000        99.2176       0.771311       0.110433E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1910.26        500.000        99.1359       0.771369                 NaN  0.927427E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1907.05        500.000        99.1351       0.771439                 NaN  0.934568E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1903.85        500.000        99.1343       0.771508                 NaN  0.941710E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1900.64        500.000        99.1335       0.771577                 NaN  0.948853E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1897.44        500.000        99.1328       0.771647                 NaN  0.955997E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1894.23        500.000        99.1319       0.771716                 NaN  0.964232E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1891.03        500.000        99.1310       0.771786                 NaN  0.972469E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1887.82        500.000        99.1301       0.771855                 NaN  0.980707E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1884.62        500.000        99.1292       0.771924                 NaN  0.988946E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1881.41        500.000        99.1283       0.771994                 NaN  0.997186E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1878.21        500.000        99.1274       0.772064                 NaN  0.100543                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1875.00        500.000        99.1265       0.772133                 NaN  0.101367                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1871.79        500.000        99.1256       0.772203                 NaN  0.102191                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1868.59        500.000        99.1246       0.772272                 NaN  0.103147                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1865.38        500.000        99.1236       0.772341                 NaN  0.104102                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1862.18        500.000        99.1225       0.772411                 NaN  0.105057                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1858.97        500.000        99.1215       0.772480                 NaN  0.106013                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1855.77        500.000        99.1205       0.772549                 NaN  0.106969                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1852.56        500.000        99.1195       0.772619                 NaN  0.107925                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1849.36        500.000        99.1184       0.772689                 NaN  0.108881                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1846.15        500.000        99.1174       0.772758                 NaN  0.109837                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1842.95        500.000        99.1161       0.772827                 NaN  0.111027                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1839.74        500.000        99.1149       0.772897                 NaN  0.112218                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1836.54        500.000        99.1136       0.772966                 NaN  0.113408                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1833.33        500.000        99.1124       0.773035                 NaN  0.114599                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1830.13        500.000        99.1111       0.773105                 NaN  0.115790                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1826.92        500.000        99.1098       0.773174                 NaN  0.116981                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1823.72        500.000        99.1086       0.773244                 NaN  0.118173                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1820.51        500.000        99.1073       0.773313                 NaN  0.119364                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1817.31        500.000        99.1058       0.773382                 NaN  0.120855                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1814.10        500.000        99.1042       0.773452                 NaN  0.122345                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1810.90        500.000        99.1026       0.773521                 NaN  0.123836                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1807.69        500.000        99.1011       0.773590                 NaN  0.125327                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1804.49        500.000        99.0995       0.773660                 NaN  0.126819                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1801.28        500.000        99.0980       0.773729                 NaN  0.128310                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1798.08        500.000        99.0964       0.773798                 NaN  0.129802                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1794.87        500.000        99.0948       0.773868                 NaN  0.131294                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1791.67        500.000        99.0929       0.773937                 NaN  0.133171                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1788.46        500.000        99.0909       0.774006                 NaN  0.135047                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1785.26        500.000        99.0890       0.774075                 NaN  0.136924                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1782.05        500.000        99.0871       0.774145                 NaN  0.138801                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1778.85        500.000        99.0851       0.774214                 NaN  0.140678                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1775.64        500.000        99.0832       0.774283                 NaN  0.142556                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1772.44        500.000        99.0812       0.774353                 NaN  0.144433                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1769.23        500.000        99.0793       0.774422                 NaN  0.146312                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1766.03        500.000        99.0767       0.774491                 NaN  0.148826                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1762.82        500.000        99.0741       0.774560                 NaN  0.151342                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1759.62        500.000        99.0715       0.774630                 NaN  0.153857                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
