|6.6.6
Archiving\03_Data\eq/QFM_m1.75/NWA1068/NWA1068_1.tab                      
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          13
T(K)           P(bar)         melt(TH)       pxmn           Ni             Sp(TH)         O(HP)          Cpx(TH)        Cpx(TH)        Opx(TH)        an             San(TH)        ab            
  2000.00        2500.00        99.1742       0.778529       0.473172E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1996.79        2500.00        99.1742       0.778528       0.473171E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1993.59        2500.00        99.1742       0.778526       0.473170E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1990.38        2500.00        99.1742       0.778525       0.473169E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1987.18        2500.00        99.1742       0.778524       0.473169E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1983.97        2500.00        99.1742       0.778523       0.473168E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1980.77        2500.00        99.1742       0.778521       0.473167E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1977.56        2500.00        99.1742       0.778520       0.473166E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1974.36        2500.00        99.1742       0.778519       0.473165E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1971.15        2500.00        99.1742       0.778518       0.473165E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1967.95        2500.00        99.1742       0.778517       0.473164E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1964.74        2500.00        99.1742       0.778516       0.473164E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1961.54        2500.00        99.1742       0.778515       0.473163E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1958.33        2500.00        99.1742       0.778513       0.473162E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1955.13        2500.00        99.1742       0.778512       0.473162E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1951.92        2500.00        99.1742       0.778511       0.473161E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1948.72        2500.00        99.1742       0.778510       0.473160E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1945.51        2500.00        99.1742       0.778508       0.473159E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1942.31        2500.00        99.1742       0.778506       0.473158E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1939.10        2500.00        99.1742       0.778505       0.473157E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1935.90        2500.00        99.1742       0.778503       0.473156E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1932.69        2500.00        99.1742       0.778501       0.473155E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1929.49        2500.00        99.1742       0.778499       0.473153E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1926.28        2500.00        99.1742       0.778497       0.473152E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1923.08        2500.00        99.1742       0.778495       0.473151E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1919.87        2500.00        99.1742       0.778493       0.473150E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1916.67        2500.00        99.1742       0.778492       0.473149E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1913.46        2500.00        99.1742       0.778490       0.473148E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1910.26        2500.00        99.1742       0.778488       0.473147E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1907.05        2500.00        99.1742       0.778486       0.473146E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1903.85        2500.00        99.1742       0.778485       0.473145E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1900.64        2500.00        99.1742       0.778483       0.473144E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1897.44        2500.00        99.1742       0.778481       0.473143E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1894.23        2500.00        99.1742       0.778480       0.473142E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1891.03        2500.00        99.1742       0.778478       0.473141E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1887.82        2500.00        99.1742       0.778476       0.473139E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1884.62        2500.00        99.1742       0.778474       0.473138E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1881.41        2500.00        99.1742       0.778472       0.473137E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1878.21        2500.00        99.1742       0.778470       0.473136E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1875.00        2500.00        99.1742       0.778468       0.473135E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1871.79        2500.00        99.1742       0.778467       0.473134E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1868.59        2500.00        99.1742       0.778464       0.473133E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1865.38        2500.00        99.1742       0.778462       0.473131E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1862.18        2500.00        99.1742       0.778460       0.473130E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1858.97        2500.00        99.1742       0.778458       0.473129E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1855.77        2500.00        99.1742       0.778456       0.473128E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1852.56        2500.00        99.1742       0.778454       0.473126E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1849.36        2500.00        99.1742       0.778452       0.473125E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1846.15        2500.00        99.1742       0.778450       0.473124E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1842.95        2500.00        99.1742       0.778448       0.473122E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1839.74        2500.00        99.1742       0.778446       0.473121E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1836.54        2500.00        99.1742       0.778444       0.473120E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1833.33        2500.00        99.1742       0.778441       0.473118E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1830.13        2500.00        99.1742       0.778439       0.473117E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1826.92        2500.00        99.1743       0.778437       0.473116E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1823.72        2500.00        99.1743       0.778435       0.473114E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1820.51        2500.00        99.1743       0.778433       0.473113E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1817.31        2500.00        99.1743       0.778430       0.473112E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1814.10        2500.00        99.1743       0.778428       0.473110E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1810.90        2500.00        99.1743       0.778425       0.473109E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1807.69        2500.00        99.1743       0.778423       0.473107E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1804.49        2500.00        99.1743       0.778420       0.473106E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1801.28        2500.00        99.1743       0.778418       0.473104E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1798.08        2500.00        99.1743       0.778416       0.473103E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1794.87        2500.00        99.1743       0.778413       0.473101E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1791.67        2500.00        99.1743       0.778411       0.473100E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1788.46        2500.00        99.1743       0.778408       0.473098E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1785.26        2500.00        99.1743       0.778405       0.473097E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1782.05        2500.00        99.1743       0.778403       0.473095E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1778.85        2500.00        99.1743       0.778400       0.473093E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1775.64        2500.00        99.1743       0.778398       0.473092E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1772.44        2500.00        99.1743       0.778395       0.473090E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1769.23        2500.00        99.1743       0.778392       0.473089E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1766.03        2500.00        99.1743       0.778389       0.473087E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1762.82        2500.00        99.1743       0.778387       0.473085E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1759.62        2500.00        99.1743       0.778384       0.473083E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1756.41        2500.00        99.1743       0.778381       0.473082E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1753.21        2500.00        99.1743       0.778378       0.473080E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1750.00        2500.00        99.1743       0.778375       0.473078E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1746.79        2500.00        99.1743       0.778372       0.473076E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1743.59        2500.00        99.1743       0.778369       0.473075E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1740.38        2500.00        99.1743       0.778366       0.473073E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1737.18        2500.00        99.1743       0.778363       0.473071E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1733.97        2500.00        99.1743       0.778360       0.473069E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1730.77        2500.00        99.1743       0.778357       0.473067E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1727.56        2500.00        99.1743       0.778354       0.473065E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1724.36        2500.00        99.1743       0.778351       0.473063E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1721.15        2500.00        99.1743       0.778348       0.473062E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1717.95        2500.00        99.1743       0.778345       0.473060E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1714.74        2500.00        99.1744       0.778341       0.473058E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1711.54        2500.00        99.1744       0.778338       0.473056E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1708.33        2500.00        99.1744       0.778335       0.473054E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1705.13        2500.00        99.1744       0.778331       0.473052E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1701.92        2500.00        99.1744       0.778328       0.473050E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1698.72        2500.00        99.1744       0.778325       0.473047E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1695.51        2500.00        99.1682       0.778321       0.473045E-001  0.620789E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1692.31        2500.00        99.1519       0.778317       0.473043E-001  0.225199E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1689.10        2500.00        99.1357       0.778313       0.473041E-001  0.386359E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1685.90        2500.00        99.1196       0.778310       0.473038E-001  0.547518E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1682.69        2500.00        98.5061       0.778266       0.236281E-001  0.716534E-001  0.620396                 NaN            NaN            NaN            NaN            NaN            NaN
  1679.49        2500.00        97.8685       0.778223                 NaN  0.884558E-001   1.26484                 NaN            NaN            NaN            NaN            NaN            NaN
  1676.28        2500.00        97.7089       0.778222                 NaN  0.103897        1.40901                 NaN            NaN            NaN            NaN            NaN            NaN
  1673.08        2500.00        97.5493       0.778220                 NaN  0.119337        1.55318                 NaN            NaN            NaN            NaN            NaN            NaN
  1669.87        2500.00        97.3897       0.778219                 NaN  0.134778        1.69735                 NaN            NaN            NaN            NaN            NaN            NaN
