|6.6.6
Archiving\03_Data\eqfrac/QFM_m0.75/Y98/Y98_1.tab                          
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          13
T(K)           P(bar)         melt(TH)       melt(TH)       O(HP)          Cpx(TH)        Cpx(TH)        Cpx(TH)        an             Sp(TH)         San(TH)        ilm            q             
  1483.97        2500.00       100.0000                 NaN  0.367103E-004            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1482.76        2500.00        99.1557                 NaN            NaN  0.501860       0.342477                 NaN            NaN            NaN            NaN            NaN            NaN
  1481.54        2500.00        99.0409                 NaN            NaN  0.358902       0.600220                 NaN            NaN            NaN            NaN            NaN            NaN
  1480.33        2500.00        99.0475                 NaN            NaN  0.357072       0.595421                 NaN            NaN            NaN            NaN            NaN            NaN
  1479.12        2500.00        99.0525                 NaN            NaN  0.592397       0.355109                 NaN            NaN            NaN            NaN            NaN            NaN
  1477.91        2500.00        99.0574                 NaN            NaN  0.589220       0.353376                 NaN            NaN            NaN            NaN            NaN            NaN
  1476.69        2500.00        99.0632                 NaN            NaN  0.351365       0.585403                 NaN            NaN            NaN            NaN            NaN            NaN
  1475.48        2500.00        99.0634                 NaN            NaN  0.586045       0.350564                 NaN            NaN            NaN            NaN            NaN            NaN
  1474.27        2500.00        99.0786                 NaN  0.158219E-004  0.346421       0.574974                 NaN            NaN            NaN            NaN            NaN            NaN
  1473.05        2500.00        99.0800                 NaN            NaN  0.575485       0.344546                 NaN            NaN            NaN            NaN            NaN            NaN
  1471.84        2500.00        99.0847                 NaN            NaN  0.572041       0.343254                 NaN            NaN            NaN            NaN            NaN            NaN
  1470.63        2500.00        99.0887                 NaN            NaN  0.341820       0.569515                 NaN            NaN            NaN            NaN            NaN            NaN
  1469.41        2500.00        99.0471                 NaN            NaN  0.356702       0.596159                 NaN            NaN            NaN            NaN            NaN            NaN
  1468.20        2500.00        99.1448                 NaN            NaN  0.320340       0.534894                 NaN            NaN            NaN            NaN            NaN            NaN
  1466.99        2500.00        99.7759                 NaN  0.207797E-001  0.557617E-001  0.147546                 NaN            NaN            NaN            NaN            NaN            NaN
  1465.78        2500.00        98.4368                 NaN            NaN  0.586149       0.977058                 NaN            NaN            NaN            NaN            NaN            NaN
