|6.6.6
Archiving\03_Data\eqfrac/QFM_m0.75/Y98/Y98_3.tab                          
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          13
T(K)           P(bar)         melt(TH)       melt(TH)       O(HP)          Cpx(TH)        Cpx(TH)        Cpx(TH)        an             Sp(TH)         San(TH)        ilm            q             
  1483.97        2500.00       100.0000                 NaN  0.307947E-004            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1482.76        2500.00        99.2510                 NaN            NaN  0.446715       0.302254                 NaN            NaN            NaN            NaN            NaN            NaN
  1481.54        2500.00        99.1491                 NaN            NaN  0.316668       0.534190                 NaN            NaN            NaN            NaN            NaN            NaN
  1480.33        2500.00        99.1552                 NaN            NaN  0.314976       0.529830                 NaN            NaN            NaN            NaN            NaN            NaN
  1479.12        2500.00        99.1599                 NaN            NaN  0.527014       0.313119                 NaN            NaN            NaN            NaN            NaN            NaN
  1477.91        2500.00        99.1645                 NaN            NaN  0.524061       0.311482                 NaN            NaN            NaN            NaN            NaN            NaN
  1476.69        2500.00        99.1698                 NaN            NaN  0.309613       0.520570                 NaN            NaN            NaN            NaN            NaN            NaN
  1475.48        2500.00        99.1702                 NaN            NaN  0.521021       0.308809                 NaN            NaN            NaN            NaN            NaN            NaN
  1474.27        2500.00        99.1840                 NaN  0.132304E-004  0.305017       0.511014                 NaN            NaN            NaN            NaN            NaN            NaN
  1473.05        2500.00        99.1853                 NaN            NaN  0.511381       0.303296                 NaN            NaN            NaN            NaN            NaN            NaN
  1471.84        2500.00        99.1898                 NaN            NaN  0.508178       0.302046                 NaN            NaN            NaN            NaN            NaN            NaN
  1470.63        2500.00        99.1935                 NaN            NaN  0.300662       0.505817                 NaN            NaN            NaN            NaN            NaN            NaN
  1469.41        2500.00        99.1570                 NaN            NaN  0.313661       0.529348                 NaN            NaN            NaN            NaN            NaN            NaN
  1468.20        2500.00        99.2437                 NaN            NaN  0.281513       0.474761                 NaN            NaN            NaN            NaN            NaN            NaN
  1466.99        2500.00        99.8028                 NaN  0.173132E-001  0.489754E-001  0.130908                 NaN            NaN            NaN            NaN            NaN            NaN
  1465.78        2500.00        98.6173                 NaN            NaN  0.515195       0.867524                 NaN            NaN            NaN            NaN            NaN            NaN
  1464.56        2500.00        99.2159                 NaN            NaN  0.292496       0.491567                 NaN            NaN            NaN            NaN            NaN            NaN
  1463.35        2500.00        99.2200                 NaN            NaN  0.290693       0.489336                 NaN            NaN            NaN            NaN            NaN            NaN
  1462.14        2500.00        99.2222                 NaN            NaN  0.289412       0.488370                 NaN            NaN            NaN            NaN            NaN            NaN
  1460.92        2500.00        99.2274                 NaN            NaN  0.484853       0.287714                 NaN            NaN            NaN            NaN            NaN            NaN
  1459.71        2500.00        99.2223                 NaN            NaN  0.289300       0.488406                 NaN            NaN            NaN            NaN            NaN            NaN
  1458.50        2500.00        97.2646                 NaN  0.228804E-001  0.992755        1.71977                 NaN            NaN            NaN            NaN            NaN            NaN
  1457.28        2500.00        99.9999                 NaN            NaN  0.895842E-004            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1456.07        2500.00        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1454.86        2500.00        99.6790                 NaN            NaN  0.201764       0.119282                 NaN            NaN            NaN            NaN            NaN            NaN
  1453.65        2500.00        99.7160                 NaN  0.215965E-001  0.746458E-001  0.187729                 NaN            NaN            NaN            NaN            NaN            NaN
  1452.43        2500.00        98.8828                 NaN  0.117696E-001  0.396042       0.709394                 NaN            NaN            NaN            NaN            NaN            NaN
  1451.22        2500.00        99.2443                 NaN  0.293989E-001  0.264802       0.461531                 NaN            NaN            NaN            NaN            NaN            NaN
  1450.01        2500.00        99.2598                 NaN  0.205947E-005  0.248516       0.491674                 NaN            NaN            NaN            NaN            NaN            NaN
  1448.79        2500.00        99.2824                 NaN            NaN  0.266039       0.451511                 NaN            NaN            NaN            NaN            NaN            NaN
  1447.58        2500.00        99.2695                 NaN  0.198046E-001  0.468479       0.242168                 NaN            NaN            NaN            NaN            NaN            NaN
  1446.37        2500.00        99.2683                 NaN            NaN  0.461032       0.270622                 NaN            NaN            NaN            NaN            NaN            NaN
  1445.16        2500.00        99.2221                 NaN            NaN  0.490548       0.287367                 NaN            NaN            NaN            NaN            NaN            NaN
  1443.94        2500.00        99.3229                 NaN  0.235587E-005  0.249876       0.427178                 NaN            NaN            NaN            NaN            NaN            NaN
  1442.73        2500.00        99.2764                 NaN            NaN  0.266953       0.456620                 NaN            NaN            NaN            NaN            NaN            NaN
  1441.52        2500.00        99.2787                 NaN            NaN  0.266321       0.454930                 NaN            NaN            NaN            NaN            NaN            NaN
  1440.30        2500.00        99.2815                 NaN            NaN  0.264466       0.454033                 NaN            NaN            NaN            NaN            NaN            NaN
  1439.09        2500.00        99.2844                 NaN            NaN  0.452160       0.263452                 NaN            NaN            NaN            NaN            NaN            NaN
  1437.88        2500.00        99.2860                 NaN            NaN  0.451260       0.262750                 NaN            NaN            NaN            NaN            NaN            NaN
  1436.66        2500.00        98.8856                 NaN  0.672891E-001  0.331699       0.495137                 NaN  0.220255                 NaN            NaN            NaN            NaN
  1435.45        2500.00        97.9072                 NaN  0.262122       0.676963       0.454093                 NaN  0.699591                 NaN            NaN            NaN            NaN
  1434.24        2500.00        98.5437                 NaN  0.184807       0.472280       0.311718                 NaN  0.487475                 NaN            NaN            NaN            NaN
  1433.03        2500.00        98.2689                 NaN  0.221588       0.562709       0.367324                 NaN  0.579518                 NaN            NaN            NaN            NaN
  1431.81        2500.00        98.2888                 NaN  0.222240       0.357844       0.557715                 NaN  0.573447                 NaN            NaN            NaN            NaN
  1430.60        2500.00        98.2854                 NaN  0.226891       0.559198       0.352026                 NaN  0.576505                 NaN            NaN            NaN            NaN
  1429.39        2500.00        98.3676                 NaN  0.215324       0.334027       0.537369                 NaN  0.545676                 NaN            NaN            NaN            NaN
  1428.17        2500.00        98.3581                 NaN  0.221235       0.540079       0.329255                 NaN  0.551370                 NaN            NaN            NaN            NaN
  1426.96        2500.00        98.3790                 NaN  0.221378       0.320070       0.534531                 NaN  0.544975                 NaN            NaN            NaN            NaN
  1425.75        2500.00        97.9316                 NaN  0.287384       0.394754       0.689714                 NaN  0.696571                 NaN            NaN            NaN            NaN
  1424.54        2500.00        98.8795                 NaN  0.155707       0.371200       0.217128                 NaN  0.376492                 NaN            NaN            NaN            NaN
  1423.32        2500.00        98.4431                 NaN  0.220446       0.293932       0.518149                 NaN  0.524404                 NaN            NaN            NaN            NaN
  1422.11        2500.00        98.4612                 NaN  0.220562       0.513978       0.285650                 NaN  0.518640                 NaN            NaN            NaN            NaN
  1420.90        2500.00        98.4796                 NaN  0.220541       0.509352       0.277544                 NaN  0.512932                 NaN            NaN            NaN            NaN
  1419.68        2500.00        98.4980                 NaN  0.220724       0.269888       0.504235                 NaN  0.507156                 NaN            NaN            NaN            NaN
  1418.47        2500.00        98.5191                 NaN  0.220043       0.499204       0.261398                 NaN  0.500270                 NaN            NaN            NaN            NaN
  1417.26        2500.00        98.5347                 NaN  0.220493       0.495377       0.253871                 NaN  0.495519                 NaN            NaN            NaN            NaN
  1416.04        2500.00        98.5484                 NaN  0.221323       0.492759       0.246398                 NaN  0.491091                 NaN            NaN            NaN            NaN
  1414.83        2500.00        98.5714                 NaN  0.219556       0.239991       0.485730                 NaN  0.483292                 NaN            NaN            NaN            NaN
  1413.62        2500.00        98.5865                 NaN  0.220200       0.232104       0.482362                 NaN  0.478808                 NaN            NaN            NaN            NaN
  1412.41        2500.00        98.6018                 NaN  0.220415       0.478751       0.224945                 NaN  0.474051                 NaN            NaN            NaN            NaN
  1411.19        2500.00        98.6188                 NaN  0.220249       0.217922       0.474457                 NaN  0.468556                 NaN            NaN            NaN            NaN
  1409.98        2500.00        98.6334                 NaN  0.220399       0.211292       0.471023                 NaN  0.463868                 NaN            NaN            NaN            NaN
  1408.77        2500.00        98.6492                 NaN  0.220337       0.467210       0.204447                 NaN  0.458778                 NaN            NaN            NaN            NaN
  1407.55        2500.00        98.6134                 NaN  0.221555       0.217591       0.475756                 NaN  0.471692                 NaN            NaN            NaN            NaN
  1406.34        2500.00        98.7137                 NaN  0.222792       0.449343       0.176658                 NaN  0.437461                 NaN            NaN            NaN            NaN
  1405.13        2500.00        98.7096                 NaN  0.217332       0.452477       0.182524                 NaN  0.438095                 NaN            NaN            NaN            NaN
  1403.91        2500.00        98.7076                 NaN  0.220422       0.452853       0.178888                 NaN  0.440194                 NaN            NaN            NaN            NaN
  1402.70        2500.00        98.7208                 NaN  0.220595       0.172928       0.449896                 NaN  0.435740                 NaN            NaN            NaN            NaN
  1401.49        2500.00        98.5969                 NaN  0.244860       0.183942       0.495469                 NaN  0.478779                 NaN            NaN            NaN            NaN
  1400.28        2500.00        98.8858                 NaN  0.196116       0.395194       0.143341                 NaN  0.379574                 NaN            NaN            NaN            NaN
  1399.06        2500.00        98.7620                 NaN  0.220527       0.439853       0.155104                 NaN  0.422564                 NaN            NaN            NaN            NaN
  1397.85        2500.00        98.7715                 NaN  0.220753       0.439544       0.148704                 NaN  0.419478                 NaN            NaN            NaN            NaN
  1396.64        2500.00        98.4167                 NaN  0.288666       0.186176       0.568175                 NaN  0.540312                 NaN            NaN            NaN            NaN
  1395.42        2500.00        99.1698                 NaN  0.151950       0.970970E-001  0.297634                 NaN  0.283472                 NaN            NaN            NaN            NaN
  1394.21        2500.00        98.8127                 NaN  0.220112       0.428099       0.133217                 NaN  0.405843                 NaN            NaN            NaN            NaN
  1393.00        2500.00        98.8217                 NaN  0.220625       0.426191       0.128467                 NaN  0.403017                 NaN            NaN            NaN            NaN
  1391.79        2500.00        98.8341                 NaN  0.220436       0.423367       0.123045                 NaN  0.399038                 NaN            NaN            NaN            NaN
  1390.57        2500.00        98.8450                 NaN  0.220439       0.118194       0.420939                 NaN  0.395391                 NaN            NaN            NaN            NaN
  1389.36        2500.00        98.8545                 NaN  0.220615       0.419405       0.113290                 NaN  0.392178                 NaN            NaN            NaN            NaN
  1388.15        2500.00        98.8609                 NaN  0.222448       0.418879       0.107303                 NaN  0.390486                 NaN            NaN            NaN            NaN
  1386.93        2500.00        98.8828                 NaN  0.217970       0.411380       0.105733                 NaN  0.382119                 NaN            NaN            NaN            NaN
  1385.72        2500.00        98.8882                 NaN  0.220098       0.411141       0.994383E-001            NaN  0.381163                 NaN            NaN            NaN            NaN
  1384.51        2500.00        98.8966                 NaN  0.220679       0.943751E-001  0.409707                 NaN  0.378675                 NaN            NaN            NaN            NaN
  1383.29        2500.00        98.9103                 NaN  0.219199       0.907490E-001  0.406176                 NaN  0.373580                 NaN            NaN            NaN            NaN
  1382.08        2500.00        98.9181                 NaN  0.219719       0.865226E-001  0.404546                 NaN  0.371099                 NaN            NaN            NaN            NaN
  1380.87        2500.00        99.1306                 NaN  0.180723       0.630092E-001  0.325126                 NaN  0.300509                 NaN            NaN            NaN            NaN
  1379.66        2500.00        98.7345                 NaN  0.257947       0.477171       0.987682E-001            NaN  0.431652                 NaN            NaN            NaN            NaN
  1378.44        2500.00        98.9462                 NaN  0.219559       0.398497       0.738925E-001            NaN  0.361850                 NaN            NaN            NaN            NaN
  1377.23        2500.00        98.9585                 NaN  0.218188       0.395147       0.707497E-001            NaN  0.357383                 NaN            NaN            NaN            NaN
  1376.02        2500.00        98.9662                 NaN  0.218348       0.394341       0.662654E-001            NaN  0.354847                 NaN            NaN            NaN            NaN
  1374.80        2500.00        98.9760                 NaN  0.217935       0.391826       0.626151E-001            NaN  0.351613                 NaN            NaN            NaN            NaN
  1373.59        2500.00        98.9848                 NaN  0.217669       0.389938       0.589433E-001            NaN  0.348653                 NaN            NaN            NaN            NaN
  1372.38        2500.00        98.9924                 NaN  0.218498       0.536988E-001  0.388697                 NaN  0.346687                 NaN            NaN            NaN            NaN
  1371.16        2500.00        99.0014                 NaN  0.216105       0.386053       0.541068E-001            NaN  0.342380                 NaN            NaN            NaN            NaN
  1369.95        2500.00        99.0114                 NaN  0.216380       0.384067       0.484969E-001            NaN  0.339650                 NaN            NaN            NaN            NaN
  1368.74        2500.00        99.0198                 NaN  0.215263       0.382292       0.464356E-001            NaN  0.336236                 NaN            NaN            NaN            NaN
  1367.53        2500.00        99.0267                 NaN  0.215512       0.380958       0.428059E-001            NaN  0.334033                 NaN            NaN            NaN            NaN
  1366.31        2500.00        99.0244                 NaN  0.216339       0.384191       0.406410E-001            NaN  0.334413                 NaN            NaN            NaN            NaN
  1365.10        2500.00        99.0485                 NaN  0.212229       0.375600       0.380009E-001            NaN  0.325697                 NaN            NaN            NaN            NaN
  1363.89        2500.00        98.9811                 NaN  0.186117       0.588623E-001  0.408764                 NaN  0.336440       0.287532E-001            NaN            NaN            NaN
  1362.67        2500.00        98.7766                 NaN  0.101864       0.128330       0.510331                 NaN  0.366942       0.115933                 NaN            NaN            NaN
  1361.46        2500.00        98.7808                 NaN  0.976765E-001  0.512439       0.126535                 NaN  0.364374       0.118208                 NaN            NaN            NaN
  1360.25        2500.00        98.7888                 NaN  0.947822E-001  0.511663       0.124248                 NaN  0.361268       0.119224                 NaN            NaN            NaN
  1359.04        2500.00        98.7991                 NaN  0.922202E-001  0.121429       0.509989                 NaN  0.357645       0.119590                 NaN            NaN            NaN
  1357.82        2500.00        98.8105                 NaN  0.905110E-001  0.117868       0.507560                 NaN  0.354053       0.119537                 NaN            NaN            NaN
  1356.61        2500.00        98.8228                 NaN  0.889903E-001  0.114939       0.504025                 NaN  0.350316       0.118934                 NaN            NaN            NaN
  1355.40        2500.00        98.8358                 NaN  0.875332E-001  0.112128       0.500054                 NaN  0.346389       0.118110                 NaN            NaN            NaN
  1354.18        2500.00        98.8457                 NaN  0.837668E-001  0.112339       0.497523                 NaN  0.342723       0.117933                 NaN            NaN            NaN
  1352.97        2500.00        98.8640                 NaN  0.877054E-001  0.102837       0.491116                 NaN  0.338813       0.115493                 NaN            NaN            NaN
  1351.76        2500.00        98.8779                 NaN  0.846296E-001  0.484969       0.103703                 NaN  0.334498       0.114331                 NaN            NaN            NaN
  1350.54        2500.00        98.8919                 NaN  0.838054E-001  0.479245       0.101480                 NaN  0.330619       0.112949                 NaN            NaN            NaN
  1349.33        2500.00        98.9067                 NaN  0.830967E-001  0.988098E-001  0.473636                 NaN  0.326463       0.111262                 NaN            NaN            NaN
  1348.12        2500.00        98.9194                 NaN  0.827030E-001  0.469869       0.949332E-001            NaN  0.323043       0.110066                 NaN            NaN            NaN
  1346.91        2500.00        98.9343                 NaN  0.811173E-001  0.462420       0.952049E-001            NaN  0.318680       0.108282                 NaN            NaN            NaN
  1345.69        2500.00        98.9485                 NaN  0.809161E-001  0.457003       0.918442E-001            NaN  0.314927       0.106777                 NaN            NaN            NaN
  1344.48        2500.00        98.9622                 NaN  0.807139E-001  0.890546E-001  0.451558                 NaN  0.311310       0.105189                 NaN            NaN            NaN
  1343.27        2500.00        98.9760                 NaN  0.790765E-001  0.891559E-001  0.444954                 NaN  0.307229       0.103553                 NaN            NaN            NaN
  1342.05        2500.00        98.9893                 NaN  0.786007E-001  0.438747       0.876200E-001            NaN  0.303794       0.101944                 NaN            NaN            NaN
  1340.84        2500.00        99.0026                 NaN  0.776132E-001  0.858920E-001  0.433477                 NaN  0.299915       0.100499                 NaN            NaN            NaN
  1339.63        2500.00        99.0147                 NaN  0.766671E-001  0.851347E-001  0.428090                 NaN  0.296550       0.989018E-001            NaN            NaN            NaN
  1338.42        2500.00        99.0279                 NaN  0.756003E-001  0.836684E-001  0.422475                 NaN  0.292754       0.976150E-001            NaN            NaN            NaN
