|6.6.6
Archiving\03_Data\eqfrac/QFM_m1/TIS/TIS_3.tab                             
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          12
T(K)           P(bar)         Sp(TH)         melt(TH)       Cpx(TH)        Cpx(TH)        Cpx(TH)        O(HP)          an             San(TH)        ilm            q             
  1448.72        2500.00       0.441622E-002   92.6710        4.89222        2.28027                 NaN  0.152101                 NaN            NaN            NaN            NaN
  1447.60        2500.00       0.539054E-003   99.3830       0.172360       0.418080                 NaN  0.260320E-001            NaN            NaN            NaN            NaN
  1446.47        2500.00       0.515194E-003   99.3863       0.416753       0.170630                 NaN  0.258089E-001            NaN            NaN            NaN            NaN
  1445.35        2500.00       0.497057E-003   99.3906       0.172766       0.411658                 NaN  0.244780E-001            NaN            NaN            NaN            NaN
  1444.22        2500.00       0.483450E-003   99.3866       0.414202       0.174135                 NaN  0.245321E-001            NaN            NaN            NaN            NaN
  1443.10        2500.00       0.454501E-003   99.4009       0.404596       0.170526                 NaN  0.235255E-001            NaN            NaN            NaN            NaN
  1441.97        2500.00       0.440438E-003   99.3974       0.406795       0.171978                 NaN  0.233853E-001            NaN            NaN            NaN            NaN
  1440.85        2500.00       0.414697E-003   99.3994       0.405035       0.172315                 NaN  0.228501E-001            NaN            NaN            NaN            NaN
  1439.72        2500.00       0.413345E-003   99.3834       0.177768       0.415555                 NaN  0.228817E-001            NaN            NaN            NaN            NaN
  1438.60        2500.00       0.372187E-003   99.4255       0.386615       0.166501                 NaN  0.209925E-001            NaN            NaN            NaN            NaN
  1437.47        2500.00       0.366170E-003   99.4064       0.172331       0.399700                 NaN  0.212427E-001            NaN            NaN            NaN            NaN
  1436.35        2500.00       0.348434E-003   99.4101       0.396670       0.172190                 NaN  0.207058E-001            NaN            NaN            NaN            NaN
  1435.22        2500.00       0.336380E-003   99.4005       0.402795       0.175690                 NaN  0.206312E-001            NaN            NaN            NaN            NaN
  1434.10        2500.00       0.108648E-003   99.7870       0.622030E-001  0.143523                 NaN  0.714620E-002            NaN            NaN            NaN            NaN
  1432.98        2500.00       0.503174E-003   99.0542       0.637061       0.272348                 NaN  0.358559E-001            NaN            NaN            NaN            NaN
  1431.85        2500.00       0.293467E-003   99.4170       0.179791       0.388685                 NaN  0.142708E-001            NaN            NaN            NaN            NaN
  1430.73        2500.00       0.289651E-003   99.3583       0.430481       0.190733                 NaN  0.202463E-001            NaN            NaN            NaN            NaN
  1429.60        2500.00       0.792429E-005   99.9719       0.188828E-001  0.381343E-004            NaN  0.912288E-002            NaN            NaN            NaN            NaN
  1428.48        2500.00       0.473612E-003   98.9346       0.327288       0.713765                 NaN  0.238830E-001            NaN            NaN            NaN            NaN
  1427.35        2500.00       0.227878E-003   99.4274       0.382909       0.172632                 NaN  0.167930E-001            NaN            NaN            NaN            NaN
  1426.23        2500.00       0.235528E-003   99.3759       0.188633       0.417516                 NaN  0.177534E-001            NaN            NaN            NaN            NaN
