|6.6.6
Archiving\03_Data\eqfrac/QFM_m2/KHA22/KHA22_3.tab                         
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          14
T(K)           P(bar)         melt(TH)       Opx(TH)        O(HP)          O(HP)          Sp(TH)         Cpx(TH)        Cpx(TH)        an             San(TH)        ilm            ne             lc            
  1589.74        2500.00        99.9749       0.128459E-001  0.122230E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1588.26        2500.00        99.4801       0.477481       0.424234E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1586.78        2500.00        99.3892       0.552897       0.579326E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1585.31        2500.00        99.3942       0.548967       0.568592E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1583.83        2500.00        99.3995       0.544322       0.561688E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1582.35        2500.00        98.0404        1.72051       0.229715                 NaN  0.940666E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1580.87        2500.00        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1579.39        2500.00        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1577.92        2500.00        99.6805       0.290929       0.285798E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1576.44        2500.00        99.4450       0.505472       0.495615E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1574.96        2500.00        99.4336       0.513956       0.524876E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1573.48        2500.00        99.4380       0.511223       0.507762E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1572.00        2500.00        99.4421       0.508768       0.491404E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1570.53        2500.00        99.4464       0.504800       0.488492E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1569.05        2500.00        99.4515       0.499674       0.488379E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1567.57        2500.00        99.4577       0.494608       0.476532E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1566.09        2500.00        99.4588       0.494766       0.464080E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1564.61        2500.00        99.4673       0.486456       0.462035E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1563.14        2500.00        99.4701       0.485482       0.444290E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1561.66        2500.00        99.4742       0.481934       0.438495E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1560.18        2500.00        99.4451       0.507581       0.473091E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1558.70        2500.00        99.5169       0.443467       0.396585E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1557.22        2500.00        99.9614       0.279988E-001  0.105653E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1555.74        2500.00        99.0184       0.909477       0.721175E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1554.27        2500.00        99.4938       0.465289       0.408874E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1552.79        2500.00        99.5148       0.446287       0.389344E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1551.31        2500.00        99.4905       0.468775       0.407306E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1549.83        2500.00        99.5071       0.454751       0.381084E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
