|6.6.6
Archiving\03_Data\eqLP/QFM_m2.5/KHA22/KHA22_3.tab                         
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          15
T(K)           P(bar)         melt(TH)       mang           Ni             O(HP)          O(HP)          pxmn           Sp(TH)         Opx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)        ab            
  2000.00        500.000        99.7754       0.210856       0.136947E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1996.79        500.000        99.7754       0.210870       0.136950E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1993.59        500.000        99.7754       0.210883       0.136954E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1990.38        500.000        99.7754       0.210897       0.136957E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1987.18        500.000        99.7754       0.210911       0.136960E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1983.97        500.000        99.7754       0.210925       0.136964E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1980.77        500.000        99.7754       0.210939       0.136967E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1977.56        500.000        99.7753       0.210953       0.136971E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1974.36        500.000        99.7753       0.210967       0.136974E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1971.15        500.000        99.7753       0.210981       0.136978E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1967.95        500.000        99.7753       0.210995       0.136982E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1964.74        500.000        99.7753       0.211009       0.136985E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1961.54        500.000        99.7753       0.211023       0.136989E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1958.33        500.000        99.7753       0.211037       0.136993E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1955.13        500.000        99.7752       0.211052       0.136996E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1951.92        500.000        99.7752       0.211066       0.137000E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1948.72        500.000        99.7752       0.211080       0.137004E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1945.51        500.000        99.7752       0.211094       0.137008E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1942.31        500.000        99.7752       0.211109       0.137011E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1939.10        500.000        99.7752       0.211123       0.137015E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1935.90        500.000        99.7752       0.211137       0.137019E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1932.69        500.000        99.7751       0.211152       0.137023E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1929.49        500.000        99.7751       0.211166       0.137027E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1926.28        500.000        99.7751       0.211180       0.137031E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1923.08        500.000        99.7751       0.211195       0.137035E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1919.87        500.000        99.7751       0.211209       0.137039E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1916.67        500.000        99.6937       0.211235       0.133365E-001  0.817535E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1913.46        500.000        99.0358       0.211336       0.103269E-001  0.742503                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1910.26        500.000        98.3773       0.211437       0.731456E-002   1.40393                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1907.05        500.000        97.3949       0.211579       0.272961E-002   2.39081                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1903.85        500.000        96.7223       0.211682                 NaN   3.06602                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1900.64        500.000        96.2580       0.211759                 NaN   3.53026                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1897.44        500.000        95.7933       0.211837                 NaN   3.99486                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1894.23        500.000        95.2646       0.211923                 NaN   4.52351                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1891.03        500.000        94.7354       0.212009                 NaN   5.05261                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1887.82        500.000        94.1770       0.212098                 NaN   5.61092                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1884.62        500.000        93.0752       0.122042                 NaN   6.56989                 NaN  0.232849                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1881.41        500.000        91.7480                 NaN            NaN   7.70362                 NaN  0.548359                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1878.21        500.000        91.1489                 NaN            NaN   8.30244                 NaN  0.548629                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1875.00        500.000        90.5462                 NaN            NaN   8.90490                 NaN  0.548900                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1871.79        500.000        89.9429                 NaN            NaN   9.50791                 NaN  0.549171                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1868.59        500.000        89.3501                 NaN            NaN   10.1004                 NaN  0.549436                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1865.38        500.000        88.7415                 NaN            NaN   10.7011                 NaN  0.549714       0.774751E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1862.18        500.000        88.1344                 NaN            NaN   11.2953                 NaN  0.549994       0.202204E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1858.97        500.000        87.5268                 NaN            NaN   11.8902                 NaN  0.550274       0.327062E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1855.77        500.000        86.9302                 NaN            NaN   12.4744                 NaN  0.550549       0.447747E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1852.56        500.000        86.3331                 NaN            NaN   13.0592                 NaN  0.550824       0.568553E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1849.36        500.000        85.7354                 NaN            NaN   13.6446                 NaN  0.551098       0.689480E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1846.15        500.000        85.1371                 NaN            NaN   14.2305                 NaN  0.551371       0.810527E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1842.95        500.000        84.5641                 NaN            NaN   14.7919                 NaN  0.551635       0.924329E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1839.74        500.000        83.9905                 NaN            NaN   15.3538                 NaN  0.551898       0.103824                 NaN            NaN            NaN            NaN            NaN            NaN
  1836.54        500.000        83.4164                 NaN            NaN   15.9162                 NaN  0.552161       0.115226                 NaN            NaN            NaN            NaN            NaN            NaN
  1833.33        500.000        82.8419                 NaN            NaN   16.4790                 NaN  0.552423       0.126639                 NaN            NaN            NaN            NaN            NaN            NaN
  1830.13        500.000        82.2669                 NaN            NaN   17.0424                 NaN  0.552684       0.138062                 NaN            NaN            NaN            NaN            NaN            NaN
  1826.92        500.000        81.6913                 NaN            NaN   17.6062                 NaN  0.552944       0.149496                 NaN            NaN            NaN            NaN            NaN            NaN
  1823.72        500.000        81.1153                 NaN            NaN   18.1706                 NaN  0.553203       0.160941                 NaN            NaN            NaN            NaN            NaN            NaN
  1820.51        500.000        80.5388                 NaN            NaN   18.7353                 NaN  0.553462       0.172396                 NaN            NaN            NaN            NaN            NaN            NaN
  1817.31        500.000        79.9974                 NaN            NaN   19.2660                 NaN  0.553707       0.182865                 NaN            NaN            NaN            NaN            NaN            NaN
  1814.10        500.000        79.4556                 NaN            NaN   19.7971                 NaN  0.553952       0.193344                 NaN            NaN            NaN            NaN            NaN            NaN
  1810.90        500.000        78.9134                 NaN            NaN   20.3286                 NaN  0.554196       0.203831                 NaN            NaN            NaN            NaN            NaN            NaN
  1807.69        500.000        78.3707                 NaN            NaN   20.8605                 NaN  0.554438       0.214327                 NaN            NaN            NaN            NaN            NaN            NaN
  1804.49        500.000        77.8277                 NaN            NaN   21.3928                 NaN  0.554681       0.224832                 NaN            NaN            NaN            NaN            NaN            NaN
