|6.6.6
Archiving\03_Data\DeqfracLP/QFM_m1/T13/T13_1.tab                      
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          11
T(K)           P(bar)         melt(TH)       Opx(TH)        O(HP)          Cpx(TH)        Cpx(TH)        an             San(TH)        ilm            q             
  1596.15        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1594.66        500.000        99.0972       0.881553       0.212714E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1593.16        500.000        99.0206       0.920424       0.589752E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1591.67        500.000        99.0331       0.908743       0.581143E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1590.17        500.000        99.0415       0.901634       0.568888E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1588.68        500.000        99.0504       0.894268       0.552976E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1587.19        500.000        99.0611       0.884945       0.539731E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1585.69        500.000        99.0700       0.876660       0.533367E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1584.20        500.000        99.0399       0.908002       0.520972E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1582.70        500.000        99.7962       0.195890       0.790781E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1581.21        500.000        98.4193        1.48572       0.949490E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1579.71        500.000        98.5064        1.41501       0.785881E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1578.22        500.000        99.7317       0.252473       0.158752E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1576.73        500.000        99.1234       0.830571       0.460161E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1575.23        500.000        99.1312       0.823627       0.451241E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1573.74        500.000        99.1404       0.816214       0.433591E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1572.24        500.000        99.1468       0.812204       0.410459E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1570.75        500.000        99.1546       0.804778       0.406719E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1569.26        500.000        99.1626       0.798459       0.389835E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1567.76        500.000        99.1715       0.787357       0.411295E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1566.27        500.000        99.1784       0.784531       0.371008E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1564.77        500.000        99.1837       0.780717       0.355756E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1563.28        500.000        97.8303        2.08622       0.834644E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1561.79        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1560.29        500.000        99.6752       0.315860       0.894231E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1558.80        500.000        99.3215       0.650168       0.282831E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1557.30        500.000        99.2200       0.748740       0.312286E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1555.81        500.000        99.2271       0.742776       0.300909E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1554.31        500.000        99.1818       0.786714       0.314511E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1552.82        500.000        99.2911       0.681345       0.275522E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1551.33        500.000        99.2487       0.720424       0.308830E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1549.83        500.000        99.2545       0.720185       0.253127E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1548.34        500.000        99.2583       0.717362       0.243750E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1546.84        500.000        99.2525       0.726814       0.206404E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1545.35        500.000        99.2821       0.695175       0.227676E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1543.86        500.000        98.5911        1.37661       0.323192E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1542.36        500.000        99.8148       0.179391       0.580920E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1540.87        500.000        99.4398       0.545684       0.145501E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1539.37        500.000        99.2904       0.692317       0.172588E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1537.88        500.000        98.6374        1.31992       0.426335E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1536.39        500.000        99.9562       0.437995E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1534.89        500.000        99.3298       0.655363       0.148112E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1533.40        500.000        99.3122       0.674682       0.131023E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1531.90        500.000        99.3200       0.665990       0.140481E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1530.41        500.000        99.3231       0.665495       0.114023E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1528.92        500.000        99.3284       0.659583       0.120428E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1527.42        500.000        99.3326       0.657531       0.991388E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1525.93        500.000        99.3387       0.651502       0.983377E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1524.43        500.000        99.3194       0.672986       0.758678E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1522.94        500.000        99.3691       0.624224       0.669313E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1521.44        500.000        99.3536       0.628927       0.174519E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1519.95        500.000        99.3562       0.643844                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1518.46        500.000        99.3524       0.642885       0.475839E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1516.96        500.000        99.3771       0.622523       0.374344E-003            NaN            NaN            NaN            NaN            NaN            NaN
  1515.47        500.000        99.3745       0.525627       0.998519E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1513.97        500.000        99.3789       0.605445       0.156387E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1512.48        500.000        99.3765       0.623518                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1510.99        500.000        99.3789       0.621059                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
