|6.6.6
Archiving\03_Data\DeqfracLP/QFM_m1/T13/T13_3.tab                      
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          11
T(K)           P(bar)         melt(TH)       Opx(TH)        O(HP)          Cpx(TH)        Cpx(TH)        an             San(TH)        ilm            q             
  1596.15        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1594.66        500.000        99.2030       0.778746       0.182441E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1593.16        500.000        99.1366       0.812879       0.505568E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1591.67        500.000        99.1478       0.802425       0.498082E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1590.17        500.000        99.1555       0.795825       0.487233E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1588.68        500.000        99.1635       0.789181       0.473489E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1587.19        500.000        99.1732       0.780638       0.461854E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1585.69        500.000        99.1812       0.773165       0.456304E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1584.20        500.000        99.1550       0.800500       0.445400E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1582.70        500.000        99.8207       0.172519       0.674931E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1581.21        500.000        98.6087        1.31017       0.811654E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1579.71        500.000        98.6857        1.24719       0.671289E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1578.22        500.000        99.7643       0.222172       0.135394E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1576.73        500.000        99.2294       0.731306       0.392623E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1575.23        500.000        99.2365       0.725010       0.384854E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1573.74        500.000        99.2447       0.718360       0.369682E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1572.24        500.000        99.2504       0.714629       0.349769E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1570.75        500.000        99.2575       0.707856       0.346399E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1569.26        500.000        99.2646       0.702167       0.331897E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1567.76        500.000        99.2728       0.692170       0.350026E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1566.27        500.000        99.2790       0.689474       0.315498E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1564.77        500.000        99.2839       0.685856       0.302410E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1563.28        500.000        98.0929        1.83595       0.711144E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1561.79        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1560.29        500.000        99.7152       0.277235       0.759006E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1558.80        500.000        99.4054       0.570576       0.240051E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1557.30        500.000        99.3165       0.656983       0.264907E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1555.81        500.000        99.3229       0.651592       0.255191E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1554.31        500.000        99.2834       0.689983       0.266664E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1552.82        500.000        99.3794       0.597252       0.233407E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1551.33        500.000        99.3423       0.631503       0.261586E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1549.83        500.000        99.3476       0.631004       0.214257E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1548.34        500.000        99.3509       0.628436       0.206243E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1546.84        500.000        99.3456       0.636917       0.174633E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1545.35        500.000        99.3721       0.608652       0.192468E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1543.86        500.000        98.7669        1.20575       0.273086E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1542.36        500.000        99.8382       0.156891       0.490557E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1540.87        500.000        99.5105       0.477269       0.122794E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1539.37        500.000        99.3799       0.605511       0.145623E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1537.88        500.000        98.8089        1.15511       0.360083E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1536.39        500.000        99.9617       0.382555E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1534.89        500.000        99.4147       0.572803       0.124829E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1533.40        500.000        99.3995       0.589473       0.110361E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1531.90        500.000        99.4065       0.581670       0.118250E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1530.41        500.000        99.4093       0.581080       0.959379E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1528.92        500.000        99.4140       0.575852       0.101306E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1527.42        500.000        99.4178       0.573862       0.833453E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1525.93        500.000        99.4233       0.568467       0.826474E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1524.43        500.000        99.4065       0.587079       0.637345E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1522.94        500.000        99.4500       0.544406       0.562040E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1521.44        500.000        99.4371       0.548301       0.146462E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1519.95        500.000        99.4389       0.561082                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1518.46        500.000        99.4359       0.560109       0.398990E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1516.96        500.000        99.4573       0.542336       0.313791E-003            NaN            NaN            NaN            NaN            NaN            NaN
  1515.47        500.000        99.4586       0.457755       0.836454E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1513.97        500.000        99.4598       0.527094       0.130935E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1512.48        500.000        99.4574       0.542645                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1510.99        500.000        99.4597       0.540345                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1509.49        500.000        99.4643       0.535680                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1508.00        500.000        99.4695       0.530469                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1506.50        500.000        99.4716       0.528423                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1505.01        500.000        99.4743       0.525723                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1503.52        500.000        99.4778       0.522188                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1502.02        500.000        99.4813       0.518733                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1500.53        500.000        99.4844       0.515606                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1499.03        500.000        99.4887       0.511290       0.106207E-005            NaN            NaN            NaN            NaN            NaN            NaN
  1497.54        500.000        99.4911       0.508892       0.113051E-004            NaN            NaN            NaN            NaN            NaN            NaN
  1496.04        500.000        99.4960       0.483865       0.201827E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1494.55        500.000        99.4973       0.502664                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1493.06        500.000        99.4993       0.500653                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1491.56        500.000        99.5026       0.497406       0.499518E-005            NaN            NaN            NaN            NaN            NaN            NaN
  1490.07        500.000        99.5064       0.493618                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1488.57        500.000        99.5096       0.490370                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1487.08        500.000        99.6389       0.327246       0.338419E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1485.59        500.000        99.3963       0.603680                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1484.09        500.000        99.5181       0.481948                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1482.60        500.000        99.4888       0.511181                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1481.10        500.000        99.6085       0.391483                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1479.61        500.000        99.5061       0.493933                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1478.12        500.000        99.4838       0.516214                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1476.62        500.000        99.5294       0.470623                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1475.13        500.000        99.5341       0.465900                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1473.63        500.000        99.5340       0.466028                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1472.14        500.000        99.5366       0.463427                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1470.64        500.000        99.5383       0.461696                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1469.15        500.000        99.5519       0.448079                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1467.66        500.000        99.4056                 NaN            NaN  0.594420                 NaN            NaN            NaN            NaN            NaN
  1466.16        500.000        99.4001                 NaN            NaN  0.599866                 NaN            NaN            NaN            NaN            NaN
  1464.67        500.000        99.3958                 NaN            NaN  0.604152                 NaN            NaN            NaN            NaN            NaN
  1463.17        500.000        99.3864       0.919462E-002            NaN  0.604407                 NaN            NaN            NaN            NaN            NaN
  1461.68        500.000        99.3934                 NaN            NaN  0.606649                 NaN            NaN            NaN            NaN            NaN
  1460.19        500.000        99.2862                 NaN            NaN  0.552204       0.161574                 NaN            NaN            NaN            NaN
  1458.69        500.000        99.0168                 NaN            NaN  0.629995       0.353215                 NaN            NaN            NaN            NaN
  1457.20        500.000        99.0252                 NaN            NaN  0.348782       0.625991                 NaN            NaN            NaN            NaN
  1455.70        500.000        99.0342                 NaN            NaN  0.620966       0.344845                 NaN            NaN            NaN            NaN
  1454.21        500.000        99.0461                 NaN            NaN  0.612400       0.341499                 NaN            NaN            NaN            NaN
  1452.72        500.000        99.0545                 NaN            NaN  0.607271       0.338251                 NaN            NaN            NaN            NaN
  1451.22        500.000        99.0609                 NaN            NaN  0.603329       0.335813                 NaN            NaN            NaN            NaN
  1449.73        500.000        99.0721                 NaN            NaN  0.331487       0.596405                 NaN            NaN            NaN            NaN
  1448.23        500.000        99.0787                 NaN            NaN  0.327813       0.593522                 NaN            NaN            NaN            NaN
  1446.74        500.000        99.0876                 NaN            NaN  0.586585       0.325854                 NaN            NaN            NaN            NaN
  1445.24        500.000        99.0984                 NaN            NaN  0.581860       0.319714                 NaN            NaN            NaN            NaN
  1443.75        500.000        99.1000                 NaN            NaN  0.581424       0.318588                 NaN            NaN            NaN            NaN
  1442.26        500.000        99.1155                 NaN            NaN  0.570261       0.314235                 NaN            NaN            NaN            NaN
  1440.76        500.000        99.1176                 NaN            NaN  0.570272       0.312090                 NaN            NaN            NaN            NaN
  1439.27        500.000        99.1309                 NaN            NaN  0.307575       0.561527                 NaN            NaN            NaN            NaN
  1437.77        500.000        99.1345                 NaN            NaN  0.304873       0.560630                 NaN            NaN            NaN            NaN
  1436.28        500.000        99.1443                 NaN            NaN  0.301241       0.554480                 NaN            NaN            NaN            NaN
  1434.79        500.000        99.1450                 NaN            NaN  0.299755       0.555241                 NaN            NaN            NaN            NaN
  1433.29        500.000        99.1608                 NaN            NaN  0.544146       0.295097                 NaN            NaN            NaN            NaN
  1431.80        500.000        99.1632                 NaN            NaN  0.543404       0.293381                 NaN            NaN            NaN            NaN
  1430.30        500.000        99.1708                 NaN            NaN  0.538731       0.290436                 NaN            NaN            NaN            NaN
  1428.81        500.000        99.1370                 NaN            NaN  0.300592       0.562369                 NaN            NaN            NaN            NaN
  1427.32        500.000        98.4791                 NaN            NaN  0.582673       0.592225       0.345953                 NaN            NaN            NaN
  1425.82        500.000        97.4579                 NaN            NaN  0.726823        1.00572       0.809541                 NaN            NaN            NaN
  1424.33        500.000        97.5141                 NaN            NaN  0.711079       0.982987       0.791849                 NaN            NaN            NaN
  1422.83        500.000        97.5671                 NaN            NaN  0.961384       0.696407       0.775108                 NaN            NaN            NaN
  1421.34        500.000        97.6083                 NaN            NaN  0.684277       0.944706       0.762681                 NaN            NaN            NaN
  1419.84        500.000        97.6711                 NaN            NaN  0.667924       0.919232       0.741730                 NaN            NaN            NaN
