|6.6.6
Archiving\03_Data\DeqfracLP/QFM_m0.75/YM20/YM20_1.tab                   
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          12
T(K)           P(bar)         Sp(TH)         melt(TH)       Opx(TH)        O(HP)          Cpx(TH)        Cpx(TH)        an             San(TH)        ilm            q             
  1576.92        500.000       0.101562E-001   99.1311       0.858717                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1575.47        500.000                 NaN   99.1492       0.850782                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1574.03        500.000                 NaN   99.1566       0.843394                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1572.58        500.000                 NaN   99.1651       0.834852                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1571.14        500.000                 NaN   99.1685       0.827546       0.394371E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1569.69        500.000                 NaN   99.1789       0.818465       0.262995E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1568.24        500.000                 NaN   99.1857       0.812628       0.167528E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1566.80        500.000                 NaN   99.1916       0.782209       0.262366E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1565.35        500.000                 NaN   99.2043       0.758730       0.370092E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1563.91        500.000                 NaN   99.2077       0.751178       0.411101E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1562.46        500.000                 NaN   99.2148       0.747136       0.380545E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1561.01        500.000                 NaN   99.2207       0.743182       0.360856E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1559.57        500.000                 NaN   99.1661       0.800728       0.331678E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1558.12        500.000                 NaN   99.9217       0.758274E-001  0.242661E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1556.68        500.000                 NaN   98.6133        1.32493       0.617416E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1555.23        500.000                 NaN   99.2464       0.721570       0.320356E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1553.79        500.000                 NaN   99.2521       0.717116       0.308001E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1552.34        500.000                 NaN   99.2588       0.710994       0.302455E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1550.89        500.000                 NaN   99.2645       0.706911       0.285776E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1549.45        500.000                 NaN   99.2699       0.701240       0.288622E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1548.00        500.000                 NaN   99.2767       0.696487       0.268282E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1546.56        500.000                 NaN   99.2810       0.694066       0.249471E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1545.11        500.000                 NaN   99.2876       0.687575       0.247924E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1543.66        500.000                 NaN   99.2935       0.681960       0.245613E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1542.22        500.000                 NaN   99.2948       0.680849       0.243757E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1540.77        500.000                 NaN   99.3070       0.670217       0.228175E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1539.33        500.000                 NaN   99.3093       0.670893       0.198432E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1537.88        500.000                 NaN   99.3142       0.665376       0.204641E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1536.43        500.000                 NaN   99.2748       0.705393       0.197650E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1534.99        500.000                 NaN   99.3731       0.608702       0.181692E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1533.54        500.000                 NaN   99.3209       0.662621       0.164295E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1532.10        500.000                 NaN   99.3337       0.650946       0.153771E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1530.65        500.000                 NaN   99.3371       0.647749       0.151081E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1529.20        500.000                 NaN   99.3433       0.642558       0.140999E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1527.76        500.000                 NaN   99.3451       0.643140       0.117278E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1526.31        500.000                 NaN   99.3475       0.640938       0.115285E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1524.87        500.000                 NaN   99.3600       0.629428       0.105316E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1523.42        500.000                 NaN   99.3589       0.631820       0.926335E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1521.98        500.000                 NaN   99.3647       0.626252       0.907446E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1520.53        500.000                 NaN   99.3672       0.625127       0.764070E-002            NaN            NaN            NaN            NaN            NaN            NaN
