|6.6.6
Archiving\03_Data\fracLP/QFM_m4.75/TAY13/TAY13_1.tab                      
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          16
T(K)           P(bar)         melt(TH)       mang           iron           Ni             O(HP)          Sp(TH)         Opx(TH)        Cpx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)        q              ilm           
  1882.21        500.000        99.4151                 NaN            NaN            NaN  0.584924                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1879.70        500.000        99.4195                 NaN  0.279625E-002            NaN  0.577744                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1877.19        500.000        99.4193                 NaN            NaN            NaN  0.580678                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1874.69        500.000        98.8512                 NaN            NaN            NaN   1.14885                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1872.18        500.000        99.9020                 NaN  0.259121E-002            NaN  0.954025E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1869.67        500.000        99.5095                 NaN            NaN            NaN  0.490473                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1867.17        500.000        99.6785                 NaN  0.276263E-001            NaN  0.293882                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1864.66        500.000        99.2071                 NaN            NaN            NaN  0.792922                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1862.16        500.000        99.4375                 NaN            NaN            NaN  0.562491                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1859.65        500.000        99.4379                 NaN            NaN            NaN  0.562120                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1857.14        500.000        99.4396                 NaN            NaN            NaN  0.560377                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1854.64        500.000        99.7005                 NaN  0.445721E-001            NaN  0.254900                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1852.13        500.000        99.1754                 NaN            NaN            NaN  0.824633                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1849.62        500.000        99.4467                 NaN            NaN            NaN  0.553340                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1847.12        500.000        99.4479                 NaN            NaN            NaN  0.552068                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1844.61        500.000        99.4484                 NaN            NaN            NaN  0.551637                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1842.11        500.000        99.4502                 NaN            NaN            NaN  0.549811                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1839.60        500.000        99.4517                 NaN            NaN            NaN  0.548317                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1837.09        500.000        99.4531                 NaN            NaN            NaN  0.546871                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1834.59        500.000        99.4531                 NaN            NaN            NaN  0.546853                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1832.08        500.000        99.4543                 NaN            NaN            NaN  0.545691                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1829.57        500.000        99.4555                 NaN            NaN            NaN  0.544452                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1827.07        500.000        99.4555                 NaN            NaN            NaN  0.544451                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1824.56        500.000        99.4557                 NaN            NaN            NaN  0.544271                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1822.06        500.000        99.4575                 NaN            NaN            NaN  0.542512                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1819.55        500.000        99.4582                 NaN            NaN            NaN  0.541846                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1817.04        500.000        99.4555                 NaN            NaN            NaN  0.541400       0.305170E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1814.54        500.000        99.4423                 NaN            NaN            NaN  0.541988       0.157023E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1812.03        500.000        98.9535                 NaN            NaN            NaN   1.01700       0.295140E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1809.52        500.000        99.9368                 NaN            NaN            NaN  0.614902E-001  0.169366E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1807.02        500.000        99.6297                 NaN            NaN            NaN  0.360038       0.102852E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1804.51        500.000        99.8824                 NaN            NaN            NaN  0.114151       0.339925E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1802.01        500.000        98.8160                 NaN            NaN            NaN   1.15109       0.328851E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1799.50        500.000        99.4421                 NaN            NaN            NaN  0.542407       0.154569E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1796.99        500.000        99.4412                 NaN            NaN            NaN  0.543338       0.154304E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1794.49        500.000        99.4392                 NaN            NaN            NaN  0.545335       0.154307E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1791.98        500.000        99.4409                 NaN            NaN            NaN  0.543776       0.153371E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1789.47        500.000        99.4400                 NaN            NaN            NaN  0.544697       0.152916E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1786.97        500.000        99.4593                 NaN            NaN            NaN  0.525944       0.147235E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1784.46        500.000        99.4152                 NaN            NaN            NaN  0.568904       0.158703E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1781.95        500.000        99.4378                 NaN            NaN            NaN  0.547048       0.151699E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1779.45        500.000        99.4352                 NaN            NaN            NaN  0.549641       0.151604E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1776.94        500.000        99.4316                 NaN            NaN            NaN  0.553184       0.151829E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1774.44        500.000        99.4336                 NaN            NaN            NaN  0.551382       0.150506E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1771.93        500.000        99.4301                 NaN            NaN            NaN  0.554787       0.150728E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1769.42        500.000        98.5295                 NaN            NaN            NaN   1.43250       0.380312E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1766.92        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1764.41        500.000        99.7515                 NaN            NaN            NaN  0.241782       0.676725E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1761.90        500.000        99.4264                 NaN            NaN            NaN  0.558728       0.148409E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1759.40        500.000        99.4216                 NaN            NaN            NaN  0.563526       0.149202E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1756.89        500.000        99.4185                 NaN            NaN            NaN  0.566625       0.149081E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1754.39        500.000        99.4179                 NaN            NaN            NaN  0.567248       0.148360E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1751.88        500.000        99.4144                 NaN            NaN            NaN  0.570751       0.148352E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1749.37        500.000        99.4132                 NaN            NaN            NaN  0.572006       0.148023E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1746.87        500.000        99.4199                 NaN            NaN            NaN  0.565548       0.145229E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1744.36        500.000        99.3994                 NaN            NaN            NaN  0.585614       0.149732E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1741.85        500.000        99.4029                 NaN            NaN            NaN  0.582266       0.147888E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1739.35        500.000        99.4061                 NaN            NaN            NaN  0.579293       0.146029E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1736.84        500.000        99.4011                 NaN            NaN            NaN  0.584276       0.146652E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1734.34        500.000        99.3980                 NaN            NaN            NaN  0.587364       0.146521E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1731.83        500.000        99.3934                 NaN            NaN            NaN  0.591931       0.146724E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1729.32        500.000        99.3925                 NaN            NaN            NaN  0.592872       0.145918E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1726.82        500.000        99.3899                 NaN            NaN            NaN  0.595526       0.145706E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1724.31        500.000        99.3860                 NaN            NaN            NaN  0.599418       0.145750E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1721.80        500.000        99.3837                 NaN            NaN            NaN  0.601732       0.145323E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1719.30        500.000        99.3804                 NaN            NaN            NaN  0.605085       0.145323E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1716.79        500.000        99.3787                 NaN            NaN            NaN  0.606779       0.144837E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1714.29        500.000        99.3744                 NaN            NaN            NaN  0.611087       0.144954E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1711.78        500.000        99.3709                 NaN            NaN            NaN  0.614595       0.144910E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1709.27        500.000        99.3701                 NaN            NaN            NaN  0.615507       0.144299E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1706.77        500.000        99.3658                 NaN            NaN            NaN  0.619738       0.144223E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1704.26        500.000        99.3644                 NaN            NaN            NaN  0.621251       0.143932E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1701.75        500.000        99.3602                 NaN            NaN            NaN  0.625396       0.143922E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1699.25        500.000        99.3579                 NaN            NaN            NaN  0.627726       0.143708E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1696.74        500.000        99.3811                 NaN            NaN            NaN  0.605149       0.137821E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1694.24        500.000        99.3243                 NaN            NaN            NaN  0.660709       0.149555E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1691.73        500.000        99.3479                 NaN            NaN            NaN  0.637721       0.143381E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1689.22        500.000        99.3413                 NaN            NaN            NaN  0.644298       0.144282E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1686.72        500.000        99.3510                 NaN            NaN            NaN  0.634876       0.141339E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1684.21        500.000        99.3424                 NaN            NaN            NaN  0.643377       0.142655E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1681.70        500.000        99.3393                 NaN            NaN            NaN  0.646466       0.142690E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1679.20        500.000        99.3372                 NaN            NaN            NaN  0.648597       0.142462E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1676.69        500.000        99.3376                 NaN            NaN            NaN  0.648176       0.141781E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1674.19        500.000        99.3278                 NaN            NaN            NaN  0.657857       0.143233E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1671.68        500.000        99.3324                 NaN            NaN            NaN  0.653442       0.141534E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1669.17        500.000        98.9414                 NaN            NaN            NaN   1.04357       0.149945E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1666.67        500.000        99.7179                 NaN            NaN            NaN  0.268750       0.133663E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1664.16        500.000        99.3209                 NaN            NaN            NaN  0.664986       0.141501E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1661.65        500.000        99.3281                 NaN            NaN            NaN  0.657780       0.141464E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1659.15        500.000        99.3230                 NaN            NaN            NaN  0.662832       0.141249E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1656.64        500.000        99.3104                 NaN            NaN            NaN  0.675246       0.143499E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1654.14        500.000        99.3312                 NaN            NaN            NaN  0.654987       0.138553E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1651.63        500.000        99.3185                 NaN            NaN            NaN  0.667398       0.140995E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1649.12        500.000        99.3188                 NaN            NaN            NaN  0.667154       0.140424E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1646.62        500.000        99.3054                 NaN            NaN            NaN  0.680323       0.142992E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1644.11        500.000        99.3296                 NaN            NaN            NaN  0.656691       0.137511E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1641.60        500.000        99.3158                 NaN            NaN            NaN  0.670191       0.140204E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1639.10        500.000        99.3175                 NaN            NaN            NaN  0.668489       0.139710E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1636.59        500.000        99.3152                 NaN            NaN            NaN  0.670849       0.139940E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1634.09        500.000        99.3182                 NaN            NaN            NaN  0.667921       0.139219E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1631.58        500.000        99.3173                 NaN            NaN            NaN  0.668796       0.139178E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1629.07        500.000        99.3174                 NaN            NaN            NaN  0.668690       0.139039E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1626.57        500.000        99.2676                 NaN            NaN            NaN  0.717529       0.148927E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1624.06        500.000        99.3702                 NaN            NaN            NaN  0.616988       0.128210E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1621.55        500.000        99.3198                 NaN            NaN            NaN  0.666342       0.138332E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1619.05        500.000        99.1833                 NaN            NaN            NaN  0.593116       0.101401E-001  0.213460                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1616.54        500.000        98.2433                 NaN            NaN            NaN  0.790345E-001            NaN   1.67766                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1614.04        500.000        98.2704                 NaN            NaN            NaN  0.775292E-001            NaN   1.65204                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1611.53        500.000        98.3114                 NaN            NaN            NaN  0.752149E-001            NaN   1.61335                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1609.02        500.000        98.3403                 NaN            NaN            NaN  0.714846E-001            NaN   1.58819                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1606.52        500.000        98.3718                 NaN            NaN            NaN  0.687320E-001            NaN   1.55942                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1604.01        500.000        98.3998                 NaN            NaN            NaN  0.681912E-001            NaN   1.53205                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1601.50        500.000        98.4354                 NaN            NaN            NaN  0.643851E-001            NaN   1.50017                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1599.00        500.000        98.4489                 NaN            NaN            NaN  0.576395E-001            NaN   1.49348                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1596.49        500.000        98.4910                 NaN            NaN            NaN  0.600616E-001            NaN   1.44895                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1593.98        500.000        99.3731                 NaN            NaN            NaN  0.233812E-001            NaN  0.603506                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1591.48        500.000        97.6890                 NaN            NaN            NaN  0.813265E-001            NaN   2.22965                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1588.97        500.000        98.5671                 NaN            NaN            NaN  0.497826E-001            NaN   1.38307                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1586.47        500.000        98.2561                 NaN            NaN            NaN  0.374135E-001            NaN   1.70648                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1583.96        500.000        98.9234                 NaN            NaN            NaN  0.229544E-001            NaN   1.05366                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1581.45        500.000        98.6390                 NaN            NaN            NaN  0.428677E-001            NaN   1.31812                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1578.95        500.000        98.6600                 NaN            NaN            NaN  0.385589E-001            NaN   1.30141                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1576.44        500.000        98.4299                 NaN            NaN            NaN  0.362269E-001            NaN   1.53386                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1573.93        500.000        98.9509                 NaN            NaN            NaN  0.286833E-001            NaN   1.02045                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1571.43        500.000        98.7228                 NaN            NaN            NaN  0.312703E-001            NaN   1.24589                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1568.92        500.000        98.0393                 NaN            NaN            NaN  0.426459E-001            NaN   1.91807                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1566.42        500.000        99.4786                 NaN            NaN            NaN  0.142210E-001            NaN  0.507159                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1563.91        500.000        98.7824                 NaN            NaN            NaN  0.245389E-001            NaN   1.19307                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1561.40        500.000        98.7036                 NaN            NaN            NaN  0.343761E-001            NaN   1.26207                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1558.90        500.000        98.9227                 NaN            NaN            NaN  0.151045E-001            NaN   1.06221                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1556.39        500.000        98.8340                 NaN            NaN            NaN  0.481387E-002            NaN   1.16121                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1553.88        500.000        98.8521                 NaN            NaN            NaN  0.231052E-001            NaN   1.12475                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1551.38        500.000        98.8718                 NaN            NaN            NaN  0.148317E-001            NaN   1.11339                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1548.87        500.000        98.8854                 NaN            NaN            NaN  0.935898E-002            NaN   1.10524                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1546.37        500.000        98.8972                 NaN            NaN            NaN  0.608762E-002            NaN   1.09667                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1543.86        500.000        98.9207                 NaN            NaN            NaN  0.267030E-001            NaN   1.05259                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1541.35        500.000        98.9347                 NaN            NaN            NaN  0.129639E-001            NaN   1.05230                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1538.85        500.000        98.9450                 NaN            NaN            NaN            NaN            NaN   1.05497                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1536.34        500.000        98.9554                 NaN            NaN            NaN  0.711613E-002            NaN   1.03753                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1533.83        500.000        98.9811                 NaN            NaN            NaN            NaN            NaN   1.01886                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
