|6.6.6
Archiving\03_Data\eqfrac/QFM_m1.5/TIS/TIS_1.tab                           
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          14
T(K)           P(bar)         Sp(TH)         melt(TH)       Cpx(TH)        Cpx(TH)        Cpx(TH)        Cpx(TH)        O(HP)          O(HP)          an             ilm            San(TH)        q             
  1461.54        2500.00       0.555884E-002   99.9159       0.147675E-001  0.637724E-001            NaN            NaN  0.726822E-005            NaN            NaN            NaN            NaN            NaN
  1460.38        2500.00       0.121066E-002   99.2416       0.248816       0.508398                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1459.23        2500.00       0.114882E-002   99.2455       0.248063       0.505241                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1458.07        2500.00       0.112251E-002   99.2504       0.246779       0.501701                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1456.91        2500.00       0.107878E-002   99.2533       0.245741       0.499845                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1455.76        2500.00       0.102993E-002   99.2573       0.497215       0.244480                 NaN            NaN  0.825508E-005            NaN            NaN            NaN            NaN            NaN
  1454.60        2500.00       0.101827E-002   99.2499       0.488172       0.260879                 NaN            NaN  0.263877E-005            NaN            NaN            NaN            NaN            NaN
  1453.44        2500.00       0.708349E-003   99.2829       0.130121       0.525498                 NaN            NaN  0.607830E-001            NaN            NaN            NaN            NaN            NaN
  1452.29        2500.00       0.923635E-003   99.2677       0.241694       0.489638                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1451.13        2500.00       0.304586E-003   99.7283       0.884497E-001  0.182785                 NaN            NaN  0.142408E-003            NaN            NaN            NaN            NaN            NaN
  1449.97        2500.00       0.131536E-002   98.8223       0.333971       0.805878                 NaN            NaN  0.365090E-001            NaN            NaN            NaN            NaN            NaN
  1448.82        2500.00       0.723307E-003   99.2825       0.187675       0.496645                 NaN            NaN  0.324088E-001            NaN            NaN            NaN            NaN            NaN
  1447.66        2500.00       0.690794E-003   99.2859       0.494019       0.187589                 NaN            NaN  0.317536E-001            NaN            NaN            NaN            NaN            NaN
  1446.50        2500.00       0.657996E-003   99.2887       0.491597       0.187947                 NaN            NaN  0.310727E-001            NaN            NaN            NaN            NaN            NaN
  1445.35        2500.00       0.624392E-003   99.2925       0.488652       0.187850                 NaN            NaN  0.304027E-001            NaN            NaN            NaN            NaN            NaN
  1444.19        2500.00       0.591894E-003   99.2945       0.187456       0.487845                 NaN            NaN  0.295702E-001            NaN            NaN            NaN            NaN            NaN
  1443.03        2500.00       0.565183E-003   99.2949       0.486389       0.188865                 NaN            NaN  0.293113E-001            NaN            NaN            NaN            NaN            NaN
  1441.88        2500.00       0.532842E-003   99.3049       0.478998       0.187202                 NaN            NaN  0.283517E-001            NaN            NaN            NaN            NaN            NaN
  1440.72        2500.00       0.508527E-003   99.3024       0.188389       0.480784                 NaN            NaN  0.278916E-001            NaN            NaN            NaN            NaN            NaN
  1439.56        2500.00       0.480632E-003   99.3072       0.476430       0.188692                 NaN            NaN  0.271489E-001            NaN            NaN            NaN            NaN            NaN
  1438.41        2500.00       0.489223E-003   99.2601       0.211453       0.504948                 NaN            NaN  0.230202E-001            NaN            NaN            NaN            NaN            NaN
  1437.25        2500.00       0.384264E-003   99.3615       0.442072       0.166438                 NaN            NaN  0.295951E-001            NaN            NaN            NaN            NaN            NaN
  1436.09        2500.00       0.397840E-003   99.3148       0.189192       0.470350                 NaN            NaN  0.252550E-001            NaN            NaN            NaN            NaN            NaN
  1434.93        2500.00       0.374417E-003   99.3162       0.469432       0.189146                 NaN            NaN  0.248251E-001            NaN            NaN            NaN            NaN            NaN
  1433.78        2500.00       0.404014E-003   99.2123       0.219374       0.540236                 NaN            NaN  0.276467E-001            NaN            NaN            NaN            NaN            NaN
  1432.62        2500.00       0.276223E-003   99.4280       0.392240       0.159915                 NaN            NaN  0.195791E-001            NaN            NaN            NaN            NaN            NaN
  1431.46        2500.00       0.531214E-004   99.9679       0.292918E-001            NaN            NaN            NaN  0.277563E-002            NaN            NaN            NaN            NaN            NaN
  1430.31        2500.00       0.557990E-003   98.6769       0.931359       0.349135                 NaN            NaN  0.420135E-001            NaN            NaN            NaN            NaN            NaN
  1429.15        2500.00       0.256647E-003   99.3318       0.457318       0.188883                 NaN            NaN  0.217351E-001            NaN            NaN            NaN            NaN            NaN
  1427.99        2500.00       0.242388E-003   99.3301       0.190442       0.458256                 NaN            NaN  0.210036E-001            NaN            NaN            NaN            NaN            NaN
  1426.84        2500.00       0.221592E-003   99.3323       0.190271       0.456740                 NaN            NaN  0.204472E-001            NaN            NaN            NaN            NaN            NaN
  1425.68        2500.00       0.193339E-003   99.3321       0.189751       0.458075                 NaN            NaN  0.198974E-001            NaN            NaN            NaN            NaN            NaN
  1424.52        2500.00       0.319387E-003   99.1039       0.241087       0.555790                 NaN            NaN  0.487640E-001            NaN  0.501406E-001            NaN            NaN            NaN
  1423.37        2500.00                 NaN   98.7048       0.452690       0.240417                 NaN            NaN  0.214112                 NaN  0.387987                 NaN            NaN            NaN
  1422.21        2500.00                 NaN   98.3957       0.292418       0.562988                 NaN            NaN  0.268304                 NaN  0.480608                 NaN            NaN            NaN
  1421.05        2500.00                 NaN   98.4125       0.558404       0.284066                 NaN            NaN  0.269026                 NaN  0.476040                 NaN            NaN            NaN
  1419.90        2500.00                 NaN   98.4360       0.552513       0.275321                 NaN            NaN  0.267587                 NaN  0.468596                 NaN            NaN            NaN
  1418.74        2500.00                 NaN   98.4487       0.266174       0.551439                 NaN            NaN  0.268566                 NaN  0.465092                 NaN            NaN            NaN
  1417.58        2500.00                 NaN   98.4697       0.545254       0.258148                 NaN            NaN  0.268217                 NaN  0.458655                 NaN            NaN            NaN
  1416.43        2500.00                 NaN   98.4844       0.542417       0.250072                 NaN            NaN  0.268510                 NaN  0.454590                 NaN            NaN            NaN
  1415.27        2500.00                 NaN   98.5021       0.538517       0.241840                 NaN            NaN  0.268575                 NaN  0.448965                 NaN            NaN            NaN
  1414.11        2500.00                 NaN   98.5174       0.234516       0.534798                 NaN            NaN  0.268777                 NaN  0.444481                 NaN            NaN            NaN
  1412.96        2500.00                 NaN   98.5348       0.530066       0.227112                 NaN            NaN  0.268698                 NaN  0.439357                 NaN            NaN            NaN
  1411.80        2500.00                 NaN   98.5493       0.219043       0.527590                 NaN            NaN  0.268954                 NaN  0.435074                 NaN            NaN            NaN
  1410.64        2500.00                 NaN   98.5613       0.524867       0.211907                 NaN            NaN  0.270284                 NaN  0.431686                 NaN            NaN            NaN
