|6.6.6
Archiving\03_Data\eqfrac/QFM_m1.5/TIS/TIS_3.tab                           
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          14
T(K)           P(bar)         Sp(TH)         melt(TH)       Cpx(TH)        Cpx(TH)        Cpx(TH)        Cpx(TH)        O(HP)          O(HP)          an             ilm            San(TH)        q             
  1448.82        2500.00       0.476506E-003   99.3781       0.161810       0.433482                 NaN            NaN  0.261679E-001            NaN            NaN            NaN            NaN            NaN
  1447.66        2500.00       0.455288E-003   99.3813       0.430998       0.161644                 NaN            NaN  0.256163E-001            NaN            NaN            NaN            NaN            NaN
  1446.50        2500.00       0.433906E-003   99.3839       0.428747       0.161884                 NaN            NaN  0.250474E-001            NaN            NaN            NaN            NaN            NaN
  1445.35        2500.00       0.411912E-003   99.3874       0.425994       0.161712                 NaN            NaN  0.244891E-001            NaN            NaN            NaN            NaN            NaN
  1444.19        2500.00       0.390653E-003   99.3894       0.161287       0.425098                 NaN            NaN  0.237955E-001            NaN            NaN            NaN            NaN            NaN
  1443.03        2500.00       0.373256E-003   99.3899       0.423694       0.162428                 NaN            NaN  0.235760E-001            NaN            NaN            NaN            NaN            NaN
  1441.88        2500.00       0.352036E-003   99.3989       0.417061       0.160909                 NaN            NaN  0.227826E-001            NaN            NaN            NaN            NaN            NaN
  1440.72        2500.00       0.336175E-003   99.3970       0.161833       0.418452                 NaN            NaN  0.223934E-001            NaN            NaN            NaN            NaN            NaN
  1439.56        2500.00       0.317933E-003   99.4014       0.414516       0.162027                 NaN            NaN  0.217871E-001            NaN            NaN            NaN            NaN            NaN
  1438.41        2500.00       0.323670E-003   99.3605       0.181512       0.439225                 NaN            NaN  0.184614E-001            NaN            NaN            NaN            NaN            NaN
  1437.25        2500.00       0.254388E-003   99.4490       0.384272       0.142756                 NaN            NaN  0.236999E-001            NaN            NaN            NaN            NaN            NaN
  1436.09        2500.00       0.263522E-003   99.4086       0.162192       0.408709                 NaN            NaN  0.202124E-001            NaN            NaN            NaN            NaN            NaN
  1434.93        2500.00       0.248143E-003   99.4101       0.407739       0.162072                 NaN            NaN  0.198537E-001            NaN            NaN            NaN            NaN            NaN
  1433.78        2500.00       0.268069E-003   99.3205       0.187920       0.469169                 NaN            NaN  0.221014E-001            NaN            NaN            NaN            NaN            NaN
  1432.62        2500.00       0.183253E-003   99.5070       0.340330       0.136851                 NaN            NaN  0.156252E-001            NaN            NaN            NaN            NaN            NaN
  1431.46        2500.00       0.352388E-004   99.9727       0.250100E-001            NaN            NaN            NaN  0.221343E-002            NaN            NaN            NaN            NaN            NaN
  1430.31        2500.00       0.370903E-003   98.8593       0.808085       0.298717                 NaN            NaN  0.335001E-001            NaN            NaN            NaN            NaN            NaN
  1429.15        2500.00       0.170563E-003   99.4248       0.396350       0.161411                 NaN            NaN  0.173090E-001            NaN            NaN            NaN            NaN            NaN
  1427.99        2500.00       0.161183E-003   99.4235       0.162660       0.397006                 NaN            NaN  0.167136E-001            NaN            NaN            NaN            NaN            NaN
  1426.84        2500.00       0.147452E-003   99.4257       0.162427       0.395516                 NaN            NaN  0.162583E-001            NaN            NaN            NaN            NaN            NaN
  1425.68        2500.00       0.128705E-003   99.4257       0.161889       0.396465                 NaN            NaN  0.158014E-001            NaN            NaN            NaN            NaN            NaN
  1424.52        2500.00       0.212794E-003   99.2214       0.205601       0.480859                 NaN            NaN  0.387025E-001            NaN  0.532382E-001            NaN            NaN            NaN
  1423.37        2500.00                 NaN   98.8220       0.391489       0.204895                 NaN            NaN  0.169719                 NaN  0.411872                 NaN            NaN            NaN
  1422.21        2500.00                 NaN   98.5417       0.249058       0.486639                 NaN            NaN  0.212404                 NaN  0.510201                 NaN            NaN            NaN
  1421.05        2500.00                 NaN   98.5581       0.482321       0.241743                 NaN            NaN  0.212630                 NaN  0.505201                 NaN            NaN            NaN
  1419.90        2500.00                 NaN   98.5807       0.476875       0.234089                 NaN            NaN  0.211145                 NaN  0.497148                 NaN            NaN            NaN
  1418.74        2500.00                 NaN   98.5935       0.226107       0.475579                 NaN            NaN  0.211586                 NaN  0.493276                 NaN            NaN            NaN
  1417.58        2500.00                 NaN   98.6138       0.469864       0.219086                 NaN            NaN  0.210953                 NaN  0.486289                 NaN            NaN            NaN
  1416.43        2500.00                 NaN   98.6282       0.467076       0.212051                 NaN            NaN  0.210836                 NaN  0.481818                 NaN            NaN            NaN
  1415.27        2500.00                 NaN   98.6456       0.463334       0.204876                 NaN            NaN  0.210522                 NaN  0.475692                 NaN            NaN            NaN
  1414.11        2500.00                 NaN   98.6607       0.198483       0.459735                 NaN            NaN  0.210325                 NaN  0.470774                 NaN            NaN            NaN
  1412.96        2500.00                 NaN   98.6775       0.455338       0.192050                 NaN            NaN  0.209885                 NaN  0.465177                 NaN            NaN            NaN
  1411.80        2500.00                 NaN   98.6919       0.185050       0.452831                 NaN            NaN  0.209751                 NaN  0.460470                 NaN            NaN            NaN
  1410.64        2500.00                 NaN   98.7038       0.450150       0.178861                 NaN            NaN  0.210471                 NaN  0.456711                 NaN            NaN            NaN
  1409.49        2500.00                 NaN   98.7276       0.443756       0.172493                 NaN            NaN  0.207924                 NaN  0.448275                 NaN            NaN            NaN
  1408.33        2500.00                 NaN   98.7325       0.165243       0.445333                 NaN            NaN  0.209623                 NaN  0.447324                 NaN            NaN            NaN
  1407.17        2500.00                 NaN   98.7566       0.160129       0.437224                 NaN            NaN  0.207437                 NaN  0.438618                 NaN            NaN            NaN
  1406.02        2500.00                 NaN   98.5742       0.176467       0.506341                 NaN            NaN  0.239635                 NaN  0.503341                 NaN            NaN            NaN
  1404.86        2500.00                 NaN   98.9683       0.123469       0.367279                 NaN            NaN  0.176426                 NaN  0.364486                 NaN            NaN            NaN
  1403.70        2500.00                 NaN   98.7860       0.433298       0.143003                 NaN            NaN  0.208458                 NaN  0.429263                 NaN            NaN            NaN
  1402.55        2500.00                 NaN   98.8093       0.135597       0.426912                 NaN            NaN  0.206893                 NaN  0.421281                 NaN            NaN            NaN
  1401.39        2500.00                 NaN   98.8221       0.131475       0.423784                 NaN            NaN  0.206097                 NaN  0.416561                 NaN            NaN            NaN
  1400.23        2500.00                 NaN   98.8301       0.422569       0.125867                 NaN            NaN  0.207169                 NaN  0.414329                 NaN            NaN            NaN
  1399.08        2500.00                 NaN   98.8422       0.420133       0.121842                 NaN            NaN  0.206119                 NaN  0.409662                 NaN            NaN            NaN
  1397.92        2500.00                 NaN   98.8560       0.415701       0.116738                 NaN            NaN  0.206108                 NaN  0.405406                 NaN            NaN            NaN
  1396.76        2500.00                 NaN   98.7623       0.449819       0.117757                 NaN            NaN  0.229177                 NaN  0.440959                 NaN            NaN            NaN
  1395.61        2500.00                 NaN   98.9936       0.100518       0.370017                 NaN            NaN  0.180889                 NaN  0.354944                 NaN            NaN            NaN
  1394.45        2500.00                 NaN   98.8887       0.412653       0.993310E-001            NaN            NaN  0.205046                 NaN  0.394281                 NaN            NaN            NaN
  1393.29        2500.00                 NaN   98.9037       0.407179       0.962006E-001            NaN            NaN  0.204008                 NaN  0.388941                 NaN            NaN            NaN
  1392.14        2500.00                 NaN   98.9111       0.406989       0.900875E-001            NaN            NaN  0.204732                 NaN  0.387059                 NaN            NaN            NaN
  1390.98        2500.00                 NaN   98.9276       0.402496       0.870608E-001            NaN            NaN  0.202467                 NaN  0.380407                 NaN            NaN            NaN
  1389.82        2500.00                 NaN   98.9360       0.400949       0.820273E-001            NaN            NaN  0.203007                 NaN  0.378000                 NaN            NaN            NaN
  1388.67        2500.00                 NaN   97.3067        1.01172       0.265334                 NaN            NaN  0.402600E-001  0.444392       0.931577                 NaN            NaN            NaN
  1387.51        2500.00                 NaN   100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1386.35        2500.00                 NaN   99.3638       0.421524E-001  0.244495                 NaN            NaN  0.124408                 NaN  0.225137                 NaN            NaN            NaN
  1385.20        2500.00                 NaN   98.9792       0.390725       0.670406E-001            NaN            NaN  0.200148                 NaN  0.362886                 NaN            NaN            NaN
  1384.04        2500.00                 NaN   98.9892       0.389105       0.628537E-001            NaN            NaN  0.199543                 NaN  0.359338                 NaN            NaN            NaN
  1382.88        2500.00                 NaN   98.9992       0.386780       0.591350E-001            NaN            NaN  0.198992                 NaN  0.355879                 NaN            NaN            NaN
  1381.72        2500.00                 NaN   99.0083       0.555960E-001  0.385045                 NaN            NaN  0.198411                 NaN  0.352602                 NaN            NaN            NaN
  1380.57        2500.00                 NaN   99.0167       0.521499E-001  0.383482                 NaN            NaN  0.197978                 NaN  0.349670                 NaN            NaN            NaN
  1379.41        2500.00                 NaN   99.0280       0.381309       0.484561E-001            NaN            NaN  0.196696                 NaN  0.345491                 NaN            NaN            NaN
  1378.25        2500.00                 NaN   99.0345       0.379997       0.457216E-001            NaN            NaN  0.196393                 NaN  0.343350                 NaN            NaN            NaN
  1377.10        2500.00                 NaN   99.0454       0.417102E-001  0.378016                 NaN            NaN  0.195478                 NaN  0.339346                 NaN            NaN            NaN
  1375.94        2500.00                 NaN   99.0472       0.471611E-001  0.373186                 NaN            NaN  0.193750                 NaN  0.338730                 NaN            NaN            NaN
  1374.78        2500.00                 NaN   99.0701       0.274721E-001  0.376434                 NaN            NaN  0.195289                 NaN  0.330684                 NaN            NaN            NaN
  1373.63        2500.00                 NaN   99.0710       0.320218E-001  0.373183                 NaN            NaN  0.193521                 NaN  0.330238                 NaN            NaN            NaN
  1372.47        2500.00                 NaN   99.0792       0.371184       0.290904E-001            NaN            NaN  0.192989                 NaN  0.327522                 NaN            NaN            NaN
  1371.31        2500.00                 NaN   99.0903       0.367485       0.278053E-001            NaN            NaN  0.191136                 NaN  0.323305                 NaN            NaN            NaN
  1370.16        2500.00                 NaN   99.0977       0.367147       0.241255E-001            NaN            NaN  0.190506                 NaN  0.320518                 NaN            NaN            NaN
  1369.00        2500.00                 NaN   99.1030       0.364267       0.239732E-001            NaN            NaN  0.189977                 NaN  0.318805                 NaN            NaN            NaN
  1367.84        2500.00                 NaN   99.1148       0.364769       0.176229E-001            NaN            NaN  0.188736                 NaN  0.314118                 NaN            NaN            NaN
  1366.69        2500.00                 NaN   99.1200       0.363087       0.145128E-001            NaN            NaN  0.189336                 NaN  0.313060                 NaN            NaN            NaN
  1365.53        2500.00                 NaN   99.1305       0.359834       0.145615E-001            NaN            NaN  0.186433                 NaN  0.308638                 NaN            NaN            NaN
  1364.37        2500.00                 NaN   99.1375       0.358424       0.135756E-001            NaN            NaN  0.184945                 NaN  0.305589                 NaN            NaN            NaN
  1363.22        2500.00                 NaN   99.1418       0.358986       0.101058E-001            NaN            NaN  0.185011                 NaN  0.304132                 NaN            NaN            NaN
  1362.06        2500.00                 NaN   99.1513       0.894008E-002  0.355857                 NaN            NaN  0.183353                 NaN  0.300549                 NaN            NaN            NaN
  1360.90        2500.00                 NaN   99.1578       0.355064       0.644725E-002            NaN            NaN  0.182480                 NaN  0.298202                 NaN            NaN            NaN
  1359.75        2500.00                 NaN   99.1647       0.353319       0.527569E-002            NaN            NaN  0.181232                 NaN  0.295454                 NaN            NaN            NaN
  1358.59        2500.00                 NaN   99.1711       0.351889       0.349614E-002            NaN            NaN  0.180273                 NaN  0.293255                 NaN            NaN            NaN
  1357.43        2500.00                 NaN   99.1804       0.196588E-002  0.349542                 NaN            NaN  0.178611                 NaN  0.289500                 NaN            NaN            NaN
  1356.28        2500.00                 NaN   99.1857       0.348606       0.687655E-003            NaN            NaN  0.177523                 NaN  0.287464                 NaN            NaN            NaN
  1355.12        2500.00                 NaN   99.1921       0.250973E-003  0.346568                 NaN            NaN  0.176097                 NaN  0.284969                 NaN            NaN            NaN
  1353.96        2500.00                 NaN   99.1983       0.130966E-002  0.343628                 NaN            NaN  0.174100                 NaN  0.282657                 NaN            NaN            NaN
  1352.81        2500.00                 NaN   99.2074       0.340839                 NaN            NaN            NaN  0.172872                 NaN  0.278884                 NaN            NaN            NaN
  1351.65        2500.00                 NaN   99.2125       0.340609                 NaN            NaN            NaN  0.170214                 NaN  0.276659                 NaN            NaN            NaN
  1350.49        2500.00                 NaN   99.2135       0.326943       0.222101E-001            NaN            NaN  0.162753                 NaN  0.274593                 NaN            NaN            NaN
  1349.34        2500.00                 NaN   99.2222       0.748108E-002  0.332977                 NaN            NaN  0.165158                 NaN  0.272211                 NaN            NaN            NaN
  1348.18        2500.00                 NaN   99.2307       0.332673       0.288826E-002            NaN            NaN  0.164580                 NaN  0.269132                 NaN            NaN            NaN
  1347.02        2500.00                 NaN   99.2362       0.331136                 NaN            NaN            NaN  0.165331                 NaN  0.267380                 NaN            NaN            NaN
  1345.87        2500.00                 NaN   99.2421       0.329996                 NaN            NaN            NaN  0.163069                 NaN  0.264847                 NaN            NaN            NaN
  1344.71        2500.00                 NaN   99.2474       0.327682                 NaN            NaN            NaN  0.162190                 NaN  0.262763                 NaN            NaN            NaN
  1343.55        2500.00                 NaN   99.2517       0.324603       0.690065E-002            NaN            NaN  0.156722                 NaN  0.260123                 NaN            NaN            NaN
  1342.40        2500.00                 NaN   99.2592       0.325341                 NaN            NaN            NaN  0.157598                 NaN  0.257831                 NaN            NaN            NaN
  1341.24        2500.00                 NaN   99.2645       0.324805                 NaN            NaN            NaN  0.155257                 NaN  0.255456                 NaN            NaN            NaN
  1340.08        2500.00                 NaN   99.2836       0.316505                 NaN            NaN            NaN  0.151040                 NaN  0.248898                 NaN            NaN            NaN
  1338.93        2500.00                 NaN   99.2601       0.329172                 NaN            NaN            NaN  0.154988                 NaN  0.255734                 NaN            NaN            NaN
  1337.77        2500.00                 NaN   99.2806       0.320622                 NaN            NaN            NaN  0.150105                 NaN  0.248720                 NaN            NaN            NaN
  1336.61        2500.00                 NaN   99.2854       0.318681                 NaN            NaN            NaN  0.149087                 NaN  0.246839                 NaN            NaN            NaN
  1335.46        2500.00                 NaN   99.2915       0.316164                 NaN            NaN            NaN  0.147809                 NaN  0.244514                 NaN            NaN            NaN
  1334.30        2500.00                 NaN   99.2961       0.315494                 NaN            NaN            NaN  0.145914                 NaN  0.242458                 NaN            NaN            NaN
  1333.14        2500.00                 NaN   99.3012       0.313762                 NaN            NaN            NaN  0.144603                 NaN  0.240476                 NaN            NaN            NaN
  1331.98        2500.00                 NaN   99.3060       0.312358                 NaN            NaN            NaN  0.143138                 NaN  0.238507                 NaN            NaN            NaN
  1330.83        2500.00                 NaN   99.3066       0.315750                 NaN            NaN            NaN  0.140111                 NaN  0.237557                 NaN            NaN            NaN
  1329.67        2500.00                 NaN   99.3179       0.310578                 NaN            NaN            NaN  0.138281                 NaN  0.233213                 NaN            NaN            NaN
  1328.51        2500.00                 NaN   99.3210       0.308817                 NaN            NaN            NaN  0.137874                 NaN  0.232270                 NaN            NaN            NaN
  1327.36        2500.00                 NaN   99.3249       0.308577                 NaN            NaN            NaN  0.136016                 NaN  0.230503                 NaN            NaN            NaN
  1326.20        2500.00                 NaN   99.3222       0.304463                 NaN            NaN            NaN  0.140748                 NaN  0.232626                 NaN            NaN            NaN
  1325.04        2500.00                 NaN   99.3277       0.691924E-001  0.273698                 NaN            NaN  0.106241                 NaN  0.223217                 NaN            NaN            NaN
  1323.89        2500.00                 NaN   99.3400       0.308362                 NaN            NaN            NaN  0.128020                 NaN  0.223618                 NaN            NaN            NaN
  1322.73        2500.00                 NaN   99.3430       0.304492                 NaN            NaN            NaN  0.129659                 NaN  0.222812                 NaN            NaN            NaN
  1321.57        2500.00                 NaN   99.3469       0.302215                 NaN            NaN            NaN  0.129422                 NaN  0.221492                 NaN            NaN            NaN
  1320.42        2500.00                 NaN   99.3512       0.303840                 NaN            NaN            NaN  0.125756                 NaN  0.219237                 NaN            NaN            NaN
  1319.26        2500.00                 NaN   99.3553       0.303231                 NaN            NaN            NaN  0.123868                 NaN  0.217612                 NaN            NaN            NaN
  1318.10        2500.00                 NaN   99.3596       0.301622                 NaN            NaN            NaN  0.122883                 NaN  0.215851                 NaN            NaN            NaN
  1316.95        2500.00                 NaN   99.3427       0.221353       0.139970                 NaN            NaN  0.826317E-001            NaN  0.213375                 NaN            NaN            NaN
  1315.79        2500.00                 NaN   99.3679       0.299488                 NaN            NaN            NaN  0.120068                 NaN  0.212542                 NaN            NaN            NaN
  1314.63        2500.00                 NaN   99.3714       0.300887                 NaN            NaN            NaN  0.117026                 NaN  0.210719                 NaN            NaN            NaN
  1313.48        2500.00                 NaN   99.3742       0.301745                 NaN            NaN            NaN  0.114764                 NaN  0.209253                 NaN            NaN            NaN
  1312.32        2500.00                 NaN   99.3774       0.301492                 NaN            NaN            NaN  0.113012                 NaN  0.208048                 NaN            NaN            NaN
  1311.16        2500.00                 NaN   99.3821       0.301848                 NaN            NaN            NaN  0.110393                 NaN  0.205655                 NaN            NaN            NaN
  1310.01        2500.00                 NaN   99.3839       0.304247                 NaN            NaN            NaN  0.107269                 NaN  0.204591                 NaN            NaN            NaN
  1308.85        2500.00                 NaN   99.3590       0.310980                 NaN            NaN            NaN  0.104778                 NaN  0.211486       0.137523E-001            NaN            NaN
  1307.69        2500.00                 NaN   99.3340       0.319125                 NaN            NaN            NaN  0.101568                 NaN  0.217836       0.274510E-001            NaN            NaN
  1306.54        2500.00                 NaN   99.3399       0.317687                 NaN            NaN            NaN  0.995530E-001            NaN  0.215852       0.269936E-001            NaN            NaN
  1305.38        2500.00                 NaN   99.3469       0.312215                 NaN            NaN            NaN  0.100354                 NaN  0.213807       0.266775E-001            NaN            NaN
  1304.22        2500.00                 NaN   99.3531       0.310573                 NaN            NaN            NaN  0.984708E-001            NaN  0.211680       0.262262E-001            NaN            NaN
  1303.07        2500.00                 NaN   99.3592       0.308014                 NaN            NaN            NaN  0.973175E-001            NaN  0.209684       0.257949E-001            NaN            NaN
  1301.91        2500.00                 NaN   99.3665       0.302461                 NaN            NaN            NaN  0.978933E-001            NaN  0.207626       0.254880E-001            NaN            NaN
  1300.75        2500.00                 NaN   99.3709       0.303498                 NaN            NaN            NaN  0.950380E-001            NaN  0.205599       0.249960E-001            NaN            NaN
  1299.60        2500.00                 NaN   99.3823       0.295634                 NaN            NaN            NaN  0.947361E-001            NaN  0.202349       0.249665E-001            NaN            NaN
  1298.44        2500.00       0.457717E-001   99.3562       0.314270                 NaN            NaN            NaN  0.761911E-001            NaN  0.207558                 NaN            NaN            NaN
  1297.28        2500.00       0.702686E-001   86.3447        2.41492                 NaN            NaN            NaN  0.866395                 NaN   1.97415       0.281917        8.04763                 NaN
  1296.13        2500.00       0.988394        75.3061        4.73432                 NaN            NaN            NaN  0.853869                 NaN   3.40770       0.446279E-002   14.7051                 NaN
  1294.97        2500.00       0.627599        79.8338        3.85762                 NaN            NaN            NaN  0.820564                 NaN   2.82163       0.992208E-001   11.9396                 NaN
  1293.81        2500.00       0.358215        82.9107        3.23782                 NaN            NaN            NaN  0.824614                 NaN   2.42428       0.177381        10.0670                 NaN
  1292.66        2500.00       0.148645        85.0807        2.78813                 NaN            NaN            NaN  0.846860                 NaN   2.14479       0.243163        8.74766                 NaN
  1291.50        2500.00       0.103281E-001   86.7154        2.45565                 NaN            NaN            NaN  0.850682                 NaN   1.93106       0.281699        7.75516                 NaN
  1290.34        2500.00                 NaN   88.0097        2.24445                 NaN            NaN            NaN  0.773442                 NaN   1.75215       0.256746        6.96350                 NaN
  1289.19        2500.00                 NaN   89.1088        2.06676                 NaN            NaN            NaN  0.701277                 NaN   1.59873       0.230979        6.29344                 NaN
  1288.03        2500.00                 NaN   90.0588        1.91483                 NaN            NaN            NaN  0.635453                 NaN   1.46544       0.208862        5.71660                 NaN
  1286.87        2500.00                 NaN   90.8784        1.79006                 NaN            NaN            NaN  0.572880                 NaN   1.34972       0.189706        5.21928                 NaN
  1285.72        2500.00                 NaN   88.7856        2.19094                 NaN            NaN            NaN  0.588147                 NaN   1.65220       0.239126        6.54397                 NaN
  1284.56        2500.00                 NaN   93.8676        1.20458                 NaN            NaN            NaN  0.508022                 NaN  0.933268       0.119734        3.36682                 NaN
  1283.40        2500.00                 NaN   84.2110        2.99379       0.674627                 NaN            NaN  0.520121                 NaN   2.39376       0.300537        8.90616                 NaN
  1282.25        2500.00                 NaN   71.0188        5.57071        1.92288                 NaN            NaN   1.05211                 NaN   4.30534       0.509379        15.6207                 NaN
  1281.09        2500.00                 NaN   99.8886       0.104774                 NaN            NaN            NaN            NaN            NaN  0.666521E-002            NaN            NaN            NaN
  1279.93        2500.00                 NaN   99.9242       0.141185E-001  0.331158E-001            NaN            NaN            NaN            NaN  0.285232E-001            NaN            NaN            NaN
  1278.77        2500.00                 NaN   99.6691                 NaN            NaN            NaN            NaN  0.189721                 NaN  0.335123E-001  0.771804E-002  0.999772E-001            NaN
  1277.62        2500.00                 NaN   99.9573                 NaN            NaN            NaN            NaN            NaN            NaN  0.347365E-001  0.799155E-002            NaN            NaN
  1276.46        2500.00                 NaN   99.5695                 NaN            NaN            NaN            NaN            NaN            NaN  0.654757E-001            NaN  0.364987                 NaN
  1275.30        2500.00                 NaN   99.6941       0.675583E-001            NaN            NaN            NaN            NaN            NaN  0.437171E-001            NaN  0.194585                 NaN
  1274.15        2500.00                 NaN   98.9502       0.278448                 NaN            NaN            NaN            NaN            NaN  0.144336       0.288701E-001  0.598133                 NaN
  1272.99        2500.00                 NaN   97.9666       0.392894                 NaN            NaN            NaN  0.129501                 NaN  0.316888       0.416465E-001   1.15247                 NaN
  1271.83        2500.00                 NaN   90.7712       0.591458E-001   2.86153                 NaN            NaN            NaN            NaN   1.34880       0.136617        4.82275                 NaN
  1270.68        2500.00                 NaN   95.4009        1.39891                 NaN            NaN            NaN            NaN            NaN  0.674928       0.745486E-001   2.45075                 NaN
  1269.52        2500.00                 NaN   95.8648                 NaN            NaN            NaN            NaN  0.808610                 NaN  0.737165       0.853931E-001   2.50404                 NaN
  1268.36        2500.00                 NaN   92.3179       0.944633        1.28998                 NaN            NaN            NaN            NaN   1.14778       0.133592        4.16611                 NaN
  1267.21        2500.00                 NaN   99.1545       0.119558       0.191890                 NaN            NaN            NaN            NaN  0.101593       0.757030E-002  0.424875                 NaN
  1266.05        2500.00                 NaN   96.9968       0.938377                 NaN            NaN            NaN            NaN            NaN  0.444022       0.515905E-001   1.56926                 NaN
  1264.89        2500.00                 NaN   97.7375       0.675969                 NaN            NaN            NaN            NaN            NaN  0.333791       0.373177E-001   1.21540                 NaN
  1263.74        2500.00                 NaN   98.7597       0.124884                 NaN            NaN            NaN            NaN            NaN  0.230131       0.232737E-001  0.862048                 NaN
  1262.58        2500.00                 NaN   97.3665       0.208088       0.730420                 NaN            NaN            NaN            NaN  0.380458       0.331403E-001   1.28139                 NaN
  1261.42        2500.00                 NaN   94.4699       0.554047        1.30890                 NaN            NaN            NaN            NaN  0.788291       0.815030E-001   2.79735                 NaN
  1260.27        2500.00                 NaN   96.7410        1.03656                 NaN            NaN            NaN            NaN            NaN  0.481745       0.478442E-001   1.69281                 NaN
  1259.11        2500.00                 NaN   95.1466       0.736829       0.497031                 NaN            NaN            NaN            NaN  0.644542       0.933964E-001   2.88157                 NaN
  1257.95        2500.00                 NaN   99.1058       0.421726                 NaN            NaN            NaN            NaN            NaN  0.192702       0.399914E-002  0.275727                 NaN
  1256.80        2500.00                 NaN   87.8384        3.85220       0.365983E-001            NaN            NaN            NaN            NaN   1.87476       0.151901        6.24616                 NaN
  1255.64        2500.00                 NaN   99.9059                 NaN            NaN            NaN            NaN            NaN            NaN  0.445505E-001  0.495144E-001            NaN            NaN
  1254.48        2500.00                 NaN   99.9929                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN  0.709275E-002            NaN
  1253.33        2500.00                 NaN   99.8845       0.710525E-001            NaN            NaN            NaN            NaN            NaN  0.444261E-001            NaN            NaN            NaN
  1252.17        2500.00                 NaN   97.5424       0.659737                 NaN            NaN            NaN            NaN            NaN  0.278759                 NaN   1.51912                 NaN
  1251.01        2500.00                 NaN   99.6834       0.138055                 NaN            NaN            NaN            NaN            NaN  0.675755E-001            NaN  0.110982                 NaN
  1249.86        2500.00                 NaN   98.2650       0.445176       0.121956                 NaN            NaN            NaN            NaN  0.255359       0.219836E-001  0.890503                 NaN
  1248.70        2500.00                 NaN  100.0000       0.246798E-005            NaN            NaN            NaN  0.242605E-005            NaN  0.314952E-005            NaN  0.131371E-004            NaN
  1247.54        2500.00                 NaN   99.9999       0.201937E-005  0.301681E-004            NaN            NaN            NaN            NaN  0.165345E-004  0.159275E-005  0.563786E-004            NaN
  1246.39        2500.00                 NaN   92.8326       0.325969        1.88133                 NaN            NaN            NaN            NaN   1.07347       0.889921E-001   3.79764                 NaN
  1245.23        2500.00                 NaN   98.0157       0.596137                 NaN            NaN            NaN            NaN            NaN  0.296800       0.256693E-001   1.06571                 NaN
  1244.07        2500.00                 NaN   95.6839       0.800775E-001   1.17253                 NaN            NaN            NaN            NaN  0.626804       0.654193E-001   2.37130                 NaN
  1242.92        2500.00                 NaN   99.1981       0.194229E-001  0.710454E-001  0.495159E-001            NaN            NaN            NaN  0.822773E-001  0.696702E-002  0.347838       0.224882     
  1241.76        2500.00                 NaN   99.9999                 NaN            NaN            NaN            NaN  0.264235E-004            NaN  0.195288E-004  0.125395E-005  0.474636E-004            NaN
  1240.60        2500.00                 NaN   99.9999                 NaN            NaN            NaN            NaN            NaN            NaN  0.616343E-005  0.140026E-005  0.589514E-004  0.663578E-004
  1239.45        2500.00                 NaN   99.9997       0.267540E-004  0.529614E-004            NaN            NaN  0.119257E-005            NaN  0.450900E-004  0.288629E-005  0.160763E-003            NaN
  1238.29        2500.00                 NaN   99.9997       0.977906E-005            NaN            NaN            NaN  0.484529E-005            NaN  0.279981E-004            NaN  0.109175E-003  0.162137E-003
  1237.13        2500.00                 NaN   91.9565        2.22993                 NaN            NaN            NaN            NaN            NaN   1.13821       0.100110        4.28327       0.292012     
