|6.6.6
Archiving\03_Data\fracLP/QFM_m3.75/TIS/TIS_3.tab                          
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          14
T(K)           P(bar)         melt(TH)       pxmn           Ni             Sp(TH)         O(HP)          Opx(TH)        Cpx(TH)        Cpx(TH)        an             ilm            San(TH)        q             
  2000.00        500.000        99.1931       0.801231       0.564141E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1997.49        500.000        99.1931       0.801297       0.564147E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1994.99        500.000        99.1930       0.801364       0.564153E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1992.48        500.000        99.1929       0.801425       0.564155E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1989.97        500.000        99.1929       0.801497       0.564165E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1987.47        500.000        99.1928       0.801563       0.564171E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1984.96        500.000        99.1927       0.801630       0.564177E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1982.46        500.000        99.1927       0.801697       0.564184E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1979.95        500.000        99.1926       0.801764       0.564190E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1977.44        500.000        99.1925       0.801830       0.564197E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1974.94        500.000        99.1925       0.801897       0.564203E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1972.43        500.000        99.1924       0.801964       0.564210E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1969.92        500.000        99.1923       0.802031       0.564217E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1967.42        500.000        99.1923       0.802098       0.564223E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1964.91        500.000        99.1922       0.802165       0.564230E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1962.41        500.000        99.1921       0.802232       0.564237E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1959.90        500.000        99.1921       0.802280       0.564231E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1957.39        500.000        99.1920       0.802366       0.564251E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1954.89        500.000        99.1919       0.802433       0.564258E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1952.38        500.000        99.1919       0.802500       0.564266E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1949.87        500.000        99.1918       0.802567       0.564273E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1947.37        500.000        99.1917       0.802635       0.564280E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1944.86        500.000        99.1917       0.802702       0.564288E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1942.36        500.000        99.1916       0.802769       0.564295E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1939.85        500.000        99.1915       0.802837       0.564303E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1937.34        500.000        99.1915       0.802904       0.564311E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1934.84        500.000        99.1914       0.802971       0.564319E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1932.33        500.000        99.1913       0.803039       0.564326E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1929.82        500.000        99.1913       0.803106       0.564334E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1927.32        500.000        99.1912       0.803174       0.564342E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1924.81        500.000        99.1911       0.803241       0.564351E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1922.31        500.000        99.1910       0.803309       0.564359E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1919.80        500.000        99.1910       0.803377       0.564367E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1917.29        500.000        99.1909       0.803444       0.564375E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1914.79        500.000        99.1908       0.803512       0.564384E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1912.28        500.000        99.1908       0.803580       0.564392E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1909.77        500.000        99.1907       0.803647       0.564401E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1907.27        500.000        99.1906       0.803715       0.564409E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1904.76        500.000        99.1906       0.803783       0.564418E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1902.26        500.000        99.1905       0.803851       0.564427E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1899.75        500.000        99.1904       0.803919       0.564435E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1897.24        500.000        99.1904       0.803987       0.564444E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1894.74        500.000        99.1903       0.804055       0.564453E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1892.23        500.000        99.1902       0.804123       0.564462E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1889.72        500.000        99.1902       0.804191       0.564471E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1887.22        500.000        99.1901       0.804259       0.564481E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1884.71        500.000        99.1900       0.804327       0.564490E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1882.21        500.000        99.1900       0.804395       0.564499E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1879.70        500.000        99.1899       0.804464       0.564509E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1877.19        500.000        99.1898       0.804532       0.564518E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1874.69        500.000        99.1898       0.804600       0.564528E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1872.18        500.000        99.1897       0.804668       0.564537E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1869.67        500.000        99.1896       0.804737       0.564547E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1867.17        500.000        99.1895       0.804805       0.564557E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1864.66        500.000        99.1895       0.804874       0.564566E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1862.16        500.000        99.1894       0.804942       0.564576E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1859.65        500.000        99.1893       0.805011       0.564586E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1857.14        500.000        99.1893       0.805079       0.564596E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1854.64        500.000        99.1892       0.805148       0.564606E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1852.13        500.000        99.1891       0.805216       0.564617E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1849.62        500.000        99.1891       0.805285       0.564627E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1847.12        500.000        99.1890       0.805354       0.564637E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1844.61        500.000        99.1889       0.805422       0.564648E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1842.11        500.000        99.1889       0.805491       0.564658E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1839.60        500.000        99.1888       0.805560       0.564669E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1837.09        500.000        99.1887       0.805629       0.564679E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1834.59        500.000        99.1887       0.805697       0.564690E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1832.08        500.000        99.1886       0.805766       0.564701E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1829.57        500.000        99.1885       0.805835       0.564711E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1827.07        500.000        99.1884       0.805904       0.564722E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1824.56        500.000        99.1884       0.805973       0.564733E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1822.06        500.000        99.1883       0.806042       0.564744E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1819.55        500.000        99.1882       0.806111       0.564755E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1817.04        500.000        99.1882       0.806180       0.564766E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1814.54        500.000        99.1881       0.806249       0.564778E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1812.03        500.000        99.1880       0.806318       0.564789E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1809.52        500.000        99.1880       0.806388       0.564800E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1807.02        500.000        99.1879       0.806457       0.564812E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1804.51        500.000        99.1878       0.806526       0.564823E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1802.01        500.000        99.1878       0.806595       0.564835E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1799.50        500.000        99.1877       0.806663       0.564845E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1796.99        500.000        99.1876       0.806734       0.564858E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1794.49        500.000        99.1875       0.806803       0.564870E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1791.98        500.000        99.1875       0.806873       0.564882E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1789.47        500.000        99.1874       0.806942       0.564893E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1786.97        500.000        99.1873       0.807012       0.564905E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1784.46        500.000        99.1873       0.807081       0.564917E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1781.95        500.000        99.1872       0.807151       0.564929E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1779.45        500.000        99.1871       0.807220       0.564941E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1776.94        500.000        99.1871       0.807290       0.564954E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1774.44        500.000        99.1870       0.807360       0.564966E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1771.93        500.000        99.1869       0.807429       0.564978E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1769.42        500.000        99.1869       0.807499       0.564991E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1766.92        500.000        99.1868       0.807569       0.565003E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1764.41        500.000        99.1867       0.807638       0.565016E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1761.90        500.000        99.1866       0.807708       0.565028E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1759.40        500.000        99.1866       0.807778       0.565041E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1756.89        500.000        99.1865       0.807848       0.565054E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1754.39        500.000        99.1864       0.807918       0.565066E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1751.88        500.000        99.1864       0.807988       0.565079E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1749.37        500.000        99.1863       0.808057       0.565092E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1746.87        500.000        99.1862       0.808127       0.565105E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1744.36        500.000        99.1862       0.808197       0.565118E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1741.85        500.000        99.1861       0.808267       0.565131E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1739.35        500.000        99.1860       0.808338       0.565144E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1736.84        500.000        99.1859       0.808408       0.565158E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1734.34        500.000        99.1859       0.808478       0.565171E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1731.83        500.000        99.1858       0.808548       0.565184E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1729.32        500.000        99.1857       0.808618       0.565198E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1726.82        500.000        99.1857       0.808688       0.565211E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1724.31        500.000        99.1856       0.808758       0.565225E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1721.80        500.000        99.1855       0.808829       0.565238E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1719.30        500.000        99.1854       0.808899       0.565252E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1716.79        500.000        99.1854       0.808969       0.565266E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1714.29        500.000        99.1853       0.809040       0.565279E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1711.78        500.000        99.1852       0.809110       0.565293E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1709.27        500.000        99.1852       0.809181       0.565307E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1706.77        500.000        99.1851       0.809251       0.565321E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1704.26        500.000        99.1850       0.809321       0.565335E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1701.75        500.000        99.1850       0.809392       0.565349E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1699.25        500.000        99.1849       0.809462       0.565363E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1696.74        500.000        99.1848       0.809533       0.565377E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1694.24        500.000        99.1847       0.809604       0.565392E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1691.73        500.000        99.1847       0.809674       0.565406E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1689.22        500.000        99.1846       0.809745       0.565420E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1686.72        500.000        99.1845       0.809815       0.565435E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1684.21        500.000        99.1845       0.809887       0.565450E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1681.70        500.000        99.1844       0.809957       0.565464E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1679.20        500.000        99.1843       0.810028       0.565478E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1676.69        500.000        99.1842       0.810098       0.565493E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1674.19        500.000        99.1837       0.810170       0.565508E-002  0.462763E-003            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1671.68        500.000        99.1840       0.810245       0.565526E-002  0.118154E-003            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1669.17        500.000        99.1757       0.810330       0.565551E-002  0.835071E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1666.67        500.000        99.1756       0.810483       0.565623E-002  0.829032E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1664.16        500.000        99.1755       0.810634       0.565694E-002  0.822601E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1661.65        500.000        99.1754       0.810786       0.565765E-002  0.812680E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1659.15        500.000        99.1753       0.810936       0.565835E-002  0.807652E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1656.64        500.000        99.1752       0.811086       0.565905E-002  0.802133E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1654.14        500.000        98.7844       0.811389       0.506664E-002  0.841937E-002  0.390687                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1651.63        500.000        99.9920                 NaN            NaN  0.797589E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1649.12        500.000        99.5229                 NaN            NaN  0.843984E-002  0.468673                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1646.62        500.000        99.3987                 NaN            NaN  0.870012E-002  0.592563                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1644.11        500.000        99.4198                 NaN            NaN  0.835806E-002  0.571862                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1641.60        500.000        99.4092                 NaN            NaN  0.848978E-002  0.582263                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1639.10        500.000        99.4123                 NaN            NaN  0.845346E-002  0.579214                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1636.59        500.000        99.4126                 NaN            NaN  0.843630E-002  0.578921                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1634.09        500.000        99.4135                 NaN            NaN  0.840349E-002  0.578141                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1631.58        500.000        99.4148                 NaN            NaN  0.837757E-002  0.576795                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1629.07        500.000        99.4170                 NaN            NaN  0.834063E-002  0.574634                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1626.57        500.000        99.3789                 NaN            NaN  0.887926E-002  0.612245                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1624.06        500.000        99.4575                 NaN            NaN  0.776121E-002  0.534787                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1621.55        500.000        99.6117                 NaN            NaN  0.641767E-002  0.381872                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1619.05        500.000        99.2349                 NaN            NaN  0.100382E-001  0.755013                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1616.54        500.000        99.4260                 NaN            NaN  0.817340E-002  0.565794                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1614.04        500.000        99.4272                 NaN            NaN  0.815459E-002  0.564686                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1611.53        500.000        98.9931                 NaN            NaN  0.151301E-001  0.991765                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1609.02        500.000        99.8705                 NaN            NaN  0.104603E-002  0.128478                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1606.52        500.000        99.4350                 NaN            NaN  0.805233E-002  0.556989                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1604.01        500.000        99.4365                 NaN            NaN  0.802630E-002  0.555494                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1601.50        500.000        99.4400                 NaN            NaN  0.797165E-002  0.552039                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1599.00        500.000        99.4434                 NaN            NaN  0.792407E-002  0.548649                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1596.49        500.000        99.4462                 NaN            NaN  0.789219E-002  0.545929                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1593.98        500.000        99.4487                 NaN            NaN  0.786431E-002  0.543401                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1591.48        500.000        99.4503                 NaN            NaN  0.785443E-002  0.541875                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1588.97        500.000        99.4573                 NaN            NaN  0.773651E-002  0.534984                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1586.47        500.000        99.4522                 NaN            NaN  0.782313E-002  0.540020                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1583.96        500.000        99.4676                 NaN            NaN  0.762090E-002  0.524759                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1581.45        500.000        99.4644                 NaN            NaN  0.767118E-002  0.527927                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1578.95        500.000        99.4526                 NaN            NaN  0.772558E-002  0.539698                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1576.44        500.000        99.4894                 NaN            NaN  0.745443E-002  0.503140                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1573.93        500.000        99.4750                 NaN            NaN  0.752552E-002  0.517507                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1571.43        500.000        98.5090                 NaN            NaN  0.191860E-001   1.47184                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1568.92        500.000        99.9982                 NaN            NaN  0.181861E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1566.42        500.000        99.9419                 NaN            NaN  0.123752E-002  0.568400E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1563.91        500.000        99.4910                 NaN            NaN  0.734581E-002  0.501643                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1561.40        500.000        99.4940                 NaN            NaN  0.729621E-002  0.498668                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1558.90        500.000        99.4992                 NaN            NaN  0.724111E-002  0.493513                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1556.39        500.000        99.5029                 NaN            NaN  0.719170E-002  0.489932                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1553.88        500.000        99.7566                 NaN            NaN  0.352566E-002  0.239866                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1551.38        500.000        99.2573                 NaN            NaN  0.107489E-001  0.731926                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1548.87        500.000        99.5158                 NaN            NaN  0.703123E-002  0.477217                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1546.37        500.000        99.5181                 NaN            NaN  0.700805E-002  0.474922                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1543.86        500.000        99.5212                 NaN            NaN  0.695213E-002  0.471884                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1541.35        500.000        99.5263                 NaN            NaN  0.689700E-002  0.466811                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1538.85        500.000        99.5305                 NaN            NaN  0.685793E-002  0.462625                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1536.34        500.000        99.4270                 NaN            NaN  0.834523E-002  0.564654                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1533.83        500.000        99.7708                 NaN            NaN  0.335539E-002  0.225851                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1531.33        500.000        99.4167                 NaN            NaN  0.853290E-002  0.574816                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1528.82        500.000        99.5461                 NaN            NaN  0.665550E-002  0.447221                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
