|6.6.6
Archiving\03_Data\fracLP/QFM_m4.75/TIS/TIS_3.tab                          
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          17
T(K)           P(bar)         melt(TH)       melt(TH)       pxmn           iron           Ni             Sp(TH)         O(HP)          Opx(TH)        Cpx(TH)        Cpx(TH)        Cpx(TH)        an             ilm            San(TH)        q             
  2000.00        500.000        98.4027                 NaN  0.807501       0.784156       0.568556E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1997.49        500.000        98.3909                 NaN  0.807652       0.795765       0.568621E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1994.99        500.000        98.3792                 NaN  0.807802       0.807345       0.568685E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1992.48        500.000        98.3675                 NaN  0.807952       0.818887       0.568750E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1989.97        500.000        98.3558                 NaN  0.808102       0.830442       0.568814E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1987.47        500.000        98.3442                 NaN  0.808251       0.841899       0.568878E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1984.96        500.000        98.3326                 NaN  0.808399       0.853284       0.568941E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1982.46        500.000        98.3211                 NaN  0.808548       0.864679       0.569005E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1979.95        500.000        98.3096                 NaN  0.808696       0.876030       0.569068E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1977.44        500.000        98.2981                 NaN  0.808844       0.887347       0.569131E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1974.94        500.000        98.2867                 NaN  0.808991       0.898626       0.569194E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1972.43        500.000        98.2753                 NaN  0.809138       0.909865       0.569257E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
