|6.6.6
Archiving\03_Data\Deqfrac/QFM_m1/T13/T13_1.tab                        
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          15
T(K)           P(bar)         melt(TH)       Opx(TH)        O(HP)          O(HP)          Cpx(TH)        Cpx(TH)        Cpx(TH)        an             Sp(TH)         San(TH)        pxmn           ilm            q             
  1628.21        2500.00        99.1982       0.748782       0.530225E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1626.64        2500.00        98.9259       0.930572       0.143555                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1625.06        2500.00        98.9350       0.922216       0.142735                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1623.49        2500.00        98.9521       0.907540       0.140386                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1621.91        2500.00        98.9598       0.901619       0.138585                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1620.34        2500.00        98.9715       0.892058       0.136423                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1618.76        2500.00        98.9814       0.883510       0.135109                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1617.19        2500.00        98.9923       0.873497       0.134234                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1615.61        2500.00        99.0047       0.863300       0.131994                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1614.04        2500.00        99.0133       0.857012       0.129644                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1612.47        2500.00        99.0254       0.846016       0.128563                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1610.89        2500.00        99.0347       0.838527       0.126789                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1609.32        2500.00        99.0432       0.831751       0.125067                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1607.74        2500.00        99.0521       0.825819       0.122031                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1606.17        2500.00        99.0611       0.816988       0.121867                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1604.59        2500.00        99.0716       0.808345       0.120067                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1603.02        2500.00        99.0308       0.844599       0.124634                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1601.44        2500.00        99.1418       0.748091       0.110066                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1599.87        2500.00        99.0973       0.787013       0.115729                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1598.30        2500.00        99.1060       0.781362       0.112661                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1596.72        2500.00        99.1191       0.768819       0.112053                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1595.15        2500.00        99.1240       0.763989       0.112030                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
