|6.6.6
Archiving\03_Data\eqLP/QFM_m4.75/LAR/LAR_3.tab                            
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          13
T(K)           P(bar)         melt(TH)       pxmn           iron           Sp(TH)         O(HP)          Opx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)        ab            
  2000.00        500.000        98.5422       0.730344       0.727465                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1996.79        500.000        98.5276       0.730510       0.741858                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1993.59        500.000        98.5131       0.730675       0.756254                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1990.38        500.000        98.4985       0.730840       0.770656                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1987.18        500.000        98.4839       0.731006       0.785063                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1983.97        500.000        98.4694       0.731171       0.799474                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1980.77        500.000        98.4548       0.731336       0.813890                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1977.56        500.000        98.4402       0.731501       0.828311                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1974.36        500.000        98.4256       0.731666       0.842736                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1971.15        500.000        98.4116       0.731827       0.856620                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1967.95        500.000        98.3975       0.731989       0.870509                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1964.74        500.000        98.3834       0.732150       0.884402                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1961.54        500.000        98.3694       0.732311       0.898299                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1958.33        500.000        98.3553       0.732472       0.912201                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1955.13        500.000        98.3413       0.732633       0.926108                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1951.92        500.000        98.3272       0.732794       0.940019                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1948.72        500.000        98.3131       0.732955       0.953934                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1945.51        500.000        98.2996       0.733112       0.967317                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1942.31        500.000        98.2860       0.733269       0.980704                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1939.10        500.000        98.2725       0.733426       0.994096                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1935.90        500.000        98.2589       0.733583        1.00749                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1932.69        500.000        98.2454       0.733740        1.02089                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1929.49        500.000        98.2318       0.733897        1.03429                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1926.28        500.000        98.2182       0.734054        1.04770                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1923.08        500.000        98.2047       0.734210        1.06112                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1919.87        500.000        98.1916       0.734364        1.07400                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1916.67        500.000        98.1786       0.734517        1.08690                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1913.46        500.000        98.1655       0.734670        1.09979                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1910.26        500.000        98.1525       0.734823        1.11269                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1907.05        500.000        98.1394       0.734976        1.12560                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1903.85        500.000        98.1264       0.735129        1.13851                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1900.64        500.000        98.1133       0.735282        1.15142                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1897.44        500.000        98.1002       0.735434        1.16434                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1894.23        500.000        98.0877       0.735584        1.17673                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1891.03        500.000        98.0751       0.735733        1.18913                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1887.82        500.000        98.0626       0.735882        1.20153                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1884.62        500.000        98.0500       0.736031        1.21393                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1881.41        500.000        98.0375       0.736180        1.22634                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1878.21        500.000        98.0249       0.736329        1.23875                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1875.00        500.000        98.0124       0.736478        1.25117                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1871.79        500.000        97.9998       0.736627        1.26359                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1868.59        500.000        97.9877       0.736773        1.27550                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1865.38        500.000        97.9757       0.736918        1.28741                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1862.18        500.000        97.9636       0.737064        1.29933                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1858.97        500.000        97.9515       0.737209        1.31124                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1855.77        500.000        97.9395       0.737354        1.32317                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1852.56        500.000        97.9274       0.737499        1.33509                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1849.36        500.000        97.9153       0.737644        1.34702                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1846.15        500.000        97.9033       0.737790        1.35895                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1842.95        500.000        97.8917       0.737931        1.37038                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1839.74        500.000        97.8801       0.738073        1.38180                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1836.54        500.000        97.8686       0.738215        1.39323                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1833.33        500.000        97.8570       0.738356        1.40467                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1830.13        500.000        97.8454       0.738498        1.41610                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1826.92        500.000        97.8338       0.738639        1.42754                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1823.72        500.000        97.8222       0.738781        1.43899                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1820.51        500.000        97.8106       0.738922        1.45043                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1817.31        500.000        97.7996       0.739060        1.46138                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1814.10        500.000        97.7885       0.739198        1.47233                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1810.90        500.000        97.7774       0.739336        1.48329                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1807.69        500.000        97.7663       0.739474        1.49425                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1804.49        500.000        97.7552       0.739612        1.50521                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1801.28        500.000        97.7441       0.739750        1.51617                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1798.08        500.000        97.7330       0.739888        1.52714                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1794.87        500.000        97.7219       0.740026        1.53811                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1791.67        500.000        97.7113       0.740160        1.54858                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1788.46        500.000        97.7006       0.740295        1.55906                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1785.26        500.000        97.6900       0.740429        1.56953                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1782.05        500.000        97.6794       0.740564        1.58001                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1778.85        500.000        97.6688       0.740698        1.59050                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1775.64        500.000        97.6582       0.740832        1.60098                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1772.44        500.000        97.6476       0.740967        1.61147                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1769.23        500.000        97.6369       0.741101        1.62196                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1766.03        500.000        97.6268       0.741232        1.63195                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1762.82        500.000        97.6167       0.741363        1.64194                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1759.62        500.000        97.6066       0.741494        1.65194                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1756.41        500.000        97.5964       0.741625        1.66193                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1753.21        500.000        97.5863       0.741756        1.67193                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1750.00        500.000        97.5762       0.741886        1.68194                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1746.79        500.000        97.5660       0.742017        1.69194                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1743.59        500.000        97.5559       0.742148        1.70195                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1740.38        500.000        97.5463       0.742275        1.71147                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1737.18        500.000        97.5366       0.742403        1.72100                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1733.97        500.000        97.5269       0.742531        1.73053                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1730.77        500.000        97.5173       0.742658        1.74006                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1727.56        500.000        97.5076       0.742785        1.74959                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1724.36        500.000        97.4980       0.742913        1.75913                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1721.15        500.000        97.4883       0.743040        1.76867                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1717.95        500.000        97.4786       0.743168        1.77821                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1714.74        500.000        97.4694       0.743292        1.78726                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1711.54        500.000        97.4603       0.743416        1.79632                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1708.33        500.000        97.4511       0.743540        1.80538                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1705.13        500.000        97.4419       0.743664        1.81444                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1701.92        500.000        97.4327       0.743789        1.82350                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1698.72        500.000        97.4235       0.743913        1.83257                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1695.51        500.000        97.4143       0.744037        1.84164                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1692.31        500.000        97.4051       0.744161        1.85071                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1689.10        500.000        97.3964       0.744282        1.85930                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1685.90        500.000        97.3877       0.744403        1.86790                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1682.69        500.000        97.3790       0.744524        1.87650                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1679.49        500.000        97.3703       0.744645        1.88510                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1676.28        500.000        97.3615       0.744766        1.89371                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1673.08        500.000        97.3528       0.744886        1.90231                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1669.87        500.000        97.3441       0.745007        1.91092                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1666.67        500.000        97.3353       0.745128        1.91953                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1663.46        500.000        97.3271       0.745246        1.92763                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1660.26        500.000        97.3189       0.745363        1.93574                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1657.05        500.000        97.3107       0.745481        1.94384                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1653.85        500.000        97.3025       0.745598        1.95195                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1650.64        500.000        97.2942       0.745716        1.96006                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1647.44        500.000        97.2860       0.745833        1.96817                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1644.23        500.000        97.2778       0.745951        1.97628                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1641.03        500.000        97.2695       0.746068        1.98439                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1637.82        500.000        97.2619       0.746177        1.99111       0.762478E-003            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1634.62        500.000        97.2429       0.746310        1.99885       0.119066E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1631.41        500.000        97.2261       0.746433        2.00555       0.219630E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1628.21        500.000        97.2092       0.746557        2.01225       0.320228E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
