|6.6.6
Archiving\03_Data\eqfrac/QFM_m1.5/ALH/ALH_1.tab                           
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          14
T(K)           P(bar)         Sp(TH)         melt(TH)       O(HP)          O(HP)          Opx(TH)        Cpx(TH)        Cpx(TH)        Cpx(TH)        an             ilm            San(TH)        q             
  1524.35        2500.00                 NaN   99.4654       0.462233E-001            NaN  0.488347                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1522.94        2500.00                 NaN   99.4667       0.448826E-001            NaN  0.488430                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1521.54        2500.00                 NaN   99.4354       0.483016E-001            NaN  0.516261                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1520.13        2500.00                 NaN   99.3958       0.342800E-002            NaN  0.709148E-001  0.529891                 NaN            NaN            NaN            NaN            NaN            NaN
  1518.73        2500.00                 NaN   99.3239                 NaN            NaN            NaN  0.676097                 NaN            NaN            NaN            NaN            NaN            NaN
  1517.32        2500.00                 NaN   99.3251                 NaN            NaN            NaN  0.674861                 NaN            NaN            NaN            NaN            NaN            NaN
  1515.92        2500.00                 NaN   99.2759                 NaN            NaN            NaN  0.724080                 NaN            NaN            NaN            NaN            NaN            NaN
  1514.51        2500.00                 NaN   99.4235       0.108443E-005            NaN            NaN  0.576500                 NaN            NaN            NaN            NaN            NaN            NaN
  1513.10        2500.00                 NaN   99.2748                 NaN            NaN            NaN  0.725220                 NaN            NaN            NaN            NaN            NaN            NaN
  1511.70        2500.00                 NaN   99.3233                 NaN            NaN            NaN  0.676701                 NaN            NaN            NaN            NaN            NaN            NaN
  1510.29        2500.00                 NaN   99.3232                 NaN            NaN  0.813932E-002  0.668705                 NaN            NaN            NaN            NaN            NaN            NaN
  1508.89        2500.00                 NaN   99.3273                 NaN            NaN            NaN  0.672650                 NaN            NaN            NaN            NaN            NaN            NaN
  1507.48        2500.00                 NaN   99.3216                 NaN            NaN  0.149071       0.529289                 NaN            NaN            NaN            NaN            NaN            NaN
  1506.08        2500.00                 NaN   99.3183                 NaN            NaN            NaN  0.681708                 NaN            NaN            NaN            NaN            NaN            NaN
  1504.67        2500.00                 NaN   99.2801                 NaN            NaN            NaN  0.719945                 NaN            NaN            NaN            NaN            NaN            NaN
  1503.26        2500.00                 NaN   99.7084                 NaN            NaN            NaN  0.291633                 NaN            NaN            NaN            NaN            NaN            NaN
  1501.86        2500.00                 NaN   98.9409                 NaN            NaN            NaN   1.05908                 NaN            NaN            NaN            NaN            NaN            NaN
  1500.45        2500.00                 NaN   99.3040                 NaN            NaN            NaN  0.696047                 NaN            NaN            NaN            NaN            NaN            NaN
  1499.05        2500.00                 NaN   99.2963       0.157493E-005            NaN            NaN  0.703726                 NaN            NaN            NaN            NaN            NaN            NaN
  1497.64        2500.00                 NaN   99.2903                 NaN            NaN            NaN  0.709724                 NaN            NaN            NaN            NaN            NaN            NaN
  1496.23        2500.00                 NaN   99.2809                 NaN            NaN            NaN  0.719087                 NaN            NaN            NaN            NaN            NaN            NaN
  1494.83        2500.00                 NaN   99.2703                 NaN            NaN            NaN  0.169107E-002  0.728048                 NaN            NaN            NaN            NaN            NaN
  1493.42        2500.00                 NaN   98.9588                 NaN            NaN            NaN  0.429580       0.611655                 NaN            NaN            NaN            NaN            NaN
  1492.02        2500.00                 NaN   98.9270       0.117490E-005            NaN            NaN  0.684023       0.389024                 NaN            NaN            NaN            NaN            NaN
  1490.61        2500.00                 NaN   98.9350                 NaN            NaN            NaN  0.677786       0.387171                 NaN            NaN            NaN            NaN            NaN
  1489.21        2500.00                 NaN   98.9444                 NaN            NaN            NaN  0.384361       0.671192                 NaN            NaN            NaN            NaN            NaN
  1487.80        2500.00                 NaN   98.6748                 NaN            NaN            NaN  0.483645       0.841562                 NaN            NaN            NaN            NaN            NaN
  1486.39        2500.00                 NaN   99.2413                 NaN            NaN            NaN  0.276973       0.481686                 NaN            NaN            NaN            NaN            NaN
  1484.99        2500.00       0.272136E-003   98.9672                 NaN            NaN            NaN  0.654140       0.378361                 NaN            NaN            NaN            NaN            NaN
  1483.58        2500.00                 NaN   98.9757                 NaN            NaN            NaN  0.375028       0.649313                 NaN            NaN            NaN            NaN            NaN
  1482.18        2500.00       0.687993E-003   98.9832                 NaN            NaN            NaN  0.373800       0.642335                 NaN            NaN            NaN            NaN            NaN
  1480.77        2500.00       0.286294E-002   98.9885                 NaN            NaN            NaN  0.375087       0.633502                 NaN            NaN            NaN            NaN            NaN
  1479.37        2500.00       0.277671E-002   98.9975                 NaN            NaN            NaN  0.627745       0.371955                 NaN            NaN            NaN            NaN            NaN
  1477.96        2500.00       0.269131E-002   99.0043                 NaN            NaN            NaN  0.369802       0.623212                 NaN            NaN            NaN            NaN            NaN
  1476.55        2500.00       0.317149E-002   98.7967                 NaN            NaN            NaN  0.753099       0.447012                 NaN            NaN            NaN            NaN            NaN
  1475.15        2500.00       0.195672E-002   99.2349                 NaN            NaN            NaN  0.478190       0.284947                 NaN            NaN            NaN            NaN            NaN
  1473.74        2500.00       0.245755E-002   99.0248                 NaN            NaN            NaN  0.610109       0.362683                 NaN            NaN            NaN            NaN            NaN
  1472.34        2500.00       0.235604E-002   99.0338                 NaN            NaN            NaN  0.360174       0.603624                 NaN            NaN            NaN            NaN            NaN
  1470.93        2500.00       0.228713E-002   99.0392                 NaN            NaN            NaN  0.358217       0.600325                 NaN            NaN            NaN            NaN            NaN
  1469.53        2500.00       0.224538E-002   99.0446                 NaN            NaN            NaN  0.356651       0.596469                 NaN            NaN            NaN            NaN            NaN
  1468.12        2500.00       0.212811E-002   99.0548                 NaN            NaN            NaN  0.353122       0.589924                 NaN            NaN            NaN            NaN            NaN
  1466.71        2500.00       0.206094E-002   99.0594                 NaN            NaN            NaN  0.351695       0.586834                 NaN            NaN            NaN            NaN            NaN
  1465.31        2500.00       0.281265E-002   98.6852                 NaN            NaN            NaN  0.820329       0.491708                 NaN            NaN            NaN            NaN            NaN
  1463.90        2500.00       0.112880E-002   99.4532                 NaN            NaN            NaN  0.340735       0.204961                 NaN            NaN            NaN            NaN            NaN
  1462.50        2500.00       0.186773E-002   99.0773                 NaN            NaN            NaN  0.345011       0.575849                 NaN            NaN            NaN            NaN            NaN
  1461.09        2500.00       0.178403E-002   99.0841                 NaN            NaN            NaN  0.343348       0.570747                 NaN            NaN            NaN            NaN            NaN
  1459.68        2500.00       0.229638E-002   98.7781                 NaN            NaN            NaN  0.460262       0.759372                 NaN            NaN            NaN            NaN            NaN
  1458.28        2500.00       0.107969E-002   99.4072                 NaN            NaN            NaN  0.222692       0.369015                 NaN            NaN            NaN            NaN            NaN
  1456.87        2500.00       0.160589E-002   99.1013       0.267718E-005            NaN            NaN  0.559568       0.337522                 NaN            NaN            NaN            NaN            NaN
  1455.47        2500.00       0.152681E-002   99.1053                 NaN            NaN            NaN  0.557164       0.336057                 NaN            NaN            NaN            NaN            NaN
  1454.06        2500.00       0.145496E-002   99.1098                 NaN            NaN            NaN  0.555368       0.333355                 NaN            NaN            NaN            NaN            NaN
  1452.66        2500.00       0.142408E-002   99.1189       0.154384E-005            NaN            NaN  0.548442       0.331249                 NaN            NaN            NaN            NaN            NaN
  1451.25        2500.00       0.134595E-002   99.1216       0.923004E-002            NaN            NaN  0.317112       0.550707                 NaN            NaN            NaN            NaN            NaN
  1449.84        2500.00       0.125249E-002   99.1321       0.198787E-001            NaN            NaN  0.297225       0.549565                 NaN            NaN            NaN            NaN            NaN
  1448.44        2500.00       0.121530E-002   99.1253       0.181931E-001            NaN            NaN  0.300442       0.554817                 NaN            NaN            NaN            NaN            NaN
  1447.03        2500.00       0.115042E-002   99.1466       0.185970E-001            NaN            NaN  0.539327       0.294287                 NaN            NaN            NaN            NaN            NaN
  1445.63        2500.00       0.111017E-002   99.1435       0.169486E-001            NaN            NaN  0.541084       0.297354                 NaN            NaN            NaN            NaN            NaN
  1444.22        2500.00       0.105992E-002   99.1495       0.158361E-001            NaN            NaN  0.536656       0.296970                 NaN            NaN            NaN            NaN            NaN
  1442.82        2500.00       0.101585E-002   99.1528       0.150205E-001            NaN            NaN  0.534540       0.296593                 NaN            NaN            NaN            NaN            NaN
  1441.41        2500.00       0.868324E-003   99.2457       0.122767E-001            NaN            NaN  0.474837       0.266277                 NaN            NaN            NaN            NaN            NaN
  1440.00        2500.00       0.952063E-003   99.0754       0.479939E-001            NaN            NaN  0.277738       0.597927                 NaN            NaN            NaN            NaN            NaN
  1438.60        2500.00       0.903111E-003   99.1697       0.178285E-003            NaN            NaN  0.311791       0.517458                 NaN            NaN            NaN            NaN            NaN
  1437.19        2500.00       0.876769E-003   99.1647                 NaN            NaN            NaN  0.314003       0.520377                 NaN            NaN            NaN            NaN            NaN
  1435.79        2500.00       0.841672E-003   99.1711       0.734078E-003            NaN            NaN  0.310601       0.516686                 NaN            NaN            NaN            NaN            NaN
  1434.38        2500.00       0.774120E-003   99.1765       0.956962E-002            NaN            NaN  0.517669       0.295467                 NaN            NaN            NaN            NaN            NaN
  1432.98        2500.00       0.737725E-003   99.1795       0.893479E-002            NaN            NaN  0.294847       0.515991                 NaN            NaN            NaN            NaN            NaN
  1431.57        2500.00       0.702404E-003   99.1809       0.806289E-002            NaN            NaN  0.295424       0.514905                 NaN            NaN            NaN            NaN            NaN
  1430.16        2500.00       0.672599E-003   99.1882       0.709945E-002            NaN            NaN  0.294514       0.509484                 NaN            NaN            NaN            NaN            NaN
  1428.76        2500.00       0.640892E-003   99.1892       0.622702E-002            NaN            NaN  0.294937       0.508972                 NaN            NaN            NaN            NaN            NaN
  1427.35        2500.00       0.614195E-003   99.1923       0.558425E-002            NaN            NaN  0.294272       0.507276                 NaN            NaN            NaN            NaN            NaN
  1425.95        2500.00       0.582825E-003   99.1956       0.456523E-002            NaN            NaN  0.504639       0.294569                 NaN            NaN            NaN            NaN            NaN
  1424.54        2500.00       0.557259E-003   99.1982       0.374963E-002            NaN            NaN  0.502857       0.294671                 NaN            NaN            NaN            NaN            NaN
  1423.14        2500.00       0.531069E-003   99.2006       0.294981E-002            NaN            NaN  0.294446       0.501518                 NaN            NaN            NaN            NaN            NaN
  1421.73        2500.00                 NaN   98.7327       0.128379                 NaN            NaN  0.334348       0.557093                 NaN  0.247496                 NaN            NaN            NaN
  1420.32        2500.00       0.848745E-003   98.2070       0.271321                 NaN            NaN  0.616474       0.377925                 NaN  0.526402                 NaN            NaN            NaN
  1418.92        2500.00                 NaN   98.2567       0.269259                 NaN            NaN  0.604165       0.359048                 NaN  0.510824                 NaN            NaN            NaN
  1417.51        2500.00                 NaN   98.2695       0.270163                 NaN            NaN  0.601426       0.351174                 NaN  0.507764                 NaN            NaN            NaN
  1416.11        2500.00                 NaN   98.2914       0.269809                 NaN            NaN  0.341370       0.596383                 NaN  0.501064                 NaN            NaN            NaN
  1414.70        2500.00                 NaN   96.7487       0.236942E-001  0.518205                 NaN  0.676100        1.10006                 NaN  0.933242                 NaN            NaN            NaN
  1413.29        2500.00                 NaN   99.6574       0.441461E-001            NaN            NaN  0.118734       0.844235E-001            NaN  0.952732E-001            NaN            NaN            NaN
  1411.89        2500.00                 NaN   98.3607       0.268210                 NaN            NaN  0.577455       0.312783                 NaN  0.480855                 NaN            NaN            NaN
  1410.48        2500.00                 NaN   98.3743       0.269759                 NaN            NaN  0.303272       0.575255                 NaN  0.477366                 NaN            NaN            NaN
  1409.08        2500.00                 NaN   98.4084       0.266556                 NaN            NaN  0.564315       0.294115                 NaN  0.466649                 NaN            NaN            NaN
  1407.67        2500.00                 NaN   98.4219       0.268275                 NaN            NaN  0.561186       0.285542                 NaN  0.463053                 NaN            NaN            NaN
  1406.27        2500.00                 NaN   98.4438       0.267201                 NaN            NaN  0.277181       0.555063                 NaN  0.456783                 NaN            NaN            NaN
  1404.86        2500.00                 NaN   98.4629       0.267291                 NaN            NaN  0.267813       0.550887                 NaN  0.451069                 NaN            NaN            NaN
  1403.45        2500.00                 NaN   98.4806       0.267258                 NaN            NaN  0.546669       0.259699                 NaN  0.445790                 NaN            NaN            NaN
  1402.05        2500.00                 NaN   98.4985       0.267091                 NaN            NaN  0.251885       0.542038                 NaN  0.440470                 NaN            NaN            NaN
  1400.64        2500.00                 NaN   98.5150       0.266946                 NaN            NaN  0.538584       0.243896                 NaN  0.435594                 NaN            NaN            NaN
  1399.24        2500.00                 NaN   98.5359       0.266490                 NaN            NaN  0.532161       0.235998                 NaN  0.429440                 NaN            NaN            NaN
  1397.83        2500.00                 NaN   98.5449       0.267945                 NaN            NaN  0.228920       0.531295                 NaN  0.426937                 NaN            NaN            NaN
  1396.43        2500.00                 NaN   98.5707       0.265294                 NaN            NaN  0.221719       0.523460                 NaN  0.418797                 NaN            NaN            NaN
  1395.02        2500.00                 NaN   98.5813       0.266967                 NaN            NaN  0.520337       0.214927                 NaN  0.416476                 NaN            NaN            NaN
  1393.61        2500.00                 NaN   98.6018       0.264961                 NaN            NaN  0.516887       0.206786                 NaN  0.409562                 NaN            NaN            NaN
  1392.21        2500.00                 NaN   98.6165       0.265455                 NaN            NaN  0.512389       0.200195                 NaN  0.405424                 NaN            NaN            NaN
  1390.80        2500.00                 NaN   98.6306       0.265234                 NaN            NaN  0.509200       0.193798                 NaN  0.401195                 NaN            NaN            NaN
  1389.40        2500.00                 NaN   98.6443       0.265062                 NaN            NaN  0.188086       0.505626                 NaN  0.396935                 NaN            NaN            NaN
  1387.99        2500.00                 NaN   98.6601       0.264421                 NaN            NaN  0.181392       0.501946                 NaN  0.392152                 NaN            NaN            NaN
  1386.59        2500.00                 NaN   98.6707       0.264955                 NaN            NaN  0.500246       0.175130                 NaN  0.388956                 NaN            NaN            NaN
  1385.18        2500.00                 NaN   98.6878       0.263295                 NaN            NaN  0.494681       0.170717                 NaN  0.383542                 NaN            NaN            NaN
  1383.77        2500.00                 NaN   98.7015       0.263779                 NaN            NaN  0.491545       0.163457                 NaN  0.379738                 NaN            NaN            NaN
  1382.37        2500.00                 NaN   98.7155       0.262477                 NaN            NaN  0.488552       0.158305                 NaN  0.375122                 NaN            NaN            NaN
  1380.96        2500.00                 NaN   98.7286       0.262149                 NaN            NaN  0.152457       0.485323                 NaN  0.371421                 NaN            NaN            NaN
  1379.56        2500.00                 NaN   98.7401       0.261892                 NaN            NaN  0.147014       0.483327                 NaN  0.367663                 NaN            NaN            NaN
  1378.15        2500.00                 NaN   98.7525       0.262074                 NaN            NaN  0.141966       0.479375                 NaN  0.364105                 NaN            NaN            NaN
  1376.74        2500.00                 NaN   98.7676       0.259565                 NaN            NaN  0.138015       0.475899                 NaN  0.358923                 NaN            NaN            NaN
  1375.34        2500.00                 NaN   98.7776       0.259887                 NaN            NaN  0.132648       0.473869                 NaN  0.356036                 NaN            NaN            NaN
  1373.93        2500.00                 NaN   98.7885       0.259118                 NaN            NaN  0.471400       0.128529                 NaN  0.352498                 NaN            NaN            NaN
  1372.53        2500.00                 NaN   98.8006       0.258393                 NaN            NaN  0.468918       0.123263                 NaN  0.348808                 NaN            NaN            NaN
  1371.12        2500.00                 NaN   98.8114       0.257249                 NaN            NaN  0.119726       0.466522                 NaN  0.345142                 NaN            NaN            NaN
  1369.72        2500.00                 NaN   98.8223       0.256568                 NaN            NaN  0.115416       0.463851                 NaN  0.341859                 NaN            NaN            NaN
  1368.31        2500.00                 NaN   98.8337       0.255660                 NaN            NaN  0.461560       0.110675                 NaN  0.338432                 NaN            NaN            NaN
  1366.90        2500.00                 NaN   98.8447       0.254282                 NaN            NaN  0.107861       0.458584                 NaN  0.334535                 NaN            NaN            NaN
  1365.50        2500.00                 NaN   97.8344       0.477550                 NaN            NaN  0.208183       0.850884                 NaN  0.628973                 NaN            NaN            NaN
  1364.09        2500.00                 NaN   99.8862       0.426805E-001            NaN            NaN  0.376790E-001            NaN            NaN  0.334192E-001            NaN            NaN            NaN
  1362.69        2500.00                 NaN   98.9001       0.235773                 NaN            NaN  0.456068       0.913567E-001            NaN  0.316745                 NaN            NaN            NaN
  1361.28        2500.00                 NaN   98.8842       0.249749                 NaN            NaN  0.449597       0.948539E-001            NaN  0.321599                 NaN            NaN            NaN
  1359.88        2500.00                 NaN   98.8927       0.250912                 NaN            NaN  0.446982       0.894820E-001            NaN  0.319916                 NaN            NaN            NaN
  1358.47        2500.00                 NaN   98.9059       0.244805                 NaN            NaN  0.920238E-001  0.443309                 NaN  0.313952                 NaN            NaN            NaN
  1357.06        2500.00                 NaN   98.9117       0.245961                 NaN            NaN  0.857311E-001  0.443999                 NaN  0.312624                 NaN            NaN            NaN
  1355.66        2500.00                 NaN   98.9217       0.243696                 NaN            NaN  0.850864E-001  0.440420                 NaN  0.309124                 NaN            NaN            NaN
  1354.25        2500.00                 NaN   98.9292       0.242364                 NaN            NaN  0.830041E-001  0.439001                 NaN  0.306425                 NaN            NaN            NaN
  1352.85        2500.00                 NaN   98.9375       0.241227                 NaN            NaN  0.437280       0.802520E-001            NaN  0.303742                 NaN            NaN            NaN
  1351.44        2500.00                 NaN   98.8948       0.202425                 NaN            NaN  0.394764       0.186783                 NaN  0.321213                 NaN            NaN            NaN
  1350.04        2500.00                 NaN   99.0053       0.259832                 NaN            NaN  0.459407                 NaN            NaN  0.275430                 NaN            NaN            NaN
  1348.63        2500.00                 NaN   98.9685       0.247739                 NaN            NaN  0.445346       0.429532E-001            NaN  0.295510                 NaN            NaN            NaN
  1347.22        2500.00                 NaN   98.9708       0.232910                 NaN            NaN  0.429455       0.748926E-001            NaN  0.291920                 NaN            NaN            NaN
  1345.82        2500.00                 NaN   98.9797       0.213601                 NaN            NaN  0.417598       0.102955                 NaN  0.286140                 NaN            NaN            NaN
  1344.41        2500.00                 NaN   98.9850       0.247270                 NaN            NaN  0.436518       0.410568E-001            NaN  0.290119                 NaN            NaN            NaN
  1343.01        2500.00                 NaN   98.9939       0.225710                 NaN            NaN  0.423488       0.735363E-001            NaN  0.283346                 NaN            NaN            NaN
  1341.60        2500.00                 NaN   99.0012       0.223608                 NaN            NaN  0.421017       0.732829E-001            NaN  0.280926                 NaN            NaN            NaN
  1340.19        2500.00                 NaN   99.0058       0.222518                 NaN            NaN  0.723070E-001  0.419918                 NaN  0.279411                 NaN            NaN            NaN
  1338.79        2500.00                 NaN   99.0163       0.218385                 NaN            NaN  0.416495       0.734421E-001            NaN  0.275373                 NaN            NaN            NaN
  1337.38        2500.00                 NaN   99.0216       0.216313                 NaN            NaN  0.415373       0.733673E-001            NaN  0.273394                 NaN            NaN            NaN
  1335.98        2500.00                 NaN   99.0270       0.213793                 NaN            NaN  0.413893       0.741307E-001            NaN  0.271180                 NaN            NaN            NaN
  1334.57        2500.00                 NaN   99.0346       0.211037                 NaN            NaN  0.742188E-001  0.411627                 NaN  0.268517                 NaN            NaN            NaN
  1333.17        2500.00                 NaN   99.0401       0.208275                 NaN            NaN  0.409697       0.756271E-001            NaN  0.266270                 NaN            NaN            NaN
  1331.76        2500.00                 NaN   99.0189       0.221546                 NaN            NaN  0.278278E-001  0.443147                 NaN  0.271714       0.169141E-001            NaN            NaN
  1330.35        2500.00                 NaN   98.9006       0.219508                 NaN            NaN  0.505808                 NaN            NaN  0.294517       0.795462E-001            NaN            NaN
  1328.95        2500.00                 NaN   98.9131       0.218421                 NaN            NaN  0.498934                 NaN            NaN  0.291346       0.782350E-001            NaN            NaN
  1327.54        2500.00                 NaN   98.9175       0.215782                 NaN            NaN  0.499184                 NaN            NaN  0.290294       0.772637E-001            NaN            NaN
  1326.14        2500.00                 NaN   98.9416       0.213198                 NaN            NaN  0.487073                 NaN            NaN  0.283065       0.750793E-001            NaN            NaN
  1324.73        2500.00                 NaN   98.9494       0.212680                 NaN            NaN  0.482219                 NaN            NaN  0.281524       0.741903E-001            NaN            NaN
  1323.33        2500.00                 NaN   98.9605       0.209868                 NaN            NaN  0.478363                 NaN            NaN  0.278373       0.728616E-001            NaN            NaN
  1321.92        2500.00                 NaN   98.9728       0.207951                 NaN            NaN  0.472545                 NaN            NaN  0.275103       0.716108E-001            NaN            NaN
  1320.51        2500.00                 NaN   98.9829       0.205593                 NaN            NaN  0.468989                 NaN            NaN  0.272171       0.703110E-001            NaN            NaN
  1319.11        2500.00                 NaN   98.9940       0.202772                 NaN            NaN  0.465111                 NaN            NaN  0.269141       0.690249E-001            NaN            NaN
  1317.70        2500.00                 NaN   99.0052       0.201769                 NaN            NaN  0.458956                 NaN            NaN  0.266188       0.679170E-001            NaN            NaN
  1316.30        2500.00                 NaN   99.0141       0.198858                 NaN            NaN  0.456859                 NaN            NaN  0.263510       0.666893E-001            NaN            NaN
  1314.89        2500.00                 NaN   99.0254       0.196221                 NaN            NaN  0.452444                 NaN            NaN  0.260421       0.654949E-001            NaN            NaN
  1313.49        2500.00                 NaN   99.0365       0.195232                 NaN            NaN  0.446402                 NaN            NaN  0.257500       0.643194E-001            NaN            NaN
  1312.08        2500.00                 NaN   99.0461       0.192136                 NaN            NaN  0.443807                 NaN            NaN  0.254761       0.631997E-001            NaN            NaN
  1310.67        2500.00                 NaN   99.0558       0.190266                 NaN            NaN  0.439733                 NaN            NaN  0.252086       0.621210E-001            NaN            NaN
  1309.27        2500.00                 NaN   99.0661       0.187144                 NaN            NaN  0.436513                 NaN            NaN  0.249286       0.610037E-001            NaN            NaN
  1307.86        2500.00                 NaN   99.0751       0.185006                 NaN            NaN  0.433412                 NaN            NaN  0.246611       0.598867E-001            NaN            NaN
  1306.46        2500.00                 NaN   99.0842       0.183231                 NaN            NaN  0.429506                 NaN            NaN  0.244176       0.588840E-001            NaN            NaN
  1305.05        2500.00                 NaN   99.0934       0.179728                 NaN            NaN  0.427608                 NaN            NaN  0.241514       0.577319E-001            NaN            NaN
  1303.65        2500.00                 NaN   99.1020       0.177544                 NaN            NaN  0.424604                 NaN            NaN  0.239078       0.567325E-001            NaN            NaN
  1302.24        2500.00                 NaN   99.1117       0.174650                 NaN            NaN  0.421535                 NaN            NaN  0.236396       0.556749E-001            NaN            NaN
  1300.83        2500.00                 NaN   99.1204       0.172935                 NaN            NaN  0.417916                 NaN            NaN  0.234066       0.547091E-001            NaN            NaN
  1299.43        2500.00                 NaN   99.1288       0.170292                 NaN            NaN  0.415549                 NaN            NaN  0.231658       0.536959E-001            NaN            NaN
  1298.02        2500.00                 NaN   92.1606       0.835540                 NaN            NaN   1.61562                 NaN            NaN   1.12284       0.335835        3.92953                 NaN
  1296.62        2500.00        2.78092        61.0583        2.15480                 NaN            NaN   7.91858                 NaN            NaN   4.92270                 NaN   21.1647                 NaN
  1295.21        2500.00        2.31970        67.2211        1.90325                 NaN            NaN   6.63546                 NaN            NaN   4.15441                 NaN   17.7661                 NaN
  1293.80        2500.00        1.93730        72.1918        1.68505                 NaN            NaN   5.61529                 NaN            NaN   3.53405                 NaN   15.0365                 NaN
  1292.40        2500.00        1.66362        75.7452        1.51691                 NaN            NaN   4.89505                 NaN            NaN   3.08947                 NaN   13.0897                 NaN
  1290.99        2500.00        1.46391        78.3373        1.39312                 NaN            NaN   4.36885                 NaN            NaN   2.76409                 NaN   11.6727                 NaN
  1289.59        2500.00        1.42439        78.9040        1.32251                 NaN            NaN   4.28353                 NaN            NaN   2.69101                 NaN   11.3745                 NaN
  1288.18        2500.00        1.09137        83.1200        1.16943                 NaN            NaN   3.40999                 NaN            NaN   2.15944                 NaN   9.04981                 NaN
  1286.78        2500.00        1.09740        83.0483        1.15017                 NaN            NaN   3.40730                 NaN            NaN   2.16566                 NaN   9.13121                 NaN
  1285.37        2500.00        1.17718        81.9970        1.15144                 NaN            NaN   3.62871                 NaN            NaN   2.29490                 NaN   9.75081                 NaN
  1283.96        2500.00        1.01995        83.9049        1.21065                 NaN            NaN   3.02285                 NaN            NaN   2.07643                 NaN   8.76517                 NaN
  1282.56        2500.00       0.989155        84.0746        1.02772                 NaN            NaN   3.35904                 NaN            NaN   1.98969                 NaN   8.55975                 NaN
