|6.6.6
Archiving\03_Data\eqfrac/QFM_m1.5/ALH/ALH_3.tab                           
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          14
T(K)           P(bar)         Sp(TH)         melt(TH)       O(HP)          O(HP)          Opx(TH)        Cpx(TH)        Cpx(TH)        Cpx(TH)        an             ilm            San(TH)        q             
  1560.90        2500.00       0.234493E-002   99.9015       0.961715E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1559.49        2500.00                 NaN   99.4690       0.654388E-001            NaN  0.465554                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1558.09        2500.00                 NaN   99.4509       0.538429E-001            NaN  0.495274                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1556.68        2500.00                 NaN   99.4526       0.522197E-001            NaN  0.495195                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1555.28        2500.00                 NaN   99.4526       0.520635E-001            NaN  0.495355                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1553.87        2500.00                 NaN   99.4701       0.514633E-001            NaN  0.478420                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1552.47        2500.00                 NaN   99.4658       0.511499E-001            NaN  0.483081                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1551.06        2500.00                 NaN   99.4710       0.503264E-001            NaN  0.478693                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1549.65        2500.00                 NaN   99.3682       0.642389E-001            NaN  0.567519                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1548.25        2500.00                 NaN   99.5845       0.335534E-001            NaN  0.381958                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1546.84        2500.00                 NaN   99.4827       0.483397E-001            NaN  0.469005                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1545.44        2500.00                 NaN   99.4850       0.478448E-001            NaN  0.467108                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1544.03        2500.00                 NaN   99.4516       0.506735E-001            NaN  0.497753                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1542.63        2500.00                 NaN   99.7653       0.220122E-001            NaN  0.212692                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
