|6.6.6
Archiving\03_Data\eq/QFM_m0.5/Y98/Y98_3.tab                               
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          11
T(K)           P(bar)         melt(TH)       pxmn           Ni             O(HP)          Sp(TH)         Opx(TH)        Cpx(TH)        Cpx(TH)        an            
  2000.00        2500.00        99.2173       0.774317       0.834714E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1996.79        2500.00        99.2173       0.774386       0.834711E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1993.59        2500.00        99.2172       0.774455       0.834708E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1990.38        2500.00        99.2171       0.774525       0.834706E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1987.18        2500.00        99.2171       0.774594       0.834704E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1983.97        2500.00        99.2170       0.774664       0.834702E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1980.77        2500.00        99.2169       0.774734       0.834700E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1977.56        2500.00        99.2168       0.774804       0.834699E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1974.36        2500.00        99.2168       0.774873       0.834697E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1971.15        2500.00        99.2167       0.774943       0.834696E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1967.95        2500.00        99.2166       0.775013       0.834695E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1964.74        2500.00        99.2166       0.775082       0.834694E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1961.54        2500.00        99.2165       0.775152       0.834693E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1958.33        2500.00        99.2164       0.775222       0.834692E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1955.13        2500.00        99.2164       0.775292       0.834692E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1951.92        2500.00        99.2163       0.775362       0.834691E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1948.72        2500.00        99.2162       0.775432       0.834691E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1945.51        2500.00        99.2162       0.775502       0.834691E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1942.31        2500.00        99.2161       0.775571       0.834691E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1939.10        2500.00        99.2160       0.775641       0.834691E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1935.90        2500.00        99.2159       0.775711       0.834691E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1932.69        2500.00        99.2159       0.775781       0.834692E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1929.49        2500.00        99.2158       0.775851       0.834692E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1926.28        2500.00        99.2157       0.775922       0.834693E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1923.08        2500.00        99.2157       0.775992       0.834694E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1919.87        2500.00        99.2156       0.776062       0.834695E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1916.67        2500.00        99.2155       0.776132       0.834696E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1913.46        2500.00        99.2155       0.776202       0.834697E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1910.26        2500.00        99.2154       0.776272       0.834699E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1907.05        2500.00        99.2153       0.776342       0.834700E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1903.85        2500.00        99.2152       0.776413       0.834702E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1900.64        2500.00        99.2152       0.776483       0.834704E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1897.44        2500.00        99.2151       0.776553       0.834706E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1894.23        2500.00        99.2150       0.776623       0.834708E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1891.03        2500.00        99.2150       0.776694       0.834710E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1887.82        2500.00        99.2149       0.776764       0.834713E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1884.62        2500.00        99.2148       0.776834       0.834715E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1881.41        2500.00        99.2147       0.776905       0.834718E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1878.21        2500.00        99.2147       0.776975       0.834721E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1875.00        2500.00        99.2146       0.777045       0.834724E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1871.79        2500.00        99.2145       0.777116       0.834727E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1868.59        2500.00        99.2145       0.777186       0.834730E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1865.38        2500.00        99.2144       0.777257       0.834733E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1862.18        2500.00        99.2143       0.777327       0.834737E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1858.97        2500.00        99.2143       0.777397       0.834740E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1855.77        2500.00        99.2142       0.777468       0.834744E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1852.56        2500.00        99.2141       0.777538       0.834748E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1849.36        2500.00        99.2140       0.777609       0.834752E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1846.15        2500.00        99.2140       0.777680       0.834757E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1842.95        2500.00        99.2139       0.777750       0.834761E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1839.74        2500.00        99.2138       0.777820       0.834765E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1836.54        2500.00        99.2138       0.777891       0.834769E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1833.33        2500.00        99.2137       0.777961       0.834774E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1830.13        2500.00        99.2136       0.778032       0.834779E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1826.92        2500.00        99.2135       0.778103       0.834784E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1823.72        2500.00        99.2135       0.778173       0.834789E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1820.51        2500.00        99.2134       0.778244       0.834794E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1817.31        2500.00        99.1075       0.778318                 NaN  0.114187                 NaN            NaN            NaN            NaN            NaN
  1814.10        2500.00        99.1058       0.778389                 NaN  0.115851                 NaN            NaN            NaN            NaN            NaN
  1810.90        2500.00        99.1038       0.778461                 NaN  0.117733                 NaN            NaN            NaN            NaN            NaN
  1807.69        2500.00        99.1019       0.778532                 NaN  0.119614                 NaN            NaN            NaN            NaN            NaN
  1804.49        2500.00        99.0998       0.778603                 NaN  0.121616                 NaN            NaN            NaN            NaN            NaN
  1801.28        2500.00        99.0977       0.778674                 NaN  0.123617                 NaN            NaN            NaN            NaN            NaN
  1798.08        2500.00        99.0956       0.778746                 NaN  0.125620                 NaN            NaN            NaN            NaN            NaN
  1794.87        2500.00        99.0936       0.778817                 NaN  0.127622                 NaN            NaN            NaN            NaN            NaN
  1791.67        2500.00        99.0909       0.778888                 NaN  0.130259                 NaN            NaN            NaN            NaN            NaN
  1788.46        2500.00        99.0881       0.778960                 NaN  0.132895                 NaN            NaN            NaN            NaN            NaN
  1785.26        2500.00        99.0854       0.779031                 NaN  0.135533                 NaN            NaN            NaN            NaN            NaN
  1782.05        2500.00        99.0827       0.779103                 NaN  0.138170                 NaN            NaN            NaN            NaN            NaN
  1778.85        2500.00        99.0800       0.779174                 NaN  0.140809                 NaN            NaN            NaN            NaN            NaN
  1775.64        2500.00        99.0773       0.779246                 NaN  0.143447                 NaN            NaN            NaN            NaN            NaN
  1772.44        2500.00        99.0746       0.779317                 NaN  0.146086                 NaN            NaN            NaN            NaN            NaN
  1769.23        2500.00        99.0719       0.779389                 NaN  0.148725                 NaN            NaN            NaN            NaN            NaN
  1766.03        2500.00        99.0680       0.779461                 NaN  0.152548                 NaN            NaN            NaN            NaN            NaN
  1762.82        2500.00        99.0641       0.779533                 NaN  0.156372                 NaN            NaN            NaN            NaN            NaN
  1759.62        2500.00        99.0602       0.779605                 NaN  0.160196                 NaN            NaN            NaN            NaN            NaN
  1756.41        2500.00        99.0563       0.779676                 NaN  0.164020                 NaN            NaN            NaN            NaN            NaN
  1753.21        2500.00        99.0524       0.779748                 NaN  0.167845                 NaN            NaN            NaN            NaN            NaN
  1750.00        2500.00        99.0485       0.779820                 NaN  0.171671                 NaN            NaN            NaN            NaN            NaN
  1746.79        2500.00        99.0446       0.779892                 NaN  0.175497                 NaN            NaN            NaN            NaN            NaN
  1743.59        2500.00        99.0407       0.779964                 NaN  0.179324                 NaN            NaN            NaN            NaN            NaN
  1740.38        2500.00        99.0345       0.780037                 NaN  0.185439                 NaN            NaN            NaN            NaN            NaN
  1737.18        2500.00        99.0283       0.780109                 NaN  0.191554                 NaN            NaN            NaN            NaN            NaN
  1733.97        2500.00        99.0221       0.780182                 NaN  0.197670                 NaN            NaN            NaN            NaN            NaN
  1730.77        2500.00        99.0160       0.780255                 NaN  0.203787                 NaN            NaN            NaN            NaN            NaN
  1727.56        2500.00        99.0098       0.780327                 NaN  0.209905                 NaN            NaN            NaN            NaN            NaN
  1724.36        2500.00        99.0036       0.780400                 NaN  0.216024                 NaN            NaN            NaN            NaN            NaN
  1721.15        2500.00        98.9974       0.780473                 NaN  0.222144                 NaN            NaN            NaN            NaN            NaN
