|6.6.6
Archiving\03_Data\eqfracLP/QFM_m4.75/ALH/ALH_1.tab                        
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          14
T(K)           P(bar)         melt(TH)       O(HP)          Opx(TH)        Cpx(TH)        Cpx(TH)        Cpx(TH)        Sp(TH)         an             iron           ilm            San(TH)        q             
  1528.85        500.000        99.9885       0.114906E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1527.52        500.000        99.5259       0.739232E-001  0.400137                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1526.20        500.000        99.4451       0.109598E-001  0.543947                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1524.87        500.000        99.4491       0.224279E-001  0.528468                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1523.55        500.000        99.4561       0.443540E-001  0.499562                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1522.22        500.000        99.4579       0.392498E-001  0.502852                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1520.90        500.000        99.4580                 NaN  0.541959                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1519.57        500.000        99.4612                 NaN  0.538824                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1518.25        500.000        99.4635                 NaN  0.536535                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1516.92        500.000        99.4680                 NaN  0.531954                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1515.60        500.000        99.4717       0.458021E-005  0.528247                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1514.27        500.000        99.4734       0.172327E-005  0.526638                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1512.94        500.000        99.4734       0.253240E-003  0.526348                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1511.62        500.000        99.4847                 NaN  0.515258                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1510.29        500.000        99.4860       0.123841E-001  0.501624                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1508.97        500.000        99.4876                 NaN  0.512417                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1507.64        500.000        99.4911                 NaN  0.508854                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1506.32        500.000        99.4940                 NaN  0.506040                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1504.99        500.000        99.4458                 NaN  0.311238       0.243003                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1503.67        500.000        98.8552                 NaN  0.828279E-001   1.06195                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1502.34        500.000        99.9023                 NaN  0.472560E-002  0.930054E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1501.02        500.000        99.3783                 NaN  0.410419E-001  0.580644                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1499.69        500.000        99.3820                 NaN  0.384469E-001  0.579594                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1498.36        500.000        99.3806                 NaN  0.360202E-001  0.583363                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1497.04        500.000        99.3855                 NaN  0.331986E-001  0.581324                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1495.71        500.000        99.3836                 NaN  0.311092E-001  0.585338                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1494.39        500.000        99.3575                 NaN            NaN  0.642482                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1493.06        500.000        99.4156                 NaN  0.592446E-001  0.525195                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1491.74        500.000        99.3767                 NaN  0.235692E-001  0.599722                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1490.41        500.000        99.3956                 NaN  0.209629E-001  0.583449                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1489.09        500.000        99.3865                 NaN  0.174421E-001  0.596013                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1487.76        500.000        99.3801                 NaN  0.153767E-001  0.604534                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1486.44        500.000        99.3256                 NaN  0.126023E-001  0.661842                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1485.11        500.000        99.6841                 NaN  0.443339E-002  0.311421                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1483.79        500.000        99.1522                 NaN  0.856869E-002  0.839259                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1482.46        500.000        99.3836                 NaN  0.189035E-002  0.614504                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1481.13        500.000        99.3483                 NaN  0.547582E-002  0.646221                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1479.81        500.000        99.4141                 NaN  0.661825E-002  0.579242                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1478.48        500.000        99.3770                 NaN            NaN  0.622583                 NaN            NaN  0.370093E-003            NaN            NaN            NaN            NaN            NaN
  1477.16        500.000        99.3647                 NaN            NaN  0.629549                 NaN            NaN  0.573473E-002            NaN            NaN            NaN            NaN            NaN
  1475.83        500.000        99.0551                 NaN  0.335304       0.238308       0.371294                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1474.51        500.000        99.6785                 NaN            NaN  0.320473                 NaN            NaN  0.102422E-002            NaN            NaN            NaN            NaN            NaN
  1473.18        500.000        99.2341                 NaN            NaN  0.759374                 NaN            NaN  0.657540E-002            NaN            NaN            NaN            NaN            NaN
  1471.86        500.000        99.6777                 NaN  0.173048       0.147894                 NaN            NaN  0.139420E-002            NaN            NaN            NaN            NaN            NaN
  1470.53        500.000        98.7198                 NaN            NaN  0.418477       0.859220                 NaN  0.254843E-002            NaN            NaN            NaN            NaN            NaN
  1469.21        500.000        98.9992                 NaN            NaN  0.622847       0.374406                 NaN  0.354121E-002            NaN            NaN            NaN            NaN            NaN
  1467.88        500.000        99.0081                 NaN            NaN  0.617413       0.371056                 NaN  0.343015E-002            NaN            NaN            NaN            NaN            NaN
  1466.55        500.000        99.0175                 NaN            NaN  0.611964       0.367245                 NaN  0.333856E-002            NaN            NaN            NaN            NaN            NaN
  1465.23        500.000        99.0262                 NaN            NaN  0.363955       0.606557                 NaN  0.324674E-002            NaN            NaN            NaN            NaN            NaN
