|6.6.6
Archiving\03_Data\eqfracLP/QFM_m4.75/ALH/ALH_3.tab                        
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          14
T(K)           P(bar)         melt(TH)       O(HP)          Opx(TH)        Cpx(TH)        Cpx(TH)        Cpx(TH)        Sp(TH)         an             iron           ilm            San(TH)        q             
  1528.85        500.000        99.9905       0.953973E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1527.52        500.000        99.5934       0.614204E-001  0.345132                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1526.20        500.000        99.5219       0.910027E-002  0.469010                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1524.87        500.000        99.5258       0.186108E-001  0.455577                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1523.55        500.000        99.5328       0.367891E-001  0.430459                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1522.22        500.000        99.5342       0.325385E-001  0.433228                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1520.90        500.000        99.5333                 NaN  0.466743                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1519.57        500.000        99.5360                 NaN  0.463967                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1518.25        500.000        99.5380                 NaN  0.461961                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1516.92        500.000        99.5422                 NaN  0.457801                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1515.60        500.000        99.5455       0.378979E-005  0.454530                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1514.27        500.000        99.5469       0.142513E-005  0.453082                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1512.94        500.000        99.5471       0.209297E-003  0.452644                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1511.62        500.000        99.5570                 NaN  0.443040                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1510.29        500.000        99.5585       0.102281E-001  0.431226                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1508.97        500.000        99.5597                 NaN  0.440322                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1507.64        500.000        99.5628                 NaN  0.437172                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1506.32        500.000        99.5653                 NaN  0.434660                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1504.99        500.000        99.5230                 NaN  0.267214       0.209777                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1503.67        500.000        99.0115                 NaN  0.711842E-001  0.917358                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1502.34        500.000        99.9158                 NaN  0.405213E-002  0.801884E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1501.02        500.000        99.4641                 NaN  0.351965E-001  0.500719                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1499.69        500.000        99.4674                 NaN  0.329641E-001  0.499670                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1498.36        500.000        99.4664                 NaN  0.308721E-001  0.502733                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1497.04        500.000        99.4708                 NaN  0.284415E-001  0.500759                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1495.71        500.000        99.4694                 NaN  0.266405E-001  0.503999                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1494.39        500.000        99.4470                 NaN            NaN  0.553006                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1493.06        500.000        99.4975                 NaN  0.506915E-001  0.451841                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1491.74        500.000        99.4640                 NaN  0.201601E-001  0.515837                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1490.41        500.000        99.4805                 NaN  0.179227E-001  0.501561                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1489.09        500.000        99.4729                 NaN  0.149080E-001  0.512215                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
