|6.6.6
Archiving\03_Data\frac/QFM_m5/TAY13/TAY13_1.tab                           
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          17
T(K)           P(bar)         melt(TH)       pxmn           mang           iron           Ni             O(HP)          Sp(TH)         Opx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)        ne             ilm            lc            
  2000.00        2500.00        92.9152       0.118310E-002  0.449114        6.61038       0.240965E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1997.49        2500.00        92.8958       0.113839E-002  0.449163        6.62982       0.240978E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1994.99        2500.00        92.8414       0.592101E-001  0.417757        6.65757       0.240997E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1992.48        2500.00        92.7855       0.119765       0.385007        6.68558       0.241016E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1989.97        2500.00        92.7298       0.180286       0.352275        6.71350       0.241035E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1987.47        2500.00        92.6747       0.240058       0.319949        6.74121       0.241054E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1984.96        2500.00        92.6190       0.300758       0.287120        6.76900       0.241073E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1982.46        2500.00        92.5647       0.359455       0.255375        6.79634       0.241091E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1979.95        2500.00        92.5101       0.418845       0.223255        6.82373       0.241110E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1977.44        2500.00        92.4558       0.477757       0.191394        6.85097       0.241128E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1974.94        2500.00        92.4018       0.536424       0.159664        6.87804       0.241147E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1972.43        2500.00        92.3479       0.594867       0.128057        6.90503       0.241165E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1969.92        2500.00        92.2943       0.653209       0.965030E-001   6.93191       0.241183E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1967.42        2500.00        92.2380       0.715823       0.626376E-001   6.95945       0.241202E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1964.91        2500.00        92.1878       0.768849       0.339612E-001   6.98522       0.241219E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1962.41        2500.00        92.1348       0.826601       0.272720E-002   7.01176       0.241237E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1959.90        2500.00        92.1134       0.831682                 NaN   7.03083       0.241250E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1957.39        2500.00        92.0949       0.831725                 NaN   7.04920       0.241263E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1954.89        2500.00        92.0767       0.831768                 NaN   7.06745       0.241275E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1952.38        2500.00        92.0583       0.831811                 NaN   7.08573       0.241288E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1949.87        2500.00        91.9693       0.832019                 NaN   7.17459       0.241348E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1947.37        2500.00        92.0219       0.831896                 NaN   7.12204       0.241312E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
