|6.6.6
Archiving\03_Data\Deqfrac/QFM_m4.25/WD94/WD94_1.tab                       
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          12
T(K)           P(bar)         Sp(TH)         melt(TH)       Opx(TH)        O(HP)          Cpx(TH)        Cpx(TH)        an             San(TH)        ilm            q             
  1634.62        2500.00       0.209360E-001   99.4649       0.425017       0.891644E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1633.03        2500.00                 NaN   98.9147       0.943836       0.141487                 NaN            NaN            NaN            NaN            NaN            NaN
  1631.44        2500.00                 NaN   98.9243       0.937305       0.138362                 NaN            NaN            NaN            NaN            NaN            NaN
  1629.85        2500.00                 NaN   98.9388       0.923469       0.137740                 NaN            NaN            NaN            NaN            NaN            NaN
  1628.26        2500.00                 NaN   98.9426       0.919316       0.138076                 NaN            NaN            NaN            NaN            NaN            NaN
  1626.67        2500.00                 NaN   99.2433       0.658882       0.978512E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1625.08        2500.00                 NaN   98.6979        1.13469       0.167415                 NaN            NaN            NaN            NaN            NaN            NaN
  1623.49        2500.00                 NaN   98.9853       0.884169       0.130517                 NaN            NaN            NaN            NaN            NaN            NaN
  1621.90        2500.00                 NaN   98.9944       0.877937       0.127647                 NaN            NaN            NaN            NaN            NaN            NaN
  1620.31        2500.00                 NaN   99.0015       0.871225       0.127308                 NaN            NaN            NaN            NaN            NaN            NaN
  1618.71        2500.00                 NaN   99.0003       0.873022       0.126689                 NaN            NaN            NaN            NaN            NaN            NaN
  1617.12        2500.00                 NaN   99.0477       0.830451       0.121869                 NaN            NaN            NaN            NaN            NaN            NaN
  1615.53        2500.00                 NaN   99.0370       0.840891       0.122061                 NaN            NaN            NaN            NaN            NaN            NaN
  1613.94        2500.00                 NaN   99.0661       0.815034       0.118911                 NaN            NaN            NaN            NaN            NaN            NaN
  1612.35        2500.00                 NaN   99.0377       0.841683       0.120578                 NaN            NaN            NaN            NaN            NaN            NaN
  1610.76        2500.00                 NaN   99.0655       0.817437       0.117089                 NaN            NaN            NaN            NaN            NaN            NaN
  1609.17        2500.00                 NaN   99.0764       0.808368       0.115224                 NaN            NaN            NaN            NaN            NaN            NaN
  1607.58        2500.00                 NaN   99.0806       0.806253       0.113142                 NaN            NaN            NaN            NaN            NaN            NaN
  1605.99        2500.00                 NaN   97.7531        1.97195       0.274962                 NaN            NaN            NaN            NaN            NaN            NaN
  1604.40        2500.00                 NaN   100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1602.81        2500.00                 NaN   99.4612       0.472478       0.663346E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1601.22        2500.00                 NaN   99.8739       0.112858       0.132424E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1599.63        2500.00                 NaN   98.4897        1.32592       0.184394                 NaN            NaN            NaN            NaN            NaN            NaN
  1598.04        2500.00                 NaN   99.1398       0.754470       0.105732                 NaN            NaN            NaN            NaN            NaN            NaN
  1596.45        2500.00                 NaN   99.0947       0.793096       0.112204                 NaN            NaN            NaN            NaN            NaN            NaN
  1594.86        2500.00                 NaN   99.2084       0.695903       0.956537E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1593.27        2500.00                 NaN   99.1595       0.741292       0.992032E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1591.68        2500.00                 NaN   99.1702       0.731221       0.985815E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1590.09        2500.00                 NaN   99.1582       0.741523       0.100306                 NaN            NaN            NaN            NaN            NaN            NaN
  1588.49        2500.00                 NaN   99.2061       0.697938       0.959612E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1586.90        2500.00                 NaN   99.1886       0.715501       0.958915E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1585.31        2500.00                 NaN   99.1998       0.707530       0.926506E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1583.72        2500.00                 NaN   99.0854       0.744732       0.169864                 NaN            NaN            NaN            NaN            NaN            NaN
  1582.13        2500.00                 NaN   99.3200       0.648607       0.313654E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1580.54        2500.00                 NaN   99.2512       0.664904       0.838698E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1578.95        2500.00                 NaN   99.2290       0.682174       0.888178E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1577.36        2500.00                 NaN   99.2334       0.680102       0.865066E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1575.77        2500.00                 NaN   99.2239       0.691628       0.844676E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1574.18        2500.00                 NaN   99.2646       0.651270       0.841124E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1572.59        2500.00                 NaN   99.2548       0.661497       0.836596E-001            NaN            NaN            NaN            NaN            NaN            NaN
