|6.6.6
Archiving\03_Data\DfracLP/QFM_m5/WD94/WD94_1.tab                          
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          14
T(K)           P(bar)         melt(TH)       iron           O(HP)          Sp(TH)         Opx(TH)        Cpx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)        q              ilm           
  1942.36        500.000        92.5732        7.42679                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1939.85        500.000        92.5539        7.44613                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1937.34        500.000        92.5346        7.46541                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1934.84        500.000        92.5154        7.48463                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1932.33        500.000        92.4961        7.50386                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1929.82        500.000        92.4771        7.52295                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1927.32        500.000        92.4580        7.54203                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1924.81        500.000        92.4390        7.56104                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1922.31        500.000        92.4179        7.58205                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1919.80        500.000        92.4011        7.59895                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1917.29        500.000        92.3822        7.61782                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1914.79        500.000        92.3702        7.62977                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1912.28        500.000        92.3472        7.65283                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1909.77        500.000        92.3259        7.67414                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1907.27        500.000        92.3072        7.69282                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1904.76        500.000        92.2886        7.71144                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1902.26        500.000        92.2700        7.73003                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1899.75        500.000        92.2514        7.74855                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1897.24        500.000        92.2330        7.76702                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1894.74        500.000        92.2145        7.78545                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1892.23        500.000        92.1962        7.80383                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1889.72        500.000        92.1648        7.82169       0.135039E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1887.22        500.000        99.4798       0.122873E-002  0.518939                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1884.71        500.000        99.4691       0.439278E-003  0.530466                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1882.21        500.000        98.8328       0.236391E-002   1.16484                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1879.70        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1877.19        500.000        99.8001                 NaN  0.199940                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1874.69        500.000        99.2974       0.109339E-001  0.691685                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1872.18        500.000        99.4856       0.117121E-001  0.502699                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1869.67        500.000        99.4888       0.168204E-002  0.509487                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1867.17        500.000        99.4907                 NaN  0.509262                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1864.66        500.000        99.8730       0.105214E-001  0.116469                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1862.16        500.000        99.1158                 NaN  0.884222                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1859.65        500.000        99.5003                 NaN  0.499724                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1857.14        500.000        99.4999                 NaN  0.500091                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1854.64        500.000        99.5010                 NaN  0.499047                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1852.13        500.000        99.5035                 NaN  0.496545                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1849.62        500.000        99.4982                 NaN  0.501757                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1847.12        500.000        99.5115                 NaN  0.488460                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1844.61        500.000        99.5080                 NaN  0.492039                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1842.11        500.000        99.5030                 NaN  0.496981                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1839.60        500.000        99.5128                 NaN  0.487162                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1837.09        500.000        99.5101                 NaN  0.489870                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1834.59        500.000        99.5097                 NaN  0.490339                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1832.08        500.000        98.9501       0.230902E-001   1.01565       0.111222E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1829.57        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1827.07        500.000        99.5749                 NaN  0.425110                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1824.56        500.000        99.5118                 NaN  0.488163                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1822.06        500.000        99.5125                 NaN  0.487520                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1819.55        500.000        99.5124                 NaN  0.487639                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1817.04        500.000        99.6620                 NaN  0.337988                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1814.54        500.000        99.3640                 NaN  0.636029                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1812.03        500.000        99.5097                 NaN  0.490329                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1809.52        500.000        99.5155                 NaN  0.484461                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1807.02        500.000        99.4987                 NaN  0.486409       0.148735E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1804.51        500.000        99.4983                 NaN  0.486362       0.153377E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1802.01        500.000        98.7072                 NaN   1.25391       0.388835E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1799.50        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1796.99        500.000        99.8900                 NaN  0.107023       0.293695E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1794.49        500.000        99.3858                 NaN  0.595768       0.184661E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1791.98        500.000        99.4940                 NaN  0.490868       0.151477E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1789.47        500.000        99.4869                 NaN  0.497772       0.153471E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1786.97        500.000        99.4960                 NaN  0.489073       0.148877E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1784.46        500.000        99.4880                 NaN  0.496864       0.150902E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1781.95        500.000        99.4873                 NaN  0.497683       0.150452E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1779.45        500.000        99.4854                 NaN  0.499552       0.150160E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1776.94        500.000        99.5863                 NaN  0.401617       0.120387E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1774.44        500.000        99.3782                 NaN  0.603876       0.178825E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1771.93        500.000        99.4789                 NaN  0.506131       0.149395E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1769.42        500.000        99.4751                 NaN  0.509935       0.149709E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1766.92        500.000        98.6203                 NaN   1.34116       0.385217E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1764.41        500.000        99.9998                 NaN            NaN  0.203849E-003            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1761.90        500.000        99.7986                 NaN  0.195533       0.583179E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1759.40        500.000        99.3284                 NaN  0.652908       0.186837E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1756.89        500.000        99.6351                 NaN  0.354812       0.100567E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1754.39        500.000        99.4299                 NaN  0.554513       0.156327E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1751.88        500.000        99.5786                 NaN  0.410056       0.113565E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1749.37        500.000        99.2183                 NaN  0.760356       0.213465E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1746.87        500.000        99.6729                 NaN  0.318204       0.886567E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1744.36        500.000        99.3467                 NaN  0.635828       0.174394E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1741.85        500.000        99.4421                 NaN  0.543072       0.147782E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1739.35        500.000        99.4445                 NaN  0.540956       0.145865E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1736.84        500.000        99.1657                 NaN  0.825993       0.830303E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1734.34        500.000        99.7112                 NaN  0.267870       0.209338E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1731.83        500.000        99.4327                 NaN  0.552709       0.145582E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1729.32        500.000        99.0826                 NaN  0.888414       0.289545E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1726.82        500.000        99.7712                 NaN  0.228650       0.148208E-003            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1724.31        500.000        99.4202                 NaN  0.565324       0.145201E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1721.80        500.000        99.4157                 NaN  0.569783       0.145562E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1719.30        500.000        99.4117                 NaN  0.573813       0.145181E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1716.79        500.000        99.4081                 NaN  0.577359       0.145239E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1714.29        500.000        99.4015                 NaN  0.583956       0.145638E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1711.78        500.000        98.5723                 NaN   1.39315       0.345278E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1709.27        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1706.77        500.000        99.6711                 NaN  0.321014       0.784485E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1704.26        500.000        99.8856                 NaN  0.111045       0.338260E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1701.75        500.000        98.8445                 NaN   1.12904       0.264851E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1699.25        500.000        99.3784                 NaN  0.607146       0.144573E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1696.74        500.000        99.3741                 NaN  0.611399       0.144517E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1694.24        500.000        99.3670                 NaN  0.618492       0.145431E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1691.73        500.000        99.3694                 NaN  0.616246       0.143738E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1689.22        500.000        99.3619                 NaN  0.623684       0.144283E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1686.72        500.000        99.3566                 NaN  0.628969       0.144622E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1684.21        500.000        99.3531                 NaN  0.632445       0.144402E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1681.70        500.000        99.3482                 NaN  0.637335       0.144395E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1679.20        500.000        99.3458                 NaN  0.639817       0.144148E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1676.69        500.000        99.3365                 NaN  0.648934       0.145999E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1674.19        500.000        98.5476                 NaN   1.42347       0.289448E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1671.68        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1669.17        500.000        99.4536                 NaN  0.532256       0.141351E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1666.67        500.000        99.3257                 NaN  0.659889       0.144060E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1664.16        500.000        99.3224                 NaN  0.663185       0.144084E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1661.65        500.000        99.3176                 NaN  0.667921       0.144547E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1659.15        500.000        98.0995                 NaN  0.333812                 NaN   1.56673                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1656.64        500.000        97.2794                 NaN  0.904155E-001            NaN   2.63017                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1654.14        500.000        97.3392                 NaN  0.868711E-001            NaN   2.57391                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1651.63        500.000        97.4097                 NaN  0.839636E-001            NaN   2.50636                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1649.12        500.000        97.4656                 NaN  0.818437E-001            NaN   2.45254                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1646.62        500.000        97.5018                 NaN  0.791319E-001            NaN   2.41911                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1644.11        500.000        97.5986                 NaN  0.767416E-001            NaN   2.32467                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1641.60        500.000        97.6389                 NaN  0.751949E-001            NaN   2.28594                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1639.10        500.000        97.6827                 NaN  0.685330E-001            NaN   2.24878                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1636.59        500.000        97.7336                 NaN  0.662996E-001            NaN   2.20014                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1634.09        500.000        97.7773                 NaN  0.659827E-001            NaN   2.15673                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1631.58        500.000        97.8297                 NaN  0.600141E-001            NaN   2.11028                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1629.07        500.000        97.8649                 NaN  0.566617E-001            NaN   2.07840                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1626.57        500.000        97.9162                 NaN  0.559083E-001            NaN   2.02787                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1624.06        500.000        97.9524                 NaN  0.513783E-001            NaN   1.99621                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1621.55        500.000        97.9902                 NaN  0.478181E-001            NaN   1.96199                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1619.05        500.000        98.0337                 NaN  0.466771E-001            NaN   1.91958                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1616.54        500.000        97.9689                 NaN  0.486276E-001            NaN   1.98245                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1614.04        500.000        98.2065                 NaN  0.377273E-001            NaN   1.75576                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1611.53        500.000        98.1352                 NaN  0.381371E-001            NaN   1.82669                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1609.02        500.000        98.1483                 NaN  0.307540E-001            NaN   1.82097                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1606.52        500.000        98.2307                 NaN  0.342876E-001            NaN   1.73501                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1604.01        500.000        98.2402                 NaN  0.304067E-001            NaN   1.72942                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1601.50        500.000        98.2692                 NaN  0.271864E-001            NaN   1.70365                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1599.00        500.000        98.3008                 NaN  0.258051E-001            NaN   1.67336                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1596.49        500.000        98.3287                 NaN  0.222923E-001            NaN   1.64897                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1593.98        500.000        99.1542                 NaN  0.118335E-001            NaN  0.833927                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1591.48        500.000        97.5874                 NaN  0.291588E-001            NaN   2.38340                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1588.97        500.000        98.4085                 NaN  0.843797E-002            NaN   1.58309                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1586.47        500.000        98.4321                 NaN  0.797886E-002            NaN   1.55987                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1583.96        500.000        98.4602                 NaN  0.105111E-001            NaN   1.52931                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1581.45        500.000        98.4539                 NaN  0.380071E-001            NaN   1.50805                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1578.95        500.000        98.5467                 NaN  0.456369E-003            NaN   1.45287                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1576.44        500.000        98.5369                 NaN  0.298372E-001            NaN   1.43331                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1573.93        500.000        98.5607                 NaN  0.571016E-001            NaN   1.38218                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1571.43        500.000        98.5761                 NaN            NaN            NaN   1.42394                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1568.92        500.000        98.5996                 NaN            NaN            NaN   1.40040                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1566.42        500.000        98.6138                 NaN  0.102831E-001            NaN   1.37590                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1563.91        500.000        98.6440                 NaN            NaN            NaN   1.35600                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1561.40        500.000        98.6591                 NaN  0.513738E-001            NaN   1.28957                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1558.90        500.000        98.6855                 NaN            NaN            NaN   1.31446                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1556.39        500.000        98.6934                 NaN            NaN            NaN   1.30658                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1553.88        500.000        98.7108                 NaN            NaN            NaN   1.28920                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1551.38        500.000        98.7309                 NaN            NaN            NaN   1.26908                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1548.87        500.000        98.7489                 NaN            NaN            NaN   1.25108                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1546.37        500.000        98.5722                 NaN  0.177512E-002            NaN   1.42606                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1543.86        500.000        98.9716                 NaN            NaN            NaN   1.02845                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1541.35        500.000        98.7953                 NaN            NaN            NaN   1.20468                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1538.85        500.000        98.8147                 NaN            NaN            NaN   1.18528                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1536.34        500.000        98.8312                 NaN            NaN            NaN   1.16881                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1533.83        500.000        98.8484                 NaN            NaN            NaN   1.15162                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1531.33        500.000        98.8585                 NaN            NaN            NaN   1.14153                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1528.82        500.000        98.8714                 NaN            NaN            NaN   1.12864                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1526.32        500.000        98.8819                 NaN            NaN            NaN   1.11813                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1523.81        500.000        98.9012                 NaN            NaN            NaN   1.09884                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1521.30        500.000        98.9145                 NaN            NaN            NaN   1.08547                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1518.80        500.000        98.9263                 NaN            NaN            NaN   1.07374                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1516.29        500.000        98.8599                 NaN            NaN            NaN  0.660524       0.479615                 NaN            NaN            NaN            NaN            NaN            NaN
  1513.78        500.000        98.7373                 NaN            NaN            NaN  0.268391E-001   1.23584                 NaN            NaN            NaN            NaN            NaN            NaN
  1511.28        500.000        98.7392                 NaN            NaN            NaN            NaN   1.26085                 NaN            NaN            NaN            NaN            NaN            NaN
  1508.77        500.000        98.7641                 NaN            NaN            NaN  0.178919        1.05698                 NaN            NaN            NaN            NaN            NaN            NaN
  1506.27        500.000        98.7588                 NaN            NaN            NaN            NaN   1.24123                 NaN            NaN            NaN            NaN            NaN            NaN
  1503.76        500.000        98.7643                 NaN            NaN            NaN            NaN   1.23565                 NaN            NaN            NaN            NaN            NaN            NaN
  1501.25        500.000        98.7648                 NaN            NaN            NaN            NaN   1.23517                 NaN            NaN            NaN            NaN            NaN            NaN
  1498.75        500.000        98.7691                 NaN            NaN            NaN            NaN   1.23095                 NaN            NaN            NaN            NaN            NaN            NaN
  1496.24        500.000        98.7695                 NaN            NaN            NaN            NaN   1.23050                 NaN            NaN            NaN            NaN            NaN            NaN
  1493.73        500.000        98.7670                 NaN            NaN            NaN            NaN   1.23298                 NaN            NaN            NaN            NaN            NaN            NaN
  1491.23        500.000        98.7620                 NaN            NaN            NaN            NaN   1.23800                 NaN            NaN            NaN            NaN            NaN            NaN
  1488.72        500.000        98.4888                 NaN            NaN            NaN            NaN   1.14728       0.363900                 NaN            NaN            NaN            NaN            NaN
  1486.22        500.000        97.9007                 NaN            NaN            NaN            NaN   1.20149       0.897804                 NaN            NaN            NaN            NaN            NaN
  1483.71        500.000        97.9410                 NaN            NaN            NaN            NaN  0.877672        1.18138                 NaN            NaN            NaN            NaN            NaN
  1481.20        500.000        97.9867                 NaN            NaN            NaN            NaN  0.854812        1.15845                 NaN            NaN            NaN            NaN            NaN
  1478.70        500.000        98.0250                 NaN            NaN            NaN            NaN   1.13992       0.835095                 NaN            NaN            NaN            NaN            NaN
  1476.19        500.000        98.0654                 NaN            NaN            NaN            NaN  0.815536        1.11907                 NaN            NaN            NaN            NaN            NaN
  1473.68        500.000        98.1029                 NaN            NaN            NaN            NaN  0.796388        1.10072                 NaN            NaN            NaN            NaN            NaN
  1471.18        500.000        98.1341                 NaN            NaN            NaN            NaN  0.779957        1.08593                 NaN            NaN            NaN            NaN            NaN
  1468.67        500.000        98.1809                 NaN            NaN            NaN            NaN  0.759427        1.05972                 NaN            NaN            NaN            NaN            NaN
  1466.17        500.000        98.2100                 NaN            NaN            NaN            NaN   1.04746       0.742514                 NaN            NaN            NaN            NaN            NaN
  1463.66        500.000        98.2420                 NaN            NaN            NaN            NaN  0.726341        1.03169                 NaN            NaN            NaN            NaN            NaN
