|6.6.6
Archiving\03_Data\Deq/QFM_m0.25/YM20/YM20_1.tab                         
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
           9
T(K)           P(bar)         melt(TH)       O(HP)          Sp(TH)         Opx(TH)        Cpx(TH)        Cpx(TH)        an            
  2000.00        2500.00        99.5990       0.401044                 NaN            NaN            NaN            NaN            NaN
  1996.79        2500.00        99.5817       0.418299                 NaN            NaN            NaN            NaN            NaN
  1993.59        2500.00        99.5644       0.435554                 NaN            NaN            NaN            NaN            NaN
  1990.38        2500.00        99.5472       0.452808                 NaN            NaN            NaN            NaN            NaN
  1987.18        2500.00        99.5299       0.470063                 NaN            NaN            NaN            NaN            NaN
  1983.97        2500.00        99.5127       0.487317                 NaN            NaN            NaN            NaN            NaN
  1980.77        2500.00        99.4954       0.504572                 NaN            NaN            NaN            NaN            NaN
  1977.56        2500.00        99.4782       0.521826                 NaN            NaN            NaN            NaN            NaN
  1974.36        2500.00        99.4609       0.539080                 NaN            NaN            NaN            NaN            NaN
  1971.15        2500.00        99.4237       0.576305                 NaN            NaN            NaN            NaN            NaN
  1967.95        2500.00        99.3865       0.613529                 NaN            NaN            NaN            NaN            NaN
  1964.74        2500.00        99.3492       0.650753                 NaN            NaN            NaN            NaN            NaN
  1961.54        2500.00        99.3120       0.687977                 NaN            NaN            NaN            NaN            NaN
  1958.33        2500.00        99.2748       0.725200                 NaN            NaN            NaN            NaN            NaN
  1955.13        2500.00        99.2376       0.762423                 NaN            NaN            NaN            NaN            NaN
  1951.92        2500.00        99.2004       0.799646                 NaN            NaN            NaN            NaN            NaN
  1948.72        2500.00        99.1631       0.836869                 NaN            NaN            NaN            NaN            NaN
  1945.51        2500.00        99.0469       0.953080                 NaN            NaN            NaN            NaN            NaN
  1942.31        2500.00        98.9307        1.06929                 NaN            NaN            NaN            NaN            NaN
  1939.10        2500.00        98.8145        1.18550                 NaN            NaN            NaN            NaN            NaN
  1935.90        2500.00        98.6983        1.30171                 NaN            NaN            NaN            NaN            NaN
  1932.69        2500.00        98.5821        1.41792                 NaN            NaN            NaN            NaN            NaN
  1929.49        2500.00        98.4659        1.53413                 NaN            NaN            NaN            NaN            NaN
  1926.28        2500.00        98.3497        1.65034                 NaN            NaN            NaN            NaN            NaN
  1923.08        2500.00        98.2335        1.76655                 NaN            NaN            NaN            NaN            NaN
  1919.87        2500.00        97.9847        2.00210       0.132449E-001            NaN            NaN            NaN            NaN
  1916.67        2500.00        97.6918        2.27382       0.343686E-001            NaN            NaN            NaN            NaN
  1913.46        2500.00        97.3233        2.62180       0.548977E-001            NaN            NaN            NaN            NaN
  1910.26        2500.00        96.9548        2.96978       0.754270E-001            NaN            NaN            NaN            NaN
  1907.05        2500.00        96.4603        3.44481       0.948459E-001            NaN            NaN            NaN            NaN
  1903.85        2500.00        95.9659        3.91986       0.114265                 NaN            NaN            NaN            NaN
  1900.64        2500.00        95.4714        4.39491       0.133684                 NaN            NaN            NaN            NaN
  1897.44        2500.00        94.9769        4.86996       0.153104                 NaN            NaN            NaN            NaN
  1894.23        2500.00        94.3711        5.45810       0.170776                 NaN            NaN            NaN            NaN
  1891.03        2500.00        93.7653        6.04625       0.188449                 NaN            NaN            NaN            NaN
  1887.82        2500.00        93.1595        6.63441       0.206122                 NaN            NaN            NaN            NaN
  1884.62        2500.00        92.5536        7.22258       0.223796                 NaN            NaN            NaN            NaN
  1881.41        2500.00        91.9478        7.81076       0.241470                 NaN            NaN            NaN            NaN
  1878.21        2500.00        91.3419        8.39896       0.259144                 NaN            NaN            NaN            NaN
  1875.00        2500.00        90.7360        8.98717       0.276819                 NaN            NaN            NaN            NaN
  1871.79        2500.00        90.1301        9.57539       0.294494                 NaN            NaN            NaN            NaN
  1868.59        2500.00        89.5139        10.1756       0.310571                 NaN            NaN            NaN            NaN
  1865.38        2500.00        88.8976        10.7757       0.326649                 NaN            NaN            NaN            NaN
  1862.18        2500.00        88.2813        11.3759       0.342728                 NaN            NaN            NaN            NaN
  1858.97        2500.00        87.6651        11.9761       0.358807                 NaN            NaN            NaN            NaN
  1855.77        2500.00        87.0488        12.5764       0.374886                 NaN            NaN            NaN            NaN
  1852.56        2500.00        86.4324        13.1766       0.390965                 NaN            NaN            NaN            NaN
  1849.36        2500.00        85.8161        13.7769       0.407045                 NaN            NaN            NaN            NaN
  1846.15        2500.00        85.1998        14.3771       0.423126                 NaN            NaN            NaN            NaN
  1842.95        2500.00        84.6013        14.9607       0.437982                 NaN            NaN            NaN            NaN
  1839.74        2500.00        84.0029        15.5443       0.452839                 NaN            NaN            NaN            NaN
  1836.54        2500.00        83.4044        16.1279       0.467696                 NaN            NaN            NaN            NaN
  1833.33        2500.00        82.8060        16.7115       0.482553                 NaN            NaN            NaN            NaN
  1830.13        2500.00        82.2075        17.2951       0.497411                 NaN            NaN            NaN            NaN
  1826.92        2500.00        81.6090        17.8788       0.512269                 NaN            NaN            NaN            NaN
  1823.72        2500.00        81.0104        18.4624       0.527128                 NaN            NaN            NaN            NaN
  1820.51        2500.00        80.4119        19.0461       0.541987                 NaN            NaN            NaN            NaN
  1817.31        2500.00        79.8357        19.6085       0.555769                 NaN            NaN            NaN            NaN
  1814.10        2500.00        79.2596        20.1709       0.569551                 NaN            NaN            NaN            NaN
  1810.90        2500.00        78.6834        20.7333       0.583334                 NaN            NaN            NaN            NaN
  1807.69        2500.00        78.1072        21.2957       0.597117                 NaN            NaN            NaN            NaN
  1804.49        2500.00        77.5309        21.8582       0.610900                 NaN            NaN            NaN            NaN
  1801.28        2500.00        76.9547        22.4206       0.624684                 NaN            NaN            NaN            NaN
  1798.08        2500.00        76.3784        22.9831       0.638469                 NaN            NaN            NaN            NaN
  1794.87        2500.00        75.8022        23.5456       0.652254                 NaN            NaN            NaN            NaN
  1791.67        2500.00        75.2397        24.0952       0.665096                 NaN            NaN            NaN            NaN
  1788.46        2500.00        74.6773        24.6448       0.677938                 NaN            NaN            NaN            NaN
  1785.26        2500.00        74.1148        25.1944       0.690781                 NaN            NaN            NaN            NaN
  1782.05        2500.00        73.5523        25.7440       0.703624                 NaN            NaN            NaN            NaN
  1778.85        2500.00        72.9898        26.2937       0.716468                 NaN            NaN            NaN            NaN
  1775.64        2500.00        72.4273        26.8434       0.729312                 NaN            NaN            NaN            NaN
  1772.44        2500.00        71.8648        27.3931       0.742157                 NaN            NaN            NaN            NaN
  1769.23        2500.00        71.3022        27.9428       0.755001                 NaN            NaN            NaN            NaN
  1766.03        2500.00        70.7538        28.4793       0.766937                 NaN            NaN            NaN            NaN
  1762.82        2500.00        70.2053        29.0158       0.778873                 NaN            NaN            NaN            NaN
  1759.62        2500.00        69.6568        29.5524       0.790810                 NaN            NaN            NaN            NaN
  1756.41        2500.00        69.1083        30.0890       0.802747                 NaN            NaN            NaN            NaN
  1753.21        2500.00        68.5597        30.6256       0.814684                 NaN            NaN            NaN            NaN
  1750.00        2500.00        68.0112        31.1622       0.826621                 NaN            NaN            NaN            NaN
  1746.79        2500.00        67.4626        31.6988       0.838559                 NaN            NaN            NaN            NaN
  1743.59        2500.00        66.9141        32.2354       0.850498                 NaN            NaN            NaN            NaN
  1740.38        2500.00        66.3793        32.7591       0.861687                 NaN            NaN            NaN            NaN
  1737.18        2500.00        65.8444        33.2827       0.872877                 NaN            NaN            NaN            NaN
  1733.97        2500.00        65.3096        33.8063       0.884067                 NaN            NaN            NaN            NaN
  1730.77        2500.00        64.7747        34.3300       0.895257                 NaN            NaN            NaN            NaN
  1727.56        2500.00        64.2399        34.8537       0.906448                 NaN            NaN            NaN            NaN
  1724.36        2500.00        63.7050        35.3774       0.917639                 NaN            NaN            NaN            NaN
  1721.15        2500.00        63.1701        35.9011       0.928831                 NaN            NaN            NaN            NaN
