|6.6.6
Archiving\03_Data\Deq/QFM_m0.25/YM20/YM20_3.tab                         
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
           9
T(K)           P(bar)         melt(TH)       O(HP)          Sp(TH)         Opx(TH)        Cpx(TH)        Cpx(TH)        an            
  2000.00        2500.00        99.6450       0.354970                 NaN            NaN            NaN            NaN            NaN
  1996.79        2500.00        99.6289       0.371124                 NaN            NaN            NaN            NaN            NaN
  1993.59        2500.00        99.6127       0.387281                 NaN            NaN            NaN            NaN            NaN
  1990.38        2500.00        99.5966       0.403442                 NaN            NaN            NaN            NaN            NaN
  1987.18        2500.00        99.5804       0.419606                 NaN            NaN            NaN            NaN            NaN
  1983.97        2500.00        99.5642       0.435774                 NaN            NaN            NaN            NaN            NaN
  1980.77        2500.00        99.5481       0.451945                 NaN            NaN            NaN            NaN            NaN
  1977.56        2500.00        99.5319       0.468119                 NaN            NaN            NaN            NaN            NaN
  1974.36        2500.00        99.5157       0.484298                 NaN            NaN            NaN            NaN            NaN
  1971.15        2500.00        99.4809       0.519141                 NaN            NaN            NaN            NaN            NaN
  1967.95        2500.00        99.4460       0.553993                 NaN            NaN            NaN            NaN            NaN
  1964.74        2500.00        99.4111       0.588853                 NaN            NaN            NaN            NaN            NaN
  1961.54        2500.00        99.3763       0.623721                 NaN            NaN            NaN            NaN            NaN
  1958.33        2500.00        99.3414       0.658598                 NaN            NaN            NaN            NaN            NaN
  1955.13        2500.00        99.3065       0.693483                 NaN            NaN            NaN            NaN            NaN
  1951.92        2500.00        99.2716       0.728376                 NaN            NaN            NaN            NaN            NaN
  1948.72        2500.00        99.2367       0.763278                 NaN            NaN            NaN            NaN            NaN
  1945.51        2500.00        99.1280       0.872043                 NaN            NaN            NaN            NaN            NaN
  1942.31        2500.00        99.0192       0.980844                 NaN            NaN            NaN            NaN            NaN
  1939.10        2500.00        98.9103        1.08968                 NaN            NaN            NaN            NaN            NaN
  1935.90        2500.00        98.8014        1.19855                 NaN            NaN            NaN            NaN            NaN
  1932.69        2500.00        98.6925        1.30746                 NaN            NaN            NaN            NaN            NaN
  1929.49        2500.00        98.5836        1.41641                 NaN            NaN            NaN            NaN            NaN
  1926.28        2500.00        98.4746        1.52539                 NaN            NaN            NaN            NaN            NaN
  1923.08        2500.00        98.3656        1.63440                 NaN            NaN            NaN            NaN            NaN
  1919.87        2500.00        98.1359        1.85501       0.910134E-002            NaN            NaN            NaN            NaN
  1916.67        2500.00        97.8666        2.10974       0.236237E-001            NaN            NaN            NaN            NaN
  1913.46        2500.00        97.5265        2.43580       0.377381E-001            NaN            NaN            NaN            NaN
  1910.26        2500.00        97.1861        2.76208       0.518622E-001            NaN            NaN            NaN            NaN
  1907.05        2500.00        96.7278        3.20701       0.652180E-001            NaN            NaN            NaN            NaN
  1903.85        2500.00        96.2691        3.65228       0.785850E-001            NaN            NaN            NaN            NaN
  1900.64        2500.00        95.8101        4.09792       0.919631E-001            NaN            NaN            NaN            NaN
  1897.44        2500.00        95.3507        4.54390       0.105352                 NaN            NaN            NaN            NaN
  1894.23        2500.00        94.7887        5.09383       0.117489                 NaN            NaN            NaN            NaN
  1891.03        2500.00        94.2261        5.64427       0.129638                 NaN            NaN            NaN            NaN
  1887.82        2500.00        93.6630        6.19521       0.141798                 NaN            NaN            NaN            NaN
  1884.62        2500.00        93.0994        6.74666       0.153970                 NaN            NaN            NaN            NaN
  1881.41        2500.00        92.5352        7.29861       0.166153                 NaN            NaN            NaN            NaN
  1878.21        2500.00        91.9706        7.85106       0.178348                 NaN            NaN            NaN            NaN
  1875.00        2500.00        91.4054        8.40401       0.190554                 NaN            NaN            NaN            NaN
  1871.79        2500.00        90.8398        8.95745       0.202771                 NaN            NaN            NaN            NaN
  1868.59        2500.00        90.2673        9.51887       0.213831                 NaN            NaN            NaN            NaN
  1865.38        2500.00        89.6943        10.0808       0.224901                 NaN            NaN            NaN            NaN
  1862.18        2500.00        89.1208        10.6432       0.235981                 NaN            NaN            NaN            NaN
  1858.97        2500.00        88.5468        11.2062       0.247071                 NaN            NaN            NaN            NaN
  1855.77        2500.00        87.9722        11.7696       0.258172                 NaN            NaN            NaN            NaN
  1852.56        2500.00        87.3972        12.3335       0.269283                 NaN            NaN            NaN            NaN
  1849.36        2500.00        86.8216        12.8980       0.280404                 NaN            NaN            NaN            NaN
  1846.15        2500.00        86.2456        13.4629       0.291535                 NaN            NaN            NaN            NaN
  1842.95        2500.00        85.6899        14.0083       0.301758                 NaN            NaN            NaN            NaN
  1839.74        2500.00        85.1338        14.5542       0.311990                 NaN            NaN            NaN            NaN
  1836.54        2500.00        84.5772        15.1005       0.322230                 NaN            NaN            NaN            NaN
  1833.33        2500.00        84.0202        15.6473       0.332480                 NaN            NaN            NaN            NaN
  1830.13        2500.00        83.4627        16.1946       0.342738                 NaN            NaN            NaN            NaN
  1826.92        2500.00        82.9047        16.7423       0.353005                 NaN            NaN            NaN            NaN
  1823.72        2500.00        82.3463        17.2905       0.363281                 NaN            NaN            NaN            NaN
  1820.51        2500.00        81.7874        17.8391       0.373566                 NaN            NaN            NaN            NaN
  1817.31        2500.00        81.2522        18.3647       0.383067                 NaN            NaN            NaN            NaN
  1814.10        2500.00        80.7166        18.8908       0.392576                 NaN            NaN            NaN            NaN
  1810.90        2500.00        80.1806        19.4173       0.402093                 NaN            NaN            NaN            NaN
  1807.69        2500.00        79.6442        19.9442       0.411617                 NaN            NaN            NaN            NaN
  1804.49        2500.00        79.1073        20.4715       0.421149                 NaN            NaN            NaN            NaN
  1801.28        2500.00        78.5701        20.9992       0.430688                 NaN            NaN            NaN            NaN
  1798.08        2500.00        78.0325        21.5273       0.440235                 NaN            NaN            NaN            NaN
  1794.87        2500.00        77.4944        22.0558       0.449789                 NaN            NaN            NaN            NaN
  1791.67        2500.00        76.9723        22.5690       0.458658                 NaN            NaN            NaN            NaN
  1788.46        2500.00        76.4499        23.0826       0.467533                 NaN            NaN            NaN            NaN
  1785.26        2500.00        75.9271        23.5965       0.476415                 NaN            NaN            NaN            NaN
  1782.05        2500.00        75.4039        24.1108       0.485303                 NaN            NaN            NaN            NaN
  1778.85        2500.00        74.8803        24.6255       0.494198                 NaN            NaN            NaN            NaN
  1775.64        2500.00        74.3564        25.1405       0.503099                 NaN            NaN            NaN            NaN
  1772.44        2500.00        73.8321        25.6559       0.512006                 NaN            NaN            NaN            NaN
  1769.23        2500.00        73.3074        26.1716       0.520920                 NaN            NaN            NaN            NaN
  1766.03        2500.00        72.7982        26.6726       0.529197                 NaN            NaN            NaN            NaN
  1762.82        2500.00        72.2885        27.1740       0.537479                 NaN            NaN            NaN            NaN
  1759.62        2500.00        71.7786        27.6756       0.545767                 NaN            NaN            NaN            NaN
  1756.41        2500.00        71.2683        28.1776       0.554060                 NaN            NaN            NaN            NaN
  1753.21        2500.00        70.7578        28.6799       0.562359                 NaN            NaN            NaN            NaN
  1750.00        2500.00        70.2469        29.1825       0.570663                 NaN            NaN            NaN            NaN
  1746.79        2500.00        69.7356        29.6854       0.578972                 NaN            NaN            NaN            NaN
  1743.59        2500.00        69.2241        30.1886       0.587287                 NaN            NaN            NaN            NaN
  1740.38        2500.00        68.7272        30.6777       0.595098                 NaN            NaN            NaN            NaN
  1737.18        2500.00        68.2300        31.1671       0.602914                 NaN            NaN            NaN            NaN
  1733.97        2500.00        67.7325        31.6568       0.610735                 NaN            NaN            NaN            NaN
  1730.77        2500.00        67.2348        32.1467       0.618560                 NaN            NaN            NaN            NaN
  1727.56        2500.00        66.7367        32.6369       0.626390                 NaN            NaN            NaN            NaN
  1724.36        2500.00        66.2384        33.1274       0.634224                 NaN            NaN            NaN            NaN
  1721.15        2500.00        65.7398        33.6181       0.642062                 NaN            NaN            NaN            NaN
  1717.95        2500.00        65.2410        34.1091       0.649905                 NaN            NaN            NaN            NaN
  1714.74        2500.00        64.7598        34.5829       0.657295                 NaN            NaN            NaN            NaN
  1711.54        2500.00        64.2785        35.0569       0.664690                 NaN            NaN            NaN            NaN
  1708.33        2500.00        63.7968        35.5311       0.672088                 NaN            NaN            NaN            NaN
  1705.13        2500.00        63.3150        36.0055       0.679490                 NaN            NaN            NaN            NaN
  1701.92        2500.00        62.8329        36.4802       0.686895                 NaN            NaN            NaN            NaN
  1698.72        2500.00        62.3506        36.9551       0.694304                 NaN            NaN            NaN            NaN
  1695.51        2500.00        61.8681        37.4302       0.701716                 NaN            NaN            NaN            NaN
  1692.31        2500.00        61.3854        37.9055       0.709132                 NaN            NaN            NaN            NaN
  1689.10        2500.00        60.9244        38.3594       0.716213                 NaN            NaN            NaN            NaN
  1685.90        2500.00        60.4632        38.8135       0.723298                 NaN            NaN            NaN            NaN
  1682.69        2500.00        60.0018        39.2679       0.730385                 NaN            NaN            NaN            NaN
  1679.49        2500.00        59.5402        39.7223       0.737475                 NaN            NaN            NaN            NaN
  1676.28        2500.00        59.0785        40.1770       0.744568                 NaN            NaN            NaN            NaN
  1673.08        2500.00        58.6165        40.6318       0.751663                 NaN            NaN            NaN            NaN
  1669.87        2500.00        58.1545        41.0868       0.758762                 NaN            NaN            NaN            NaN
  1666.67        2500.00        57.6922        41.5419       0.765862                 NaN            NaN            NaN            NaN
  1663.46        2500.00        57.2502        41.9772       0.772642                 NaN            NaN            NaN            NaN
  1660.26        2500.00        56.8079        42.4126       0.779424                 NaN            NaN            NaN            NaN
  1657.05        2500.00        56.3656        42.8482       0.786207                 NaN            NaN            NaN            NaN
  1653.85        2500.00        55.9231        43.2839       0.792993                 NaN            NaN            NaN            NaN
  1650.64        2500.00        55.0533        43.6353       0.794807       0.516619                 NaN            NaN            NaN
  1647.44        2500.00        53.5856        43.8675       0.791458        1.75540                 NaN            NaN            NaN
  1644.23        2500.00        52.2143        44.0835       0.787532        2.91474                 NaN            NaN            NaN
  1641.03        2500.00        50.8390        44.2999       0.783593        4.07748                 NaN            NaN            NaN
  1637.82        2500.00        49.7167        44.4725       0.779104        5.03172                 NaN            NaN            NaN
  1634.62        2500.00        48.5917        44.6454       0.774602        5.98827                 NaN            NaN            NaN
  1631.41        2500.00        47.4641        44.8187       0.770088        6.94713                 NaN            NaN            NaN
  1628.21        2500.00        46.3339        44.9922       0.765561        7.90830                 NaN            NaN            NaN
  1625.00        2500.00        45.2011        45.1661       0.761022        8.87179                 NaN            NaN            NaN
  1621.79        2500.00        44.0656        45.3404       0.756471        9.83760                 NaN            NaN            NaN
  1618.59        2500.00        42.9274        45.5149       0.751907        10.8057                 NaN            NaN            NaN
  1615.38        2500.00        41.7867        45.6898       0.747330        11.7762                 NaN            NaN            NaN
  1612.18        2500.00        40.9323        45.8138       0.742061        12.5119                 NaN            NaN            NaN
  1608.97        2500.00        40.0764        45.9379       0.736782        13.2489                 NaN            NaN            NaN
  1605.77        2500.00        39.2189        46.0622       0.731492        13.9873                 NaN            NaN            NaN
  1602.56        2500.00        38.3600        46.1867       0.726191        14.7271                 NaN            NaN            NaN
