|6.6.6
Archiving\03_Data\eqfracLP/QFM_m3/ALH/ALH_3.tab                           
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          13
T(K)           P(bar)         melt(TH)       O(HP)          Opx(TH)        Cpx(TH)        Cpx(TH)        Cpx(TH)        Sp(TH)         an             ilm            San(TH)        q             
  1528.85        500.000        99.9854       0.146026E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1527.52        500.000        99.5523       0.334023E-001  0.414298                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1526.20        500.000        99.5149       0.598512E-002  0.479065                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1524.87        500.000        99.5171       0.363745E-002  0.479227                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1523.55        500.000        99.5192       0.344190E-002  0.477322                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1522.22        500.000        99.5243       0.356000E-002  0.472156                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1520.90        500.000        99.5263       0.172820E-002  0.471983                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1519.57        500.000        99.5296       0.561662E-002  0.464779                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1518.25        500.000        99.5302       0.160440E-001  0.453794                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1516.92        500.000        99.5493       0.440986E-001  0.406625                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1515.60        500.000        99.5412       0.130133E-001  0.445778                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1514.27        500.000        99.5409                 NaN  0.459068                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1512.94        500.000        99.5441                 NaN  0.455927                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1511.62        500.000        99.5564       0.442201E-001  0.399352                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1510.29        500.000        99.5148                 NaN  0.485160                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1508.97        500.000        99.5901                 NaN  0.409888                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1507.64        500.000        99.5586                 NaN  0.441416                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1506.32        500.000        99.5595                 NaN  0.440547                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1504.99        500.000        99.5625                 NaN  0.437492                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1503.67        500.000        99.5646                 NaN  0.435441                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1502.34        500.000        99.5810       0.737916E-001  0.345245                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1501.02        500.000        99.5718                 NaN  0.428157                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1499.69        500.000        99.4761                 NaN  0.708692E-001  0.452984                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1498.36        500.000        99.4641                 NaN  0.242062E-001  0.511658                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1497.04        500.000        99.3967                 NaN  0.250859E-001  0.578169                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1495.71        500.000        99.5335                 NaN  0.175540E-001  0.448991                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1494.39        500.000        99.4399                 NaN  0.609902E-001  0.499113                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1493.06        500.000        99.4996                 NaN  0.377187E-001  0.462652                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1491.74        500.000        99.4687                 NaN            NaN  0.531285                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1490.41        500.000        99.4688                 NaN  0.187630E-001  0.512482                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
