|6.6.6
Archiving\03_Data\DeqfracLP/QFM_m1.75/K22/K22_1.tab                   
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          12
T(K)           P(bar)         melt(TH)       Opx(TH)        O(HP)          Cpx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)        ilm            q             
  1596.15        500.000        99.3884       0.611620                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1594.66        500.000        99.0172       0.982804       0.195121E-005            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1593.16        500.000        99.0283       0.968898       0.278795E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1591.67        500.000        99.0381       0.930694       0.311735E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1590.17        500.000        99.0430       0.925860       0.311867E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1588.68        500.000        99.0656       0.903995       0.303790E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1587.19        500.000        99.0671       0.904163       0.287829E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1585.69        500.000        99.0778       0.895019       0.271631E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1584.20        500.000        99.0695       0.900505       0.299831E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1582.70        500.000        99.1141       0.858243       0.276704E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1581.21        500.000        99.1044       0.870102       0.255081E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1579.71        500.000        99.1173       0.857151       0.255108E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1578.22        500.000        99.1228       0.852377       0.248360E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1576.73        500.000        99.1310       0.846512       0.225176E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1575.23        500.000        99.1392       0.838897       0.219273E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1573.74        500.000        99.1465       0.833198       0.203242E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1572.24        500.000        99.1553       0.824819       0.199249E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1570.75        500.000        99.1625       0.818261       0.192055E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1569.26        500.000        99.1700       0.811899       0.181382E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1567.76        500.000        99.1753       0.810436       0.142188E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1566.27        500.000        99.1884       0.795114       0.164504E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1564.77        500.000        99.1924       0.791916       0.157227E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1563.28        500.000        99.1992       0.786342       0.144201E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
