|6.6.6
Archiving\03_Data\eqfracLP/QFM_m4.25/Y98/Y98_1.tab                        
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          13
T(K)           P(bar)         melt(TH)       Cpx(TH)        Cpx(TH)        Cpx(TH)        Cpx(TH)        Sp(TH)         O(HP)          an             ilm            San(TH)        q             
  1458.33        500.000        97.5119       0.857967        1.63009                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1457.18        500.000        99.1301       0.318529       0.551405                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1456.03        500.000        99.1356       0.547326       0.317027                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1454.88        500.000        98.6779       0.484954       0.837163                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1453.74        500.000        99.6027       0.251704       0.145632                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1452.59        500.000        99.3386       0.245798       0.414212                 NaN            NaN  0.143263E-002            NaN            NaN            NaN            NaN            NaN
  1451.44        500.000        98.9928       0.638168       0.369001                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1450.29        500.000        99.1664       0.528943       0.304634                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1449.14        500.000        99.1361       0.315463       0.548411                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1447.99        500.000        99.2127       0.501373       0.285910                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1446.84        500.000        99.1841       0.297245       0.518652                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1445.69        500.000        99.1900       0.514327       0.295639                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1444.55        500.000        99.1737       0.301086       0.525251                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1443.40        500.000        99.8924       0.692892E-001  0.382895E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1442.25        500.000        98.5363       0.930469       0.533262                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1441.10        500.000        98.4089        1.02247       0.554628                 NaN            NaN            NaN  0.139801E-001            NaN            NaN            NaN            NaN
  1439.95        500.000        99.9519       0.175807E-001  0.305189E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1438.80        500.000        99.7396       0.957735E-001  0.164001                 NaN            NaN  0.668706E-003            NaN            NaN            NaN            NaN            NaN
  1437.65        500.000        98.7919       0.767125       0.440207                 NaN            NaN  0.811500E-003            NaN            NaN            NaN            NaN            NaN
  1436.50        500.000        98.2745       0.687010       0.651698                 NaN            NaN            NaN            NaN  0.386762                 NaN            NaN            NaN
  1435.36        500.000        97.6422       0.958084       0.750017                 NaN            NaN            NaN            NaN  0.649652                 NaN            NaN            NaN
  1434.21        500.000        97.6816       0.940815       0.738839                 NaN            NaN            NaN            NaN  0.638789                 NaN            NaN            NaN
  1433.06        500.000        97.7185       0.925382       0.727445                 NaN            NaN            NaN            NaN  0.628646                 NaN            NaN            NaN
  1431.91        500.000        97.7661       0.713018       0.905776                 NaN            NaN            NaN            NaN  0.615119                 NaN            NaN            NaN
  1430.76        500.000        97.7997       0.890740       0.703497                 NaN            NaN            NaN            NaN  0.606065                 NaN            NaN            NaN
  1429.61        500.000        97.8387       0.692067       0.874291                 NaN            NaN            NaN            NaN  0.594983                 NaN            NaN            NaN
  1428.46        500.000        97.8740       0.681488       0.859363                 NaN            NaN            NaN            NaN  0.585197                 NaN            NaN            NaN
  1427.32        500.000        97.9081       0.671599       0.844649                 NaN            NaN            NaN            NaN  0.575678                 NaN            NaN            NaN
  1426.17        500.000        97.9437       0.829804       0.660750                 NaN            NaN            NaN            NaN  0.565752                 NaN            NaN            NaN
  1425.02        500.000        97.9750       0.816877       0.650869                 NaN            NaN            NaN            NaN  0.557283                 NaN            NaN            NaN
  1423.87        500.000        98.0079       0.640867       0.803555                 NaN            NaN            NaN            NaN  0.547693                 NaN            NaN            NaN
  1422.72        500.000        98.0386       0.790049       0.632480                 NaN            NaN            NaN            NaN  0.538921                 NaN            NaN            NaN
  1421.57        500.000        98.0691       0.777520       0.622822                 NaN            NaN            NaN            NaN  0.530521                 NaN            NaN            NaN
  1420.42        500.000        98.0968       0.765733       0.614326                 NaN            NaN            NaN  0.325145E-003  0.522827                 NaN            NaN            NaN
  1419.27        500.000        98.1257       0.605575       0.754035                 NaN            NaN            NaN            NaN  0.514675                 NaN            NaN            NaN
  1418.13        500.000        98.1525       0.743549       0.596843                 NaN            NaN            NaN            NaN  0.507089                 NaN            NaN            NaN
  1416.98        500.000        98.1797       0.598648       0.689432                 NaN            NaN            NaN  0.283533E-001  0.503822                 NaN            NaN            NaN
  1415.83        500.000        98.2067       0.635661       0.600523                 NaN            NaN            NaN  0.564312E-001  0.500640                 NaN            NaN            NaN
  1414.68        500.000        98.2282       0.626937       0.489350                 NaN            NaN            NaN  0.146673       0.508813                 NaN            NaN            NaN
  1413.53        500.000        98.2592       0.473239       0.618677                 NaN            NaN            NaN  0.148704       0.500146                 NaN            NaN            NaN
  1412.38        500.000        98.2827       0.612363       0.462029                 NaN            NaN            NaN  0.149121       0.493816                 NaN            NaN            NaN
  1411.23        500.000        98.3024       0.608022       0.449266                 NaN            NaN            NaN  0.151302       0.489029                 NaN            NaN            NaN
  1410.08        500.000        98.3319       0.599161       0.437145                 NaN            NaN            NaN  0.151406       0.480392                 NaN            NaN            NaN
  1408.94        500.000        98.3272       0.432622       0.602279                 NaN            NaN            NaN  0.155064       0.482872                 NaN            NaN            NaN
