|6.6.6
Archiving\03_Data\eqfracLP/QFM_m4.25/Y98/Y98_3.tab                        
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          13
T(K)           P(bar)         melt(TH)       Cpx(TH)        Cpx(TH)        Cpx(TH)        Cpx(TH)        Sp(TH)         O(HP)          an             ilm            San(TH)        q             
  1458.33        500.000        97.8384       0.740221        1.42137                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1457.18        500.000        99.2463       0.274090       0.479582                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1456.03        500.000        99.2515       0.475849       0.272657                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1454.88        500.000        98.8552       0.416904       0.727896                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1453.74        500.000        99.6564       0.218532       0.125044                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1452.59        500.000        99.4284       0.211025       0.359614                 NaN            NaN  0.928370E-003            NaN            NaN            NaN            NaN            NaN
  1451.44        500.000        99.1291       0.554137       0.316794                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1450.29        500.000        99.2797       0.459003       0.261332                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1449.14        500.000        99.2538       0.270470       0.475738                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1447.99        500.000        99.3204       0.434668       0.244968                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1446.84        500.000        99.2958       0.254601       0.449561                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1445.69        500.000        99.3012       0.445649       0.253106                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1444.55        500.000        99.2874       0.257642       0.454943                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1443.40        500.000        99.9073       0.600146E-001  0.327231E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1442.25        500.000        98.7377       0.806011       0.456239                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1441.10        500.000        98.6285       0.885622       0.474547                 NaN            NaN            NaN  0.113066E-001            NaN            NaN            NaN            NaN
  1439.95        500.000        99.9586       0.149944E-001  0.263623E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1438.80        500.000        99.7762       0.816942E-001  0.141689                 NaN            NaN  0.435352E-003            NaN            NaN            NaN            NaN            NaN
  1437.65        500.000        98.9605       0.663239       0.375706                 NaN            NaN  0.528992E-003            NaN            NaN            NaN            NaN            NaN
  1436.50        500.000        98.4460       0.585981       0.563151                 NaN            NaN            NaN            NaN  0.404869                 NaN            NaN            NaN
  1435.36        500.000        97.8548       0.816876       0.648032                 NaN            NaN            NaN            NaN  0.680322                 NaN            NaN            NaN
  1434.21        500.000        97.8916       0.801545       0.638020                 NaN            NaN            NaN            NaN  0.668884                 NaN            NaN            NaN
  1433.06        500.000        97.9263       0.787713       0.627811                 NaN            NaN            NaN            NaN  0.658198                 NaN            NaN            NaN
  1431.91        500.000        97.9707       0.614942       0.770432                 NaN            NaN            NaN            NaN  0.643960                 NaN            NaN            NaN
  1430.76        500.000        98.0022       0.757013       0.606355                 NaN            NaN            NaN            NaN  0.634410                 NaN            NaN            NaN
  1429.61        500.000        98.0387       0.596155       0.742440                 NaN            NaN            NaN            NaN  0.622733                 NaN            NaN            NaN
  1428.46        500.000        98.0717       0.586679       0.729174                 NaN            NaN            NaN            NaN  0.612411                 NaN            NaN            NaN
  1427.32        500.000        98.1038       0.577764       0.716108                 NaN            NaN            NaN            NaN  0.602367                 NaN            NaN            NaN
  1426.17        500.000        98.1370       0.702989       0.568125                 NaN            NaN            NaN            NaN  0.591894                 NaN            NaN            NaN
