|6.6.6
Archiving\03_Data\eqLP/QFM_m2.25/KHA22/KHA22_1.tab                        
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          15
T(K)           P(bar)         melt(TH)       mang           Ni             O(HP)          O(HP)          pxmn           Sp(TH)         Opx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)        ab            
  2000.00        500.000        99.5970       0.364313       0.386860E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1996.79        500.000        99.5970       0.364313       0.386859E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1993.59        500.000        99.5970       0.364312       0.386859E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1990.38        500.000        99.5970       0.364312       0.386858E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1987.18        500.000        99.5970       0.364311       0.386858E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1983.97        500.000        99.5970       0.364311       0.386857E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1980.77        500.000        99.5970       0.364311       0.386857E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1977.56        500.000        99.5970       0.364310       0.386856E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1974.36        500.000        99.5970       0.364310       0.386856E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1971.15        500.000        99.5970       0.364309       0.386855E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1967.95        500.000        99.5970       0.364309       0.386855E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1964.74        500.000        99.5970       0.364308       0.386854E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1961.54        500.000        99.5970       0.364307       0.386853E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1958.33        500.000        99.5970       0.364307       0.386853E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1955.13        500.000        99.5970       0.364306       0.386852E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1951.92        500.000        99.5970       0.364306       0.386852E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1948.72        500.000        99.5970       0.364305       0.386851E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1945.51        500.000        99.5970       0.364305       0.386851E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1942.31        500.000        99.5970       0.364304       0.386850E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1939.10        500.000        99.5970       0.364304       0.386849E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1935.90        500.000        99.5970       0.364303       0.386849E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1932.69        500.000        99.5970       0.364303       0.386848E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1929.49        500.000        99.5970       0.364302       0.386848E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1926.28        500.000        99.5970       0.364301       0.386847E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1923.08        500.000        99.5970       0.364301       0.386846E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1919.87        500.000        99.5970       0.364300       0.386846E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1916.67        500.000        98.8171       0.364289       0.262934E-001  0.792296                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1913.46        500.000        97.9737       0.364278       0.127455E-001   1.64927                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1910.26        500.000        97.1671       0.364267                 NaN   2.46860                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1907.05        500.000        96.7240       0.364267                 NaN   2.91169                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1903.85        500.000        96.2809       0.364268                 NaN   3.35479                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1900.64        500.000        95.8378       0.364269                 NaN   3.79789                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1897.44        500.000        95.3947       0.364269                 NaN   4.24099                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1894.23        500.000        94.8290       0.364270                 NaN   4.80674                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1891.03        500.000        94.2632       0.364272                 NaN   5.37249                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1887.82        500.000        93.6669       0.364273                 NaN   5.96881                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1884.62        500.000        92.5607       0.226011                 NaN   6.95791                 NaN  0.255374                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1881.41        500.000        91.1135                 NaN            NaN   8.21371                 NaN  0.672821                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1878.21        500.000        90.4681                 NaN            NaN   8.85904                 NaN  0.672823                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1875.00        500.000        89.8232                 NaN            NaN   9.50395                 NaN  0.672826                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1871.79        500.000        89.1783                 NaN            NaN   10.1489                 NaN  0.672829                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1868.59        500.000        88.5243                 NaN            NaN   10.8009                 NaN  0.672832       0.196810E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1865.38        500.000        87.8780                 NaN            NaN   11.4317                 NaN  0.672834       0.174490E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1862.18        500.000        87.2151                 NaN            NaN   12.0762                 NaN  0.672837       0.358527E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1858.97        500.000        86.5521                 NaN            NaN   12.7208                 NaN  0.672840       0.542565E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1855.77        500.000        85.9027                 NaN            NaN   13.3524                 NaN  0.672843       0.720755E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1852.56        500.000        85.2532                 NaN            NaN   13.9840                 NaN  0.672846       0.898947E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1849.36        500.000        84.6038                 NaN            NaN   14.6157                 NaN  0.672849       0.107714                 NaN            NaN            NaN            NaN            NaN            NaN
  1846.15        500.000        83.9543                 NaN            NaN   15.2473                 NaN  0.672852       0.125534                 NaN            NaN            NaN            NaN            NaN            NaN
  1842.95        500.000        83.3313                 NaN            NaN   15.8536                 NaN  0.672855       0.142269                 NaN            NaN            NaN            NaN            NaN            NaN
  1839.74        500.000        82.7083                 NaN            NaN   16.4599                 NaN  0.672858       0.159005                 NaN            NaN            NaN            NaN            NaN            NaN
  1836.54        500.000        82.0852                 NaN            NaN   17.0662                 NaN  0.672861       0.175740                 NaN            NaN            NaN            NaN            NaN            NaN
  1833.33        500.000        81.4622                 NaN            NaN   17.6725                 NaN  0.672864       0.192476                 NaN            NaN            NaN            NaN            NaN            NaN
  1830.13        500.000        80.8391                 NaN            NaN   18.2788                 NaN  0.672867       0.209212                 NaN            NaN            NaN            NaN            NaN            NaN
  1826.92        500.000        80.2161                 NaN            NaN   18.8851                 NaN  0.672870       0.225949                 NaN            NaN            NaN            NaN            NaN            NaN
  1823.72        500.000        79.5930                 NaN            NaN   19.4914                 NaN  0.672873       0.242685                 NaN            NaN            NaN            NaN            NaN            NaN
  1820.51        500.000        78.9700                 NaN            NaN   20.0977                 NaN  0.672876       0.259422                 NaN            NaN            NaN            NaN            NaN            NaN
  1817.31        500.000        78.3801                 NaN            NaN   20.6722                 NaN  0.672880       0.274826                 NaN            NaN            NaN            NaN            NaN            NaN
  1814.10        500.000        77.7902                 NaN            NaN   21.2467                 NaN  0.672883       0.290230                 NaN            NaN            NaN            NaN            NaN            NaN
  1810.90        500.000        77.2003                 NaN            NaN   21.8212                 NaN  0.672886       0.305634                 NaN            NaN            NaN            NaN            NaN            NaN
  1807.69        500.000        76.6103                 NaN            NaN   22.3957                 NaN  0.672889       0.321038                 NaN            NaN            NaN            NaN            NaN            NaN
  1804.49        500.000        76.0204                 NaN            NaN   22.9703                 NaN  0.672893       0.336443                 NaN            NaN            NaN            NaN            NaN            NaN
  1801.28        500.000        75.4305                 NaN            NaN   23.5448                 NaN  0.672896       0.351848                 NaN            NaN            NaN            NaN            NaN            NaN
  1798.08        500.000        74.8405                 NaN            NaN   24.1193                 NaN  0.672899       0.367252                 NaN            NaN            NaN            NaN            NaN            NaN
  1794.87        500.000        74.2506                 NaN            NaN   24.6939                 NaN  0.672902       0.382657                 NaN            NaN            NaN            NaN            NaN            NaN
  1791.67        500.000        73.6894                 NaN            NaN   25.2408                 NaN  0.672906       0.396902                 NaN            NaN            NaN            NaN            NaN            NaN
  1788.46        500.000        73.1282                 NaN            NaN   25.7878                 NaN  0.672909       0.411147                 NaN            NaN            NaN            NaN            NaN            NaN
  1785.26        500.000        72.5669                 NaN            NaN   26.3347                 NaN  0.672912       0.425392                 NaN            NaN            NaN            NaN            NaN            NaN
