|6.6.6
Archiving\03_Data\eqfracLP/QFM_m4/TAY13/TAY13_1.tab                       
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          11
T(K)           P(bar)         melt(TH)       O(HP)          Opx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)        ilm            q             
  1567.31        500.000        99.9947       0.525967E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1565.89        500.000        99.3457       0.369290E-002  0.650604                 NaN            NaN            NaN            NaN            NaN            NaN
  1564.47        500.000        99.3110       0.147871E-001  0.674201                 NaN            NaN            NaN            NaN            NaN            NaN
  1563.04        500.000        99.3191       0.620387E-002  0.674730                 NaN            NaN            NaN            NaN            NaN            NaN
  1561.62        500.000        99.3104       0.332896E-001  0.656308                 NaN            NaN            NaN            NaN            NaN            NaN
  1560.20        500.000        99.3462       0.319887E-001  0.621816                 NaN            NaN            NaN            NaN            NaN            NaN
  1558.78        500.000        99.3369       0.338057E-001  0.629333                 NaN            NaN            NaN            NaN            NaN            NaN
  1557.36        500.000        99.3432       0.267778E-001  0.629983                 NaN            NaN            NaN            NaN            NaN            NaN
  1555.94        500.000        99.3388       0.310205E-001  0.630223                 NaN            NaN            NaN            NaN            NaN            NaN
  1554.51        500.000        99.3652       0.298541E-001  0.604969                 NaN            NaN            NaN            NaN            NaN            NaN
  1553.09        500.000        99.9640       0.360230E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1551.67        500.000        98.7489       0.157111E-001   1.23541                 NaN            NaN            NaN            NaN            NaN            NaN
  1550.25        500.000        99.3818       0.267783E-001  0.591466                 NaN            NaN            NaN            NaN            NaN            NaN
  1548.83        500.000        99.3772       0.263987E-001  0.596371                 NaN            NaN            NaN            NaN            NaN            NaN
  1547.40        500.000        99.3822       0.265744E-001  0.591254                 NaN            NaN            NaN            NaN            NaN            NaN
  1545.98        500.000        99.3852       0.251930E-001  0.589588                 NaN            NaN            NaN            NaN            NaN            NaN
  1544.56        500.000        99.3927       0.245299E-001  0.582755                 NaN            NaN            NaN            NaN            NaN            NaN
  1543.14        500.000        99.3947       0.233704E-001  0.581973                 NaN            NaN            NaN            NaN            NaN            NaN
  1541.72        500.000        99.4024       0.321986E-001  0.565438                 NaN            NaN            NaN            NaN            NaN            NaN
  1540.30        500.000        99.4063       0.158960E-001  0.577840                 NaN            NaN            NaN            NaN            NaN            NaN
  1538.87        500.000        99.4049       0.206555E-001  0.574493                 NaN            NaN            NaN            NaN            NaN            NaN
  1537.45        500.000        99.4202       0.207579E-001  0.559041                 NaN            NaN            NaN            NaN            NaN            NaN
  1536.03        500.000        99.4202       0.205203E-001  0.559239                 NaN            NaN            NaN            NaN            NaN            NaN
  1534.61        500.000        99.4238       0.191737E-001  0.556977                 NaN            NaN            NaN            NaN            NaN            NaN
  1533.19        500.000        99.4286       0.195378E-001  0.551825                 NaN            NaN            NaN            NaN            NaN            NaN
  1531.76        500.000        99.4328       0.181498E-001  0.549088                 NaN            NaN            NaN            NaN            NaN            NaN
  1530.34        500.000        99.9655       0.345099E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1528.92        500.000        98.5364       0.225500E-001   1.44101                 NaN            NaN            NaN            NaN            NaN            NaN
  1527.50        500.000        99.7693       0.559224E-002  0.225082                 NaN            NaN            NaN            NaN            NaN            NaN
  1526.08        500.000        99.5146       0.129198E-001  0.472466                 NaN            NaN            NaN            NaN            NaN            NaN
  1524.66        500.000        99.4542       0.148637E-001  0.530961                 NaN            NaN            NaN            NaN            NaN            NaN
  1523.23        500.000        99.4565       0.127318E-001  0.530738                 NaN            NaN            NaN            NaN            NaN            NaN
  1521.81        500.000        99.4616       0.131772E-001  0.525196                 NaN            NaN            NaN            NaN            NaN            NaN
  1520.39        500.000        99.4652       0.126041E-001  0.522217                 NaN            NaN            NaN            NaN            NaN            NaN
  1518.97        500.000        99.4674       0.131347E-001  0.519416                 NaN            NaN            NaN            NaN            NaN            NaN
  1517.55        500.000        99.4741       0.984000E-002  0.516072                 NaN            NaN            NaN            NaN            NaN            NaN
  1516.12        500.000        99.4752       0.924253E-002  0.515508                 NaN            NaN            NaN            NaN            NaN            NaN
  1514.70        500.000        99.4800       0.930454E-002  0.510693                 NaN            NaN            NaN            NaN            NaN            NaN
  1513.28        500.000        98.9911       0.226060E-001  0.986308                 NaN            NaN            NaN            NaN            NaN            NaN
  1511.86        500.000        99.9676       0.324435E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1510.44        500.000        99.4307                 NaN  0.569268                 NaN            NaN            NaN            NaN            NaN            NaN
  1509.01        500.000        99.8215       0.253561E-002  0.175918                 NaN            NaN            NaN            NaN            NaN            NaN
  1507.59        500.000        99.2500       0.289717E-001  0.721074                 NaN            NaN            NaN            NaN            NaN            NaN
  1506.17        500.000        99.5058       0.690974E-001  0.425126                 NaN            NaN            NaN            NaN            NaN            NaN
  1504.75        500.000        99.4794                 NaN  0.520644                 NaN            NaN            NaN            NaN            NaN            NaN
  1503.33        500.000        99.5630                 NaN  0.436980                 NaN            NaN            NaN            NaN            NaN            NaN
  1501.91        500.000        99.4770                 NaN  0.522999                 NaN            NaN            NaN            NaN            NaN            NaN
  1500.48        500.000        99.5107                 NaN  0.489306                 NaN            NaN            NaN            NaN            NaN            NaN
  1499.06        500.000        99.5139                 NaN  0.486121                 NaN            NaN            NaN            NaN            NaN            NaN
  1497.64        500.000        99.5188       0.777747E-002  0.473415                 NaN            NaN            NaN            NaN            NaN            NaN
  1496.22        500.000        99.5220       0.153143E-001  0.462647                 NaN            NaN            NaN            NaN            NaN            NaN
  1494.80        500.000        99.5277       0.170567E-001  0.455286                 NaN            NaN            NaN            NaN            NaN            NaN
  1493.37        500.000        99.5280       0.467547E-005  0.472014                 NaN            NaN            NaN            NaN            NaN            NaN
  1491.95        500.000        99.5297       0.155963E-005  0.470290                 NaN            NaN            NaN            NaN            NaN            NaN
  1490.53        500.000        99.5336                 NaN  0.466444                 NaN            NaN            NaN            NaN            NaN            NaN
  1489.11        500.000        99.5346       0.663894E-003  0.464773                 NaN            NaN            NaN            NaN            NaN            NaN
  1487.69        500.000        99.5390                 NaN  0.460956                 NaN            NaN            NaN            NaN            NaN            NaN
  1486.27        500.000        99.5390       0.280423E-002  0.458214                 NaN            NaN            NaN            NaN            NaN            NaN
  1484.84        500.000        99.5467       0.201447E-005  0.453285                 NaN            NaN            NaN            NaN            NaN            NaN
  1483.42        500.000        99.5452                 NaN  0.454767                 NaN            NaN            NaN            NaN            NaN            NaN
  1482.00        500.000        99.5480                 NaN  0.451967                 NaN            NaN            NaN            NaN            NaN            NaN
  1480.58        500.000        99.5511                 NaN  0.448863                 NaN            NaN            NaN            NaN            NaN            NaN
  1479.16        500.000        99.5551                 NaN  0.444926                 NaN            NaN            NaN            NaN            NaN            NaN
  1477.73        500.000        99.5558                 NaN  0.444152                 NaN            NaN            NaN            NaN            NaN            NaN
  1476.31        500.000        99.5441                 NaN  0.372883       0.830207E-001            NaN            NaN            NaN            NaN            NaN
  1474.89        500.000        99.4664                 NaN  0.103831E-001  0.523243                 NaN            NaN            NaN            NaN            NaN
  1473.47        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1472.05        500.000        98.9415                 NaN  0.122913E-001   1.04618                 NaN            NaN            NaN            NaN            NaN
  1470.63        500.000        99.4716                 NaN  0.914740E-003  0.527524                 NaN            NaN            NaN            NaN            NaN
  1469.20        500.000        99.4835                 NaN  0.206425       0.310047                 NaN            NaN            NaN            NaN            NaN
  1467.78        500.000        99.4720                 NaN            NaN  0.528035                 NaN            NaN            NaN            NaN            NaN
  1466.36        500.000        99.4769                 NaN            NaN  0.523060                 NaN            NaN            NaN            NaN            NaN
  1464.94        500.000        99.4774                 NaN            NaN  0.522571                 NaN            NaN            NaN            NaN            NaN
  1463.52        500.000        99.4783                 NaN            NaN  0.521670                 NaN            NaN            NaN            NaN            NaN
  1462.09        500.000        99.4797                 NaN            NaN  0.520304                 NaN            NaN            NaN            NaN            NaN
  1460.67        500.000        99.4790                 NaN            NaN  0.521019                 NaN            NaN            NaN            NaN            NaN
  1459.25        500.000        99.4814                 NaN            NaN  0.518636                 NaN            NaN            NaN            NaN            NaN
  1457.83        500.000        99.4817                 NaN            NaN  0.518280                 NaN            NaN            NaN            NaN            NaN
  1456.41        500.000        99.4808                 NaN            NaN  0.519232                 NaN            NaN            NaN            NaN            NaN
  1454.99        500.000        99.4798                 NaN            NaN  0.520165                 NaN            NaN            NaN            NaN            NaN
  1453.56        500.000        99.4805                 NaN            NaN  0.519476                 NaN            NaN            NaN            NaN            NaN
  1452.14        500.000        99.4801                 NaN            NaN  0.519857                 NaN            NaN            NaN            NaN            NaN
  1450.72        500.000        99.4797                 NaN            NaN  0.520272                 NaN            NaN            NaN            NaN            NaN
  1449.30        500.000        99.4796                 NaN            NaN  0.520368                 NaN            NaN            NaN            NaN            NaN
  1447.88        500.000        99.4769                 NaN            NaN  0.523072                 NaN            NaN            NaN            NaN            NaN
  1446.45        500.000        99.5584                 NaN            NaN  0.441587                 NaN            NaN            NaN            NaN            NaN
  1445.03        500.000        99.3852                 NaN            NaN  0.614767                 NaN            NaN            NaN            NaN            NaN
  1443.61        500.000        99.4703                 NaN            NaN  0.529719                 NaN            NaN            NaN            NaN            NaN
  1442.19        500.000        99.3216                 NaN            NaN  0.404403       0.273969                 NaN            NaN            NaN            NaN
  1440.77        500.000        99.1984                 NaN            NaN  0.289004       0.512585                 NaN            NaN            NaN            NaN
  1439.35        500.000        99.2067                 NaN            NaN  0.285423       0.507852                 NaN            NaN            NaN            NaN
  1437.92        500.000        99.2128                 NaN            NaN  0.504272       0.282944                 NaN            NaN            NaN            NaN
  1436.50        500.000        99.2190                 NaN            NaN  0.500447       0.280586                 NaN            NaN            NaN            NaN
  1435.08        500.000        99.2272                 NaN            NaN  0.494746       0.278070                 NaN            NaN            NaN            NaN
  1433.66        500.000        99.2329                 NaN            NaN  0.275568       0.491580                 NaN            NaN            NaN            NaN
  1432.24        500.000        99.2393                 NaN            NaN  0.487482       0.273186                 NaN            NaN            NaN            NaN
  1430.81        500.000        99.2461                 NaN            NaN  0.483513       0.270396                 NaN            NaN            NaN            NaN
  1429.39        500.000        99.3754                 NaN            NaN  0.222432       0.402207                 NaN            NaN            NaN            NaN
  1427.97        500.000        99.1324                 NaN            NaN  0.558039       0.309552                 NaN            NaN            NaN            NaN
  1426.55        500.000        99.2644                 NaN            NaN  0.263050       0.472551                 NaN            NaN            NaN            NaN
  1425.13        500.000        99.0556                 NaN            NaN  0.337965       0.606438                 NaN            NaN            NaN            NaN
  1423.71        500.000        99.4928                 NaN            NaN  0.181535       0.325648                 NaN            NaN            NaN            NaN
  1422.28        500.000        99.2812                 NaN            NaN  0.256540       0.462241                 NaN            NaN            NaN            NaN
  1420.86        500.000        99.2889                 NaN            NaN  0.253708       0.457407                 NaN            NaN            NaN            NaN
  1419.44        500.000        98.8248                 NaN            NaN  0.499879       0.466827       0.208507                 NaN            NaN            NaN
  1418.02        500.000        98.0268                 NaN            NaN  0.569817       0.834494       0.568843                 NaN            NaN            NaN
  1416.60        500.000        98.0652                 NaN            NaN  0.558720       0.818212       0.557910                 NaN            NaN            NaN
