|6.6.6
Archiving\03_Data\eqfracLP/QFM_m4/TAY13/TAY13_3.tab                       
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          11
T(K)           P(bar)         melt(TH)       O(HP)          Opx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)        ilm            q             
  1567.31        500.000        99.9956       0.438691E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1565.89        500.000        99.4370       0.308191E-002  0.559930                 NaN            NaN            NaN            NaN            NaN            NaN
  1564.47        500.000        99.4075       0.123362E-001  0.580145                 NaN            NaN            NaN            NaN            NaN            NaN
  1563.04        500.000        99.4145       0.517230E-002  0.580356                 NaN            NaN            NaN            NaN            NaN            NaN
  1561.62        500.000        99.4079       0.277295E-001  0.564329                 NaN            NaN            NaN            NaN            NaN            NaN
  1560.20        500.000        99.4389       0.266397E-001  0.534464                 NaN            NaN            NaN            NaN            NaN            NaN
  1558.78        500.000        99.4310       0.281474E-001  0.540839                 NaN            NaN            NaN            NaN            NaN            NaN
  1557.36        500.000        99.4365       0.222852E-001  0.541184                 NaN            NaN            NaN            NaN            NaN            NaN
  1555.94        500.000        99.4330       0.258040E-001  0.541229                 NaN            NaN            NaN            NaN            NaN            NaN
  1554.51        500.000        99.4559       0.248213E-001  0.519273                 NaN            NaN            NaN            NaN            NaN            NaN
  1553.09        500.000        99.9701       0.299081E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1551.67        500.000        98.9261       0.130596E-001   1.06084                 NaN            NaN            NaN            NaN            NaN            NaN
  1550.25        500.000        99.4706       0.222216E-001  0.507181                 NaN            NaN            NaN            NaN            NaN            NaN
  1548.83        500.000        99.4669       0.219027E-001  0.511228                 NaN            NaN            NaN            NaN            NaN            NaN
  1547.40        500.000        99.4713       0.220386E-001  0.506632                 NaN            NaN            NaN            NaN            NaN            NaN
  1545.98        500.000        99.4740       0.208828E-001  0.505088                 NaN            NaN            NaN            NaN            NaN            NaN
  1544.56        500.000        99.4806       0.203222E-001  0.499057                 NaN            NaN            NaN            NaN            NaN            NaN
  1543.14        500.000        99.4825       0.193497E-001  0.498151                 NaN            NaN            NaN            NaN            NaN            NaN
  1541.72        500.000        99.4897       0.266404E-001  0.483633                 NaN            NaN            NaN            NaN            NaN            NaN
  1540.30        500.000        99.4926       0.131479E-001  0.494273                 NaN            NaN            NaN            NaN            NaN            NaN
  1538.87        500.000        99.4916       0.170767E-001  0.491286                 NaN            NaN            NaN            NaN            NaN            NaN
  1537.45        500.000        99.5050       0.171545E-001  0.477867                 NaN            NaN            NaN            NaN            NaN            NaN
  1536.03        500.000        99.5052       0.169469E-001  0.477901                 NaN            NaN            NaN            NaN            NaN            NaN
  1534.61        500.000        99.5084       0.158283E-001  0.475813                 NaN            NaN            NaN            NaN            NaN            NaN
  1533.19        500.000        99.5127       0.161192E-001  0.471213                 NaN            NaN            NaN            NaN            NaN            NaN
  1531.76        500.000        99.5163       0.149680E-001  0.468737                 NaN            NaN            NaN            NaN            NaN            NaN
  1530.34        500.000        99.9716       0.284281E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1528.92        500.000        98.7505       0.186132E-001   1.23090                 NaN            NaN            NaN            NaN            NaN            NaN
  1527.50        500.000        99.8035       0.460409E-002  0.191882                 NaN            NaN            NaN            NaN            NaN            NaN
  1526.08        500.000        99.5866       0.106296E-001  0.402768                 NaN            NaN            NaN            NaN            NaN            NaN
  1524.66        500.000        99.5353       0.122265E-001  0.452512                 NaN            NaN            NaN            NaN            NaN            NaN
  1523.23        500.000        99.5374       0.104691E-001  0.452158                 NaN            NaN            NaN            NaN            NaN            NaN
  1521.81        500.000        99.5418       0.108310E-001  0.447350                 NaN            NaN            NaN            NaN            NaN            NaN
  1520.39        500.000        99.5451       0.103499E-001  0.444543                 NaN            NaN            NaN            NaN            NaN            NaN
  1518.97        500.000        99.5472       0.107795E-001  0.442049                 NaN            NaN            NaN            NaN            NaN            NaN
  1517.55        500.000        99.5528       0.807413E-002  0.439103                 NaN            NaN            NaN            NaN            NaN            NaN
  1516.12        500.000        99.5539       0.758086E-002  0.438498                 NaN            NaN            NaN            NaN            NaN            NaN
  1514.70        500.000        99.5582       0.762711E-002  0.434221                 NaN            NaN            NaN            NaN            NaN            NaN
  1513.28        500.000        99.1427       0.185603E-001  0.838775                 NaN            NaN            NaN            NaN            NaN            NaN
  1511.86        500.000        99.9735       0.265445E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1510.44        500.000        99.5165                 NaN  0.483479                 NaN            NaN            NaN            NaN            NaN            NaN
  1509.01        500.000        99.8486       0.207268E-002  0.149305                 NaN            NaN            NaN            NaN            NaN            NaN
  1507.59        500.000        99.3639       0.237019E-001  0.612412                 NaN            NaN            NaN            NaN            NaN            NaN
  1506.17        500.000        99.5828       0.564784E-001  0.360696                 NaN            NaN            NaN            NaN            NaN            NaN
  1504.75        500.000        99.5585                 NaN  0.441541                 NaN            NaN            NaN            NaN            NaN            NaN
