|6.6.6
Archiving\03_Data\DeqfracLP/QFM_m2.25/YM20/YM20_1.tab                   
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          13
T(K)           P(bar)         melt(TH)       Opx(TH)        O(HP)          Cpx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)        ilm            q              Sp(TH)        
  1583.33        500.000        99.4119       0.560819       0.272714E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1581.87        500.000        99.1319       0.868096                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1580.41        500.000        99.1419       0.806916       0.511869E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1578.94        500.000        99.1470       0.851630       0.139676E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1577.48        500.000        99.1557       0.829781       0.145413E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1576.02        500.000        99.1658       0.791148       0.430116E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1574.56        500.000        99.1745       0.784860       0.406736E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1573.10        500.000        99.1796       0.781317       0.390590E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1571.63        500.000        99.1877       0.774420       0.378341E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1570.17        500.000        99.1868       0.776245       0.369264E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1568.71        500.000        99.2079       0.757203       0.349440E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1567.25        500.000        99.2100       0.755175       0.347802E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1565.79        500.000        99.2166       0.748839       0.346065E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1564.32        500.000        99.2195       0.748758       0.317557E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1562.86        500.000        99.2319       0.736921       0.312183E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1561.40        500.000        99.2356       0.733513       0.308929E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1559.94        500.000        99.2404       0.731000       0.285659E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1558.48        500.000        99.2493       0.722472       0.282665E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1557.01        500.000        99.2563       0.715366       0.283811E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1555.55        500.000        99.2623       0.710922       0.268001E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1554.09        500.000        99.2635       0.711990       0.245300E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1552.63        500.000        99.2771       0.697140       0.257302E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1551.17        500.000        99.2795       0.697151       0.233282E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1549.70        500.000        99.2849       0.692249       0.228087E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1548.24        500.000        99.2901       0.688444       0.214257E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
