|6.6.6
Archiving\03_Data\eqfrac/QFM_m3.5/TAY13/TAY13_3.tab                       
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          15
T(K)           P(bar)         Sp(TH)         melt(TH)       melt(TH)       Opx(TH)        O(HP)          O(HP)          Cpx(TH)        Cpx(TH)        an             San(TH)        ilm            ne             lc            
  1599.36        2500.00       0.937953E-002   99.5640                 NaN  0.426607                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1597.86        2500.00                 NaN   99.3370                 NaN  0.633344       0.296146E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1596.36        2500.00                 NaN   99.3406                 NaN  0.579689       0.797372E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1594.85        2500.00                 NaN   99.3455                 NaN  0.576364       0.781714E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1593.35        2500.00                 NaN   99.3426                 NaN  0.579853       0.775075E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1591.85        2500.00                 NaN   99.9153                 NaN  0.752737E-001  0.947295E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1590.35        2500.00                 NaN   98.8165                 NaN   1.04447       0.139069                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1588.84        2500.00                 NaN   98.9630                 NaN  0.919122       0.117904                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1587.34        2500.00                 NaN   99.7882                 NaN  0.187274       0.245248E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1585.84        2500.00                 NaN   99.6353                 NaN  0.321805       0.428556E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1584.34        2500.00                 NaN   99.1366                 NaN  0.763654       0.997472E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1582.84        2500.00                 NaN   99.3940                 NaN  0.536683       0.693252E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1581.33        2500.00                 NaN   99.3989                 NaN  0.532811       0.682926E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1579.83        2500.00                 NaN   99.4025                 NaN  0.530472       0.670168E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1578.33        2500.00                 NaN   99.4095                 NaN  0.524106       0.663567E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1576.83        2500.00                 NaN   99.3284                 NaN  0.595354       0.762619E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1575.33        2500.00                 NaN   99.5107                 NaN  0.434443       0.548547E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1573.82        2500.00                 NaN   99.7080                 NaN  0.258108       0.338533E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1572.32        2500.00                 NaN   99.1507                 NaN  0.752021       0.972910E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1570.82        2500.00                 NaN   99.4330                 NaN  0.505204       0.617712E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1569.32        2500.00                 NaN   99.4447                 NaN  0.494678       0.606216E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1567.81        2500.00                 NaN   99.4440                 NaN  0.493391       0.625927E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1566.31        2500.00                 NaN   99.4522                 NaN  0.487926       0.598631E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1564.81        2500.00                 NaN   99.4562                 NaN  0.487182       0.565917E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1563.31        2500.00                 NaN   99.4603                 NaN  0.476982       0.627193E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1561.81        2500.00                 NaN   99.6063                 NaN  0.351432       0.422342E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1560.30        2500.00                 NaN   99.3294                 NaN  0.598920       0.716691E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1558.80        2500.00                 NaN   99.4740                 NaN  0.469683       0.563259E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1557.30        2500.00                 NaN   99.4428                 NaN  0.498870       0.582845E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
