|6.6.6
Archiving\03_Data\eqfrac/QFM_m1.75/TIS/TIS_1.tab                          
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          12
T(K)           P(bar)         Sp(TH)         melt(TH)       Cpx(TH)        Cpx(TH)        Cpx(TH)        O(HP)          an             ilm            San(TH)        q             
  1461.54        2500.00       0.101743E-001   99.9106       0.791800E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1460.38        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1459.23        2500.00       0.153505E-002   98.5876        1.14575       0.233066                 NaN  0.320294E-001            NaN            NaN            NaN            NaN
  1458.07        2500.00       0.179690E-002   98.6142       0.939938       0.444059                 NaN            NaN            NaN            NaN            NaN            NaN
  1456.91        2500.00       0.122916E-003   99.9044       0.651274E-001  0.289023E-001            NaN  0.145537E-002            NaN            NaN            NaN            NaN
  1455.76        2500.00       0.882998E-003   99.2736       0.508542       0.187134                 NaN  0.298080E-001            NaN            NaN            NaN            NaN
  1454.60        2500.00       0.834984E-003   99.2729       0.179159       0.511631                 NaN  0.354949E-001            NaN            NaN            NaN            NaN
  1453.44        2500.00       0.798525E-003   99.2773       0.508499       0.178812                 NaN  0.346269E-001            NaN            NaN            NaN            NaN
  1452.29        2500.00       0.789362E-003   99.2562       0.185059       0.522714                 NaN  0.352260E-001            NaN            NaN            NaN            NaN
  1451.13        2500.00       0.704692E-003   99.3082       0.485820       0.173113                 NaN  0.321796E-001            NaN            NaN            NaN            NaN
  1449.97        2500.00       0.696765E-003   99.2861       0.179301       0.501387                 NaN  0.325630E-001            NaN            NaN            NaN            NaN
  1448.82        2500.00       0.664124E-003   99.2897       0.178960       0.498460                 NaN  0.322570E-001            NaN            NaN            NaN            NaN
  1447.66        2500.00       0.631494E-003   99.2945       0.494118       0.179469                 NaN  0.312335E-001            NaN            NaN            NaN            NaN
  1446.50        2500.00       0.600631E-003   99.2960       0.494013       0.178708                 NaN  0.307214E-001            NaN            NaN            NaN            NaN
  1445.35        2500.00                 NaN   99.9994       0.570945E-003            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1444.19        2500.00       0.113388E-002   98.6041       0.360425       0.975005                 NaN  0.592952E-001            NaN            NaN            NaN            NaN
  1443.03        2500.00       0.562569E-003   99.2378       0.533096       0.196899                 NaN  0.316133E-001            NaN            NaN            NaN            NaN
  1441.88        2500.00       0.431155E-003   99.3742       0.163717       0.436173                 NaN  0.255185E-001            NaN            NaN            NaN            NaN
  1440.72        2500.00       0.457782E-003   99.3119       0.479499       0.180857                 NaN  0.273360E-001            NaN            NaN            NaN            NaN
  1439.56        2500.00       0.100112E-002   98.5622        1.01974       0.360419                 NaN  0.565895E-001            NaN            NaN            NaN            NaN
  1438.41        2500.00                 NaN   99.9924       0.407632E-002  0.351720E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1437.25        2500.00       0.124899E-003   99.9532       0.371702E-001            NaN            NaN  0.953940E-002            NaN            NaN            NaN            NaN
  1436.09        2500.00       0.671824E-003   98.7674       0.851342       0.342319                 NaN  0.382810E-001            NaN            NaN            NaN            NaN
  1434.93        2500.00       0.327811E-003   99.3238       0.180977       0.470514                 NaN  0.243318E-001            NaN            NaN            NaN            NaN
  1433.78        2500.00       0.340849E-003   99.2209       0.208281       0.542263                 NaN  0.282009E-001            NaN            NaN            NaN            NaN
  1432.62        2500.00       0.237428E-003   99.4342       0.392173       0.154326                 NaN  0.190807E-001            NaN            NaN            NaN            NaN
  1431.46        2500.00       0.262739E-003   99.3304       0.181911       0.464935                 NaN  0.225001E-001            NaN            NaN            NaN            NaN
  1430.31        2500.00       0.242840E-003   99.3337       0.462165       0.181791                 NaN  0.221439E-001            NaN            NaN            NaN            NaN
  1429.15        2500.00       0.198663E-003   99.3370       0.170961       0.463560                 NaN  0.282306E-001            NaN            NaN            NaN            NaN
  1427.99        2500.00       0.216850E-003   99.3358       0.456964       0.193039                 NaN  0.139617E-001            NaN            NaN            NaN            NaN
  1426.84        2500.00       0.180650E-003   99.3395       0.457954       0.182194                 NaN  0.201557E-001            NaN            NaN            NaN            NaN
