|6.6.6
Archiving\03_Data\eqfrac/QFM_m1/Y98/Y98_3.tab                             
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          13
T(K)           P(bar)         melt(TH)       Cpx(TH)        Cpx(TH)        Cpx(TH)        Cpx(TH)        O(HP)          Sp(TH)         an             San(TH)        ilm            q             
  1464.74        2500.00        84.9162        5.48808        9.55304                 NaN            NaN  0.427118E-001            NaN            NaN            NaN            NaN            NaN
  1463.58        2500.00        99.2586       0.245932       0.477785                 NaN            NaN  0.176908E-001            NaN            NaN            NaN            NaN            NaN
  1462.41        2500.00        99.2587       0.477380       0.246784                 NaN            NaN  0.171067E-001            NaN            NaN            NaN            NaN            NaN
  1461.25        2500.00        99.2661       0.472633       0.244431                 NaN            NaN  0.168186E-001            NaN            NaN            NaN            NaN            NaN
  1460.08        2500.00        99.2528       0.252086       0.479616                 NaN            NaN  0.155381E-001            NaN            NaN            NaN            NaN            NaN
  1458.92        2500.00        99.2913       0.455786       0.238199                 NaN            NaN  0.146851E-001            NaN            NaN            NaN            NaN            NaN
  1457.75        2500.00        99.2739       0.466959       0.244305                 NaN            NaN  0.148360E-001            NaN            NaN            NaN            NaN            NaN
  1456.59        2500.00        99.2813       0.461928       0.243003                 NaN            NaN  0.137872E-001            NaN            NaN            NaN            NaN            NaN
  1455.42        2500.00        99.2544       0.480215       0.251568                 NaN            NaN  0.138507E-001            NaN            NaN            NaN            NaN            NaN
  1454.26        2500.00        99.7178       0.179230       0.975777E-001            NaN            NaN  0.478850E-002  0.647623E-003            NaN            NaN            NaN            NaN
  1453.09        2500.00        99.9996       0.279065E-003            NaN            NaN            NaN            NaN  0.953836E-004            NaN            NaN            NaN            NaN
  1451.93        2500.00        98.1752        1.17141       0.622186                 NaN            NaN  0.311516E-001            NaN            NaN            NaN            NaN            NaN
  1450.76        2500.00        99.2946       0.242224       0.452484                 NaN            NaN  0.106511E-001            NaN            NaN            NaN            NaN            NaN
  1449.60        2500.00        99.2957       0.451807       0.242168                 NaN            NaN  0.103308E-001            NaN            NaN            NaN            NaN            NaN
  1448.43        2500.00        99.3016       0.448046       0.240393                 NaN            NaN  0.996979E-002            NaN            NaN            NaN            NaN            NaN
  1447.27        2500.00        99.3033       0.240288       0.447001                 NaN            NaN  0.936432E-002            NaN            NaN            NaN            NaN            NaN
  1446.10        2500.00        99.3055       0.445548       0.240291                 NaN            NaN  0.862690E-002            NaN            NaN            NaN            NaN            NaN
  1444.94        2500.00        99.3081       0.240161       0.443563                 NaN            NaN  0.817754E-002            NaN            NaN            NaN            NaN            NaN
  1443.77        2500.00        99.3134       0.223599       0.444801                 NaN            NaN  0.181806E-001            NaN            NaN            NaN            NaN            NaN
  1442.61        2500.00        99.3239       0.451562       0.173200                 NaN            NaN  0.513332E-001            NaN            NaN            NaN            NaN            NaN
  1441.44        2500.00        99.2562       0.474004       0.269835                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1440.28        2500.00        99.3747       0.399128       0.226185                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1439.12        2500.00        99.9055                 NaN            NaN            NaN            NaN  0.470779E-002  0.174599E-002  0.880371E-001            NaN            NaN            NaN
  1437.95        2500.00        97.4102       0.724096        1.02055                 NaN            NaN  0.216605                 NaN  0.628591                 NaN            NaN            NaN
  1436.79        2500.00        98.2549       0.565721       0.373633                 NaN            NaN  0.217501                 NaN  0.588293                 NaN            NaN            NaN
  1435.62        2500.00        98.2795       0.558760       0.364206                 NaN            NaN  0.217095                 NaN  0.580478                 NaN            NaN            NaN
  1434.46        2500.00        98.3044       0.552589       0.354212                 NaN            NaN  0.216517                 NaN  0.572316                 NaN            NaN            NaN
  1433.29        2500.00        98.3267       0.344796       0.546780                 NaN            NaN  0.216333                 NaN  0.565353                 NaN            NaN            NaN
  1432.13        2500.00        98.3493       0.540632       0.335825                 NaN            NaN  0.215972                 NaN  0.558313                 NaN            NaN            NaN
  1430.96        2500.00        98.3708       0.535856       0.326651                 NaN            NaN  0.215720                 NaN  0.550969                 NaN            NaN            NaN
  1429.80        2500.00        98.3929       0.530030       0.317868                 NaN            NaN  0.215141                 NaN  0.544059                 NaN            NaN            NaN
  1428.63        2500.00        98.4132       0.524954       0.308760                 NaN            NaN  0.215305                 NaN  0.537757                 NaN            NaN            NaN
  1427.47        2500.00        98.4334       0.520087       0.300547                 NaN            NaN  0.214857                 NaN  0.531075                 NaN            NaN            NaN
  1426.30        2500.00        98.3651       0.310075       0.541301                 NaN            NaN  0.226387                 NaN  0.557147                 NaN            NaN            NaN
  1425.14        2500.00        98.5669       0.483397       0.264610                 NaN            NaN  0.201590                 NaN  0.483509                 NaN            NaN            NaN
  1423.97        2500.00        98.4896       0.504766       0.277573                 NaN            NaN  0.214774                 NaN  0.513318                 NaN            NaN            NaN
  1422.81        2500.00        98.5136       0.267904       0.499664                 NaN            NaN  0.213535                 NaN  0.505266                 NaN            NaN            NaN
  1421.64        2500.00        98.5259       0.497573       0.259181                 NaN            NaN  0.215207                 NaN  0.502117                 NaN            NaN            NaN
  1420.48        2500.00        98.5480       0.490612       0.255504                 NaN            NaN  0.211992                 NaN  0.493927                 NaN            NaN            NaN
  1419.31        2500.00        98.5628       0.244361       0.488439                 NaN            NaN  0.214572                 NaN  0.489813                 NaN            NaN            NaN
  1418.15        2500.00        98.5780       0.238548       0.484167                 NaN            NaN  0.214239                 NaN  0.485018                 NaN            NaN            NaN
  1416.98        2500.00        98.5979       0.479232       0.231177                 NaN            NaN  0.213248                 NaN  0.478454                 NaN            NaN            NaN
  1415.82        2500.00        98.6118       0.224526       0.476185                 NaN            NaN  0.213610                 NaN  0.473911                 NaN            NaN            NaN
  1414.66        2500.00        98.6279       0.217486       0.472325                 NaN            NaN  0.213519                 NaN  0.468798                 NaN            NaN            NaN
  1413.49        2500.00        98.6434       0.468459       0.210779                 NaN            NaN  0.213494                 NaN  0.463904                 NaN            NaN            NaN
  1412.33        2500.00        99.3668       0.221489       0.931225E-001            NaN            NaN  0.100829                 NaN  0.217775                 NaN            NaN            NaN
  1411.16        2500.00        97.9315       0.718140       0.309576                 NaN            NaN  0.333170                 NaN  0.707609                 NaN            NaN            NaN
  1410.00        2500.00        98.7075       0.449767       0.193114                 NaN            NaN  0.207984                 NaN  0.441658                 NaN            NaN            NaN
  1408.83        2500.00        98.7036       0.185236       0.453910                 NaN            NaN  0.212945                 NaN  0.444275                 NaN            NaN            NaN
  1407.67        2500.00        98.7157       0.179123       0.451451                 NaN            NaN  0.213202                 NaN  0.440502                 NaN            NaN            NaN
  1406.50        2500.00        98.7306       0.447828       0.173094                 NaN            NaN  0.212870                 NaN  0.435592                 NaN            NaN            NaN
  1405.34        2500.00        98.7424       0.445286       0.166950                 NaN            NaN  0.213388                 NaN  0.431938                 NaN            NaN            NaN
  1404.17        2500.00        98.7567       0.441745       0.161815                 NaN            NaN  0.212676                 NaN  0.427036                 NaN            NaN            NaN
  1403.01        2500.00        98.7697       0.156123       0.438613                 NaN            NaN  0.212722                 NaN  0.422829                 NaN            NaN            NaN
  1401.84        2500.00        98.7811       0.435780       0.150638                 NaN            NaN  0.213239                 NaN  0.419221                 NaN            NaN            NaN
  1400.68        2500.00        98.7941       0.144651       0.433554                 NaN            NaN  0.212652                 NaN  0.415023                 NaN            NaN            NaN
  1399.51        2500.00        98.8066       0.431002       0.139055                 NaN            NaN  0.212565                 NaN  0.410786                 NaN            NaN            NaN
  1398.35        2500.00        98.8187       0.134265       0.427627                 NaN            NaN  0.212500                 NaN  0.406908                 NaN            NaN            NaN
  1397.18        2500.00        98.8298       0.425196       0.129134                 NaN            NaN  0.212612                 NaN  0.403269                 NaN            NaN            NaN
  1396.02        2500.00        98.8376       0.424019       0.124398                 NaN            NaN  0.213336                 NaN  0.400606                 NaN            NaN            NaN
  1394.85        2500.00        98.8544       0.119742       0.419380                 NaN            NaN  0.211607                 NaN  0.394850                 NaN            NaN            NaN
  1393.69        2500.00        98.8645       0.417513       0.114222                 NaN            NaN  0.212057                 NaN  0.391704                 NaN            NaN            NaN
