|6.6.6
Archiving\03_Data\eqfrac/QFM_m5/GRV/GRV_3.tab                             
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          16
T(K)           P(bar)         melt(TH)       melt(TH)       Opx(TH)        iron           O(HP)          Sp(TH)         Cpx(TH)        Cpx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)        ilm            q             
  1608.97        2500.00        99.2015                 NaN  0.797770       0.705778E-003            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1607.44        2500.00        99.0633                 NaN  0.934665       0.198912E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1605.92        2500.00        99.0700                 NaN  0.905909       0.183466E-002  0.222909E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1604.39        2500.00        99.0760                 NaN  0.921184       0.279446E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1602.87        2500.00        98.9590                 NaN   1.01887       0.436100E-002  0.133499E-001  0.438451E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1601.34        2500.00        99.2357                 NaN  0.756890                 NaN  0.741086E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1599.81        2500.00        99.0939                 NaN  0.902934       0.253653E-002  0.602414E-003            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1598.29        2500.00        99.0987                 NaN  0.898316       0.296192E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1596.76        2500.00        99.1098                 NaN  0.861291       0.135049E-002  0.275104E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1595.23        2500.00        99.1099                 NaN  0.887336       0.278660E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1593.71        2500.00        99.1143                 NaN  0.871478       0.223937E-002  0.119995E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1592.18        2500.00        99.1089                 NaN  0.843110       0.131988E-002  0.466484E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1590.66        2500.00        99.1475                 NaN  0.850405       0.208207E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1589.13        2500.00        99.1298                 NaN  0.867396       0.281576E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1587.60        2500.00        99.1343                 NaN  0.862260       0.276979E-002  0.675695E-003            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1586.08        2500.00        99.1383                 NaN  0.858901       0.278715E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1584.55        2500.00        99.1424                 NaN  0.854832       0.280325E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1583.02        2500.00        99.1471                 NaN  0.850112       0.282375E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1581.50        2500.00        99.1472                 NaN  0.849995       0.284520E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1579.97        2500.00        99.1569                 NaN  0.840236       0.284773E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1578.45        2500.00        99.0637                 NaN  0.481445       0.326835E-002  0.395811E-004            NaN  0.451506                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1576.92        2500.00        98.9069                 NaN  0.766940E-001  0.406321E-002            NaN            NaN   1.01233                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1575.39        2500.00        98.8755                 NaN            NaN  0.453927E-002            NaN            NaN   1.11999                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1573.87        2500.00        98.8438                 NaN            NaN  0.504191E-002            NaN            NaN   1.15114                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1572.34        2500.00        98.7985                 NaN            NaN  0.565971E-002            NaN  0.202034E-003   1.19561                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1570.81        2500.00        98.6923                 NaN            NaN  0.601583E-002            NaN  0.874558E-002   1.29292                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1569.29        2500.00        98.0042                 NaN  0.181092       0.313626E-001            NaN  0.447267E-002   1.77889                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1567.76        2500.00        97.7676                 NaN            NaN  0.276415E-001            NaN  0.835251E-002   1.36975       0.826638                 NaN            NaN            NaN            NaN            NaN            NaN
  1566.24        2500.00        97.8684                 NaN  0.420776       0.312366E-001            NaN  0.130541E-002   1.67829                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1564.71        2500.00        97.8657                 NaN  0.502571       0.304236E-001            NaN            NaN   1.60128                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1563.18        2500.00        97.9243                 NaN  0.485746       0.296510E-001            NaN  0.154725E-002   1.55877                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1561.66        2500.00        97.9604                 NaN  0.491744       0.292403E-001            NaN            NaN   1.51866                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1560.13        2500.00        98.0106                 NaN  0.485116       0.285298E-001            NaN            NaN   1.47580                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1558.60        2500.00        98.0504                 NaN  0.479131       0.280735E-001            NaN            NaN   1.44236                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1557.08        2500.00        98.0960                 NaN  0.471933       0.274291E-001            NaN            NaN   1.40466                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1555.55        2500.00        98.1351                 NaN  0.463181       0.268944E-001            NaN            NaN   1.37483                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1554.03        2500.00        98.1783                 NaN  0.455120       0.262759E-001            NaN            NaN   1.34032                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1552.50        2500.00        98.2161                 NaN  0.447067       0.257670E-001            NaN            NaN   1.31104                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1550.97        2500.00        98.2524                 NaN  0.437430       0.252186E-001            NaN            NaN   1.28492                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1549.45        2500.00        98.2924                 NaN  0.426087       0.246440E-001            NaN            NaN   1.25687                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1547.92        2500.00        98.3265                 NaN  0.417246       0.241036E-001            NaN            NaN   1.23219                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1546.39        2500.00        98.3612                 NaN  0.407510       0.236266E-001            NaN            NaN   1.20768                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1544.87        2500.00        98.3793                 NaN  0.400008       0.233678E-001            NaN            NaN   1.19729                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1543.34        2500.00        98.4413                 NaN  0.384705       0.224038E-001            NaN            NaN   1.15158                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1541.82        2500.00        98.4571                 NaN  0.378898       0.221926E-001            NaN            NaN   1.14179                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1540.29        2500.00        98.4886                 NaN  0.368668       0.216829E-001            NaN            NaN   1.12107                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1538.76        2500.00        98.5101                 NaN  0.360685       0.213369E-001            NaN            NaN   1.10785                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1537.24        2500.00        98.5511                 NaN  0.349509       0.206980E-001            NaN            NaN   1.07873                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1535.71        2500.00        98.5724                 NaN  0.341812       0.203830E-001            NaN            NaN   1.06545                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1534.18        2500.00        98.5984                 NaN  0.333114       0.200112E-001            NaN            NaN   1.04849                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1532.66        2500.00        98.6242                 NaN  0.324104       0.195493E-001            NaN            NaN   1.03220                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1531.13        2500.00        96.8749                 NaN            NaN  0.220933E-002   1.08502       0.655956E-002   2.03132                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1529.61        2500.00        99.9992                 NaN            NaN  0.796018E-003            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1528.08        2500.00        99.5048                 NaN  0.317675E-002  0.521703E-002            NaN            NaN  0.486817                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1526.55        2500.00        98.7354                 NaN  0.267291       0.177573E-001            NaN            NaN  0.979591                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1525.03        2500.00        98.7428                 NaN  0.282617       0.171415E-001            NaN            NaN  0.957441                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1523.50        2500.00        98.7281                 NaN  0.126717       0.161399E-001            NaN            NaN  0.236165       0.892916                 NaN            NaN            NaN            NaN            NaN            NaN
  1521.97        2500.00        98.7287                 NaN  0.473395E-001  0.154964E-001            NaN            NaN  0.855183       0.353311                 NaN            NaN            NaN            NaN            NaN            NaN
  1520.45        2500.00        98.7447                 NaN  0.356263E-001  0.151441E-001            NaN            NaN  0.840403       0.364106                 NaN            NaN            NaN            NaN            NaN            NaN
  1518.92        2500.00        98.7601                 NaN  0.263889E-001  0.148912E-001            NaN            NaN  0.826579       0.372090                 NaN            NaN            NaN            NaN            NaN            NaN
  1517.40        2500.00        98.7772                 NaN  0.176279E-001  0.145383E-001            NaN            NaN  0.378387       0.812263                 NaN            NaN            NaN            NaN            NaN            NaN
  1515.87        2500.00        98.7913                 NaN  0.779473E-002  0.142591E-001            NaN            NaN  0.799272       0.387337                 NaN            NaN            NaN            NaN            NaN            NaN
  1514.34        2500.00        98.8067                 NaN  0.835461E-002  0.139478E-001            NaN            NaN  0.383629       0.787338                 NaN            NaN            NaN            NaN            NaN            NaN
  1512.82        2500.00        98.8206                 NaN            NaN  0.136220E-001            NaN            NaN  0.776643       0.389138                 NaN            NaN            NaN            NaN            NaN            NaN
  1511.29        2500.00        98.8370                 NaN            NaN  0.133913E-001            NaN            NaN  0.763069       0.386571                 NaN            NaN            NaN            NaN            NaN            NaN
