|6.6.6
Archiving\03_Data\eqfrac/QFM_m5/GRV/GRV_1.tab                             
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          16
T(K)           P(bar)         melt(TH)       melt(TH)       Opx(TH)        iron           O(HP)          Sp(TH)         Cpx(TH)        Cpx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)        ilm            q             
  1550.97        2500.00        97.9923                 NaN  0.495996       0.659847E-001            NaN            NaN   1.44571                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1549.45        2500.00        98.0371                 NaN  0.483481       0.645109E-001            NaN            NaN   1.41488                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1547.92        2500.00        98.0752                 NaN  0.473767       0.631247E-001            NaN            NaN   1.38792                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1546.39        2500.00        98.1141                 NaN  0.463012       0.619034E-001            NaN            NaN   1.36100                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1544.87        2500.00        98.1340                 NaN  0.454726       0.612517E-001            NaN            NaN   1.35004                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1543.34        2500.00        98.2043                 NaN  0.437660       0.587539E-001            NaN            NaN   1.29926                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1541.82        2500.00        98.2216                 NaN  0.431307       0.582247E-001            NaN            NaN   1.28887                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1540.29        2500.00        98.2570                 NaN  0.419928       0.569130E-001            NaN            NaN   1.26619                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1538.76        2500.00        98.2810                 NaN  0.411078       0.560291E-001            NaN            NaN   1.25194                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1537.24        2500.00        98.3273                 NaN  0.398615       0.543766E-001            NaN            NaN   1.21972                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1535.71        2500.00        98.3510                 NaN  0.390085       0.535721E-001            NaN            NaN   1.20538                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1534.18        2500.00        98.3802                 NaN  0.380389       0.526181E-001            NaN            NaN   1.18680                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1532.66        2500.00        98.4092                 NaN  0.370322       0.514261E-001            NaN            NaN   1.16904                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1531.13        2500.00        96.4192                 NaN            NaN  0.580663E-002   1.27273       0.101311E-001   2.29215                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1529.61        2500.00        99.9979                 NaN            NaN  0.210198E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1528.08        2500.00        99.4291                 NaN  0.364549E-002  0.137670E-001            NaN            NaN  0.553519                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1526.55        2500.00        98.5337                 NaN  0.306517       0.468179E-001            NaN            NaN   1.11294                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1525.03        2500.00        98.5421                 NaN  0.324292       0.452133E-001            NaN            NaN   1.08840                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1523.50        2500.00        98.5267                 NaN  0.145493       0.425885E-001            NaN            NaN  0.269695        1.01556                 NaN            NaN            NaN            NaN            NaN            NaN
  1521.97        2500.00        98.5278                 NaN  0.543897E-001  0.409076E-001            NaN            NaN  0.973157       0.403725                 NaN            NaN            NaN            NaN            NaN            NaN
  1520.45        2500.00        98.5458                 NaN  0.409619E-001  0.399949E-001            NaN            NaN  0.956904       0.416362                 NaN            NaN            NaN            NaN            NaN            NaN
  1518.92        2500.00        98.5629                 NaN  0.303604E-001  0.393440E-001            NaN            NaN  0.941670       0.425754                 NaN            NaN            NaN            NaN            NaN            NaN
  1517.40        2500.00        98.5821                 NaN  0.202957E-001  0.384284E-001            NaN            NaN  0.433266       0.925896                 NaN            NaN            NaN            NaN            NaN            NaN
  1515.87        2500.00        98.5979                 NaN  0.898025E-002  0.377069E-001            NaN            NaN  0.911620       0.443808                 NaN            NaN            NaN            NaN            NaN            NaN
  1514.34        2500.00        98.6151                 NaN  0.963258E-002  0.368999E-001            NaN            NaN  0.439869       0.898540                 NaN            NaN            NaN            NaN            NaN            NaN
  1512.82        2500.00        98.6306                 NaN            NaN  0.360536E-001            NaN            NaN  0.886853       0.446523                 NaN            NaN            NaN            NaN            NaN            NaN
  1511.29        2500.00        98.6489                 NaN            NaN  0.354585E-001            NaN            NaN  0.871843       0.443838                 NaN            NaN            NaN            NaN            NaN            NaN
  1509.76        2500.00        98.6639                 NaN  0.597466E-002  0.347459E-001            NaN            NaN  0.861193       0.434188                 NaN            NaN            NaN            NaN            NaN            NaN
  1508.24        2500.00        98.6797                 NaN            NaN  0.339970E-001            NaN            NaN  0.438171       0.848156                 NaN            NaN            NaN            NaN            NaN            NaN
  1506.71        2500.00        98.6949                 NaN            NaN  0.335157E-001            NaN            NaN  0.836979       0.434632                 NaN            NaN            NaN            NaN            NaN            NaN
  1505.19        2500.00        98.7094                 NaN            NaN  0.328129E-001            NaN            NaN  0.431588       0.826165                 NaN            NaN            NaN            NaN            NaN            NaN
  1503.66        2500.00        98.7242                 NaN            NaN  0.321020E-001            NaN            NaN  0.428022       0.815702                 NaN            NaN            NaN            NaN            NaN            NaN
  1502.13        2500.00        98.7385                 NaN            NaN  0.315078E-001            NaN            NaN  0.804738       0.425204                 NaN            NaN            NaN            NaN            NaN            NaN
  1500.61        2500.00        98.7497                 NaN            NaN  0.308885E-001            NaN            NaN  0.421693       0.797676                 NaN            NaN            NaN            NaN            NaN            NaN
  1499.08        2500.00        98.7698                 NaN            NaN  0.300547E-001            NaN            NaN  0.417469       0.782675                 NaN            NaN            NaN            NaN            NaN            NaN
  1497.55        2500.00        98.7809                 NaN            NaN  0.296032E-001            NaN            NaN  0.415218       0.774287                 NaN            NaN            NaN            NaN            NaN            NaN
  1496.03        2500.00        98.7934                 NaN            NaN  0.290670E-001            NaN            NaN  0.412473       0.765083                 NaN            NaN            NaN            NaN            NaN            NaN
  1494.50        2500.00        98.8072                 NaN            NaN  0.284883E-001            NaN            NaN  0.755351       0.408954                 NaN            NaN            NaN            NaN            NaN            NaN
  1492.98        2500.00        98.8186                 NaN            NaN  0.279388E-001            NaN            NaN  0.747733       0.405702                 NaN            NaN            NaN            NaN            NaN            NaN
  1491.45        2500.00        98.8296                 NaN            NaN  0.271872E-001            NaN  0.828292E-003  0.404671       0.737680                 NaN            NaN            NaN            NaN            NaN            NaN
  1489.92        2500.00        98.8512                 NaN            NaN  0.259092E-001            NaN  0.223553E-002  0.718786       0.401899                 NaN            NaN            NaN            NaN            NaN            NaN
  1488.40        2500.00        98.8578                 NaN            NaN  0.255563E-001            NaN  0.213111E-002  0.399645       0.714856                 NaN            NaN            NaN            NaN            NaN            NaN
  1486.87        2500.00        98.8703                 NaN            NaN  0.250633E-001            NaN  0.203205E-002  0.396157       0.706457                 NaN            NaN            NaN            NaN            NaN            NaN
  1485.34        2500.00        98.8819                 NaN            NaN  0.245467E-001            NaN  0.193167E-002  0.392868       0.698731                 NaN            NaN            NaN            NaN            NaN            NaN
  1483.82        2500.00        98.8937                 NaN            NaN  0.240251E-001            NaN  0.183267E-002  0.690987       0.389483                 NaN            NaN            NaN            NaN            NaN            NaN
  1482.29        2500.00        98.9058                 NaN            NaN  0.235418E-001            NaN  0.174075E-002  0.682885       0.386000                 NaN            NaN            NaN            NaN            NaN            NaN
  1480.77        2500.00        98.9168                 NaN            NaN  0.230470E-001            NaN  0.164800E-002  0.675517       0.382945                 NaN            NaN            NaN            NaN            NaN            NaN
  1479.24        2500.00        98.9279                 NaN            NaN  0.226021E-001            NaN  0.155884E-002  0.379430       0.668474                 NaN            NaN            NaN            NaN            NaN            NaN
  1477.71        2500.00        98.9390                 NaN            NaN  0.220920E-001            NaN  0.147040E-002  0.661096       0.376297                 NaN            NaN            NaN            NaN            NaN            NaN
  1476.19        2500.00        98.9496                 NaN            NaN  0.216502E-001            NaN  0.138915E-002  0.372843       0.654484                 NaN            NaN            NaN            NaN            NaN            NaN
  1474.66        2500.00        98.9601                 NaN            NaN  0.211392E-001            NaN  0.129840E-002  0.369961       0.647543                 NaN            NaN            NaN            NaN            NaN            NaN
  1473.13        2500.00        98.9702                 NaN            NaN  0.207838E-001            NaN  0.122418E-002  0.641090       0.366653                 NaN            NaN            NaN            NaN            NaN            NaN
  1471.61        2500.00        98.9780                 NaN            NaN  0.205937E-001            NaN  0.115615E-002  0.636424       0.363873                 NaN            NaN            NaN            NaN            NaN            NaN
  1470.08        2500.00        98.9934                 NaN            NaN  0.197192E-001            NaN  0.106661E-002  0.626671       0.359146                 NaN            NaN            NaN            NaN            NaN            NaN
  1468.56        2500.00        99.0002                 NaN            NaN  0.193953E-001            NaN  0.992901E-003  0.622150       0.357283                 NaN            NaN            NaN            NaN            NaN            NaN
  1467.03        2500.00        99.0104                 NaN            NaN  0.190025E-001            NaN  0.924549E-003  0.615382       0.354284                 NaN            NaN            NaN            NaN            NaN            NaN
  1465.50        2500.00        99.0191                 NaN            NaN  0.185434E-001            NaN  0.848868E-003  0.351438       0.610039                 NaN            NaN            NaN            NaN            NaN            NaN
  1463.98        2500.00        99.0281                 NaN            NaN  0.181375E-001            NaN  0.780919E-003  0.604506       0.348470                 NaN            NaN            NaN            NaN            NaN            NaN
  1462.45        2500.00        99.0375                 NaN            NaN  0.177150E-001            NaN  0.715504E-003  0.345574       0.598501                 NaN            NaN            NaN            NaN            NaN            NaN
  1460.92        2500.00        99.0461                 NaN            NaN  0.173550E-001            NaN  0.655826E-003  0.593371       0.342501                 NaN            NaN            NaN            NaN            NaN            NaN
  1459.40        2500.00        99.0549                 NaN            NaN  0.169186E-001            NaN  0.588224E-003  0.587811       0.339771                 NaN            NaN            NaN            NaN            NaN            NaN
  1457.87        2500.00        99.0637                 NaN            NaN  0.165052E-001            NaN  0.526617E-003  0.336927       0.582333                 NaN            NaN            NaN            NaN            NaN            NaN
  1456.35        2500.00        99.0715                 NaN            NaN  0.161633E-001            NaN  0.470079E-003  0.334243       0.577635                 NaN            NaN            NaN            NaN            NaN            NaN
  1454.82        2500.00        99.0794                 NaN            NaN  0.158159E-001            NaN  0.414075E-003  0.331450       0.572909                 NaN            NaN            NaN            NaN            NaN            NaN
  1453.29        2500.00        99.0852                 NaN            NaN  0.153035E-001            NaN  0.347667E-003  0.569438       0.329673                 NaN            NaN            NaN            NaN            NaN            NaN
  1451.77        2500.00        99.0992                 NaN            NaN  0.148253E-001            NaN  0.303439E-003  0.325303       0.560387                 NaN            NaN            NaN            NaN            NaN            NaN
  1450.24        2500.00        99.1036                 NaN            NaN  0.146296E-001            NaN  0.250237E-003  0.558305       0.323215                 NaN            NaN            NaN            NaN            NaN            NaN
  1448.71        2500.00        98.7570                 NaN            NaN  0.324291E-001            NaN            NaN  0.618593       0.441198                 NaN            NaN  0.150765                 NaN            NaN            NaN
  1447.19        2500.00        97.1585                 NaN            NaN  0.114604                 NaN            NaN  0.986869       0.898172                 NaN            NaN  0.841862                 NaN            NaN            NaN
  1445.66        2500.00        97.2511                 NaN            NaN  0.109963                 NaN            NaN  0.868445       0.956117                 NaN            NaN  0.814347                 NaN            NaN            NaN
  1444.14        2500.00        97.3376                 NaN            NaN  0.105908                 NaN            NaN  0.842376       0.924854                 NaN            NaN  0.789225                 NaN            NaN            NaN
  1442.61        2500.00        97.5307                 NaN            NaN  0.975148E-001            NaN            NaN  0.782051       0.857130                 NaN            NaN  0.732570                 NaN            NaN            NaN
  1441.08        2500.00        97.3841                 NaN            NaN  0.102457                 NaN            NaN  0.828918       0.909013                 NaN            NaN  0.775467                 NaN            NaN            NaN
  1439.56        2500.00        97.5690                 NaN            NaN  0.946899E-001            NaN            NaN  0.769971       0.845104                 NaN            NaN  0.721257                 NaN            NaN            NaN
  1438.03        2500.00        97.6368                 NaN            NaN  0.913966E-001            NaN            NaN  0.749296       0.821339                 NaN            NaN  0.701173                 NaN            NaN            NaN
  1436.50        2500.00        97.6999                 NaN            NaN  0.884368E-001            NaN            NaN  0.729075       0.799953                 NaN            NaN  0.682613                 NaN            NaN            NaN
  1434.98        2500.00        97.7678                 NaN            NaN  0.851836E-001            NaN            NaN  0.777054       0.707453                 NaN            NaN  0.662488                 NaN            NaN            NaN
  1433.45        2500.00        97.8265                 NaN            NaN  0.821665E-001            NaN            NaN  0.756924       0.689008                 NaN            NaN  0.645376                 NaN            NaN            NaN
  1431.93        2500.00        97.8818                 NaN            NaN  0.794758E-001            NaN            NaN  0.738386       0.671360                 NaN            NaN  0.629005                 NaN            NaN            NaN
  1430.40        2500.00        97.9368                 NaN            NaN  0.768439E-001            NaN            NaN  0.654186       0.719542                 NaN            NaN  0.612630                 NaN            NaN            NaN
  1428.87        2500.00        97.9875                 NaN            NaN  0.742179E-001            NaN            NaN  0.638071       0.702630                 NaN            NaN  0.597548                 NaN            NaN            NaN
  1427.35        2500.00        98.0376                 NaN            NaN  0.718671E-001            NaN            NaN  0.622271       0.685624                 NaN            NaN  0.582649                 NaN            NaN            NaN
  1425.82        2500.00        98.0852                 NaN            NaN  0.696064E-001            NaN            NaN  0.669666       0.606805                 NaN            NaN  0.568686                 NaN            NaN            NaN
  1424.29        2500.00        98.1305                 NaN            NaN  0.672980E-001            NaN            NaN  0.592123       0.654938                 NaN            NaN  0.555132                 NaN            NaN            NaN
  1422.77        2500.00        98.1737                 NaN            NaN  0.651714E-001            NaN            NaN  0.578201       0.640536                 NaN            NaN  0.542386                 NaN            NaN            NaN
  1421.24        2500.00        98.2161                 NaN            NaN  0.630997E-001            NaN            NaN  0.564629       0.626497                 NaN            NaN  0.529680                 NaN            NaN            NaN
  1419.72        2500.00        98.2555                 NaN            NaN  0.611172E-001            NaN            NaN  0.613761       0.551721                 NaN            NaN  0.517946                 NaN            NaN            NaN
  1418.19        2500.00        98.2920                 NaN            NaN  0.594530E-001            NaN            NaN  0.539670       0.601684                 NaN            NaN  0.507167                 NaN            NaN            NaN
  1416.66        2500.00        98.3345                 NaN            NaN  0.572208E-001            NaN            NaN  0.525809       0.588200                 NaN            NaN  0.494305                 NaN            NaN            NaN
  1415.14        2500.00        98.3679                 NaN            NaN  0.554830E-001            NaN            NaN  0.576822       0.515441                 NaN            NaN  0.484339                 NaN            NaN            NaN
  1413.61        2500.00        98.4026                 NaN            NaN  0.537348E-001            NaN            NaN  0.503978       0.565775                 NaN            NaN  0.473943                 NaN            NaN            NaN
  1412.08        2500.00        98.4347                 NaN            NaN  0.520974E-001            NaN            NaN  0.493378       0.555474                 NaN            NaN  0.464352                 NaN            NaN            NaN
  1410.56        2500.00        98.4669                 NaN            NaN  0.505363E-001            NaN            NaN  0.545048       0.482816                 NaN            NaN  0.454653                 NaN            NaN            NaN
  1409.03        2500.00        98.4978                 NaN            NaN  0.489701E-001            NaN            NaN  0.472686       0.535096                 NaN            NaN  0.445399                 NaN            NaN            NaN
  1407.51        2500.00        98.5272                 NaN            NaN  0.474779E-001            NaN            NaN  0.462768       0.526012                 NaN            NaN  0.436543                 NaN            NaN            NaN
  1405.98        2500.00        98.5564                 NaN            NaN  0.460304E-001            NaN            NaN  0.453282       0.516490                 NaN            NaN  0.427795                 NaN            NaN            NaN
  1404.45        2500.00        98.5840                 NaN            NaN  0.445152E-001            NaN            NaN  0.444142       0.507834                 NaN            NaN  0.419473                 NaN            NaN            NaN
  1402.93        2500.00        98.6109                 NaN            NaN  0.433328E-001            NaN            NaN  0.434595       0.499820                 NaN            NaN  0.411384                 NaN            NaN            NaN
  1401.40        2500.00        98.6367                 NaN            NaN  0.419188E-001            NaN            NaN  0.491597       0.426283                 NaN            NaN  0.403454                 NaN            NaN            NaN
  1399.88        2500.00        98.6629                 NaN            NaN  0.403874E-001            NaN            NaN  0.417416       0.483690                 NaN            NaN  0.395580                 NaN            NaN            NaN
  1398.35        2500.00        98.6856                 NaN            NaN  0.392575E-001            NaN            NaN  0.409918       0.476304                 NaN            NaN  0.388918                 NaN            NaN            NaN
  1396.82        2500.00        98.7050                 NaN            NaN  0.380433E-001            NaN            NaN  0.402469       0.471189                 NaN            NaN  0.383305                 NaN            NaN            NaN
  1395.30        2500.00        98.7388                 NaN            NaN  0.365174E-001            NaN            NaN  0.391892       0.460240                 NaN            NaN  0.372516                 NaN            NaN            NaN
  1393.77        2500.00        98.7538                 NaN            NaN  0.356911E-001            NaN            NaN  0.456126       0.386172                 NaN            NaN  0.368205                 NaN            NaN            NaN
  1392.24        2500.00        98.7773                 NaN            NaN  0.344186E-001            NaN            NaN  0.448735       0.378566                 NaN            NaN  0.360949                 NaN            NaN            NaN
  1390.72        2500.00        98.7977                 NaN            NaN  0.333179E-001            NaN            NaN  0.371477       0.442685                 NaN            NaN  0.354778                 NaN            NaN            NaN
  1389.19        2500.00        98.8174                 NaN            NaN  0.322473E-001            NaN            NaN  0.436645       0.364869                 NaN            NaN  0.348873                 NaN            NaN            NaN
  1387.67        2500.00        98.8371                 NaN            NaN  0.311935E-001            NaN            NaN  0.357842       0.430938                 NaN            NaN  0.342911                 NaN            NaN            NaN
  1386.14        2500.00        98.8558                 NaN            NaN  0.301062E-001            NaN            NaN  0.425533       0.351307                 NaN            NaN  0.337256                 NaN            NaN            NaN
  1384.61        2500.00        98.8745                 NaN            NaN  0.290597E-001            NaN            NaN  0.420429       0.344462                 NaN            NaN  0.331570                 NaN            NaN            NaN
  1383.09        2500.00        98.8929                 NaN            NaN  0.280172E-001            NaN            NaN  0.338140       0.415149                 NaN            NaN  0.325787                 NaN            NaN            NaN
  1381.56        2500.00        98.9101                 NaN            NaN  0.271236E-001            NaN            NaN  0.332087       0.410097                 NaN            NaN  0.320624                 NaN            NaN            NaN
  1380.03        2500.00        98.9270                 NaN            NaN  0.261352E-001            NaN            NaN  0.405394       0.326021                 NaN            NaN  0.315409                 NaN            NaN            NaN
  1378.51        2500.00        98.9380                 NaN            NaN  0.254101E-001            NaN            NaN  0.402128       0.322181                 NaN            NaN  0.312257                 NaN            NaN            NaN
  1376.98        2500.00        98.9648                 NaN            NaN  0.240288E-001            NaN            NaN  0.312486       0.394980                 NaN            NaN  0.303691                 NaN            NaN            NaN
  1375.46        2500.00        98.9750                 NaN            NaN  0.233488E-001            NaN            NaN  0.392620       0.308267                 NaN            NaN  0.300786                 NaN            NaN            NaN
  1373.93        2500.00        98.9907                 NaN            NaN  0.224547E-001            NaN            NaN  0.387948       0.303002                 NaN            NaN  0.295937                 NaN            NaN            NaN
  1372.40        2500.00        99.0046                 NaN            NaN  0.215641E-001            NaN            NaN  0.384281       0.297917                 NaN            NaN  0.291619                 NaN            NaN            NaN
  1370.88        2500.00        99.0197                 NaN            NaN  0.207782E-001            NaN            NaN  0.292476       0.380011                 NaN            NaN  0.287005                 NaN            NaN            NaN
  1369.35        2500.00        99.0336                 NaN            NaN  0.199127E-001            NaN            NaN  0.287203       0.376538                 NaN            NaN  0.282780                 NaN            NaN            NaN
  1367.82        2500.00        99.0471                 NaN            NaN  0.190490E-001            NaN            NaN  0.281962       0.373248                 NaN            NaN  0.278614                 NaN            NaN            NaN
  1366.30        2500.00        99.0604                 NaN            NaN  0.183481E-001            NaN            NaN  0.277426       0.369213                 NaN            NaN  0.274579                 NaN            NaN            NaN
  1364.77        2500.00        99.0733                 NaN            NaN  0.172804E-001            NaN            NaN  0.367198       0.271747                 NaN            NaN  0.270519                 NaN            NaN            NaN
  1363.25        2500.00        99.0857                 NaN            NaN  0.165870E-001            NaN            NaN  0.267108       0.363846                 NaN            NaN  0.266728                 NaN            NaN            NaN
  1361.72        2500.00        99.0983                 NaN            NaN  0.157810E-001            NaN            NaN  0.262218       0.360948                 NaN            NaN  0.262776                 NaN            NaN            NaN
  1360.19        2500.00        99.1103                 NaN            NaN  0.150558E-001            NaN            NaN  0.357739       0.257756                 NaN            NaN  0.259118                 NaN            NaN            NaN
  1358.67        2500.00        99.1217                 NaN            NaN  0.143399E-001            NaN            NaN  0.253028       0.355230                 NaN            NaN  0.255692                 NaN            NaN            NaN
  1357.14        2500.00        99.1333                 NaN            NaN  0.135726E-001            NaN            NaN  0.248618       0.352512                 NaN            NaN  0.251978                 NaN            NaN            NaN
  1355.61        2500.00        99.1444                 NaN            NaN  0.127543E-001            NaN            NaN  0.244006       0.350288                 NaN            NaN  0.248586                 NaN            NaN            NaN
  1354.09        2500.00        99.1497                 NaN            NaN  0.121122E-001            NaN            NaN  0.350680       0.240218                 NaN            NaN  0.247299                 NaN            NaN            NaN
  1352.56        2500.00        99.1707                 NaN            NaN  0.110507E-001            NaN            NaN  0.344204       0.233853                 NaN            NaN  0.240177                 NaN            NaN            NaN
  1351.04        2500.00        99.1758                 NaN            NaN  0.105973E-001            NaN            NaN  0.343763       0.230927                 NaN            NaN  0.238880                 NaN            NaN            NaN
  1349.51        2500.00        99.1852                 NaN            NaN  0.990659E-002            NaN            NaN  0.226916       0.342012                 NaN            NaN  0.235954                 NaN            NaN            NaN
  1347.98        2500.00        99.1960                 NaN            NaN  0.928037E-002            NaN            NaN  0.222249       0.339762                 NaN            NaN  0.232686                 NaN            NaN            NaN
  1346.46        2500.00        99.2050                 NaN            NaN  0.857427E-002            NaN            NaN  0.218586       0.337916                 NaN            NaN  0.229921                 NaN            NaN            NaN
  1344.93        2500.00        99.2146                 NaN            NaN  0.782354E-002            NaN            NaN  0.336777       0.213846                 NaN            NaN  0.226949                 NaN            NaN            NaN
  1343.40        2500.00        99.2233                 NaN            NaN  0.709638E-002            NaN            NaN  0.210033       0.335391                 NaN            NaN  0.224197                 NaN            NaN            NaN
