|6.6.6
Archiving\03_Data\eqfrac/QFM_m4.5/GRV/GRV_1.tab                           
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          14
T(K)           P(bar)         melt(TH)       Opx(TH)        O(HP)          Sp(TH)         Cpx(TH)        Cpx(TH)        Cpx(TH)        Cpx(TH)        an             ilm            San(TH)        q             
  1596.15        2500.00        99.1082       0.891076       0.772943E-003            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1594.66        2500.00        99.0707       0.892592       0.367141E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1593.16        2500.00        99.0724       0.911622       0.159759E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1591.67        2500.00        99.0832       0.894739       0.220400E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1590.17        2500.00        99.0773       0.918518       0.421001E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1588.68        2500.00        99.8348       0.159357       0.587172E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1587.19        2500.00        98.3639        1.58769       0.483808E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1585.69        2500.00        99.1028       0.872383       0.248283E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1584.20        2500.00        99.1074       0.869743       0.228352E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1582.70        2500.00        99.1136       0.864094       0.223397E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1581.21        2500.00        97.8310        2.10867       0.564231E-001  0.388290E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1579.71        2500.00        99.9807                 NaN  0.193002E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1578.22        2500.00        99.4971       0.440372                 NaN            NaN  0.625304E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1576.73        2500.00        99.1936       0.801857       0.453348E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1575.23        2500.00        98.9913       0.876501E-001  0.282862E-001            NaN  0.892784                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1573.74        2500.00        98.9572                 NaN            NaN            NaN   1.04276                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1572.24        2500.00        98.9141                 NaN  0.213836E-005  0.342089E-002   1.08247                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1570.75        2500.00        98.9324                 NaN            NaN  0.116598E-001   1.05593                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1569.26        2500.00        98.8947                 NaN            NaN  0.119179E-001   1.09338                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1567.76        2500.00        98.8852                 NaN            NaN  0.118317E-001   1.10293                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1566.27        2500.00        98.8639                 NaN            NaN  0.118369E-001   1.12424                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1564.77        2500.00        98.8445                 NaN            NaN  0.117838E-001   1.14369                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1563.28        2500.00        98.8230                 NaN            NaN  0.117395E-001   1.16525                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1561.79        2500.00        97.7763                 NaN            NaN  0.217689E-001   2.20193                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1560.29        2500.00        99.7952                 NaN            NaN  0.192110E-002  0.202845                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1558.80        2500.00        98.6850                 NaN            NaN  0.117263E-001   1.30332                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1557.30        2500.00        98.4545                 NaN            NaN  0.114701E-001   1.09142       0.442593                 NaN            NaN            NaN            NaN            NaN            NaN
  1555.81        2500.00        96.1749                 NaN            NaN  0.210579E-001  0.707964        3.09604                 NaN            NaN            NaN            NaN            NaN            NaN
  1554.31        2500.00        99.9205                 NaN            NaN  0.434803E-003  0.149929E-001  0.640523E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1552.82        2500.00        98.4172                 NaN            NaN  0.871376E-002  0.294614        1.27945                 NaN            NaN            NaN            NaN            NaN            NaN
