|6.6.6
Archiving\03_Data\eqfrac/QFM_m4.5/GRV/GRV_3.tab                           
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          14
T(K)           P(bar)         melt(TH)       Opx(TH)        O(HP)          Sp(TH)         Cpx(TH)        Cpx(TH)        Cpx(TH)        Cpx(TH)        an             ilm            San(TH)        q             
  1596.15        2500.00        99.2042       0.795106       0.664721E-003            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1594.66        2500.00        99.1721       0.796361       0.315679E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1593.16        2500.00        99.1730       0.813225       0.137332E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1591.67        2500.00        99.1830       0.798014       0.189390E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1590.17        2500.00        99.1774       0.819015       0.361590E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1588.68        2500.00        99.8531       0.141869       0.503011E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1587.19        2500.00        98.5422        1.41628       0.415579E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1585.69        2500.00        99.2011       0.777569       0.213042E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1584.20        2500.00        99.2053       0.775126       0.195854E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1582.70        2500.00        99.2110       0.769845       0.191518E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1581.21        2500.00        98.0694        1.87977       0.483552E-001  0.247061E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1579.71        2500.00        99.9835                 NaN  0.165227E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1578.22        2500.00        99.5520       0.392091                 NaN            NaN  0.559519E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1576.73        2500.00        99.2822       0.713930       0.388153E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1575.23        2500.00        99.0988       0.780357E-001  0.242128E-001            NaN  0.798983                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1573.74        2500.00        99.0670                 NaN            NaN            NaN  0.933049                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1572.24        2500.00        99.0294                 NaN  0.182870E-005  0.217603E-002  0.968414                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1570.75        2500.00        99.0481                 NaN            NaN  0.741722E-002  0.944509                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1569.26        2500.00        99.0147                 NaN            NaN  0.758306E-002  0.977703                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1567.76        2500.00        99.0064                 NaN            NaN  0.752944E-002  0.986065                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1566.27        2500.00        98.9874                 NaN            NaN  0.753334E-002   1.00510                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1564.77        2500.00        98.9702                 NaN            NaN  0.750181E-002   1.02231                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1563.28        2500.00        98.9511                 NaN            NaN  0.747506E-002   1.04138                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1561.79        2500.00        98.0182                 NaN            NaN  0.138736E-001   1.96795                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1560.29        2500.00        99.8178                 NaN            NaN  0.122241E-002  0.180996                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1558.80        2500.00        98.8283                 NaN            NaN  0.747224E-002   1.16420                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1557.30        2500.00        98.6209                 NaN            NaN  0.731417E-002  0.975157       0.396638                 NaN            NaN            NaN            NaN            NaN            NaN
